,link,rating,date,source,review_id,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,user.photos,snippet,user.local_guide,extracted_snippet.original,extracted_snippet.translated,likes
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM5NXFPSGlBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC95qOHiAE%7CCgwI1I2brwYQ-IynhgE%7C?hl=en-US,5.0,6 hours ago,Google,ChdDSUhNMG9nS0VJQ0FnSUM5NXFPSGlBRRAB,Anna Sánchez Cantos,https://www.google.com/maps/contrib/101997636678627602970?hl=en-US,101997636678627602970,https://lh3.googleusercontent.com/a-/ALV-UjVHnDt7Q3oKT5c99Zafqi5teijRdinVMrAWs4Jir6lrTBQ=s40-c-rp-mo-br100,30,18.0,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM5clBfaTRBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC9rP_i4AE%7CCgsI09aTrwYQoJOnHg%7C?hl=en-US,5.0,a day ago,Google,ChdDSUhNMG9nS0VJQ0FnSUM5clBfaTRBRRAB,Edgar Rivas,https://www.google.com/maps/contrib/111318079368708427573?hl=en-US,111318079368708427573,https://lh3.googleusercontent.com/a/ACg8ocKltxDI0Sd1bQ2jWkLfUZcDcjsQxP-mn8zj1WZezHpd=s40-c-rp-mo-ba2-br100,5,,"Todas las personas que se quejan y dan una estrella de casualidad todos escriben la palabra simple. Si era tan simple te quedas en casa y se te pasará, por delante de ustedes habían apuñalamientos, infartos y demás cosas no tan simples :)",True,"Todas las personas que se quejan y dan una estrella de casualidad todos escriben la palabra simple. Si era tan simple te quedas en casa y se te pasará, por delante de ustedes habían apuñalamientos, infartos y demás cosas no tan simples :)","All the people who complain and give a star happen to all write the word simple. If it was that simple, you stay at home and it will go away, ahead of you there were stabbings, heart attacks and other things not so simple :)",
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM5dU5XZUtREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC9uNWeKQ%7CCgwI_o2IrwYQ-Iq2nQE%7C?hl=en-US,5.0,3 days ago,Google,ChZDSUhNMG9nS0VJQ0FnSUM5dU5XZUtREAE,Xavier Font,https://www.google.com/maps/contrib/112413159013101135309?hl=en-US,112413159013101135309,https://lh3.googleusercontent.com/a/ACg8ocIRtRCxeAXhm_Wb6bKnO03xzYaPcTl8gefAtfXe071F=s40-c-rp-mo-ba5-br100,311,416.0,"Hospital con especialistas muy cualificados , hospital puntero en varias especialidades y de renombre mundial",True,"Hospital con especialistas muy cualificados , hospital puntero en varias especialidades y de renombre mundial","Hospital with highly qualified specialists, a leading hospital in several specialties and world-renowned",
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM5b1B2M0tnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC9oPv3Kg%7CCgwI1umArwYQiP6YkgI%7C?hl=en-US,1.0,5 days ago,Google,ChZDSUhNMG9nS0VJQ0FnSUM5b1B2M0tnEAE,rul house,https://www.google.com/maps/contrib/100176074432280613551?hl=en-US,100176074432280613551,https://lh3.googleusercontent.com/a-/ALV-UjVjLGfxcQDrNY70Tm_-vS26iOT6Lkj00KgUd-SUffORX4c=s40-c-rp-mo-br100,101,132.0,"Recientemente mi pareja a estado ingresada aquí 3 semanas. Horrible experiencia, tanto para ella como para los familiares. Cada dia un médico diferente y un diagnóstico distinto..
Estuvo en un box de triage de urgencias 3 días porque por un lado no se ponían de acuerdo si correspondía a oncologia o general y por otro porque no tenían camas. Durante esos tres dias ningún medico informo de nada, la información venia limitada de las enfermeras que no daban crédito al pasotismo médico.
Se pasan el derecho médico por el forro, no informan debidamente y parece mas un lugar donde los médicos recién salidos de la universidad hacen prácticas sin el criterio de alguien con solida experiencia, humanidad y empatia. Ahora en mi familia a este centro le llamamos HOSPITAL CÍNICO,  sin L.
Experiencia NO RECOMENDABLE",,"Recientemente mi pareja a estado ingresada aquí 3 semanas. Horrible experiencia, tanto para ella como para los familiares. Cada dia un médico diferente y un diagnóstico distinto..
Estuvo en un box de triage de urgencias 3 días porque por un lado no se ponían de acuerdo si correspondía a oncologia o general y por otro porque no tenían camas. Durante esos tres dias ningún medico informo de nada, la información venia limitada de las enfermeras que no daban crédito al pasotismo médico.
Se pasan el derecho médico por el forro, no informan debidamente y parece mas un lugar donde los médicos recién salidos de la universidad hacen prácticas sin el criterio de alguien con solida experiencia, humanidad y empatia. Ahora en mi familia a este centro le llamamos HOSPITAL CÍNICO,  sin L.
Experiencia NO RECOMENDABLE","Recently my partner has been admitted here for 3 weeks. Horrible experience, both for her and for her family. Every day a different doctor and a different diagnosis...
He was in an emergency triage box for 3 days because on the one hand they could not agree whether it corresponded to oncology or general and on the other because they did not have beds. During those three days no doctor reported anything, the information was limited from the nurses who did not believe the medical incompetence.
They ignore medical law, do not inform properly and it seems more like a place where doctors fresh out of university do internships without the criteria of someone with solid experience, humanity and empathy. Now in my family we call this center CÍNICO HOSPITAL, without L.
NOT RECOMMENDED experience",1.0
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURkMV9qaVJREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDd1_jiRQ%7CCgwI8er7rgYQwJXrygI%7C?hl=en-US,5.0,6 days ago,Google,ChZDSUhNMG9nS0VJQ0FnSURkMV9qaVJREAE,Anna Mata Gonzalez,https://www.google.com/maps/contrib/104711749677627984762?hl=en-US,104711749677627984762,https://lh3.googleusercontent.com/a-/ALV-UjWPWTF2MRkQFVPSZS_4VcRg04LaPFNsUgQj6YhbgWTU1ns=s40-c-rp-mo-ba3-br100,47,1.0,"A mí siempre me han atendido estupendamente en el Clínic. Supongo que colas en urgencias las hay como en cualquier otro hospital del país.
Por mi parte agradecer siempre el trato recibido por parte de todo el personal, desde las auxiliares de enfermería hasta los cirujanos; un trato muy humano y empático.
Me siento afortunada de tener este hospital cerca de casa.
Gracias!!",True,"A mí siempre me han atendido estupendamente en el Clínic. Supongo que colas en urgencias las hay como en cualquier otro hospital del país.
Por mi parte agradecer siempre el trato recibido por parte de todo el personal, desde las auxiliares de enfermería hasta los cirujanos; un trato muy humano y empático.
Me siento afortunada de tener este hospital cerca de casa.
Gracias!!","I have always been treated wonderfully at the Clínic. I suppose there are queues in the emergency room like in any other hospital in the country.
For my part, I always thank the treatment received from all the staff, from the nursing assistants to the surgeons; a very human and empathetic treatment.
I feel lucky to have this hospital close to home.
Thank you!!",
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURkOGN6T3V3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDd8czOuwE%7CCgwIsbnorgYQyNTC1QI%7C?hl=en-US,5.0,a week ago,Google,ChdDSUhNMG9nS0VJQ0FnSURkOGN6T3V3RRAB,Gabriela Oliveira,https://www.google.com/maps/contrib/113167454470048824444?hl=en-US,113167454470048824444,https://lh3.googleusercontent.com/a/ACg8ocKRHr0Xyemp1YbXcFLoXd6sKtwsaRjRbH_93bPhAzCr=s40-c-rp-mo-ba3-br100,74,5.0,Muy atentos con los pacientes. Me explicaron todos los procedimientos y hasta que no me vieron bien del todo no me dejaron ir. Nunca había tenido un atendimiento médico tan bueno.,True,Muy atentos con los pacientes. Me explicaron todos los procedimientos y hasta que no me vieron bien del todo no me dejaron ir. Nunca había tenido un atendimiento médico tan bueno.,Very attentive to patients. They explained all the procedures to me and until they saw me completely well they didn't let me go. I have never had such good medical care.,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURkOXZDM0l3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDd9vC3Iw%7CCgsIvYHjrgYQ4K-9Ug%7C?hl=en-US,1.0,a week ago,Google,ChZDSUhNMG9nS0VJQ0FnSURkOXZDM0l3EAE,Olga Cardenas,https://www.google.com/maps/contrib/106011706308949161297?hl=en-US,106011706308949161297,https://lh3.googleusercontent.com/a-/ALV-UjWBYpwNNZzB61uZsH_gcKLQR-rYWa3ejEtIXh3f7dspkA=s40-c-rp-mo-br100,6,4.0,"Ni siquiera hay jabón en el baño de emergencias. Todo aquí toma muchísimo tiempo y la organización de los pisos de uno u otro es pésima. Me han mantenido 6 horas de espera a que recién me atiendan por una simple infección. Toda la gente aglomerado como si la atención médica fuera algo sin tino de tratar, no hay división, ni espacio, ni un poco de consideración. Desde el punto de vista de un turista, esto es pésimo en todos los sentidos, ni siquiera el trato vale la pena. No hay ni empatía ni buen trato. Alguien está medio delirante y aún así piden que espere como si fuere a esperar un postre de restaurante. Qué terrible todo aquí, me llevo una amarga experiencia del sistema de salud de aquí, y lamentablemente ustedes un review negativo.",,"Ni siquiera hay jabón en el baño de emergencias. Todo aquí toma muchísimo tiempo y la organización de los pisos de uno u otro es pésima. Me han mantenido 6 horas de espera a que recién me atiendan por una simple infección. Toda la gente aglomerado como si la atención médica fuera algo sin tino de tratar, no hay división, ni espacio, ni un poco de consideración. Desde el punto de vista de un turista, esto es pésimo en todos los sentidos, ni siquiera el trato vale la pena. No hay ni empatía ni buen trato. Alguien está medio delirante y aún así piden que espere como si fuere a esperar un postre de restaurante. Qué terrible todo aquí, me llevo una amarga experiencia del sistema de salud de aquí, y lamentablemente ustedes un review negativo.","There's not even soap in the emergency bathroom. Everything here takes a lot of time and the organization of one or another's floors is terrible. They kept me waiting for 6 hours to be treated for a simple infection. All the people crowded together as if medical care were something meaningless to deal with, there is no division, no space, not a bit of consideration. From a tourist's point of view, this is terrible in every way, not even the deal is worth it. There is neither empathy nor good treatment. Someone is half delirious and yet they ask them to wait as if they were waiting for a restaurant dessert. How terrible everything is here, I have a bitter experience of the health system here, and unfortunately you have a negative review.",1.0
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkdjlDSU53EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICdv9CINw%7CCgsI4OHOrgYQsIynXw%7C?hl=en-US,5.0,2 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkdjlDSU53EAE,Magda Roca Roca,https://www.google.com/maps/contrib/105505375613001771412?hl=en-US,105505375613001771412,https://lh3.googleusercontent.com/a/ACg8ocJo2iHpW2flM8g9Y5pQPniAlkBsjh3RKwQVyS1vO6Oi=s40-c-rp-mo-ba4-br100,46,4.0,"Para mi, los mejores profesionales de Barcelona",True,"Para mi, los mejores profesionales de Barcelona","For me, the best professionals in Barcelona",
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkM183OW13RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICd3_79mwE%7CCgwIm8nOrgYQwP-8vQM%7C?hl=en-US,1.0,2 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNkM183OW13RRAB,Antonio Archilla,https://www.google.com/maps/contrib/111059369039369398524?hl=en-US,111059369039369398524,https://lh3.googleusercontent.com/a-/ALV-UjVhi_grw9GVOkKZkd_-cDdA0-BrETHnZK3tkM2pQAmIxrUd=s40-c-rp-mo-br100,4,,Horroroso. Solo estudiantes pendientes de sus tattoos y charlar entre ellos.,,Horroroso. Solo estudiantes pendientes de sus tattoos y charlar entre ellos.,Horrifying. Only students waiting for their tattoos and chatting with each other.,2.0
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkX2Qtb2RnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICd_d-odg%7CCgwIqNvDrgYQ6P_Y-QE%7C?hl=en-US,2.0,2 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkX2Qtb2RnEAE,Paula Vásquez Ascanio,https://www.google.com/maps/contrib/107558997370510267628?hl=en-US,107558997370510267628,https://lh3.googleusercontent.com/a-/ALV-UjXOt1lDuhg4QzSeSAFhdfHOPVsCvR6zhTfxUdb8SkU4ie8o=s40-c-rp-mo-ba4-br100,110,60.0,"Excelentes profesionales, pero atención extremadamente lenta.
En la 4ta planta de emergencia, me atendieron muy bien, todos son muy amables y profesionales.
Llegue a las 12:15 y salí a las 18:30. Y solo me realizaron analíticas, no quiero imaginar quien necesite algo más.",True,"Excelentes profesionales, pero atención extremadamente lenta.
En la 4ta planta de emergencia, me atendieron muy bien, todos son muy amables y profesionales.
Llegue a las 12:15 y salí a las 18:30. Y solo me realizaron analíticas, no quiero imaginar quien necesite algo más.","Excellent professionals, but extremely slow service.
On the 4th emergency floor, they treated me very well, everyone is very friendly and professional.
I arrived at 12:15 and left at 18:30. And they only performed tests on me, I don't want to imagine who needs anything else.",
