,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,user.local_guide,user.photos
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNsX3Rtb1JREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICl_tmoRQ%7CCgsIoJ7pqgYQ-OaOMQ%7C?hl=en-US,1.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNsX3Rtb1JREAE,Patético! entrar a urgencias para un par de radiografías i un par de puntos a la nariz. llevamos 7h dentro de un box y no vemos la hora de salir de aquí. Estamos por irnos con la nariz abierta.,5.0,Albert Vilar,https://www.google.com/maps/contrib/107330742516208774597?hl=en-US,107330742516208774597,https://lh3.googleusercontent.com/a/ACg8ocJknIwDnEqy5xttfdYq2WJ8gGAbqA2f-h6-OYnfTaLq=s40-c-rp-mo-br100,4,Patético! entrar a urgencias para un par de radiografías i un par de puntos a la nariz. llevamos 7h dentro de un box y no vemos la hora de salir de aquí. Estamos por irnos con la nariz abierta.,Pathetic! Go into the emergency room for a couple of x-rays and a couple of stitches on your nose. We have been inside a box for 7 hours and we can't wait to get out of here. We are about to leave with our noses open.,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNsN296RWdBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICl7ozEgAE%7CCgwIpoXlqgYQsLO7zgI%7C?hl=en-US,1.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNsN296RWdBRRAB,"Mala atencion,servicios muy deficientes,personal que no esta por la labor ponen en duda el diagnostico de otros hospitales y la dolencia del paciente uno si se encuentra mal no va por gusto y menos un sabado por la noche uno va de lejos por que en su hospital le han dicho que alli le pueden ayudar mas y sales igual o peor.",4.0,isabel collado,https://www.google.com/maps/contrib/100061073076538272971?hl=en-US,100061073076538272971,https://lh3.googleusercontent.com/a/ACg8ocJt_JydkrbRGPqnOWael9nuDCHMDtw2odPKX_rajfVo=s40-c-rp-mo-ba3-br100,6,"Mala atencion,servicios muy deficientes,personal que no esta por la labor ponen en duda el diagnostico de otros hospitales y la dolencia del paciente uno si se encuentra mal no va por gusto y menos un sabado por la noche uno va de lejos por que en su hospital le han dicho que alli le pueden ayudar mas y sales igual o peor.","Bad attention, very poor services, staff who are not there for the job, they question the diagnosis of other hospitals and the patient's illness. If you feel unwell, you don't go for pleasure, especially on a Saturday night, you go from afar because in Your hospital has told you that they can help you more there and you come out the same or worse.",True,51.0
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNsNXVhcjNRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICl5uar3QE%7CCgwIpIbeqgYQqN-c3QI%7C?hl=en-US,5.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNsNXVhcjNRRRAB,"Después de una importante intervención, pasando por la UCI y hospitalización,  sólo puedo tener palabras de agradecimiento por el trato y atención recibida a todos los niveles.",,Carlos Espinet,https://www.google.com/maps/contrib/106535227616247513837?hl=en-US,106535227616247513837,https://lh3.googleusercontent.com/a-/ALV-UjWu8p5rRtRpioe98By0UB92LCs6tUX5srnmcUnQNnJhbxsy=s40-c-rp-mo-br100,2,"Después de una importante intervención, pasando por la UCI y hospitalización,  sólo puedo tener palabras de agradecimiento por el trato y atención recibida a todos los niveles.","After an important intervention, going through the ICU and hospitalization, I can only have words of gratitude for the treatment and attention received at all levels.",,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNscHN1T19RRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIClpsuO_QE%7CCgwI7tPdqgYQoJ22gQM%7C?hl=en-US,5.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNscHN1T19RRRAB,Buen hospital,,mohamadreza sahvi,https://www.google.com/maps/contrib/100539643844259996131?hl=en-US,100539643844259996131,https://lh3.googleusercontent.com/a-/ALV-UjXpTsh7a4w8y-1EQJvV_qLtcAHiOBMdF6PrUUt5jjWAawc=s40-c-rp-mo-ba5-br100,179,Buen hospital,Good hospital,True,688.0
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNsdXZpSHJRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICluviHrQE%7CCgsI1IvZqgYQ2KX_HQ%7C?hl=en-US,5.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNsdXZpSHJRRRAB,"Es un magnífico hospital, es grande y a veces, cuesta encontrar los lugares. Pero están bien señalados.
Reúne todas las especialidades y  dan muy buenos tratamientos. Está dentro de la ciudad de Barcelona, por lo que también resulta cómodo.",,Raquel Sabrafen,https://www.google.com/maps/contrib/115644667066255105293?hl=en-US,115644667066255105293,https://lh3.googleusercontent.com/a-/ALV-UjWTLoFBS9BhkKZRlfdOc5CcIvfPoae-wNeU7JEeKW9_9Gs4=s40-c-rp-mo-ba5-br100,179,"Es un magnífico hospital, es grande y a veces, cuesta encontrar los lugares. Pero están bien señalados.
Reúne todas las especialidades y  dan muy buenos tratamientos. Está dentro de la ciudad de Barcelona, por lo que también resulta cómodo.","It is a magnificent hospital, it is large and sometimes it is difficult to find places. But they are well marked.
It brings together all the specialties and they give very good treatments. It is within the city of Barcelona, ​​so it is also convenient.",True,644.0
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNscXRtRldREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIClqtmFWQ%7CCgsInoTWqgYQ0L-hQw%7C?hl=en-US,1.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNscXRtRldREAE,Me operaron de prostata  y un 10 muy contento pero despues he tenido q volver 5 veces a urgencias  para solucionar cosas  que no me dijeron como despues de sacar sonda hay q tomar antibiótico  y eso no sucedió y que pasó pues infección  a día de hoy aún no está solucionado  despues de unos 15 días de antiviotico hoy entro en urgencias  a las 8 de la tarde y a las 3.30 de la madrugada me cogen creo q para hacer un cultivo de orina y q me digan q medicación tomar más de 8 horas esperando creo q esto se tendría qser más rápido,1.0,Miguel Ángel Molina Blanco,https://www.google.com/maps/contrib/103236720239283238425?hl=en-US,103236720239283238425,https://lh3.googleusercontent.com/a-/ALV-UjXSv2V8Dmac0V73PHvhFyeKULUAyGo86FqVfLt3hQw2hA=s40-c-rp-mo-br100,3,Me operaron de prostata  y un 10 muy contento pero despues he tenido q volver 5 veces a urgencias  para solucionar cosas  que no me dijeron como despues de sacar sonda hay q tomar antibiótico  y eso no sucedió y que pasó pues infección  a día de hoy aún no está solucionado  despues de unos 15 días de antiviotico hoy entro en urgencias  a las 8 de la tarde y a las 3.30 de la madrugada me cogen creo q para hacer un cultivo de orina y q me digan q medicación tomar más de 8 horas esperando creo q esto se tendría qser más rápido,"I had prostate surgery and a 10, very happy, but then I had to go back to the emergency room 5 times to solve things that they didn't tell me, like after taking out a catheter, you have to take an antibiotic and that didn't happen and what happened, well, the infection still hasn't happened to this day. It is solved after about 15 days of anti-viotics. Today I went into the emergency room at 8 in the afternoon and at 3:30 in the morning they took me in, I think, to do a urine culture and they told me what medication to take, waiting for more than 8 hours, I think this is it should be faster",,11.0
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNsMkp6VXBnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICl2JzUpgE%7CCgwI44nKqgYQ8ML5igE%7C?hl=en-US,5.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNsMkp6VXBnRRAB,"Quería agradecer a la doctora Anna domingo trepat por su gran atención , su gran valoración y genial agilización a mí intervención quirúrgica. Llevo con un nervio y tendon roto de la muñeca 2 meses por culpa del hospital de Granollers que es una VERGUENZA y POCA PROFESIONALIDAD, y la doctora a agilizado la operación, muchísimas gracias",,david martin,https://www.google.com/maps/contrib/108148893094307223561?hl=en-US,108148893094307223561,https://lh3.googleusercontent.com/a/ACg8ocITy6IkA5c9Eyg-n3-tqWlZXS6fkQWsm8iMxJ14It4x=s40-c-rp-mo-br100,10,"Quería agradecer a la doctora Anna domingo trepat por su gran atención , su gran valoración y genial agilización a mí intervención quirúrgica. Llevo con un nervio y tendon roto de la muñeca 2 meses por culpa del hospital de Granollers que es una VERGUENZA y POCA PROFESIONALIDAD, y la doctora a agilizado la operación, muchísimas gracias","I wanted to thank Dr. Anna Domingo Trepat for her great attention, her great appreciation and great expediting of my surgical intervention. I have had a broken nerve and tendon in my wrist for 2 months because of the Granollers hospital, which is a SHAME and UNPROFESSIONALISM, and the doctor expedited the operation, thank you very much",,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNsc0pMcU53EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIClsJLqNw%7CCgwI17vGqgYQyJ__kgE%7C?hl=en-US,1.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNsc0pMcU53EAE,"Es imposible comprarte un agua el   cajero solo te da billetes de 20 como mínimo, las máquinas solo aceptan monedas y para tarjeta tienes que tener suerte de que funcionen , y si intentas meter un billete de 20 en la máquina. Tanpocoooooo ya que solo acepta de 5 y de 10 solución a las 4.30 de la madrugada??? NINGÚNA A j*****rse",1.0,C C,https://www.google.com/maps/contrib/116286527563622653588?hl=en-US,116286527563622653588,https://lh3.googleusercontent.com/a-/ALV-UjWlIB4VltodwT2uLOkygGogT4zQaS3u3W9WSzCnjtzChBno=s40-c-rp-mo-ba3-br100,58,"Es imposible comprarte un agua el   cajero solo te da billetes de 20 como mínimo, las máquinas solo aceptan monedas y para tarjeta tienes que tener suerte de que funcionen , y si intentas meter un billete de 20 en la máquina. Tanpocoooooo ya que solo acepta de 5 y de 10 solución a las 4.30 de la madrugada??? NINGÚNA A j*****rse","It is impossible to buy a water, the ATM only gives you at least 20 bills, the machines only accept coins and for cards you have to be lucky that they work, and if you try to put a 20 bill in the machine. Sooooo little since it only accepts 5 and 10 solutions at 4.30 in the morning??? NONE F*** off",True,4.0
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURGcjVteDZRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDFr5mx6QE%7CCgwIjMS_qgYQkOSYtQI%7C?hl=en-US,4.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURGcjVteDZRRRAB,,,Carmen Hidalgo,https://www.google.com/maps/contrib/107846783360223722767?hl=en-US,107846783360223722767,https://lh3.googleusercontent.com/a-/ALV-UjUeycaa2HfMYuCvlnsOaWqVwZP67RL5GpwWCLB_ivU2L_8=s40-c-rp-mo-ba4-br100,19,,,True,38.0
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURGOTV5b3FnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDF95yoqgE%7CCgsIud-9qgYQyJ3XaA%7C?hl=en-US,3.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURGOTV5b3FnRRAB,"Desgraciadament, després a 3 hores a la sala d'espera de les mal anomenades ""Urgències"" i sense cap notícia ni pantalla informativa de temps d'espera aproximada, no puc posar una bona ressenya (més voldria fer-ho). Vaig entrar al box per a que em fessin una revisió per uns símptomes que porto patint desde fa més de dos setmanes de forma reiterada al testicle i baix ventre. La simpatia i preocupació del personal va ser molt justeta i la informació molt breu i genèrica, com donant per suposat lo poc que t'indicaven sense ganes. En el meu cas vaig anar sol i era el primer cop en un box d'urgències. Fins passades les 3,5h no vaig ser palpat per primer cop i fins les 4h no vaig sortir d'allà després d'unes anàlisis i proves. Salvo la nota gràcies a la dra. LORENZO GARCÍA; és evident que no puc posar les 5* degut al mal servei en general però la que salva la nota va EXCLUSIVAMENT per a ella. Va ser la única capaç de cambiar les meves ganes de donar-me per vençut i marxar cap a casa sense diagnòstic a anar-me'n feliç i relaxat. La seva atenció, tracte i sensibilitat van ser molt humanes, inclós entenent el nivell de feina al que ella i tots els professionals es troben sotmesos. Amb aquesta senzillesa va mostrar ser la més professional de totes. No puc estar més orgullós d'ella. De l'únic que m'arrepenteixo és de no haver tingut el valor de demanar-li permís per fer-li una abraçada abans de marxar. Moltes gràcies doctora LORENZO GARCÍA.",2.0,Oriol Bonastre Muñoz,https://www.google.com/maps/contrib/115543875943785860457?hl=en-US,115543875943785860457,https://lh3.googleusercontent.com/a-/ALV-UjVhbNDc-50d27ZJAHDwPaLtCKEIrrIDLBQE1GndGkUzKvI=s40-c-rp-mo-br100,9,"Desgraciadament, després a 3 hores a la sala d'espera de les mal anomenades ""Urgències"" i sense cap notícia ni pantalla informativa de temps d'espera aproximada, no puc posar una bona ressenya (més voldria fer-ho). Vaig entrar al box per a que em fessin una revisió per uns símptomes que porto patint desde fa més de dos setmanes de forma reiterada al testicle i baix ventre. La simpatia i preocupació del personal va ser molt justeta i la informació molt breu i genèrica, com donant per suposat lo poc que t'indicaven sense ganes. En el meu cas vaig anar sol i era el primer cop en un box d'urgències. Fins passades les 3,5h no vaig ser palpat per primer cop i fins les 4h no vaig sortir d'allà després d'unes anàlisis i proves. Salvo la nota gràcies a la dra. LORENZO GARCÍA; és evident que no puc posar les 5* degut al mal servei en general però la que salva la nota va EXCLUSIVAMENT per a ella. Va ser la única capaç de cambiar les meves ganes de donar-me per vençut i marxar cap a casa sense diagnòstic a anar-me'n feliç i relaxat. La seva atenció, tracte i sensibilitat van ser molt humanes, inclós entenent el nivell de feina al que ella i tots els professionals es troben sotmesos. Amb aquesta senzillesa va mostrar ser la més professional de totes. No puc estar més orgullós d'ella. De l'únic que m'arrepenteixo és de no haver tingut el valor de demanar-li permís per fer-li una abraçada abans de marxar. Moltes gràcies doctora LORENZO GARCÍA.","Unfortunately, after 3 hours in the misnamed ""Emergency"" waiting room and no news or approximate wait time information screen, I can't give a good review (I wish I could). I went into the box to have a check-up for some symptoms that I have been suffering from for more than two weeks repeatedly in the testicle and lower abdomen. The sympathy and concern of the staff was very fair and the information very brief and generic, as if taking for granted the little they told you without desire. In my case I went alone and it was my first time in an emergency room. I wasn't palpated for the first time until after 3.5 hours and I didn't leave there until 4 hours after some analyzes and tests. I save the note thanks to Dr. LORENZO GARCIA; it's clear that I can't give 5* due to the bad service in general but the one that saves the grade goes EXCLUSIVELY to her. She was the only one able to change my desire to give up and go home without a diagnosis to go away happy and relaxed. Her attention, treatment and sensitivity were very humane, including understanding the level of work to which she and all the professionals are subjected. With this simplicity she showed herself to be the most professional of all. I couldn't be more proud of her. The only thing I regret is not having had the courage to ask her permission to give her a hug before leaving. Thank you very much doctor LORENZO GARCÍA.",,
