,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURGdTVqNkhREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDFu5j6HQ%7CCgwI9PO4qgYQiI_i3AE%7C?hl=en-US,1.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURGdTVqNkhREAE,"A estas alturas que alguien que se queda ingresado no pueda tener compañía y tengan esos horarios de visitas tan limitados, lamentable y poca empatia",2.0,Eric Rey Quero,https://www.google.com/maps/contrib/112503328405765682347?hl=en-US,112503328405765682347,https://lh3.googleusercontent.com/a/ACg8ocL_HNoB6Ar25YgUCl_RLDdwPo374ztYHdHGqqWbSLHH=s40-c-rp-mo-ba4-br100,True,57,113.0,"A estas alturas que alguien que se queda ingresado no pueda tener compañía y tengan esos horarios de visitas tan limitados, lamentable y poca empatia","At this point, someone who is admitted cannot have company and has such limited visiting hours, regrettable and lacks empathy.",
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURGMVpDY0lREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDF1ZCcIQ%7CCgsIioKwqgYQoLnbQA%7C?hl=en-US,1.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURGMVpDY0lREAE,"Hazme esperar 6 horas cuando siento que voy a morir（urgencia)

desastre",1.0,ikun,https://www.google.com/maps/contrib/113421142904747930684?hl=en-US,113421142904747930684,https://lh3.googleusercontent.com/a-/ALV-UjWGN4-CzmKu_yXHyyHOpIRRHkN-NyPpIJFsHauR5aPDEg=s40-c-rp-mo-br100,,13,2.0,"Hazme esperar 6 horas cuando siento que voy a morir（urgencia)

desastre","Make me wait 6 hours when I feel like I'm going to die（urgency)

disaster",
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURGdWN1dGpBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDFucutjAE%7CCgwI97KuqgYQiMja_wI%7C?hl=en-US,5.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURGdWN1dGpBRRAB,,,Jose Rivero,https://www.google.com/maps/contrib/105748110533298631283?hl=en-US,105748110533298631283,https://lh3.googleusercontent.com/a/ACg8ocIOOJBIiOfSvw2R4XbWA1coG0IVBR7HvGMU20sERicv=s40-c-rp-mo-ba5-br100,True,102,229.0,,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURGX3NpbVlBEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDF_simYA%7CCgsIwZypqgYQiLPpLw%7C?hl=en-US,1.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURGX3NpbVlBEAE,"Falta urgentemente que muchos de los profesionales que trabajan en el Clinic hagan un reciclaje o se paren un segundo ni que sea a reflexionar sobre cómo están trabajando, su grado de humanidad y su empatía por pacientes y familiares. Hay que cambiar muchas cosas y lo digo siendo hija, nieta y bisnieta de médicos.",10.0,Elena Aristoy Bolíbar,https://www.google.com/maps/contrib/114004249224226906055?hl=en-US,114004249224226906055,https://lh3.googleusercontent.com/a-/ALV-UjVaeCZgC3xHmbTA6Pe6OVlnlnBh2KZCZa1T1uD3ewPEcmU1=s40-c-rp-mo-ba4-br100,True,152,113.0,"Falta urgentemente que muchos de los profesionales que trabajan en el Clinic hagan un reciclaje o se paren un segundo ni que sea a reflexionar sobre cómo están trabajando, su grado de humanidad y su empatía por pacientes y familiares. Hay que cambiar muchas cosas y lo digo siendo hija, nieta y bisnieta de médicos.","There is an urgent need for many of the professionals who work at the Clinic to retrain or stop for a second, even to reflect on how they are working, their degree of humanity and their empathy for patients and families. Many things have to change and I say this as the daughter, granddaughter and great-granddaughter of doctors.",
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURGcHNpbUtREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDFpsimKQ%7CCgsI3emkqgYQ2JT9ZQ%7C?hl=en-US,1.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURGcHNpbUtREAE,6h esperando en urgencias para ser atendido estando referido desde el cap por un dolor abdominal con posible apendicitis o piedras en la vesícula... Atienden por orden de llegada sin ningún tipo de prioridad entre al que le duele la uña y el que se está muriendo del dolor. Me parece una falta de respeto ABSOLUTA con el paciente. No se puede poner en la misma balanza a un paciente con dolor extremo contra a alguien que considera tener una emergencia y está en el móvil buscando qué comprar online... No volveré con mi familia más nunca y no lo recomiendo ni a mí peor enemigo.,9.0,Elida Goncalves,https://www.google.com/maps/contrib/114724599736736691401?hl=en-US,114724599736736691401,https://lh3.googleusercontent.com/a-/ALV-UjWywOBIP-ldJpmBobaeAWofa98PS2od9_ZHs3_llTK7Pw=s40-c-rp-mo-br100,,13,,6h esperando en urgencias para ser atendido estando referido desde el cap por un dolor abdominal con posible apendicitis o piedras en la vesícula... Atienden por orden de llegada sin ningún tipo de prioridad entre al que le duele la uña y el que se está muriendo del dolor. Me parece una falta de respeto ABSOLUTA con el paciente. No se puede poner en la misma balanza a un paciente con dolor extremo contra a alguien que considera tener una emergencia y está en el móvil buscando qué comprar online... No volveré con mi familia más nunca y no lo recomiendo ni a mí peor enemigo.,6 hours waiting in the emergency room to be treated while being referred from the hospital for abdominal pain with possible appendicitis or stones in the gallbladder... They serve in order of arrival without any type of priority between the one whose nail hurts and the one who is dying from pain. It seems to me an ABSOLUTE lack of respect for the patient. You cannot put a patient in extreme pain on the same scale as someone who considers having an emergency and is on their cell phone looking for what to buy online... I will never return to my family again and I do not recommend it even to my worst enemy. .,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNGcmItbmF3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICFrb-naw%7CCgsI7fuNqgYQwOXyKQ%7C?hl=en-US,1.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNGcmItbmF3EAE,"Nunca había visto un hospital tan SUCIO!!!Estamos impresionados.Por qué es todo en general,se quedan los pies pegados en el suelo,de tanta suciedad, y los baños te echan hacia atrás.POR FAVOR MAS LIMPIEZA YA QUE ES UN HOSPITAL Y TE EXPONES A COGER BACTERIAS   MIRAR POR LOS ENFERMOS !! POR FAVOR!!",5.0,E C,https://www.google.com/maps/contrib/115691805239110207103?hl=en-US,115691805239110207103,https://lh3.googleusercontent.com/a/ACg8ocLSHcSqiezt0ujDQBRDuY24gvo2v2MMM4fdKGWUaI15=s40-c-rp-mo-br100,,16,,"Nunca había visto un hospital tan SUCIO!!!Estamos impresionados.Por qué es todo en general,se quedan los pies pegados en el suelo,de tanta suciedad, y los baños te echan hacia atrás.POR FAVOR MAS LIMPIEZA YA QUE ES UN HOSPITAL Y TE EXPONES A COGER BACTERIAS   MIRAR POR LOS ENFERMOS !! POR FAVOR!!","I have never seen a hospital so DIRTY!!! We are impressed. Why is everything in general, your feet stay stuck to the floor, from so much dirt, and the bathrooms make you go backwards. PLEASE MORE CLEAN SINCE IT IS A HOSPITAL AND YOU EXPOSE YOURSELF TO CATCHING BACTERIA   LOOK FOR THE SICK!! PLEASE!!",
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNGaTV1QlpnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICFi5uBZg%7CCgwIx_qNqgYQ8JronwI%7C?hl=en-US,1.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNGaTV1QlpnEAE,"Estuve en el hospital y parece que no haya personal de limpieza,estan todas las instalaciones super sucias especialmente quirofanos y baños     .Más  limpieza por favor es necesario para los enfermos.",2.0,Sergio Borja,https://www.google.com/maps/contrib/103052181594724900894?hl=en-US,103052181594724900894,https://lh3.googleusercontent.com/a/ACg8ocKPdWOHF451BQkh0KmSaqaRu94HKEHsI3GvPUyCBIZf=s40-c-rp-mo-br100,,2,,"Estuve en el hospital y parece que no haya personal de limpieza,estan todas las instalaciones super sucias especialmente quirofanos y baños     .Más  limpieza por favor es necesario para los enfermos.","I was in the hospital and it seems that there is no cleaning staff, all the facilities are super dirty, especially operating rooms and bathrooms     . More cleaning please is necessary for the sick.",
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNGeGFIQzVBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICFxaHC5AE%7CCgwI_qX7qQYQ4MP-xQE%7C?hl=en-US,5.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNGeGFIQzVBRRAB,"I want to specifically give 5 stars to the Nurses and other staff (not the doctors). Never have i been treated with such respect, empathy and helpfulness. They work tirelessly to keep you comfortable and safe. Spent over a week on the hospital. Unfortunately the Doctors was far and few between. Lofty and arrogant,  I do not think I saw the same one twice. All of them looks at you with complete disinterest and does not really listen. Seems they leave their humanity at the door when the leave home. Anyway, all credits to the Nurses and the day and night staff.",1.0,Björn Pettersson,https://www.google.com/maps/contrib/114629957975896488321?hl=en-US,114629957975896488321,https://lh3.googleusercontent.com/a-/ALV-UjV88KraEYIgqpynvG8M7vRLNg3lZ4R2YePWgVF3gVHFZsc=s40-c-rp-mo-ba4-br100,True,66,79.0,,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNGb1pHOTZBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICFoZG96AE%7CCgwI8a_0qQYQ-JSXvwI%7C?hl=en-US,5.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNGb1pHOTZBRRAB,,,Alba Pacheco,https://www.google.com/maps/contrib/109445232939640681862?hl=en-US,109445232939640681862,https://lh3.googleusercontent.com/a-/ALV-UjUEtER9B1eLePgsaQQopdmWlQhADq4noVMmgy1DmtF4qg=s40-c-rp-mo-br100,,32,,,,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNGeEkzMVBnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICFxI31Pg%7CCgsIzMjvqQYQ8KfYGw%7C?hl=en-US,1.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNGeEkzMVBnEAE,Deplorable servicio de urgencias. Tenía al Clínico como uno de los hospitales de referencia y me ha decepcionado totalmente. 5h de espera en urgencias con mi padre con dolor terrible y sin ninguna empatía o comprensión por el personal médico. Llegamos a las 10:30 y nos atendieron a las 15:30. Mi padre no podía comer ni beber por si había que hacer pruebas y aguantando el dolor. Aquí la foto en la sala de espera de urgencias. Terrible servicio y atención inhumana. Un horror comprobar a lo que se atiene una persona mayor si cae enferma y debe ir a urgencias. Espero que quien vaya pueda tener una mejor experiencia pero dejo constancia porque no puedo entender una emergencia que te deje esperando 5h!,22.0,Ifigenia Urbina B,https://www.google.com/maps/contrib/100727058114242549274?hl=en-US,100727058114242549274,https://lh3.googleusercontent.com/a-/ALV-UjXE03YN2KdL5sWOk-YIxtGFqQqAtBaIUL_P9fM33d2bEoA=s40-c-rp-mo-br100,,6,1.0,Deplorable servicio de urgencias. Tenía al Clínico como uno de los hospitales de referencia y me ha decepcionado totalmente. 5h de espera en urgencias con mi padre con dolor terrible y sin ninguna empatía o comprensión por el personal médico. Llegamos a las 10:30 y nos atendieron a las 15:30. Mi padre no podía comer ni beber por si había que hacer pruebas y aguantando el dolor. Aquí la foto en la sala de espera de urgencias. Terrible servicio y atención inhumana. Un horror comprobar a lo que se atiene una persona mayor si cae enferma y debe ir a urgencias. Espero que quien vaya pueda tener una mejor experiencia pero dejo constancia porque no puedo entender una emergencia que te deje esperando 5h!,Deplorable emergency service. I had the Clinic as one of the reference hospitals and it has totally disappointed me. 5 hours of waiting in the emergency room with my father in terrible pain and without any empathy or understanding from the medical staff. We arrived at 10:30 and they served us at 3:30. My father couldn't eat or drink in case he had to do tests and endure the pain. Here's the photo in the emergency waiting room. Terrible service and inhuman attention. It is a horror to see what an elderly person has to do if they fall ill and have to go to the emergency room. I hope that whoever goes can have a better experience but I am stating this because I cannot understand an emergency that leaves you waiting for 5 hours!,['https://lh5.googleusercontent.com/p/AF1QipOZqbWeYZO5QnYNKicsSAYxxpCqYKjah-c-oU1q=w100-h100-p-n-k-no']
