,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,likes,user.local_guide,user.photos,extracted_snippet.original,extracted_snippet.translated
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNGNE4zbXpBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICF4N3mzAE%7CCgwIwe3uqQYQwKu-nwI%7C?hl=en-US,5.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNGNE4zbXpBRRAB,"Great emergency service, nice nursing complement. My attending doctor Angelat Elisenda Gomez was sympathetic & handled me very well! Long waiting time but that is a given in a huge hospital so as a tourist, I am highly satisfied with the treatment I received! Highly recommendable!!",TheMamacool,https://www.google.com/maps/contrib/105656880073342451642?hl=en-US,105656880073342451642,https://lh3.googleusercontent.com/a-/ALV-UjV0VyCNOW2wGyS1sBD5Q2M1sUv7i23yHoTyveoTDS73Am7a=s40-c-rp-mo-br100,1,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ1NmNuX19RRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgID56cn__QE%7CCgwI3qDqqQYQgKqzkQE%7C?hl=en-US,1.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQ1NmNuX19RRRAB,"Luego de esperar 4 horas en urgencias me dijeron que probablemente tenía que esperar otras 2 horas más. Les he preguntado dónde comprar algo de comer y me han dicho que mo podía irme de la sala. Me he ido para una clínica para conseguir que me atiendan. Terrible servicio y muy borde personal, no voy a urgencias porque me encuentro de maravilla. Lo mínimo que espero es buen trato y un poco de empatía.",Vanesa Rojas,https://www.google.com/maps/contrib/111999872771066891031?hl=en-US,111999872771066891031,https://lh3.googleusercontent.com/a/ACg8ocJ8ZRZSQUlSWG1owABWxB_x1Ncuz928dIU7gFEcKZSP=s40-c-rp-mo-ba4-br100,64,4.0,True,44.0,"Luego de esperar 4 horas en urgencias me dijeron que probablemente tenía que esperar otras 2 horas más. Les he preguntado dónde comprar algo de comer y me han dicho que mo podía irme de la sala. Me he ido para una clínica para conseguir que me atiendan. Terrible servicio y muy borde personal, no voy a urgencias porque me encuentro de maravilla. Lo mínimo que espero es buen trato y un poco de empatía.","After waiting 4 hours in the emergency room they told me I would probably have to wait another 2 hours. I asked them where to buy something to eat and they told me I couldn't leave the room. I have gone to a clinic to get treatment. Terrible service and very rude staff, I don't go to the emergency room because I feel great. The least I expect is good treatment and a little empathy."
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ1aHNDQU9BEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgID5hsCAOA%7CCgsIlrnaqQYQ8LLGBA%7C?hl=en-US,1.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUQ1aHNDQU9BEAE,"Pésimo servicio, no saben lo que significa ETS, no saben dónde mandarme y me hacen dar vueltas por todo el local. Barcelona se atrasa en tema médico?",Sheidón Pérez Rivas,https://www.google.com/maps/contrib/110332744957359566630?hl=en-US,110332744957359566630,https://lh3.googleusercontent.com/a-/ALV-UjX4n14Lk3RzjkMOpopQ4f-lpEOaQpVh7SwxaA67ghAN6w=s40-c-rp-mo-br100,5,1.0,,,"Pésimo servicio, no saben lo que significa ETS, no saben dónde mandarme y me hacen dar vueltas por todo el local. Barcelona se atrasa en tema médico?","Terrible service, they don't know what STD means, they don't know where to send me and they make me walk around the whole place. Is Barcelona behind on medical issues?"
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ1a3YtUXN3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgID5kv-QswE%7CCgwI9d7QqQYQsOiKlgE%7C?hl=en-US,1.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQ1a3YtUXN3RRAB,"Por segunda vez consecutiva el hospital y el guardia del hospital me echó a patadas. Máxime conociendo el hospital mi dolencia cardiaca y mi intervención de embolia. Estas nuevas agresiones, amenazas y coacciones no se pueden tolerar y mucho menos por parte de un hospital e instutucion publica",Txercavins Esther,https://www.google.com/maps/contrib/108955760237177055422?hl=en-US,108955760237177055422,https://lh3.googleusercontent.com/a/ACg8ocLBJpLDyp5cfhltnESji5WODTOvoC6PYvLvVlnhC-yH=s40-c-rp-mo-br100,1,5.0,,,"Por segunda vez consecutiva el hospital y el guardia del hospital me echó a patadas. Máxime conociendo el hospital mi dolencia cardiaca y mi intervención de embolia. Estas nuevas agresiones, amenazas y coacciones no se pueden tolerar y mucho menos por parte de un hospital e instutucion publica","For the second time in a row the hospital and the hospital guard kicked me out. Especially since the hospital knew about my heart condition and my embolism intervention. These new attacks, threats and coercion cannot be tolerated, much less by a hospital and public institution."
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ1bk9hdUt3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgID5nOauKw%7CCgwI78bKqQYQuPmfyQE%7C?hl=en-US,5.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUQ1bk9hdUt3EAE,Excelente ✅,LUIS VILLADIEGO (Axel),https://www.google.com/maps/contrib/116584741177871415077?hl=en-US,116584741177871415077,https://lh3.googleusercontent.com/a-/ALV-UjXm2RBhS1DMZD9cPNEHoy83e-meR3Bzgn8_Hfp1-ZeKQN9H=s40-c-rp-mo-ba4-br100,49,,True,67.0,Excelente ✅,Excellent ✅
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ1OUpQRzFRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgID59JPG1QE%7CCgwIwJjJqQYQuPTS_gE%7C?hl=en-US,1.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQ1OUpQRzFRRRAB,,amud 1112,https://www.google.com/maps/contrib/111867076547540483064?hl=en-US,111867076547540483064,https://lh3.googleusercontent.com/a-/ALV-UjVDWB-imm_4fLc0ulbj0XYqvJBvdmNwZNI2xUHJ6KFDFg=s40-c-rp-mo-br100,2,,,,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM1cC1DMGV3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC5p-C0ew%7CCgwIiNO6qQYQ-MmkmQI%7C?hl=en-US,5.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUM1cC1DMGV3EAE,,toni lasmas,https://www.google.com/maps/contrib/103503334308195656060?hl=en-US,103503334308195656060,https://lh3.googleusercontent.com/a-/ALV-UjVjnkeXQzDW0ty1Q15YJVwIOr7J8fWoDyTITqMr-igIYA=s40-c-rp-mo-ba3-br100,20,,True,1.0,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM1ODhpUjNnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC588iR3gE%7CCgwI2ei3qQYQiJ2K1gM%7C?hl=en-US,5.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUM1ODhpUjNnRRAB,,Akira Koike,https://www.google.com/maps/contrib/111313198395505960152?hl=en-US,111313198395505960152,https://lh3.googleusercontent.com/a-/ALV-UjWufBJV3mKcGrTXKu4_JKomgeie7LeOFarWyUmJcq48AHY=s40-c-rp-mo-br100,3,,,,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM1LVlhX1ZBEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC5-Ya_VA%7CCgsIoomxqQYQiKKEGw%7C?hl=en-US,5.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUM1LVlhX1ZBEAE,"Quería expresar todo mi agradecimiento a la Doctora Domínguez de ortopedia, después un año de mi última operación al hombro, estoy genial gracias a su cuidado por mi durante 3 años y medio. La herida está muy bien y he recuperado totalmente el uso de mi brazo. Gracias de corazón",Enrica De Martin,https://www.google.com/maps/contrib/110451074124758567613?hl=en-US,110451074124758567613,https://lh3.googleusercontent.com/a-/ALV-UjVCI0yQMH9cG3FhXn3yLgHh8MdJf7kVGg4rNNQTKjqORN0=s40-c-rp-mo-ba4-br100,109,,True,31.0,"Quería expresar todo mi agradecimiento a la Doctora Domínguez de ortopedia, después un año de mi última operación al hombro, estoy genial gracias a su cuidado por mi durante 3 años y medio. La herida está muy bien y he recuperado totalmente el uso de mi brazo. Gracias de corazón","I wanted to express all my gratitude to Doctor Domínguez of orthopedics, after a year after my last shoulder operation, I am doing great thanks to her care for me for 3 and a half years. The wound is doing very well and I have fully recovered the use of my arm. Thank you from the bottom of my heart"
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM1a1l6VU9BEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC5kYzUOA%7CCgwIm7KrqQYQiO-QwwE%7C?hl=en-US,5.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUM1a1l6VU9BEAE,"MI TOTAL RECONOCIMIENTO Y AGRADECIMIENTO AL HOSPITAL CLINIC EN SU CONJUNTO. COMO ALGUNOS YA SABEN MI OPINION - QUE FUNCIONA COMO UN EJERCITO (DEMOCRATICO), DISCIPLINADO Y AL SERVICIO DEL PUEBLO (DE LAS PERSONAS)  COMO DEBE SER -.

LAS MAL LLAMADAS MUTUAS Y QUE EN SU PRACTICA MAYORIA SON COMPAÑIAS ASEGURADORAS CON ANIMO DE LUCRO (LICITO POR OTRA PARTE), DEBERIAN DARSE UN PASEO POR EL CLINIC Y APRENDER.

IMPREGNA UNA FILOSOFIA DE AYUDA, DESDE LA SRA. DE LA LIMPIEZA QUE TE AYUDA A ENCONTRAR TU DESTINO, HASTA LA SEÑORA CON BATA EN LA MANO, QUE CUANDO TE VE PERDIDO EN UN PASILLO, SE ACERCA PARA VER EN QUE PUEDE AYUDARTE Y DE AQUI HACIA ARRIBA INCLUIDOS INTHERUNIT, HOSPITAL DE DIA, TRATO EXQUISITO, EFICIENTE Y CARIÑOSO.

ESTA OPINION LA DA QUIEN EN 52 AÑOS DE PROFESION EN EL SECTOR ASEGURADOR, HA TENIDO EXPERIENCIA 25 AÑOS DENTRO DE CIA DE SEGUROS Y EL RESTO COMO CORREDOR (AGENTE LIBRE) INTENTANDO AYUDAR A LOS ASEGURADOS.

COMO LA PERFECCION NO EXISTE, TENGO QUE MANIFESTAR QUE DEBE MEJORAR Y MUCHO LAS URGENCIAS. MI PRIMER PASO 14.11.22 URGENCIAS ORL -INDICACION DE ESPERA 2 HORAS Y EN 20 MINUTOS SALIA CON DIAGNOSTICO PARA PRUEBAS- HASTA AQUÍ TODO BIEN. SEGUNDO PASO 5.5.23 URGENCIAS GENERALES, A LAS QUE LLEGUE COMO PUDE SIGUIENDO INDICACIONES MEDICAS CON VOMITOS REPETITIVOS IMPORTANTES – ESPERA DE MUCHAS HORAS RODEADO DE MUCHAS PERSONAS EN LA MISMA SITUACION –. UNA VEZ ATENDIDO TODO PERFECTO.

SEGURO QUE LLEGA A URGENCIAS, CIUDADANOS QUE A LO MEJOR NO LO PRECISAN, PERO A MI JUICIO, ES PREFERIBLE TENER UN MEDICO POR EJEMPLO FORMANDOSE EN EL ORDENADOR, A LA ESPERA DE UN PACIENTE, QUE HAYAN UN NUMERO IMPORTANTE DE ENFERMOS ESPERANDO HORAS A SER ATENDIDOS.

ENTRE TODOS HEMOS DE CONSEGUIR QUE HAYAN LOS MEDIOS NECESARIOS, PARA QUE ESTO SEA ASI Y PODER CALIFICAR LA ASISTENCIA EN CASOS GRAVES/URGENTES DEL CLINIC DE MUY EXCELENTE A EXCELENTISIMA.

GRACIAS POR LEERME.",Joan Velázquez Escandell,https://www.google.com/maps/contrib/104906909525359858532?hl=en-US,104906909525359858532,https://lh3.googleusercontent.com/a/ACg8ocK3IFwm8SQZBdlJ-i_VuUvkj7LcpkZ4ifJ-O3FcaLh2=s40-c-rp-mo-br100,6,2.0,,,"MI TOTAL RECONOCIMIENTO Y AGRADECIMIENTO AL HOSPITAL CLINIC EN SU CONJUNTO. COMO ALGUNOS YA SABEN MI OPINION - QUE FUNCIONA COMO UN EJERCITO (DEMOCRATICO), DISCIPLINADO Y AL SERVICIO DEL PUEBLO (DE LAS PERSONAS)  COMO DEBE SER -.

LAS MAL LLAMADAS MUTUAS Y QUE EN SU PRACTICA MAYORIA SON COMPAÑIAS ASEGURADORAS CON ANIMO DE LUCRO (LICITO POR OTRA PARTE), DEBERIAN DARSE UN PASEO POR EL CLINIC Y APRENDER.

IMPREGNA UNA FILOSOFIA DE AYUDA, DESDE LA SRA. DE LA LIMPIEZA QUE TE AYUDA A ENCONTRAR TU DESTINO, HASTA LA SEÑORA CON BATA EN LA MANO, QUE CUANDO TE VE PERDIDO EN UN PASILLO, SE ACERCA PARA VER EN QUE PUEDE AYUDARTE Y DE AQUI HACIA ARRIBA INCLUIDOS INTHERUNIT, HOSPITAL DE DIA, TRATO EXQUISITO, EFICIENTE Y CARIÑOSO.

ESTA OPINION LA DA QUIEN EN 52 AÑOS DE PROFESION EN EL SECTOR ASEGURADOR, HA TENIDO EXPERIENCIA 25 AÑOS DENTRO DE CIA DE SEGUROS Y EL RESTO COMO CORREDOR (AGENTE LIBRE) INTENTANDO AYUDAR A LOS ASEGURADOS.

COMO LA PERFECCION NO EXISTE, TENGO QUE MANIFESTAR QUE DEBE MEJORAR Y MUCHO LAS URGENCIAS. MI PRIMER PASO 14.11.22 URGENCIAS ORL -INDICACION DE ESPERA 2 HORAS Y EN 20 MINUTOS SALIA CON DIAGNOSTICO PARA PRUEBAS- HASTA AQUÍ TODO BIEN. SEGUNDO PASO 5.5.23 URGENCIAS GENERALES, A LAS QUE LLEGUE COMO PUDE SIGUIENDO INDICACIONES MEDICAS CON VOMITOS REPETITIVOS IMPORTANTES – ESPERA DE MUCHAS HORAS RODEADO DE MUCHAS PERSONAS EN LA MISMA SITUACION –. UNA VEZ ATENDIDO TODO PERFECTO.

SEGURO QUE LLEGA A URGENCIAS, CIUDADANOS QUE A LO MEJOR NO LO PRECISAN, PERO A MI JUICIO, ES PREFERIBLE TENER UN MEDICO POR EJEMPLO FORMANDOSE EN EL ORDENADOR, A LA ESPERA DE UN PACIENTE, QUE HAYAN UN NUMERO IMPORTANTE DE ENFERMOS ESPERANDO HORAS A SER ATENDIDOS.

ENTRE TODOS HEMOS DE CONSEGUIR QUE HAYAN LOS MEDIOS NECESARIOS, PARA QUE ESTO SEA ASI Y PODER CALIFICAR LA ASISTENCIA EN CASOS GRAVES/URGENTES DEL CLINIC DE MUY EXCELENTE A EXCELENTISIMA.

GRACIAS POR LEERME.","MY TOTAL ACKNOWLEDGMENT AND THANKS TO THE HOSPITAL CLINIC AS A WHOLE. AS SOME ALREADY KNOW MY OPINION - THAT IT WORKS LIKE A (DEMOCRATIC) ARMY, DISCIPLINED AND AT THE SERVICE OF THE PEOPLE (PEOPLE) AS IT SHOULD BE -.

THE BAD CALLS MUTUAL AND WHICH IN THEIR MAJORITY PRACTICE ARE FOR-PROFIT INSURANCE COMPANIES (LICIT ON THE OTHER PART), SHOULD TAKE A WALK BY THE CLINIC AND LEARN.

IT IMPREGATES A PHILOSOPHY OF HELP, FROM MRS. FROM THE CLEANLINESS THAT HELPS YOU FIND YOUR DESTINATION, TO THE LADY WITH A ROBE IN HER HAND, WHO WHEN SEEING YOU LOST IN A CORRIDOR, COMES CLOSER TO SEE WHAT SHE CAN HELP YOU WITH AND FROM HERE UP INCLUDING INTHERUNIT, DAY HOSPITAL, TREATMENT EXQUISITE, EFFICIENT AND LOVING.

THIS OPINION IS GIVEN BY SOMEONE IN 52 YEARS OF PROFESSION IN THE INSURANCE SECTOR, HAS HAD 25 YEARS OF EXPERIENCE WITHIN THE INSURANCE CIA AND THE REST AS A BROKER (FREE AGENT) TRYING TO HELP THE INSURED.

SINCE PERFECTION DOES NOT EXIST, I HAVE TO STATE THAT IT MUST IMPROVE AND MUCH NECESSARY. MY FIRST STEP 14.11.22 ENT EMERGENCIES - INDICATION TO WAIT FOR 2 HOURS AND IN 20 MINUTES IT CAME OUT WITH A DIAGNOSIS FOR TESTS - SO FAR, EVERYTHING IS GOOD. SECOND STEP 5.5.23 GENERAL EMERGENCIES, TO WHICH I ARRIVED AS I COULD FOLLOWING MEDICAL INDICATIONS WITH IMPORTANT REPETITIVE VOMITING – WAITING FOR MANY HOURS SURROUNDED BY MANY PEOPLE IN THE SAME SITUATION –. ONCE ATTENDED EVERYTHING PERFECT.

SURELY IT ARRIVES AT THE EMERGENCY, CITIZENS WHO MAY NOT NEED IT, BUT IN MY JUDGMENT, IT IS PREFERABLE TO HAVE A DOCTOR FOR EXAMPLE TRAINING ON THE COMPUTER, WAITING FOR A PATIENT, WHEN THERE ARE A SIGNIFICANT NUMBER OF SICK PEOPLE WAITING HOURS TO BE CATERED.

TOGETHER WE HAVE TO ENSURE THAT THE NECESSARY MEANS ARE AVAILABLE, SO THAT THIS IS SO AND BE ABLE TO RATING THE CLINIC'S ASSISTANCE IN SERIOUS/URGENT CASES FROM VERY EXCELLENT TO VERY EXCELLENT.

THANKS FOR READING ME."
