,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURaNGRURW5BRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDZ4dTEnAE%7CCgwIoO7rqAYQiLuunQM%7C?hl=en-US,1.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURaNGRURW5BRRAB,"La primera vez y esperemos que la última vez que acudo a este hospital, dejando de largo las 7h de espera en urgencias, lo mas destacable fue la falta de humanidad por parte de su personal, una experiencia horrible.",2.0,Jesus Ramos,https://www.google.com/maps/contrib/107152867594484865592?hl=en-US,107152867594484865592,https://lh3.googleusercontent.com/a/ACg8ocL1FYQMSJk7jEYIYNGQfN5-8-Twi4SyHHnZ3SRb7XfU=s40-c-rp-mo-br100,1,1.0,"La primera vez y esperemos que la última vez que acudo a este hospital, dejando de largo las 7h de espera en urgencias, lo mas destacable fue la falta de humanidad por parte de su personal, una experiencia horrible.","The first time and hopefully the last time I went to this hospital, leaving aside the 7 hours of waiting in the emergency room, the most notable thing was the lack of humanity on the part of its staff, a horrible experience.",
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURaNGJpWldBEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDZ4biZWA%7CCgwI1OnrqAYQsJ7_kwE%7C?hl=en-US,1.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURaNGJpWldBEAE,"Desde la 1.30 de madrugada hasta las 10.30 de la mañana, 9h en urgencias, por no hablar del horrible e irrespetuoso trato del personal sanitario",2.0,Paz Ferreiro,https://www.google.com/maps/contrib/110965400505658785061?hl=en-US,110965400505658785061,https://lh3.googleusercontent.com/a/ACg8ocJHFzgSayU_8EPPkDIvCkhe694vERyS99luO2bimj04=s40-c-rp-mo-br100,3,,"Desde la 1.30 de madrugada hasta las 10.30 de la mañana, 9h en urgencias, por no hablar del horrible e irrespetuoso trato del personal sanitario","From 1:30 in the morning until 10:30 in the morning, 9 hours in the emergency room, not to mention the horrible and disrespectful treatment of the health personnel",
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURab2NPY21BRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDZocOcmAE%7CCgsI_MrrqAYQ-NjDEw%7C?hl=en-US,5.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURab2NPY21BRRAB,"Excelente atención por parte del personal Médico, enfermeros y enfermeras de emergencia, el personal de UCI y el personal de sala .",,Angeles Hernandez,https://www.google.com/maps/contrib/108206362537476860167?hl=en-US,108206362537476860167,https://lh3.googleusercontent.com/a-/ALV-UjXpmW-97Zp0wv1YNYflTonWWLQR0Gza88EVG68YyxlAjRQ=s40-c-rp-mo-br100,4,,"Excelente atención por parte del personal Médico, enfermeros y enfermeras de emergencia, el personal de UCI y el personal de sala .","Excellent care from the Medical staff, emergency nurses, ICU staff and ward staff.",
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURacnNMUE93EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDZrsLPOw%7CCgwI1cPkqAYQiJDuxAM%7C?hl=en-US,5.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURacnNMUE93EAE,,,Marta Gracia Porto,https://www.google.com/maps/contrib/115590891506142494176?hl=en-US,115590891506142494176,https://lh3.googleusercontent.com/a-/ALV-UjXiqY7vDJ9L-W_w4t6-VMdQvckTrkjVh2ylUjJ_9vVToLU=s40-c-rp-mo-ba2-br100,20,1.0,,,True
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURaLXA3UTV3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDZ-p7Q5wE%7CCgoI3ZfbqAYQ8NQd%7C?hl=en-US,5.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURaLXA3UTV3RRAB,,,Carmen Santiago Sanchez,https://www.google.com/maps/contrib/114075512028345881000?hl=en-US,114075512028345881000,https://lh3.googleusercontent.com/a-/ALV-UjWqCh4ggzEgDW0jsy_G_NBAj3Z-MyGTtayCd1JfFIzS-XrB=s40-c-rp-mo-ba4-br100,28,71.0,,,True
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURadXRPT213RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDZutOOmwE%7CCgsI3NzaqAYQyN7GIQ%7C?hl=en-US,1.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURadXRPT213RRAB,"I regret moving here , that's for sure! Thought I will save time, yeah right! 2 hours waiting and counting",,Claudiu Ionut,https://www.google.com/maps/contrib/102892156894719746158?hl=en-US,102892156894719746158,https://lh3.googleusercontent.com/a-/ALV-UjVhhHcZixQD1IHtjAnt1ICyHPvF0sz4YojHIHw3JZKLgg=s40-c-rp-mo-ba4-br100,181,186.0,,,True
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURaNHF2cm9RRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDZ4qvroQE%7CCgwI___QqAYQ8JCgwwM%7C?hl=en-US,1.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURaNHF2cm9RRRAB,"Servei lamentable a urgències, falta de personal i desidia.",1.0,Roger Ferré,https://www.google.com/maps/contrib/104948827389571126032?hl=en-US,104948827389571126032,https://lh3.googleusercontent.com/a/ACg8ocKNBFezbObCJTxJWdgS9thbL8StHVtLPr2TyTRw-SeM=s40-c-rp-mo-br100,1,,"Servei lamentable a urgències, falta de personal i desidia.","Deplorable emergency service, lack of staff and laziness.",
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURaM05QS0xnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDZ3NPKLg%7CCgwI4OvLqAYQgJyKuQI%7C?hl=en-US,5.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURaM05QS0xnEAE,Es muy bien te tratan como un rey,1.0,Montse López espejo,https://www.google.com/maps/contrib/113341698352605308174?hl=en-US,113341698352605308174,https://lh3.googleusercontent.com/a/ACg8ocJ-rXzuJ-nzNespee_IikMkjQ8NjtJ9HBTnIV862l2e=s40-c-rp-mo-ba3-br100,36,,Es muy bien te tratan como un rey,"It's very good, they treat you like a king",True
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURacUtLMUx3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDZqKK1Lw%7CCgwI0Jm7qAYQgK2q5wE%7C?hl=en-US,1.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURacUtLMUx3EAE,4 horas esperando en urgencias con fiebre. Es un desastre,,Josefina Gavilan,https://www.google.com/maps/contrib/115246403203608738562?hl=en-US,115246403203608738562,https://lh3.googleusercontent.com/a-/ALV-UjUQS62onRfSg8Sw7ckcTlauFhox_olN6bnttryH7DE6VoQ=s40-c-rp-mo-ba2-br100,21,26.0,4 horas esperando en urgencias con fiebre. Es un desastre,4 hours waiting in the emergency room with fever. It is a disaster,True
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaajVLdk9REAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICZj5KvOQ%7CCgsI8IKtqAYQiLy6FA%7C?hl=en-US,1.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNaajVLdk9REAE,"Gestionando traslado de otro hospital mal, esperamos lo que no está escrito.
El personal correcto, a excepción de una Doctora que le comenté que no comía hace una semana y no hizo nada, las enfermeras me ayudaron con algún batido hasta que llegó una Tcae que dijo que yo no podía pedír ese batido y lo dejó sin comer nada desde ese día, no le importo que no comiera  nada ya que su estómago solo toleraba eso a pequeños sorbos.
Como se suspendió la cirugía y él cada vez peor hable con la coordinadora (escalera 3 planta 3 turno tarde) nunca había visto una persona más fría, carencia total de empatía, le dio igual que mi padre ya no comía casi dos semanas, temía que otra vez se suspenda la cirugía, donde él estaba con el marcapasos fuera y el cable no estaba bien y sin comer nada....es lamentable la falta de sensibilidad y empatia de algunos trabajadores.
La mejor persona la cuijana, me dijo que debía tomar esos batidos que no entendía que se hayan quitado....no hay supervisión ya que ella es tan inhumana como algunos trabajadores",4.0,Lucy Becerra Carballo,https://www.google.com/maps/contrib/107479399775361393161?hl=en-US,107479399775361393161,https://lh3.googleusercontent.com/a/ACg8ocIfPb4RdddKCjGACW22SEHLs2YzJfqn6joqKk9Yxv8=s40-c-rp-mo-br100,9,,"Gestionando traslado de otro hospital mal, esperamos lo que no está escrito.
El personal correcto, a excepción de una Doctora que le comenté que no comía hace una semana y no hizo nada, las enfermeras me ayudaron con algún batido hasta que llegó una Tcae que dijo que yo no podía pedír ese batido y lo dejó sin comer nada desde ese día, no le importo que no comiera  nada ya que su estómago solo toleraba eso a pequeños sorbos.
Como se suspendió la cirugía y él cada vez peor hable con la coordinadora (escalera 3 planta 3 turno tarde) nunca había visto una persona más fría, carencia total de empatía, le dio igual que mi padre ya no comía casi dos semanas, temía que otra vez se suspenda la cirugía, donde él estaba con el marcapasos fuera y el cable no estaba bien y sin comer nada....es lamentable la falta de sensibilidad y empatia de algunos trabajadores.
La mejor persona la cuijana, me dijo que debía tomar esos batidos que no entendía que se hayan quitado....no hay supervisión ya que ella es tan inhumana como algunos trabajadores","Managing transfer from another hospital badly, we wait for what is not written.
The correct staff, with the exception of a Doctor who I told her that I had not eaten for a week and she did nothing, the nurses helped me with a shake until a Tcae arrived who said that I could not order that shake and left him without eating anything From that day on, he didn't care that he didn't eat anything since his stomach only tolerated that in small sips.
As the surgery was suspended and he spoke increasingly worse with the coordinator (stairs 3rd floor, late shift) I had never seen a colder person, total lack of empathy, he didn't care that my father had not eaten for almost two weeks, he feared that Once again the surgery was suspended, where he was with the pacemaker out and the cable was not right and without eating anything....the lack of sensitivity and empathy of some workers is regrettable.
The best person, the cuijana, told me that I should drink those smoothies that I didn't understand why they had been removed....there is no supervision since she is as inhuman as some workers",
