,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,likes,user.photos,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwcThuNmp3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDpq8n6jwE%7CCgwIy6i3pwYQ4O6pnwM%7C?hl=en-US,5.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURwcThuNmp3RRAB,"gracias,gran equipo humano.

es competencia d todos gestionar y dar valor a nuestro sistema sanitario .con todos sus defectos ,q son los de todos un 10",Eva R,https://www.google.com/maps/contrib/109002983082632204127?hl=en-US,109002983082632204127,https://lh3.googleusercontent.com/a/ACg8ocKobrcsF9Jb1MOp4KosEAxjGuEGBopkRMZusM997Nlo=s40-c-rp-mo-br100,21,"gracias,gran equipo humano.

es competencia d todos gestionar y dar valor a nuestro sistema sanitario .con todos sus defectos ,q son los de todos un 10","Thank you, great human team.

It is everyone's responsibility to manage and give value to our health system, with all its defects, which are a 10 for everyone.",,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwcTY2aFFREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDpq66hQQ%7CCgsImJ-3pwYQ2Je6ew%7C?hl=en-US,1.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwcTY2aFFREAE,"He llamado de 11 13,sin parar. Sale una locución, me deja a la espera, dice que soy la primera en la cola. Después de quince minutos de espera me cuelga. Así va este hospital. Para un tema cardiovascular de mi padre.",Mónica Modrego,https://www.google.com/maps/contrib/102758095508027060862?hl=en-US,102758095508027060862,https://lh3.googleusercontent.com/a-/ALV-UjVh-eAig837c48qaViMK8-CQo-DZ3fJu5Gkjif4EQT4-Q=s40-c-rp-mo-br100,8,"He llamado de 11 13,sin parar. Sale una locución, me deja a la espera, dice que soy la primera en la cola. Después de quince minutos de espera me cuelga. Así va este hospital. Para un tema cardiovascular de mi padre.","I have called from 11 to 13, non-stop. An announcement comes out, it leaves me waiting, it says that I am the first in line. After fifteen minutes of waiting he hangs up on me. This is how this hospital goes. For my father's cardiovascular issue.",2.0,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwbzV2WGJREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDpo5vXbQ%7CCgwI_qSxpwYQkLL2ugE%7C?hl=en-US,5.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwbzV2WGJREAE,Siempre tan tan profesionales y modernos,Ivan M. C. 2,https://www.google.com/maps/contrib/116012870770644344474?hl=en-US,116012870770644344474,https://lh3.googleusercontent.com/a/ACg8ocIV9nAK38fKso6Ki-K1W75pPXfiUYli6tSzu6nlrxYK=s40-c-rp-mo-br100,34,Siempre tan tan profesionales y modernos,Always so professional and modern,,11.0,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwZzZxdElnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDpg6qtIg%7CCgsIldeupwYQqPPNCw%7C?hl=en-US,5.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwZzZxdElnEAE,"En nombre de mi familia , agradecer a todo el equipo del clínico la atención dada a mi padre ( trasplante de hígado ) . Creo que la humanidad que han tenido ha sido increíble, el trato, tanto a nuestro padre como ha nosotros(familia )  ha sido de 10 y eso no es pq se lo exijan sino pq ese equipo , lo lleva en la sangre , buena gente y en realidad en la vida solo hace falta buscar buena  gente para momentos difíciles y que mejor que esa gente sea la que te ayude a curar a tu padre , creo que ha sido la mejor combinación para esta intervención, a parte de el equipamiento hospitalario ,que ha sido increíble. Solo podemos decir , MIL GRACIAS POR TODO A TODO EL EQUIPO",Jose ruz Prada,https://www.google.com/maps/contrib/100534655755093303109?hl=en-US,100534655755093303109,https://lh3.googleusercontent.com/a-/ALV-UjWl_THtAa7tGWCoaVH11ZaFFxwP_o2Wem1c7ZkyyXx3rzXg=s40-c-rp-mo-br100,2,"En nombre de mi familia , agradecer a todo el equipo del clínico la atención dada a mi padre ( trasplante de hígado ) . Creo que la humanidad que han tenido ha sido increíble, el trato, tanto a nuestro padre como ha nosotros(familia )  ha sido de 10 y eso no es pq se lo exijan sino pq ese equipo , lo lleva en la sangre , buena gente y en realidad en la vida solo hace falta buscar buena  gente para momentos difíciles y que mejor que esa gente sea la que te ayude a curar a tu padre , creo que ha sido la mejor combinación para esta intervención, a parte de el equipamiento hospitalario ,que ha sido increíble. Solo podemos decir , MIL GRACIAS POR TODO A TODO EL EQUIPO","On behalf of my family, I would like to thank the entire clinic team for the care given to my father (liver transplant). I think that the humanity they have had has been incredible, the treatment, both of our father and of us (family) has been 10 and that is not because they demand it of them but because that team has it in their blood, good people and In reality, in life you only need to look for good people for difficult times and it is better that those people are the ones who help you cure your father. I think it has been the best combination for this intervention, apart from the hospital equipment, which It has been incredible. We can only say, THANK YOU FOR EVERYTHING TO THE ENTIRE TEAM",,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwZy1qNWh3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDpg-j5hwE%7CCgwI1r-upwYQqOy8wAM%7C?hl=en-US,4.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURwZy1qNWh3RRAB,"Buen hospital, lo recomiendo aunque solo pasé por la puerta.",Jiobani Gabriel,https://www.google.com/maps/contrib/110791830036687008234?hl=en-US,110791830036687008234,https://lh3.googleusercontent.com/a-/ALV-UjWK22CeW4-SZALjf_2ULrbLktdwkp1vTdCmOPwVkkmA0bI=s40-c-rp-mo-br100,8,"Buen hospital, lo recomiendo aunque solo pasé por la puerta.","Good hospital, I recommend it even though I only passed through the door.",,2.0,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwallqQnZRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDpjYjBvQE%7CCgwIhK6opwYQ0JHmuQI%7C?hl=en-US,5.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURwallqQnZRRRAB,Son los mejores y atienden enseguida,Pol Salvador,https://www.google.com/maps/contrib/105707030697529016458?hl=en-US,105707030697529016458,https://lh3.googleusercontent.com/a/ACg8ocLTYa5d0sA_UVpFmgtQr2-EEILJxS3u1hGHGSbuE9lo=s40-c-rp-mo-br100,2,Son los mejores y atienden enseguida,They are the best and serve immediately,,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwLWNQQ3pRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDp-cPCzQE%7CCgsIg4GipwYQuIKZdw%7C?hl=en-US,1.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURwLWNQQ3pRRRAB,Muy mal gestionado. No puede ser que una persona derivada de otro hospital para un ingreso importante tenga que hacer la misma cola de urgencias. Habían 31 pacientes de espera en urgencias. Pasaron muchísimas horas sin que lo viera un/a doctor/a sin ningún tipo de información al familiar. Y cuando preguntamos a un enfermero para que nos informe de algo nos dice que no tiene tiempo de darnos clase de medicina!!!! Yo puedo entender q estén saturados pero si encima el personal da ese trato.. hubiera preferido que un “no te puedo antender” antes que esa contestación. Espero que no se vea nunca en la situación nuestra porque madre mia!!!!,Sara S,https://www.google.com/maps/contrib/113329561208357880799?hl=en-US,113329561208357880799,https://lh3.googleusercontent.com/a/ACg8ocJCeRynZE18g_yWwziy2rG7JMHhhEf00yjvKisdIjUG=s40-c-rp-mo-br100,2,Muy mal gestionado. No puede ser que una persona derivada de otro hospital para un ingreso importante tenga que hacer la misma cola de urgencias. Habían 31 pacientes de espera en urgencias. Pasaron muchísimas horas sin que lo viera un/a doctor/a sin ningún tipo de información al familiar. Y cuando preguntamos a un enfermero para que nos informe de algo nos dice que no tiene tiempo de darnos clase de medicina!!!! Yo puedo entender q estén saturados pero si encima el personal da ese trato.. hubiera preferido que un “no te puedo antender” antes que esa contestación. Espero que no se vea nunca en la situación nuestra porque madre mia!!!!,Very poorly managed. It cannot be that a person referred from another hospital for an important admission has to wait in the same emergency queue. There were 31 patients waiting in the emergency room. Many hours passed without a doctor seeing him without any type of information to the family member. And when we ask a nurse to inform us about something he tells us that he doesn't have time to give us a medicine class!!!! I can understand that they are saturated but if on top of that the staff gives that treatment... I would have preferred a “I can't help you” rather than that response. I hope he never finds himself in our situation because my goodness!!!!,7.0,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwd2VHbTd3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDpweGm7wE%7CCgwI4oeXpwYQ8IqXnQM%7C?hl=en-US,4.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURwd2VHbTd3RRAB,,Montse Saavedra,https://www.google.com/maps/contrib/116220002748197986434?hl=en-US,116220002748197986434,https://lh3.googleusercontent.com/a/ACg8ocJnXlSBCGsj6iP6nKt3jUjbNjshZamwEdyYDUNKLXw3=s40-c-rp-mo-ba5-br100,61,,,,754.0,True
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwdnYtSHRBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDpvv-HtAE%7CCgwIgcyUpwYQyI6tyAI%7C?hl=en-US,1.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURwdnYtSHRBRRAB,"Es vergonzoso que teniendo un familiar ingresado ( mujer de 92 años)con el cual no puedes estar por que en el box donde lo tienen no tienen ni una silla y que te digan que posiblemente mañana depende como vaya todo le darán el alta ( hoy a las 23:13seguimos esperando la llamada de la doctora o doctor para saber cómo está nuestra familiar ) llamamos al
Hospital para saber si ya a pasado el médico( con la suerte que tenemos una conocida en el hospital la cual nos a avisado de que le daban el alta y la mandaban de vuelta a la residencia )y nos dice que si doctora nos llamará a lo que le pregunto que si antes o después de que mi familiar haya salido ya del hospital con el alta . Es vergonzoso ( sé que no todos los sanitarios son así pero más empatía para las familias, y más teniendo una persona totalmente dependiente y sin poder comunicarnos con ella !!!!",Mari Carmen Arjona Tejada,https://www.google.com/maps/contrib/104289633627617683068?hl=en-US,104289633627617683068,https://lh3.googleusercontent.com/a/ACg8ocJq6TVUE7wmwwch6qRvjzHUrDmtozZ-2J___w_84HKR=s40-c-rp-mo-br100,1,"Es vergonzoso que teniendo un familiar ingresado ( mujer de 92 años)con el cual no puedes estar por que en el box donde lo tienen no tienen ni una silla y que te digan que posiblemente mañana depende como vaya todo le darán el alta ( hoy a las 23:13seguimos esperando la llamada de la doctora o doctor para saber cómo está nuestra familiar ) llamamos al
Hospital para saber si ya a pasado el médico( con la suerte que tenemos una conocida en el hospital la cual nos a avisado de que le daban el alta y la mandaban de vuelta a la residencia )y nos dice que si doctora nos llamará a lo que le pregunto que si antes o después de que mi familiar haya salido ya del hospital con el alta . Es vergonzoso ( sé que no todos los sanitarios son así pero más empatía para las familias, y más teniendo una persona totalmente dependiente y sin poder comunicarnos con ella !!!!","It is shameful that having a family member admitted (a 92-year-old woman) with whom you cannot be because in the box where they have him they do not even have a chair and that they tell you that possibly tomorrow depending on how everything goes they will discharge him (today at 11:13 p.m. We are still waiting for the doctor's call to find out how our family member is doing) we call the
Hospital to find out if the doctor has already visited (luckily we have an acquaintance at the hospital who told us that she was being discharged and sent back to the residence) and tells us that if the doctor will call us at I ask you if before or after my family member has already been discharged from the hospital. It's embarrassing (I know that not all health workers are like that but more empathy for the families, and even more so having a totally dependent person and not being able to communicate with them!!!!",1.0,,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwbXZmOGFnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDpmvf8ag%7CCgwIoLyHpwYQsL-aqwM%7C?hl=en-US,1.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwbXZmOGFnEAE,"Dejo una estrella porque ayer tuve una mala malísima experiencia. No solo por la mala praxis que se aplica con según qué urgencias, si no por la poca humanidad y respecto por el tiempo de las personas. Ayer acudo al hospital con un problema a la pierna que podía/puede ser más grave de lo que parece, pensado, que como mínimo me hubieran visitado para descartar una posible trombosis.
Después de 5h sentada en una silla, a las 4:00 de la mañana, me llama un médico me lleva a una pequeña salita donde tienen los ordenadores y me dice que según el, así a golpe de vista, no es nada grave. Me dice que me puedo quedar para esperar que me visiten aunque siendo un caso bastante claro para el, todas las urgencias que entran pasarán delante mío. ¿Y me lo dices después de 5h? ¿En serio te esperas 5h para decirme que para vosotros no es un caso de urgencia?  ¿Realmente me haces esperar 5h para decirme que si que me puedo quedar allí para que me visiten y que però todas las urgencias que entran me seguirán pasando por delante?Me parece surrealista la experiencia vivida ayer, seguramente si te estás muriendo y que sea algo visible, se supone que algo harán, pero si tienes algo que aparentemente para ellos no es una urgencia te tiene allí un tiempo que puede ser infinito.
Señores tenemos un sistema sanitario pésimo creo de lo más bajo que hay en Europa y si para esto llevo cotizando aquí en España 11 años que triste desolación.",Seina Terni,https://www.google.com/maps/contrib/113903585738193902772?hl=en-US,113903585738193902772,https://lh3.googleusercontent.com/a-/ALV-UjXKaeMFS41L_iYp94wBisbtcgQPOD_PI5my7kMeHaZ4ME1m=s40-c-rp-mo-ba2-br100,20,"Dejo una estrella porque ayer tuve una mala malísima experiencia. No solo por la mala praxis que se aplica con según qué urgencias, si no por la poca humanidad y respecto por el tiempo de las personas. Ayer acudo al hospital con un problema a la pierna que podía/puede ser más grave de lo que parece, pensado, que como mínimo me hubieran visitado para descartar una posible trombosis.
Después de 5h sentada en una silla, a las 4:00 de la mañana, me llama un médico me lleva a una pequeña salita donde tienen los ordenadores y me dice que según el, así a golpe de vista, no es nada grave. Me dice que me puedo quedar para esperar que me visiten aunque siendo un caso bastante claro para el, todas las urgencias que entran pasarán delante mío. ¿Y me lo dices después de 5h? ¿En serio te esperas 5h para decirme que para vosotros no es un caso de urgencia?  ¿Realmente me haces esperar 5h para decirme que si que me puedo quedar allí para que me visiten y que però todas las urgencias que entran me seguirán pasando por delante?Me parece surrealista la experiencia vivida ayer, seguramente si te estás muriendo y que sea algo visible, se supone que algo harán, pero si tienes algo que aparentemente para ellos no es una urgencia te tiene allí un tiempo que puede ser infinito.
Señores tenemos un sistema sanitario pésimo creo de lo más bajo que hay en Europa y si para esto llevo cotizando aquí en España 11 años que triste desolación.","I leave one star because yesterday I had a very bad experience. Not only because of the malpractice that is applied depending on what emergencies, but because of the lack of humanity and respect for people's time. Yesterday I went to the hospital with a leg problem that could/may be more serious than it seems, thinking that at the very least they would have visited me to rule out a possible thrombosis.
After 5 hours sitting in a chair, at 4:00 in the morning, a doctor calls me, takes me to a small room where they have the computers and tells me that according to him, at a glance, it is nothing serious. He tells me that I can stay to wait for them to visit me, although it is a fairly clear case for him, all the emergencies that come in will pass in front of me. And you tell me after 5 hours? Are you seriously waiting 5 hours to tell me that for you it is not an emergency case? Are you really making me wait 5 hours to tell me that I can stay there so they can visit me and that all the emergencies that come in will continue to pass me by? The experience I had yesterday seems surreal to me, surely you are dying and that it is something Visibly, it is assumed that they will do something, but if you have something that apparently is not an emergency for them, they will have you there for a time that can be infinite.
Gentlemen, we have a terrible health system, I think it is the lowest there is in Europe and if this is why I have been contributing here in Spain for 11 years, what a sad desolation.",6.0,3.0,True
