,link,rating,date,source,review_id,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,images,snippet,likes,user.photos,extracted_snippet.original,extracted_snippet.translated,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkM1pDcWxnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICd3ZCqlgE%7CCgwIvuTCrgYQ-KKKqQE%7C?hl=en-US,1.0,2 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNkM1pDcWxnRRAB,Than San,https://www.google.com/maps/contrib/113845338132793676230?hl=en-US,113845338132793676230,https://lh3.googleusercontent.com/a-/ALV-UjWPinMk-WmJksq6SolUh00WRbIuMwiZ5El4WSDyrigYzp0=s40-c-rp-mo-br100,2,,,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkeXFURURREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICdyqTEDQ%7CCgwIoOm6rgYQ-KPgqAE%7C?hl=en-US,1.0,2 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkeXFURURREAE,Toby Toby,https://www.google.com/maps/contrib/106935903887514753292?hl=en-US,106935903887514753292,https://lh3.googleusercontent.com/a/ACg8ocJO4tHrRtUgEQFO-3YDEW6zOXLx67U3tGoNWRVUo2rqC8Q=s40-c-rp-mo-br100,4,['https://lh5.googleusercontent.com/p/AF1QipPM_gYa5BxzDHaAygei2oTfh00XQDSvmCKVfRki=w100-h100-p-n-k-no'],"SPONGO DENUNCIA!
Competenza zero, tempi di attesa fuori dal normale per poi ricevere risposte da brividi. Ho passato 6 ore in pronto soccorso, posso assicurarvi che il modo in cui perdono tempo è imbarazzante. Chiacchiere e battute mentre la gente sta davvero male e sta aspettando più di 3 ore solo per essere visitato.
Ti fanno aspettare 3 volte in 3 punti diversi, così da farti credere che ti visitano e poi aspetti 1/2 ora in ogni posto dove ti fanno sedere. Sé questa è la sanità catalana, beh che vergogna. Sono andata via con il dolore e con un prelievo di sangue senza senso dove mi hanno lasciato un segno assurdo e dolore per un semplicissimo prelievo. Una ragazza che arriva per forti dolori alla testa, da svenimento e da chiudere gli occhi e urlare, le viene consigliato di tranquillizzarsi quando succedono questi eventi. Bene se per voi questa è professionalità, per me è da denuncia. Io sono uscita senza un farmaco, una ricetta o un consiglio, ho aspettato 6 ore per ritornare a casa nelle stesse identiche condizioni. Mai più. Unitevi per una denuncia di massa, la sanità non può essere questo schifo.
P.S SE SEI STRANIERO NON VENIRE QUA, PERCHÉ AUMENTERANNO I TEMPI DI ATTESA E NON SARAI CURATO.
Queste sono le condizioni del mio braccio per un prelievo di sangue, non mi è mai successo in 30 anni una cosa del genere.",3.0,1.0,"SPONGO DENUNCIA!
Competenza zero, tempi di attesa fuori dal normale per poi ricevere risposte da brividi. Ho passato 6 ore in pronto soccorso, posso assicurarvi che il modo in cui perdono tempo è imbarazzante. Chiacchiere e battute mentre la gente sta davvero male e sta aspettando più di 3 ore solo per essere visitato.
Ti fanno aspettare 3 volte in 3 punti diversi, così da farti credere che ti visitano e poi aspetti 1/2 ora in ogni posto dove ti fanno sedere. Sé questa è la sanità catalana, beh che vergogna. Sono andata via con il dolore e con un prelievo di sangue senza senso dove mi hanno lasciato un segno assurdo e dolore per un semplicissimo prelievo. Una ragazza che arriva per forti dolori alla testa, da svenimento e da chiudere gli occhi e urlare, le viene consigliato di tranquillizzarsi quando succedono questi eventi. Bene se per voi questa è professionalità, per me è da denuncia. Io sono uscita senza un farmaco, una ricetta o un consiglio, ho aspettato 6 ore per ritornare a casa nelle stesse identiche condizioni. Mai più. Unitevi per una denuncia di massa, la sanità non può essere questo schifo.
P.S SE SEI STRANIERO NON VENIRE QUA, PERCHÉ AUMENTERANNO I TEMPI DI ATTESA E NON SARAI CURATO.
Queste sono le condizioni del mio braccio per un prelievo di sangue, non mi è mai successo in 30 anni una cosa del genere.","I SUBMIT A COMPLAINT!
Zero competence, unusual waiting times and then receiving thrilling answers. I spent 6 hours in the ER, I can tell you the way they waste time is embarrassing. Chatting and joking while people are really sick and waiting more than 3 hours just to be visited.
They make you wait 3 times in 3 different places, so as to make you believe that they are visiting you and then you wait 1/2 hour in each place where they make you sit. If this is Catalan healthcare, well what a shame. I went away with pain and with a senseless blood sample where I was left with an absurd mark and pain for a very simple sample. A girl who comes for severe pain in the head, from fainting and from closing her eyes and screaming, is advised to calm down when these events happen. Well, if for you this is professionalism, for me it is a complaint. I left without a drug, a prescription or advice, I waited 6 hours to return home in the exact same conditions. Never again. Unite for a mass denunciation, healthcare cannot be this crap.
P.S. IF YOU ARE A FOREIGN DON'T COME HERE BECAUSE THE WAITING TIMES WILL INCREASE AND YOU WILL NOT BE TREATED.
These are the conditions of my arm for a blood test, something like this has never happened to me in 30 years.",
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkMXA2TDF3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICd1p6L1wE%7CCgwIxvi1rgYQiL7rtQI%7C?hl=en-US,4.0,2 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNkMXA2TDF3RRAB,Yanis Younsi,https://www.google.com/maps/contrib/115072328540026815324?hl=en-US,115072328540026815324,https://lh3.googleusercontent.com/a/ACg8ocJWuBdQ75tkxXlW2pknFHl41jtZFdfTHjvq2WME-6j8=s40-c-rp-mo-br100,3,,"I was firstly very upset because I waited for 4-5 hours and they kept calling me to ask the same questions over and over again, but at the moment that I had a consultancy with the doctor, everything went fast and smooth, primary aid, radio, changing the bandages and the final report, so I had a quite good experience there but the waiting time was huge, even if there wasn’t any emergency cases around",,,,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkbXVEY0JREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICdmuDcBQ%7CCgwIv4-zrgYQkJ3vjwM%7C?hl=en-US,5.0,2 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkbXVEY0JREAE,Joan Riera Juncà,https://www.google.com/maps/contrib/108539198499786714062?hl=en-US,108539198499786714062,https://lh3.googleusercontent.com/a/ACg8ocKBA1Xv4uqVlVfGGyMcXlqK9NFTTkAhr1vteyz6cNiN=s40-c-rp-mo-br100,8,,"Hola que tal, muy buen trato..
Me realizaron una biopsia muscular el trato fue excelente.",,,"Hola que tal, muy buen trato..
Me realizaron una biopsia muscular el trato fue excelente.","Hello, how are you, very good deal.
They performed a muscle biopsy on me, the treatment was excellent.",
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkNnZmNGlRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICd6vf4iQE%7CCgwIqoyzrgYQ6Omq7AI%7C?hl=en-US,1.0,2 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNkNnZmNGlRRRAB,Giorgio Congiu,https://www.google.com/maps/contrib/105162688151013395288?hl=en-US,105162688151013395288,https://lh3.googleusercontent.com/a/ACg8ocLTOcOtcwZdlMI82ZCXKta1Bs_zo9n-a7we2ybTSnYb=s40-c-rp-mo-br100,19,,Estuve  en la urgencia y me mandaron a la sesta planta para el control y Despues de 4 horas de espera me llaman y me dicen que no era el hospital correcto donde hacer el control……. Sois uno sin vergüenza y no tenéis respectó para lo pacientes,3.0,12.0,Estuve  en la urgencia y me mandaron a la sesta planta para el control y Despues de 4 horas de espera me llaman y me dicen que no era el hospital correcto donde hacer el control……. Sois uno sin vergüenza y no tenéis respectó para lo pacientes,I was in the emergency room and they sent me to the sixth floor for the check-up and after 4 hours of waiting they called me and told me that it was not the correct hospital to do the check-up...... You are one without shame and you have no respect for patients,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkbk9XWS1nRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICdnOWY-gE%7CCgwI-dqurgYQ0Jj7zQI%7C?hl=en-US,4.0,2 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNkbk9XWS1nRRAB,josep Martinez Alonso,https://www.google.com/maps/contrib/114300477580815559647?hl=en-US,114300477580815559647,https://lh3.googleusercontent.com/a-/ALV-UjVAv_FRkXZyeSXj5oXKxqb4MhWsNHqeTqR-wp1o3Ag-DtQ=s40-c-rp-mo-ba3-br100,8,,,,148.0,,,True
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkOVBUeXlBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICd9PTyyAE%7CCgwIrLuqrgYQ0LLktgI%7C?hl=en-US,5.0,3 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNkOVBUeXlBRRAB,Xavier Mas,https://www.google.com/maps/contrib/117782523029673742752?hl=en-US,117782523029673742752,https://lh3.googleusercontent.com/a-/ALV-UjVEqgRYpzEJP0jT702IFHuGQ57FuMZlHmWXJXaru4FkZYk=s40-c-rp-mo-ba4-br100,27,,,,125.0,,,True
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkdFBudFRREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICdtPntTQ%7CCgwIpvKprgYQ8LycgAE%7C?hl=en-US,4.0,3 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkdFBudFRREAE,JORDI ROMEU i PALOP,https://www.google.com/maps/contrib/103181164912048740931?hl=en-US,103181164912048740931,https://lh3.googleusercontent.com/a-/ALV-UjX4zvrooGGPQpQS4OFqtY4uJWw0vR_AF3HJL_8KwI4c-PyI=s40-c-rp-mo-ba6-br100,510,,"Un bon hospital, molt gran i molt ben ubicat, que dóna servei no només al barri que l'acull, l'Eixample Esquerra de Barcelona, sinó també a la resta de la ciutat i en alguns àrees on està molt especialitzat, a la està del país.",,1598.0,"Un bon hospital, molt gran i molt ben ubicat, que dóna servei no només al barri que l'acull, l'Eixample Esquerra de Barcelona, sinó també a la resta de la ciutat i en alguns àrees on està molt especialitzat, a la està del país.","A good hospital, very large and very well located, which serves not only the neighborhood that hosts it, the Eixample Esquerra of Barcelona, ​​but also the rest of the city and in some areas where it is highly specialized, the of the country.",True
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkbEtfVTVnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICdlK_U5gE%7CCgwI8d2orgYQ2OCstwM%7C?hl=en-US,2.0,3 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNkbEtfVTVnRRAB,Klaudie Valíčková,https://www.google.com/maps/contrib/108584793640629672625?hl=en-US,108584793640629672625,https://lh3.googleusercontent.com/a/ACg8ocJYpAneoayXZ1V0psTR7lOF9TB1K6rDoKTWN4l7cgN4=s40-c-rp-mo-ba3-br100,32,,Overall I would not recommend to go here. I’ve waited 6 hours here and I don’t think that’s normal. Even I’m not a citizen of Spain I still should be treated fairly. I don’t get this place at all. After I saw the doctor I waited for almost 2 hours to get the results. And there was no one. I felt really bad for a man which was with me. They left us without any information about how long it will take. I think this approach is humiliating. Not a great experience.,2.0,5.0,,,True
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkaEtlcnJBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICdhKerrAE%7CCgwIgoalrgYQiNSb7AE%7C?hl=en-US,3.0,3 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNkaEtlcnJBRRAB,Sweet Light,https://www.google.com/maps/contrib/105184668888262404923?hl=en-US,105184668888262404923,https://lh3.googleusercontent.com/a/ACg8ocJymTvU2ULswT0_ATZLeNhrRk7uAQGuOpu_ppb6RkX2=s40-c-rp-mo-br100,11,,,,,,,
