,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,user.photos,user.local_guide,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNwZ0xXY05nEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICpgLWcNg%7CCgwIqtmDpgYQ8OHM2AI%7C?hl=en-US,1.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNwZ0xXY05nEAE,En la planta 2 escalera 2 dan el alta a los pacientes sin estar recuperados y solicitas en secretaría la información del doctor y en vez de hablar contigo va por su cuenta a hablar con el paciente y tú te quedas esperando al doctor como una planta vergonzoso,3.0,Eva Salas,https://www.google.com/maps/contrib/111738412909732460452?hl=en-US,111738412909732460452,https://lh3.googleusercontent.com/a/ACg8ocKtTaOtVPv-mgZcG4M1Oij5LerxlSgCOoG73M7O3irM=s40-c-rp-mo-br100,7,En la planta 2 escalera 2 dan el alta a los pacientes sin estar recuperados y solicitas en secretaría la información del doctor y en vez de hablar contigo va por su cuenta a hablar con el paciente y tú te quedas esperando al doctor como una planta vergonzoso,"On floor 2, staircase 2, they discharge patients without being recovered and you ask the secretary for the doctor's information and instead of talking to you he goes on his own to talk to the patient and you are left waiting for the doctor like a shameful floor",,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNwZ09YMm1nRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICpgOX2mgE%7CCgwIjNeDpgYQ8KywiQE%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNwZ09YMm1nRRAB,El equipo de alergólogos es lamentable y penoso no se leen ni los informes de los pacientes antes de hacer las pruebas,1.0,Bar La Font,https://www.google.com/maps/contrib/113169234877194902722?hl=en-US,113169234877194902722,https://lh3.googleusercontent.com/a/ACg8ocJXX8GSFydO-v2e_Ipb7Z5q8YynHivL9ZXsBguGewe-=s40-c-rp-mo-br100,5,El equipo de alergólogos es lamentable y penoso no se leen ni los informes de los pacientes antes de hacer las pruebas,"The team of allergists is pitiful and embarrassing, they do not even read the patient reports before doing the tests.",4.0,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKNi1fV3hRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDJ6-_WxQE%7CCgsIh_HzpQYQ-LODZA%7C?hl=en-US,2.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKNi1fV3hRRRAB,"Hace una semana me operaron, y de verdad que muy bien, me sentí cuidada y bien atendida en todo momento, tanto las horas previas a la operación como los días que he estado ingresada, en cambio el viernes fui a las 12:30h a urgencias y fatal.
Si a la hora de hacer el triaje no te mandaran directamente a medicina familiar en según qué casos y te mandasen al especialista directamente, se ahorrarían el colapso que hay en urgencias, 6:30 horas en sala de espera, 1hora en un box solo para que me atiendan, con dolor incapacitante, enfermeros hablando en corrillo y riendo, otros con el móvil sin hacer nada, pasillo para arriba y para abajo, la gente tapada hasta arriba con la sábana, porque tenían mucho frío del aire acondicionado, de vergüenza.
Una vez atendida, muy bien por todas las pruebas que me hicieron, pero para ponerme una vía, por 5 pinchazos tuve que pasar, que no me taparon los pinchazos anteriores y al no hacer presión, al final las venas hinchadas y sangrando, hasta las 23h no me pusieron un calmante para el dolor, me preguntan si soy hipertensa, como si el hecho de estar tantas horas con dolor sin ser atendida fuese bueno para la estabilidad de uno.
Luego una vez dada el alta a la 1 de la mañana para quitarme la vía sin ninguna consideración porque según la enfermera tenían prisa ya, queriendo quitar la vía sin despegar a penas el apósito haciéndolo del tirón, hasta que le he tenido que decir que despegando todo el apósito saldría más fácil, al final lo que ha conseguido con ese trato es que otra vez la vena no parase de sangrar y de nuevo se hinchara, llegando a casa para ponerme hielo para que se desincharan las venas porque daba hasta impresión verla. De pena.
Por eso pongo 2 estrellas, porque es como si fuesen 2 hospitales diferentes, un 5 en quirófano y en planta, pero un 0 en urgencias, si lo puedo evitar a ese hospital de urgencias por mi propia voluntad no iré más.",7.0,Marian Lebrato,https://www.google.com/maps/contrib/112569728782895830878?hl=en-US,112569728782895830878,https://lh3.googleusercontent.com/a/ACg8ocLX2fCXonFC_OJHX53C6FCM9qQWWl3lDiMIcp7PEb_B=s40-c-rp-mo-br100,7,"Hace una semana me operaron, y de verdad que muy bien, me sentí cuidada y bien atendida en todo momento, tanto las horas previas a la operación como los días que he estado ingresada, en cambio el viernes fui a las 12:30h a urgencias y fatal.
Si a la hora de hacer el triaje no te mandaran directamente a medicina familiar en según qué casos y te mandasen al especialista directamente, se ahorrarían el colapso que hay en urgencias, 6:30 horas en sala de espera, 1hora en un box solo para que me atiendan, con dolor incapacitante, enfermeros hablando en corrillo y riendo, otros con el móvil sin hacer nada, pasillo para arriba y para abajo, la gente tapada hasta arriba con la sábana, porque tenían mucho frío del aire acondicionado, de vergüenza.
Una vez atendida, muy bien por todas las pruebas que me hicieron, pero para ponerme una vía, por 5 pinchazos tuve que pasar, que no me taparon los pinchazos anteriores y al no hacer presión, al final las venas hinchadas y sangrando, hasta las 23h no me pusieron un calmante para el dolor, me preguntan si soy hipertensa, como si el hecho de estar tantas horas con dolor sin ser atendida fuese bueno para la estabilidad de uno.
Luego una vez dada el alta a la 1 de la mañana para quitarme la vía sin ninguna consideración porque según la enfermera tenían prisa ya, queriendo quitar la vía sin despegar a penas el apósito haciéndolo del tirón, hasta que le he tenido que decir que despegando todo el apósito saldría más fácil, al final lo que ha conseguido con ese trato es que otra vez la vena no parase de sangrar y de nuevo se hinchara, llegando a casa para ponerme hielo para que se desincharan las venas porque daba hasta impresión verla. De pena.
Por eso pongo 2 estrellas, porque es como si fuesen 2 hospitales diferentes, un 5 en quirófano y en planta, pero un 0 en urgencias, si lo puedo evitar a ese hospital de urgencias por mi propia voluntad no iré más.","A week ago I had surgery, and it was really very good, I felt cared for and well cared for at all times, both the hours before the operation and the days I was hospitalized, however on Friday I went to the emergency room at 12:30 p.m. and fatal.
If at the time of triage they did not send you directly to family medicine in certain cases and sent you to the specialist directly, they would save the collapse that occurs in the emergency room, 6:30 hours in the waiting room, 1 hour in a box only for that they treat me, with incapacitating pain, nurses talking in a group and laughing, others with their cell phones doing nothing, up and down the hallway, people covered up to the top with the sheet, because they were very cold from the air conditioning, out of shame.
Once treated, very good for all the tests they did, but to get an IV, I had to go through 5 punctures, which did not cover the previous punctures and by not applying pressure, in the end the veins were swollen and bleeding, until the 11pm they didn't give me a pain reliever, they asked me if I was hypertensive, as if the fact of being in pain for so many hours without being treated was good for one's stability.
Then once I was discharged at 1 in the morning to remove the IV without any consideration because according to the nurse they were already in a hurry, wanting to remove the IV without barely taking off the dressing doing it in one go, until I had to tell her that taking off The whole dressing would come off easier, in the end what this treatment has achieved is that once again the vein did not stop bleeding and swelled again, coming home to put ice on me so that the veins would deflate because it was even impressive to see. Of pity.
That's why I give 2 stars, because it's as if they were 2 different hospitals, a 5 in the operating room and on the ward, but a 0 in the emergency room, if I can avoid that emergency hospital of my own free will I won't go again.",,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKMC11WFNREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDJ0-uXSQ%7CCgsIwq_vpQYQkPGhfA%7C?hl=en-US,5.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKMC11WFNREAE,,,Montse Zaragoza,https://www.google.com/maps/contrib/105800839484697410525?hl=en-US,105800839484697410525,https://lh3.googleusercontent.com/a/ACg8ocKwO71bBZUADgj8hZiJbc8bK_JDcBGOJhn2F56ND67C=s40-c-rp-mo-br100,139,,,125.0,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKN2Iyb2R3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDJ7b2odw%7CCgwIx73upQYQgMjqogI%7C?hl=en-US,1.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKN2Iyb2R3EAE,Nunca he estado en un hospital tan malo....,3.0,Sea Leta,https://www.google.com/maps/contrib/105526680118148217913?hl=en-US,105526680118148217913,https://lh3.googleusercontent.com/a/ACg8ocJi7VPvABa13RNnj3DiibAywO6lYiLucBoH3t8TD7hm=s40-c-rp-mo-br100,5,Nunca he estado en un hospital tan malo....,I have never been to a hospital this bad....,,,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKemNDcFJnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDJzcCpRg%7CCgwIr9rrpQYQ0MPnwQI%7C?hl=en-US,5.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKemNDcFJnEAE,"La atención de la gente que trabaja ahí es excelente.
Muy profesionales y gran amabilidad.",,DANIEL JIMENEZ MARTIN,https://www.google.com/maps/contrib/112189604489028596235?hl=en-US,112189604489028596235,https://lh3.googleusercontent.com/a/ACg8ocLM2fxDQRaZwRZDU8aMpHYWt3f6yrgCYJSI6g31so14=s40-c-rp-mo-ba4-br100,98,"La atención de la gente que trabaja ahí es excelente.
Muy profesionales y gran amabilidad.","The attention of the people who work there is excellent.
Very professional and great kindness.",104.0,True,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKamZMUTR3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDJjfLQ4wE%7CCgsIwZjrpQYQwJb7Ew%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKamZMUTR3RRAB,¡Miserable! Te mueres antes de que te atiendan aquí. Aquí sí que se toman su tiempo. No importa si el paciente tiene que esperar 4 o 5 horas para ser tratado.,3.0,GameMovieCollector,https://www.google.com/maps/contrib/116106982828821147887?hl=en-US,116106982828821147887,https://lh3.googleusercontent.com/a/ACg8ocJh0xMOniFsm9nPPFEsUY_jEwwDbRyQnxeogbGc2h0o=s40-c-rp-mo-br100,28,¡Miserable! Te mueres antes de que te atiendan aquí. Aquí sí que se toman su tiempo. No importa si el paciente tiene que esperar 4 o 5 horas para ser tratado.,Miserable! You die before they treat you here. They really take their time here. It doesn't matter if the patient has to wait 4 or 5 hours to be treated.,,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKalpMd09BEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDJjZLwOA%7CCgsIwJbrpQYQkL_XOA%7C?hl=en-US,1.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKalpMd09BEAE,"Nunca había visto un hospital tan pésimo. Después de más de 3 horas todavía no me habían atendido y me fui. Pero lo peor fue que no había jabón en los aseos. Tienes que imaginártelo. No hay jabón en un hospital. Cuando lo señalé y esperé a que alguien trajera jabón, tras 20 minutos de espera seguía sin haber jabón.
Supongo que es la hora de la siesta en este hospital. ¡¡¡Absolutamente cutre y desvergonzado!!!",9.0,Arya Sharifpour,https://www.google.com/maps/contrib/103068845807394822282?hl=en-US,103068845807394822282,https://lh3.googleusercontent.com/a/ACg8ocJuLw1JrrUwjIw3GoEaCZ9hjPEM6NnEBoZggI9Mm54u=s40-c-rp-mo-br100,9,"Nunca había visto un hospital tan pésimo. Después de más de 3 horas todavía no me habían atendido y me fui. Pero lo peor fue que no había jabón en los aseos. Tienes que imaginártelo. No hay jabón en un hospital. Cuando lo señalé y esperé a que alguien trajera jabón, tras 20 minutos de espera seguía sin haber jabón.
Supongo que es la hora de la siesta en este hospital. ¡¡¡Absolutamente cutre y desvergonzado!!!","I have never seen such a lousy hospital. After more than 3 hours they still hadn't attended to me and I left. But the worst thing was that there was no soap in the toilets. You have to imagine it. There is no soap in a hospital. When I pointed it out and waited for someone to bring soap, after 20 minutes of waiting there was still no soap.
I guess it's nap time in this hospital. Absolutely shabby and shameless!!!",,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKLWFTTU9REAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDJ-aSMOQ%7CCgwIlpzkpQYQyKv7jwI%7C?hl=en-US,1.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKLWFTTU9REAE,No me puedo quejar de nada solo hasta hora que esté tío no puedo estar en la vida de maleducado como es eso que va con sus cosas y no pide ni permiso o sea que educación y más con las personas mayores que están es sala esparando.  Solo dice cuido voy pero con un educación tan baja de este hospital que todos hasta hora digo son un amor pero este tío se pasó de verdad  y lo muestro en foto porque eso no es así tío para maleducado,7.0,Michel Aliskairt Mendez Perez,https://www.google.com/maps/contrib/114989342545943385618?hl=en-US,114989342545943385618,https://lh3.googleusercontent.com/a-/ALV-UjV6tb1IJoYTWcl9omRvvO1nrPQnfPbxTRiM54MgbkinBGR4=s40-c-rp-mo-ba4-br100,55,No me puedo quejar de nada solo hasta hora que esté tío no puedo estar en la vida de maleducado como es eso que va con sus cosas y no pide ni permiso o sea que educación y más con las personas mayores que están es sala esparando.  Solo dice cuido voy pero con un educación tan baja de este hospital que todos hasta hora digo son un amor pero este tío se pasó de verdad  y lo muestro en foto porque eso no es así tío para maleducado,"I can't complain about anything until this time, man, I can't be in the life of being rude like that who goes about his business and doesn't even ask for permission, that is, education and even more so with the elderly people who are waiting in the room. He just says, I'll take care, but with such low education in this hospital that until now I say everyone is a sweetheart, but this guy really went too far and I show it in a photo because that's not like that, guy for rude",65.0,True,['https://lh5.googleusercontent.com/p/AF1QipORsW2aOQroQIuDwY3WOIiagC08T5oTKrndBtuj=w100-h100-p-n-k-no']
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKN3ZIdHZBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDJ7vHtvAE%7CCgwI_v7UpQYQgOantQI%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKN3ZIdHZBRRAB,Y doy 1 porque 0 no se puede.,,Jordi Castro,https://www.google.com/maps/contrib/118346894922493603065?hl=en-US,118346894922493603065,https://lh3.googleusercontent.com/a-/ALV-UjXpnmulHMjqNEEDyZ7InfsxDjZ5P8hQFRqjdVjhRvMuomE=s40-c-rp-mo-br100,6,Y doy 1 porque 0 no se puede.,And I give 1 because 0 is not possible.,,,
