,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,user.local_guide,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKOXV2VkhBEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDJ9uvVHA%7CCgwIrOHRpQYQ2KGwmQE%7C?hl=en-US,1.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKOXV2VkhBEAE,Peor hospital que ja ido en minha vida,1.0,Bahia “Dendê de Maré” Angola,https://www.google.com/maps/contrib/115204009660562868346?hl=en-US,115204009660562868346,https://lh3.googleusercontent.com/a-/ALV-UjXom0b8P3cppKS7kk9EUqOA_KPPklH9Car0fL5lXLBoC5s=s40-c-rp-mo-br100,4.0,16.0,Peor hospital que ja ido en minha vida,Worst hospital I have ever been to in my life,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKeW9XZ2hRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDJyoWghQE%7CCgwI3I3GpQYQ6NLW0gI%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKeW9XZ2hRRRAB,"Es un hospital que hacen esperar demasiado, llevo desde las 3 esperando a que la atiendan a mi madre que hasta ahora no atienden esta que arde de fiebre a 39, y no hacen nada atienden a los demás pero a ella no.",4.0,saron elias,https://www.google.com/maps/contrib/113392349034785799607?hl=en-US,113392349034785799607,https://lh3.googleusercontent.com/a-/ALV-UjWOeV6nAsuzwsFlJeOL1_6Ep8SJftBPuOVKeUK5OdzjNA=s40-c-rp-mo-br100,1.0,,"Es un hospital que hacen esperar demasiado, llevo desde las 3 esperando a que la atiendan a mi madre que hasta ahora no atienden esta que arde de fiebre a 39, y no hacen nada atienden a los demás pero a ella no.","It is a hospital that makes you wait too long, I have been waiting since 3 o'clock for my mother to be treated, and until now they have not treated this one who is burning with fever at 39, and they do nothing, they treat the others but not her.",,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKZ3Nid3ZBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDJgsbwvAE%7CCgsI2oC_pQYQsIT1OA%7C?hl=en-US,5.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKZ3Nid3ZBRRAB,"Grandes medicos , lo mejor de lo mejor, trato muy humano , muy agradecidos por todo.",,Montserrat Papell Costa,https://www.google.com/maps/contrib/116941804404946799634?hl=en-US,116941804404946799634,https://lh3.googleusercontent.com/a/ACg8ocLc0LF8M0ZV48TsOIwWSafoy2zLdzVKDu_oeyFzXfvk=s40-c-rp-mo-br100,3.0,,"Grandes medicos , lo mejor de lo mejor, trato muy humano , muy agradecidos por todo.","Great doctors, the best of the best, very humane treatment, very grateful for everything.",,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKX09ITzh3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDJ_OHO8wE%7CCgsIiaO-pQYQ8MrucQ%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKX09ITzh3RRAB,Fatal las urgencias da pena más de 2 horas con mi hijo de 15años para que lo atendieran...al final nos tuvimos que ir porque el que había en recepción nos dijo que tenías al menos una hora más de espera.,5.0,maricarmen ballester cazorla,https://www.google.com/maps/contrib/108924892905909912338?hl=en-US,108924892905909912338,https://lh3.googleusercontent.com/a/ACg8ocLbz75WSFw7rd57YJFt6XwZU8B6kGDObOdj1cPG4EQd=s40-c-rp-mo-ba3-br100,33.0,10.0,Fatal las urgencias da pena más de 2 horas con mi hijo de 15años para que lo atendieran...al final nos tuvimos que ir porque el que había en recepción nos dijo que tenías al menos una hora más de espera.,"The emergencies are terrible, it's sad that it took more than 2 hours with my 15-year-old son to be attended to...in the end we had to leave because the person at the reception told us that you had at least one more hour to wait.",True,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKdElLWWxBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDJtIKYlAE%7CCgwIj7O2pQYQuKz_9wE%7C?hl=en-US,4.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKdElLWWxBRRAB,Siempre hemos tenido toda mi familia una atención y un cuidado exquisito por parte del personal sanitario del centro hospitalario.,4.0,Juliana Martínez,https://www.google.com/maps/contrib/111106632089660770386?hl=en-US,111106632089660770386,https://lh3.googleusercontent.com/a-/ALV-UjXEa20TJH1naBD8Gejp7c9muDGkz46soJLN62WUvU9xBeka=s40-c-rp-mo-ba5-br100,268.0,817.0,Siempre hemos tenido toda mi familia una atención y un cuidado exquisito por parte del personal sanitario del centro hospitalario.,My entire family has always had exquisite attention and care from the health personnel at the hospital.,True,"['https://lh5.googleusercontent.com/p/AF1QipPMxYSXQDA2mH5SCKI6v4ZI0XhvBV0dQu_YMEAb=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOjIlEz3kukIkfFtswp-LXCTwWkZFqcm61aOB6r=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPUtervFgCPw0_cIkTDYqSCRaVY_GX-QFnxdyjI=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNsGHOauV3lmqZpZ6cjuMNtiw_2OyODIic_zOTn=w100-h100-p-n-k-no']"
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKcEtuNTN3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDJpKn53wE%7CCgwI25O0pQYQ4IKLtQM%7C?hl=en-US,5.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKcEtuNTN3RRAB,,,Iris Peguero González,https://www.google.com/maps/contrib/107757347558661169203?hl=en-US,107757347558661169203,https://lh3.googleusercontent.com/a-/ALV-UjVYNAAuOouxAvrinTpLPtkDd73vj_Cz0KNjQbNBUJ_UfZk=s40-c-rp-mo-br100,,,,,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKLU83aDFBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDJ-O7h1AE%7CCgwIhJ6xpQYQ8KLFiwM%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKLU83aDFBRRAB,"Persona con transplante renal desde hace dos semanas y que lleva casi 12h sin poder orinar. Desde el mismo hospital indican que acudamos de urgencia. Realizamos casi 200km en coche hasta el hospital, llegando sobre las 12:45h. Mantienen al paciente en espera hasta las 18h, cuando le trasladan a un box (todo esto sin hacer ningún tipo de prueba ni dar información).
A las 19h le miran constantes y realizan extracción sanguínea para posterior análisis. A las 20:30h, todavía no han dado ningún resultado ni información. Luego hay que escuchar que es un hospital puntero y de referencia. Ni en la selva amazónica prestan un servicio tan deplorable. Los que gestionan el servicio de urgencias, que se lo hagan mirar.",10.0,eduard pujol,https://www.google.com/maps/contrib/116871547652707455971?hl=en-US,116871547652707455971,https://lh3.googleusercontent.com/a-/ALV-UjVPKcIbGPaDpnCUomJc-zU70c9S__r1Rw24LOMmFbPXYg=s40-c-rp-mo-br100,1.0,,"Persona con transplante renal desde hace dos semanas y que lleva casi 12h sin poder orinar. Desde el mismo hospital indican que acudamos de urgencia. Realizamos casi 200km en coche hasta el hospital, llegando sobre las 12:45h. Mantienen al paciente en espera hasta las 18h, cuando le trasladan a un box (todo esto sin hacer ningún tipo de prueba ni dar información).
A las 19h le miran constantes y realizan extracción sanguínea para posterior análisis. A las 20:30h, todavía no han dado ningún resultado ni información. Luego hay que escuchar que es un hospital puntero y de referencia. Ni en la selva amazónica prestan un servicio tan deplorable. Los que gestionan el servicio de urgencias, que se lo hagan mirar.","Person with a kidney transplant for two weeks and who has not been able to urinate for almost 12 hours. From the hospital itself they indicate that we go urgently. We drove almost 200km to the hospital, arriving around 12:45 p.m. They keep the patient waiting until 6:00 p.m., when they transfer him to a box (all this without doing any type of test or giving information).
At 7:00 p.m. they check his vital signs and perform a blood draw for later analysis. At 8:30 p.m., they still have not given any results or information. Then you have to hear that it is a leading and reference hospital. Not even in the Amazon jungle do they provide such a deplorable service. Those who manage the emergency service, let them look at it.",,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKaUtPRk5nEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDJiKOFNg%7CCgwIqvyrpQYQqNj5oAM%7C?hl=en-US,5.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKaUtPRk5nEAE,mis datos salienron a la luz gracias a los ciberdelincuentes,,Silvia Martín Perez,https://www.google.com/maps/contrib/115863601700607284515?hl=en-US,115863601700607284515,https://lh3.googleusercontent.com/a-/ALV-UjX8rHLExONEbnG5pnparVeXA0kLMkk4XPCGHn3VWMbVHQ=s40-c-rp-mo-br100,23.0,,mis datos salienron a la luz gracias a los ciberdelincuentes,my data came to light thanks to cybercriminals,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNKal9yRGhnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICJj_rDhgE%7CCgsIlrSfpQYQoNqwIQ%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNKal9yRGhnRRAB,"El peor hospital en todos los sentidos. Fui dos veces por apendicitis y no me la detectaron. A la tercera, me lo detectaron y no me operaron hasta pasadas 13h, cuando ya estaba intubada y con morfina y metadona, y me operaron de PERITONITIS YA QUE DEJARON QUE EL APENDICE EXPLOTARA, estuve 10 dias ingresada muy grave, se me pararon los riñones. Llevo ahora 7 meses después arrastrando otros diagnosticos nuevos en riñones y cirugia gastrointestinal ya que me operaron mal y no me drenaron bien. Luego te dicen que todo va bien, que lo demas es normal.  He ido mas de 15 veces a urgencias y el resultado 10h (y no porque haya mucha gente, por mala gestión) en la sala para que alfinal solo te hagan una radiografia y un analisis, y te digan que consultes a otro medico. El hospital con mas negligencias que ninguno. Mi abuelo, murió ahí, y no dan ni una minima dignidad al fallecido ni a la familia, te despides en un box con una cortina con todo de gente alrededor y mucho ruido. Luego te echan rapido para limpiar la camilla porque la necesitan ya, pero luego la gente espera mas de 10h cuando se supone que hasta echan a los fallecidos para tener camillas. Miraos la gestión porque da vergüenza que los profesionales ni te miren a la cara cuando te hablan. No he visto sonreír a ni unx.",11.0,Alba Fernandez,https://www.google.com/maps/contrib/109535010069593933327?hl=en-US,109535010069593933327,https://lh3.googleusercontent.com/a/ACg8ocJr5-2Md9LaX30YBoMmU15SqKJkobWrOiyqf9U-0rKg=s40-c-rp-mo-br100,21.0,,"El peor hospital en todos los sentidos. Fui dos veces por apendicitis y no me la detectaron. A la tercera, me lo detectaron y no me operaron hasta pasadas 13h, cuando ya estaba intubada y con morfina y metadona, y me operaron de PERITONITIS YA QUE DEJARON QUE EL APENDICE EXPLOTARA, estuve 10 dias ingresada muy grave, se me pararon los riñones. Llevo ahora 7 meses después arrastrando otros diagnosticos nuevos en riñones y cirugia gastrointestinal ya que me operaron mal y no me drenaron bien. Luego te dicen que todo va bien, que lo demas es normal.  He ido mas de 15 veces a urgencias y el resultado 10h (y no porque haya mucha gente, por mala gestión) en la sala para que alfinal solo te hagan una radiografia y un analisis, y te digan que consultes a otro medico. El hospital con mas negligencias que ninguno. Mi abuelo, murió ahí, y no dan ni una minima dignidad al fallecido ni a la familia, te despides en un box con una cortina con todo de gente alrededor y mucho ruido. Luego te echan rapido para limpiar la camilla porque la necesitan ya, pero luego la gente espera mas de 10h cuando se supone que hasta echan a los fallecidos para tener camillas. Miraos la gestión porque da vergüenza que los profesionales ni te miren a la cara cuando te hablan. No he visto sonreír a ni unx.","The worst hospital in every way. I went twice for appendicitis and they didn't detect it. On the third time, they detected it and they did not operate on me until after 1:00 p.m., when I was already intubated and on morphine and methadone, and they operated on me for PERITONITIS SINCE THEY ALLOWED THE APPENDIX TO EXPLODE, I was hospitalized for 10 days in a very serious condition, my kidneys stopped . Now, 7 months later, I have had other new diagnoses in kidney and gastrointestinal surgery since they operated on me poorly and did not drain me well. Then they tell you that everything is fine, that the rest is normal. I have been to the emergency room more than 15 times and the result is 10 hours (and not because there are many people, due to poor management) in the room so that in the end they only give you an x-ray and an analysis, and tell you to consult another doctor. The hospital with more negligence than any. My grandfather died there, and they don't give even the slightest dignity to the deceased or the family, you say goodbye in a box with a curtain with all the people around and a lot of noise. Then they throw you out quickly to clean the stretcher because they need it now, but then people wait more than 10 hours when they are supposed to even throw out the deceased to have stretchers. Look at the management because it's embarrassing that professionals don't even look at your face when they talk to you. I haven't seen even one smile.",,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNKeDVTbGJBEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICJx5SlbA%7CCgsI-cuZpQYQ6Lb-Mg%7C?hl=en-US,4.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNKeDVTbGJBEAE,,,Antonio Becerra Martínez,https://www.google.com/maps/contrib/108183033159757893154?hl=en-US,108183033159757893154,https://lh3.googleusercontent.com/a/ACg8ocLydAfxPU_fGZpkqLdLrgXQC3GQsIqok8X6YEkjHbgG=s40-c-rp-mo-ba5-br100,37.0,1.0,,,True,
