,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,likes,user.photos,images,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNKMjZEZ0VnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICJ26DgEg%7CCgwI4YGWpQYQ0JSNhgE%7C?hl=en-US,5.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNKMjZEZ0VnEAE,Un gran tracte a urgències,Raquel Rius,https://www.google.com/maps/contrib/106392484744169523772?hl=en-US,106392484744169523772,https://lh3.googleusercontent.com/a/ACg8ocI8J7hhghZPurHKkzL3mOuZbW9dWhPeGDtPIsnYZM99=s40-c-rp-mo-br100,2,Un gran tracte a urgències,A great emergency treatment,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNKNjdmQ1pBEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICJ67fCZA%7CCgwIo6qVpQYQ4JHD9wI%7C?hl=en-US,1.0,8 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNKNjdmQ1pBEAE,Mas de 5 horas de espera sin meter a ningún paciente y para colmo de pié.,Miguel “mike” Buzon,https://www.google.com/maps/contrib/106610424254467792988?hl=en-US,106610424254467792988,https://lh3.googleusercontent.com/a-/ALV-UjUXG-vKdkpxYhI8WR2uBrsSMfxTO_FrMAlubi56roLGfFVv=s40-c-rp-mo-br100,9,Mas de 5 horas de espera sin meter a ningún paciente y para colmo de pié.,"More than 5 hours of waiting without taking any patient and to make matters worse, standing.",3.0,2.0,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNKOF9fZXNnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICJ8__esgE%7CCgwIuNORpQYQoMSv_wI%7C?hl=en-US,5.0,8 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNKOF9fZXNnRRAB,"Quiero dar las gracias a todo el equipo médico/a, enfermeras/os y personal auxiliar, por su profesionalidad y trato excepcionalmente bueno recibido. Ingrese de urgencias por una neumonia bilateral y me recuperé en poco tiempo gracias a la atención recibida.",Manuel Barroso Morera,https://www.google.com/maps/contrib/113263495767229666290?hl=en-US,113263495767229666290,https://lh3.googleusercontent.com/a/ACg8ocIJKMxez60K3_OOP-d62dwXT1hGPvlIIX2AtD4PfkCW=s40-c-rp-mo-br100,1,"Quiero dar las gracias a todo el equipo médico/a, enfermeras/os y personal auxiliar, por su profesionalidad y trato excepcionalmente bueno recibido. Ingrese de urgencias por una neumonia bilateral y me recuperé en poco tiempo gracias a la atención recibida.","I want to thank the entire medical team, nurses and auxiliary staff, for their professionalism and exceptionally good treatment received. I was admitted to the emergency room due to bilateral pneumonia and I recovered in a short time thanks to the care received.",4.0,1.0,['https://lh5.googleusercontent.com/p/AF1QipOth4cptaynXgbdlIT_moQyQM6fp-LMDLyN8nGS=w100-h100-p-n-k-no'],
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNKODV2ZFJ3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICJ85vdRw%7CCgwIxMWRpQYQiM_CogM%7C?hl=en-US,2.0,8 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNKODV2ZFJ3EAE,Planta 2 Recepcion g i l i p ** a s,Eva Goc,https://www.google.com/maps/contrib/111953706689811853709?hl=en-US,111953706689811853709,https://lh3.googleusercontent.com/a-/ALV-UjXOTg_XdfNtqBPOwNs5Jqdv1H90L4YSC5ktEpytUpH5crn6=s40-c-rp-mo-ba4-br100,83,Planta 2 Recepcion g i l i p ** a s,Floor 2 Reception g and l and p ** a s,1.0,80.0,['https://lh5.googleusercontent.com/p/AF1QipNhmwnzcTys1b9KtcOLSk9LujEszxBXBAZ9479Q=w100-h100-p-n-k-no'],True
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNKdzczdzFnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICJw73w1gE%7CCgwIuueMpQYQkPXQ2AI%7C?hl=en-US,5.0,8 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNKdzczdzFnRRAB,"Un trato excelente y el personal son muy profesionales y eficientes.
Siempre que me han atendido a mi o a alguien de mi familia han sido muy amables. Muchas gracias a todos/as",rebeca mimo,https://www.google.com/maps/contrib/107199912657794850580?hl=en-US,107199912657794850580,https://lh3.googleusercontent.com/a-/ALV-UjUIz9v8Lo1_xbGo3x_y-v5YNjPlwpKFjA3jX7-D7TqxM4e1=s40-c-rp-mo-br100,12,"Un trato excelente y el personal son muy profesionales y eficientes.
Siempre que me han atendido a mi o a alguien de mi familia han sido muy amables. Muchas gracias a todos/as","Excellent treatment and the staff are very professional and efficient.
Whenever they have treated me or someone in my family they have been very kind. Thank you very much everyone",2.0,5.0,,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNKM2RPQzJ3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICJ3dOC2wE%7CCgsI_o-KpQYQiJ7VOA%7C?hl=en-US,5.0,8 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNKM2RPQzJ3RRAB,"Solo puedo decir buenas palabras de todo el equipo de la uci. En momentos que estas tan mal, como fueron de cercanos conmigo, he hicieron lo posible para ayudarme en todo, sobre todo Tania que hacía todo tipo de inventos en la noche, que era cuando peor lo pasaba, para que estuviera bien y poder dormir. Me llevó recuerdos muy buenos y risas con ellos a pesar de lo que viví, estaban muy pendientes de mi en todo momento y no me falto de nada. Solo tengo palabras de agradecimiento en especial a mis enfermeras me Laura, Claudia, Tania, Vanesa, Andrea,  también a la morenita de sant celoni,y a.los físios miguel que me reia muchísimo (algo que te hace mucha falta ) y jessica. Me dejo a gente pero son muchos  y todos geniales. X cierto los doctores de cardiologia todos ecantadores.",Fany Garcia,https://www.google.com/maps/contrib/108009068828861400023?hl=en-US,108009068828861400023,https://lh3.googleusercontent.com/a-/ALV-UjXz4YTdkpG2iIbz1zouf-xK2y9xW_ulTFneJYaNo6YjHrY=s40-c-rp-mo-ba3-br100,55,"Solo puedo decir buenas palabras de todo el equipo de la uci. En momentos que estas tan mal, como fueron de cercanos conmigo, he hicieron lo posible para ayudarme en todo, sobre todo Tania que hacía todo tipo de inventos en la noche, que era cuando peor lo pasaba, para que estuviera bien y poder dormir. Me llevó recuerdos muy buenos y risas con ellos a pesar de lo que viví, estaban muy pendientes de mi en todo momento y no me falto de nada. Solo tengo palabras de agradecimiento en especial a mis enfermeras me Laura, Claudia, Tania, Vanesa, Andrea,  también a la morenita de sant celoni,y a.los físios miguel que me reia muchísimo (algo que te hace mucha falta ) y jessica. Me dejo a gente pero son muchos  y todos geniales. X cierto los doctores de cardiologia todos ecantadores.","I can only say good words about the entire ICU team. In times when you are so bad, as they were close to me, they did everything possible to help me in everything, especially Tania who made all kinds of inventions at night, which was when it was worst, so that I would be well and be able to sleep. It brought me very good memories and laughter with them despite what I experienced, they were very attentive to me at all times and I didn't miss anything. I only have words of special thanks to my nurses, Laura, Claudia, Tania, Vanesa, Andrea, also to the brunette from Sant Celoni, and to the physios Miguel, who made me laugh a lot (something you really need) and Jessica. I leave it to people but there are many and they are all great. X true the cardiology doctors are all lovely.",1.0,22.0,,True
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNKNmVQX3BnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICJ6eP_pgE%7CCgwI6db6pAYQ4OmAzAI%7C?hl=en-US,1.0,8 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNKNmVQX3BnRRAB,"Pesima atención al cliente, fuimos 30 minutos antes y acabamos entrando 1h i pico más tarde de la que nos habían dicho, tuvimos que preguntar 3 veces para que nos hicieran caso, porque a lo primero nos decían que era normal.",Laura Pierola,https://www.google.com/maps/contrib/113088793594936304606?hl=en-US,113088793594936304606,https://lh3.googleusercontent.com/a/ACg8ocKqVsnihwwNzQrwSKjlMdMw0nTMJw1GouKPrDpN04RZ=s40-c-rp-mo-br100,4,"Pesima atención al cliente, fuimos 30 minutos antes y acabamos entrando 1h i pico más tarde de la que nos habían dicho, tuvimos que preguntar 3 veces para que nos hicieran caso, porque a lo primero nos decían que era normal.","Terrible customer service, we went 30 minutes early and ended up arriving 1 hour later than they had told us, we had to ask 3 times for them to listen to us, because at first they told us that it was normal.",2.0,,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNKNmVMYnJnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICJ6eLbrgE%7CCgwIh6n6pAYQ2IfxogE%7C?hl=en-US,1.0,8 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNKNmVMYnJnRRAB,"Todxs los que trabajan en administración son incompetentes y maleducados. La manera en que te contestan y ponen unas caras, a ver si no quieren trabajar la puerta está bien abierta. No sé cómo podéis contratar a gente así.",Trecy NPS,https://www.google.com/maps/contrib/101592870396904518312?hl=en-US,101592870396904518312,https://lh3.googleusercontent.com/a/ACg8ocKT1WuCJqTEpm5iQpgCrA8l7QOKqb5mwlrAiBZ0qfeC=s40-c-rp-mo-br100,7,"Todxs los que trabajan en administración son incompetentes y maleducados. La manera en que te contestan y ponen unas caras, a ver si no quieren trabajar la puerta está bien abierta. No sé cómo podéis contratar a gente así.","Everyone who works in administration is incompetent and rude. The way they answer you and make faces, let's see if they don't want to work the door is wide open. I don't know how you can hire people like that.",7.0,,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNKcHBiZVNnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICJppbeSg%7CCgwI27HlpAYQ6Njf-wE%7C?hl=en-US,1.0,8 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNKcHBiZVNnEAE,,Ahmad,https://www.google.com/maps/contrib/101178902974488730008?hl=en-US,101178902974488730008,https://lh3.googleusercontent.com/a-/ALV-UjVFfChzlmRm-CAIxfpWaa4oBImjZG1-Xn-daSkX94_nREw=s40-c-rp-mo-ba2-br100,31,,,,,,True
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNKc3RlZ1NnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICJstegSg%7CCgwIxsDbpAYQwMKqrgM%7C?hl=en-US,5.0,8 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNKc3RlZ1NnEAE,Excellent care and comendable public service. Totally hospitable and great collegiate atmosphere between doctors and patients.,Mike Lyroudias,https://www.google.com/maps/contrib/115857106889184734104?hl=en-US,115857106889184734104,https://lh3.googleusercontent.com/a/ACg8ocLvLOXVRUADslqCEeZAZehzJJxakQEx4cTn3UzOxzEc=s40-c-rp-mo-br100,8,,,,1.0,,
