,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,user.local_guide,user.photos,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNKM01QVHh3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICJ3MPTxwE%7CCgwI6rPTpAYQ2P7O0gM%7C?hl=en-US,1.0,8 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNKM01QVHh3RRAB,Fatal!! Cada vez está peor la sanidad pública!!,3.0,Lidia Menéndez Córdoba,https://www.google.com/maps/contrib/112758926699972397918?hl=en-US,112758926699972397918,https://lh3.googleusercontent.com/a-/ALV-UjVpOqnyN47rlCV1yZSovaCCXtPkjW_UhEHjzOM4gJnbQQ=s40-c-rp-mo-br100,3,Fatal!! Cada vez está peor la sanidad pública!!,Fatal!! Public health is getting worse!!,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMtekt1NmpnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC-zKu6jgE%7CCgwIxrrGpAYQ4M2hzwM%7C?hl=en-US,1.0,8 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUMtekt1NmpnRRAB,"- 9 horas de espera para una urgencia.
- Sala de espera en el rellano del ascensor.
- TURNO DE NOCHE:
mala educación de los doctores (jóvenes), falta de respeto, trato inhumano y con prisas, etc. Escuché como decían mi nombre en alto y seguido de ""¿qué x le pasa?""
- médicos bebiendo ""MONSTER"" mientras se pasean por el pasillo.
- Un 10 por las enfermeras pero ellos (los doctores) deberian pensarse bién si és lo que quieren hacer toda su vida.
P.d: id con algo en el estómago porque allí no te dan ni agua y no puedes salir a la calle porque se considera q eres de su responsabilidad.",6.0,UFO FIGHTER,https://www.google.com/maps/contrib/108758402028759845779?hl=en-US,108758402028759845779,https://lh3.googleusercontent.com/a-/ALV-UjVL5vdrCPBe7qA2jLjzzIXpRvp6WV60kh2e9EgoP0gFVdk=s40-c-rp-mo-ba3-br100,59,"- 9 horas de espera para una urgencia.
- Sala de espera en el rellano del ascensor.
- TURNO DE NOCHE:
mala educación de los doctores (jóvenes), falta de respeto, trato inhumano y con prisas, etc. Escuché como decían mi nombre en alto y seguido de ""¿qué x le pasa?""
- médicos bebiendo ""MONSTER"" mientras se pasean por el pasillo.
- Un 10 por las enfermeras pero ellos (los doctores) deberian pensarse bién si és lo que quieren hacer toda su vida.
P.d: id con algo en el estómago porque allí no te dan ni agua y no puedes salir a la calle porque se considera q eres de su responsabilidad.","- 9 hours of waiting for an emergency.
- Waiting room on the elevator landing.
- NIGHT SHIFT:
poor education of (young) doctors, lack of respect, inhumane and rushed treatment, etc. I heard them say my name out loud and followed by ""what's wrong with you?""
- doctors drinking ""MONSTER"" while walking down the hall.
- A 10 for the nurses but they (the doctors) should think carefully about whether this is what they want to do all their lives.
P.s: go with something in your stomach because they don't even give you water there and you can't go outside because it is considered that you are their responsibility.",True,28.0,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR4bjhuckJREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDxn8nrBQ%7CCgwIuIm4pAYQ0K_lswM%7C?hl=en-US,4.0,8 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR4bjhuckJREAE,"El Hospital Clínic de Barcelona demostró ser una institución médica de primera clase durante nuestra reciente experiencia operatoria. El trato excepcional del personal de planta y doctores, especialmente del Dr. Carmona, fue inigualable. La rapidez y eficacia con que reaccionaron durante los momentos de alarma nos brindó una tranquilidad invaluable. El Dr. Carmona y su equipo realizaron una intervención magistral, y por ello estamos eternamente agradecidos.

Sin embargo, la cocina del hospital fue un punto bajo en nuestra estancia. La falta de variedad y comunicación entre los doctores y nutricionistas resultó en repetición de menús. La foto que adjunto es el mismo menú 5 veces seguidas, lo que deja espacio para mejoras. A pesar de este inconveniente, la calidad de la atención médica en el Hospital Clínic compensa ampliamente este detalle. Sin duda, es una institución que se destaca por su profesionalismo y humanidad. Gracias",,Héctor,https://www.google.com/maps/contrib/105600760902609739678?hl=en-US,105600760902609739678,https://lh3.googleusercontent.com/a-/ALV-UjV0QCbcPCpF7Ifb-qeQ_rkYA2Io2x8-4oDUlllsIC-8RLrE=s40-c-rp-mo-ba4-br100,49,"El Hospital Clínic de Barcelona demostró ser una institución médica de primera clase durante nuestra reciente experiencia operatoria. El trato excepcional del personal de planta y doctores, especialmente del Dr. Carmona, fue inigualable. La rapidez y eficacia con que reaccionaron durante los momentos de alarma nos brindó una tranquilidad invaluable. El Dr. Carmona y su equipo realizaron una intervención magistral, y por ello estamos eternamente agradecidos.

Sin embargo, la cocina del hospital fue un punto bajo en nuestra estancia. La falta de variedad y comunicación entre los doctores y nutricionistas resultó en repetición de menús. La foto que adjunto es el mismo menú 5 veces seguidas, lo que deja espacio para mejoras. A pesar de este inconveniente, la calidad de la atención médica en el Hospital Clínic compensa ampliamente este detalle. Sin duda, es una institución que se destaca por su profesionalismo y humanidad. Gracias","The Hospital Clínic of Barcelona proved to be a first-class medical institution during our recent operative experience. The exceptional treatment of the staff and doctors, especially Dr. Carmona, was unmatched. The speed and effectiveness with which they reacted during moments of alarm gave us invaluable peace of mind. Dr. Carmona and his team performed a masterful intervention, and for that we are eternally grateful.

However, the hospital kitchen was a low point in our stay. The lack of variety and communication between doctors and nutritionists resulted in repetition of menus. The photo I attached is the same menu 5 times in a row, which leaves room for improvement. Despite this inconvenience, the quality of medical care at the Hospital Clínic more than compensates for this detail. Without a doubt, it is an institution that stands out for its professionalism and humanity. Thank you",True,29.0,['https://lh5.googleusercontent.com/p/AF1QipPW6-CSamKb60IH7lveaRVEww66WLgjgjgUB5zt=w100-h100-p-n-k-no']
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR4eDdYYzdBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDxx7Xc7AE%7CCgwIxPyvpAYQ6MGZhAM%7C?hl=en-US,4.0,8 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUR4eDdYYzdBRRAB,Algo desorganizado y poca informacion,,Manuel Marin,https://www.google.com/maps/contrib/111723660524772978100?hl=en-US,111723660524772978100,https://lh3.googleusercontent.com/a-/ALV-UjWIo0-oSmZoMkeIsYR_SSZ6MPi8w8aTHipgyA9V44z7TV27=s40-c-rp-mo-ba5-br100,286,Algo desorganizado y poca informacion,Somewhat disorganized and little information,True,447.0,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR4dTctUWtnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDxu7-QkgE%7CCgwIk9WtpAYQ6P3LwwI%7C?hl=en-US,2.0,8 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUR4dTctUWtnRRAB,"Muy lenta atención en la guardia
5 horas de demora !!!
Esto es primer mundo????",1.0,Miguel Asla,https://www.google.com/maps/contrib/102648302151756154052?hl=en-US,102648302151756154052,https://lh3.googleusercontent.com/a-/ALV-UjUqhJj3YBNJ7o3MoSUbPEWPMwpD3t0k2fLxpmOocb_w-pg=s40-c-rp-mo-ba4-br100,92,"Muy lenta atención en la guardia
5 horas de demora !!!
Esto es primer mundo????","Very slow attention on guard
5 hours late!!!
This is first world????",True,87.0,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR4ZzVhYURREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDxg5aaDQ%7CCgsI78impAYQwOKlQw%7C?hl=en-US,1.0,8 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR4ZzVhYURREAE,,,Aleix Garcia Holgado,https://www.google.com/maps/contrib/113577313036805347680?hl=en-US,113577313036805347680,https://lh3.googleusercontent.com/a-/ALV-UjX7ua0-TaeoXBdYucOZx1_mVxhpGbPUZmoBfSu008Wy-k6s=s40-c-rp-mo-ba2-br100,8,,,True,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR4cmQtYUJnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDxrd-aBg%7CCgwIuPmhpAYQ2IP4qwI%7C?hl=en-US,5.0,8 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR4cmQtYUJnEAE,"Hospital, la paraula ja ho diu tot",1.0,Dolça Vita,https://www.google.com/maps/contrib/117798103102389580657?hl=en-US,117798103102389580657,https://lh3.googleusercontent.com/a-/ALV-UjXyF7VJI3inRAD_cLSH8zFo1AmdMQJJzdi65ct1j-UeNdU=s40-c-rp-mo-ba4-br100,33,"Hospital, la paraula ja ho diu tot","Hospital, the word says it all",True,7.0,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNPN3NmRU5nEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICO7sfENg%7CCgwImMOgpAYQwJ3nhQI%7C?hl=en-US,1.0,8 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNPN3NmRU5nEAE,"Un hospital donde guardo un trágico y poco profesional recuerdo, la muerte de un  familiar y sus mecánicos, inhumanos, e indiferentes métodos o protocolos como ellos denominan a dicho  trabajo, hacia los ancianos.

Horrible, horrible.

1 de enero 2021 planta 2, Covid.   ...",6.0,Silvia G.Armesto,https://www.google.com/maps/contrib/115770869620160599902?hl=en-US,115770869620160599902,https://lh3.googleusercontent.com/a-/ALV-UjWkUs5rJggih7PsmzzN52bL_CJcJePQ3ZIQ0Dmxlb-1vFvM=s40-c-rp-mo-br100,4,"Un hospital donde guardo un trágico y poco profesional recuerdo, la muerte de un  familiar y sus mecánicos, inhumanos, e indiferentes métodos o protocolos como ellos denominan a dicho  trabajo, hacia los ancianos.

Horrible, horrible.

1 de enero 2021 planta 2, Covid.   ...","A hospital where I keep a tragic and unprofessional memory, the death of a family member and its mechanics, inhumane, and indifferent methods or protocols as they call said work, towards the elderly.

Horrible, horrible.

January 1, 2021 floor 2, Covid. ...",,125.0,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR4dGVhbjl3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDxtean9wE%7CCgwIhJCepAYQ8JHOggE%7C?hl=en-US,1.0,8 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUR4dGVhbjl3RRAB,Por protocolos dejan morir a  personas jovenes no hacen nada por salvar vidas humanas,2.0,Mercedes Luque,https://www.google.com/maps/contrib/116311712826032532207?hl=en-US,116311712826032532207,https://lh3.googleusercontent.com/a/ACg8ocLbdAXE_aFLhlUiAjX1NEWPrAS3ifmmU9DuyqDSb44C=s40-c-rp-mo-br100,5,Por protocolos dejan morir a  personas jovenes no hacen nada por salvar vidas humanas,"Due to protocols, they let young people die and do nothing to save human lives.",,,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR4cGFQWlFBEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDxpaPZQA%7CCgsIyNibpAYQiO2gMw%7C?hl=en-US,1.0,8 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR4cGFQWlFBEAE,"Hola buenos días.
Me siento muy decepciona por la organización recibida.
Me han de retirar el portacat,programado para mayo,me anulan dos visitas por teléfono y hoy día 12 de junio que me la programan por vía telefónica y cuando estoy allí en la sala, una hora esperando ,pregunto y me dicen que no estoy programada que me han llamado para anularlo para el día 26 de junio telefónica mente(añadir otra manera de comunicarse con el usuario ),hablo
con la coordinadora imposible colocarme hoy.
Así que me voy para casa sin quitármelo.
Por porfavor arreglen el circuito,que no levuelva a suceer a nadie.Gracias",5.0,Sonia Louzao,https://www.google.com/maps/contrib/115959151614668495132?hl=en-US,115959151614668495132,https://lh3.googleusercontent.com/a-/ALV-UjX_5ke_W2FWrD06TKbelL5UNy_lT00Lrhn4Gld4daAi34M=s40-c-rp-mo-br100,11,"Hola buenos días.
Me siento muy decepciona por la organización recibida.
Me han de retirar el portacat,programado para mayo,me anulan dos visitas por teléfono y hoy día 12 de junio que me la programan por vía telefónica y cuando estoy allí en la sala, una hora esperando ,pregunto y me dicen que no estoy programada que me han llamado para anularlo para el día 26 de junio telefónica mente(añadir otra manera de comunicarse con el usuario ),hablo
con la coordinadora imposible colocarme hoy.
Así que me voy para casa sin quitármelo.
Por porfavor arreglen el circuito,que no levuelva a suceer a nadie.Gracias","Hello good morning.
I feel very disappointed by the organization received.
They have to remove my portacat, scheduled for May, they cancel two visits by phone and today, June 12, they schedule it for me by phone and when I am there in the room, waiting for an hour, I ask and they tell me that I am not scheduled They have called me to cancel it by telephone on June 26 (add another way to communicate with the user), I speak
With the coordinator it was impossible to place me today.
So I go home without taking it off.
Please fix the circuit so it doesn't happen to anyone again. Thank you",,,
