,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR4Z2RhbHFBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDxgdalqAE%7CCgwIv7OMpAYQwKWNswE%7C?hl=en-US,2.0,8 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUR4Z2RhbHFBRRAB,Necesita ser remodelado,1.0,Pepón Cape Verde,https://www.google.com/maps/contrib/100652482588334493897?hl=en-US,100652482588334493897,https://lh3.googleusercontent.com/a-/ALV-UjWbWHfQjdS6vT07A6y_OIETmuCrKhrABqyvAZAHVfwvpQ=s40-c-rp-mo-ba4-br100,True,108,1.0,Necesita ser remodelado,Needs to be remodeled
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR4aW9YYVlREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDxioXaYQ%7CCgsI9dr4owYQ6MCkQQ%7C?hl=en-US,5.0,8 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR4aW9YYVlREAE,,,OLGA RAVENTOS,https://www.google.com/maps/contrib/118171249918480650511?hl=en-US,118171249918480650511,https://lh3.googleusercontent.com/a/ACg8ocJHmUbURKyzj9gqr4p3a4XtTDiD3DbsbzLIqMm6xUMf=s40-c-rp-mo-ba4-br100,True,77,308.0,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR4bEp5M2tBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDxlJy3kAE%7CCgwIkp7nowYQsIX6zAI%7C?hl=en-US,1.0,9 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUR4bEp5M2tBRRAB,"""Solo entenderéis el dolor que causasteis cuando el dolor os atrape a vosotros""",4.0,Miguel Angel,https://www.google.com/maps/contrib/118128453308133538211?hl=en-US,118128453308133538211,https://lh3.googleusercontent.com/a-/ALV-UjXbVKgQ5zlUmhQ2rD82W_BaPxUKHFgqy3t-tDbmDvYgPA=s40-c-rp-mo-br100,,3,,"""Solo entenderéis el dolor que causasteis cuando el dolor os atrape a vosotros""","""You will only understand the pain you caused when the pain catches you"""
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCLXItRmR3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDB-r-Fdw%7CCgsIyb3mowYQoObtNQ%7C?hl=en-US,5.0,9 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURCLXItRmR3EAE,"Fue muy bien me operaron y aunque fue complicado, lo lograron! Gracias por salvarme la vida Clínic! Agradezco todo el esfuerzo!
Gracias",,Gabriel Furgiuele,https://www.google.com/maps/contrib/114390111509587291458?hl=en-US,114390111509587291458,https://lh3.googleusercontent.com/a-/ALV-UjWa6xiIcRY6twyFvF3dlhE_jNP-HIgGod0clRUN6WWjHyKw=s40-c-rp-mo-ba4-br100,True,178,16.0,"Fue muy bien me operaron y aunque fue complicado, lo lograron! Gracias por salvarme la vida Clínic! Agradezco todo el esfuerzo!
Gracias","It went very well, they operated on me and although it was complicated, they did it! Thank you for saving my life Clínic! I appreciate all the effort!
Thank you"
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR4aUl2RXB3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDxiIvEpwE%7CCgwIxpLdowYQkOPFtAI%7C?hl=en-US,1.0,9 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUR4aUl2RXB3RRAB,"Esta mañana he estado en la planta 4, ala Rosello (UROLOGIA), y después de una hora y media de esperar a que la persona que acompañaba sea atendida, me acerque al mostrador.
Alli, una señora, rubia con gafas (administrativa/funcionaria), a la que le pregunte, si por favor, me podía decir si aun quedaba mucho para que la Dra. atienda a mi compañero, simplemente me miro y me dijo ""-NO VES QUE LA SALA ESTA LLENA?"" a lo que respondí, -Claro que lo veo, pero podrías mirar a ver cuanto falta para que salga su numero? y me ha contestado de malas maneras que NO!!!
No entiendo que gente que no esta ni capacitada ni formada para estar de cara al publico la pongan a atender pacientes que estan en una situación complicada, nadie va al medico porque le guste.
Por favor, quitar a esta señora de allí, que da vergüenza.
Este mensaje no es generalizado, pero si personalizado, si no le gusta su trabajo que pida un cambio de sección,  o un traslado o que coja la baja.",9.0,Ciro Te,https://www.google.com/maps/contrib/104837056865034407153?hl=en-US,104837056865034407153,https://lh3.googleusercontent.com/a/ACg8ocL4sZhqwfJ6WE_92MQDa7PL4F-4ZxWtoy2GpOYeNzD5=s40-c-rp-mo-ba4-br100,True,77,17.0,"Esta mañana he estado en la planta 4, ala Rosello (UROLOGIA), y después de una hora y media de esperar a que la persona que acompañaba sea atendida, me acerque al mostrador.
Alli, una señora, rubia con gafas (administrativa/funcionaria), a la que le pregunte, si por favor, me podía decir si aun quedaba mucho para que la Dra. atienda a mi compañero, simplemente me miro y me dijo ""-NO VES QUE LA SALA ESTA LLENA?"" a lo que respondí, -Claro que lo veo, pero podrías mirar a ver cuanto falta para que salga su numero? y me ha contestado de malas maneras que NO!!!
No entiendo que gente que no esta ni capacitada ni formada para estar de cara al publico la pongan a atender pacientes que estan en una situación complicada, nadie va al medico porque le guste.
Por favor, quitar a esta señora de allí, que da vergüenza.
Este mensaje no es generalizado, pero si personalizado, si no le gusta su trabajo que pida un cambio de sección,  o un traslado o que coja la baja.","This morning I was on the 4th floor, Rosello wing (UROLOGY), and after an hour and a half of waiting for the person I was accompanying to be attended to, I approached the counter.
There, a lady, blonde with glasses (administrative/official), to whom I asked, could you please tell me if there was still a long way to go for the doctor to attend to my colleague, she simply looked at me and said ""-NO DO YOU SEE THAT THE ROOM IS FULL?"" to which I responded, -Of course I see it, but could you look to see how long it will take until his number comes out? and he rudely answered NO!!!
I don't understand that people who are neither trained nor trained to face the public are put to care for patients who are in a complicated situation, no one goes to the doctor because they like it.
Please remove this lady from there, she is embarrassing.
This message is not generalized, but it is personalized, if you do not like your job, ask for a change of section, or a transfer or to take a leave of absence."
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR4OEpQOE9BEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDx8JP8OA%7CCgsI8q_cowYQ-IyiXg%7C?hl=en-US,4.0,9 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR4OEpQOE9BEAE,"Ingrés urgent per intervenció de vesícula biliar. Tracte tant de metges com de personal d'infermeria, immillorable, excel-lent.
Condicions higièniques de l'habitació: bastant que dessitjar. Plat de dutxa amb taques verdes i d'òxid, que no desapareixíen cap dia.
Utilització de cunyes: tornades al seu suport de la paret sense ni tan sol haver-les passat per una mica d'aigua.
Lamentable.",3.0,Josep Soler,https://www.google.com/maps/contrib/116400948967282719169?hl=en-US,116400948967282719169,https://lh3.googleusercontent.com/a-/ALV-UjWB3LkLPoY8kesKJQLYUoOZvczqcMxryzEhEvOVZdIBrSM=s40-c-rp-mo-br100,,2,,"Ingrés urgent per intervenció de vesícula biliar. Tracte tant de metges com de personal d'infermeria, immillorable, excel-lent.
Condicions higièniques de l'habitació: bastant que dessitjar. Plat de dutxa amb taques verdes i d'òxid, que no desapareixíen cap dia.
Utilització de cunyes: tornades al seu suport de la paret sense ni tan sol haver-les passat per una mica d'aigua.
Lamentable.","Urgent admission for gallbladder surgery. Treatment of both doctors and nursing staff, unbeatable, excellent.
Hygienic conditions of the room: much to be desired. Shower tray with green and rust stains, which did not disappear in a day.
Using wedges: back to their wall support without even passing them through a bit of water.
regrettable"
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN4di12bWhnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICxv-vmhgE%7CCgwI_ZzUowYQ2L6f0wE%7C?hl=en-US,1.0,9 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUN4di12bWhnRRAB,"I write this with pain in my heart. I had the worst experience I ever had in my life. That extremely rude and obnoxious woman who introduce herself as Rosa Cester explain to me and a friend of mine that we have to leave because we don't belong there and she threatened us that will fire me. She didn't even know me and yet she was ridiculous and obsessed with me, because I asked what position she takes in the establishment.
Find another place and stay away from that woman!!!",2.0,John D.,https://www.google.com/maps/contrib/106333479872033679699?hl=en-US,106333479872033679699,https://lh3.googleusercontent.com/a/ACg8ocIl9WhrKiByv2mJJLdWWDw1RMOvgO39ATNVkeM1Js41=s40-c-rp-mo-br100,,4,,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN4M19HeE5BEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICx3_GxNA%7CCgwI-rzTowYQ-Kqs_gE%7C?hl=en-US,5.0,9 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN4M19HeE5BEAE,En la planta de ginecologia situado en la escalera5 planta 3 el trato de todo el equipo de enfermeria ha sido de 10 en todos los turnos incluso en fin de semana . Muchisimas gracias por todo,2.0,Mireia Bosch Garcia,https://www.google.com/maps/contrib/109615683414238953986?hl=en-US,109615683414238953986,https://lh3.googleusercontent.com/a/ACg8ocLmyjfbG00ee_97B1EXlxk4w-Nt9-NBkd86gUONWSjh=s40-c-rp-mo-br100,,1,,En la planta de ginecologia situado en la escalera5 planta 3 el trato de todo el equipo de enfermeria ha sido de 10 en todos los turnos incluso en fin de semana . Muchisimas gracias por todo,"On the gynecology floor located on the 5th floor, 3rd floor, the treatment of the entire nursing team has been 10 in all shifts, even on weekends. Thank you very much for everything"
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN4bl9QeXNBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICxn_PysAE%7CCgwIl_bSowYQsJLv6gI%7C?hl=en-US,5.0,9 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUN4bl9QeXNBRRAB,"Hoy me han hecho una colonoscopia en este hospital. Trato excelente, amable, muy profesional y humano. A las pocas preguntas que realicé, las respuestas fueron esclarecedoras y amables tanto de la enfermera, el anestesista y el médico. El único inconveniente fue la espera de 50' desde la hora que me citaron, no suficiente para bajar la nota.
No lo sé, pero creo que debe ser uno de los mejores hospitales de Catalunya y del estado español.
Muchas gracias.",,RICARDO MAROTO PICO,https://www.google.com/maps/contrib/114357541356812320553?hl=en-US,114357541356812320553,https://lh3.googleusercontent.com/a/ACg8ocIqZGJpVgyurXoMZmsMvfP-_oiWV_kUexcaHua5EDBj=s40-c-rp-mo-br100,,2,5.0,"Hoy me han hecho una colonoscopia en este hospital. Trato excelente, amable, muy profesional y humano. A las pocas preguntas que realicé, las respuestas fueron esclarecedoras y amables tanto de la enfermera, el anestesista y el médico. El único inconveniente fue la espera de 50' desde la hora que me citaron, no suficiente para bajar la nota.
No lo sé, pero creo que debe ser uno de los mejores hospitales de Catalunya y del estado español.
Muchas gracias.","Today I had a colonoscopy at this hospital. Excellent treatment, friendly, very professional and humane. To the few questions I asked, the answers were enlightening and kind from both the nurse, the anesthetist and the doctor. The only drawback was the 50' wait from the time I was scheduled, not enough to lower the grade.
I don't know, but I think it must be one of the best hospitals in Catalonia and the Spanish state.
Thank you so much."
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN4bjZTb1h3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICxn6SoXw%7CCgwI9r_SowYQqP_RrAI%7C?hl=en-US,2.0,9 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN4bjZTb1h3EAE,"Me fui a urgencias hoy (29/05/23) porque me encontraba muy mal en el tren de camino a mi trabajo, y he alucinado con la agresividad de la persona en carga de hacer la primera prueba de tensión en planta -1 (mujer con ojos azules y gafas, pelo castaño, de edad entre 25/35) : ella me recrimino por no haber ido primero a mi medico de cabecera, intenté explicarle lo que me pasaba pero me cortó y me dijo ""igual es un dolor de uñas"". He preferido callarme para poder ver a alguien que me haga una valoración, en vez de una critica gratis y injusta. Cuando alguien se va a urgencias, es porque realmente se encuentra mal, no por pasar el tiempo y molestar. Puede ser que algunas personas exageran, pero creo que se ve en el histórico del paciente en la tarjeta sanitaria, o en su número de visitas al dicho hospital. Además, este día no había mucha gente en urgencias para justificar perderse los nervios hablándome con tanto desprecio y poca humanidad. Sinceramente no lo he entendido. El resto de la plantilla, por suerte no me ha transmitido la misma agresividad.",8.0,Flavia,https://www.google.com/maps/contrib/109374651232388284571?hl=en-US,109374651232388284571,https://lh3.googleusercontent.com/a/ACg8ocKF6nKd65VWO7UxB1x0T8tOwdUj7gyWEtpcX6GJKaVE=s40-c-rp-mo-br100,,9,,"Me fui a urgencias hoy (29/05/23) porque me encontraba muy mal en el tren de camino a mi trabajo, y he alucinado con la agresividad de la persona en carga de hacer la primera prueba de tensión en planta -1 (mujer con ojos azules y gafas, pelo castaño, de edad entre 25/35) : ella me recrimino por no haber ido primero a mi medico de cabecera, intenté explicarle lo que me pasaba pero me cortó y me dijo ""igual es un dolor de uñas"". He preferido callarme para poder ver a alguien que me haga una valoración, en vez de una critica gratis y injusta. Cuando alguien se va a urgencias, es porque realmente se encuentra mal, no por pasar el tiempo y molestar. Puede ser que algunas personas exageran, pero creo que se ve en el histórico del paciente en la tarjeta sanitaria, o en su número de visitas al dicho hospital. Además, este día no había mucha gente en urgencias para justificar perderse los nervios hablándome con tanto desprecio y poca humanidad. Sinceramente no lo he entendido. El resto de la plantilla, por suerte no me ha transmitido la misma agresividad.","I went to the emergency room today (05/29/23) because I was feeling very bad on the train on the way to work, and I was amazed by the aggressiveness of the person in charge of doing the first stress test on floor -1 (woman with blue eyes and glasses, brown hair, age between 25/35) : she reproached me for not having gone to my family doctor first, I tried to explain what was happening to me but she cut me off and told me ""it's still a nail pain "". I have preferred to keep quiet so I can see someone who gives me an evaluation, instead of free and unfair criticism. When someone goes to the emergency room, it is because they really feel bad, not to waste time and bother. It may be that some people exaggerate, but I think it can be seen in the patient's history on the health card, or in their number of visits to that hospital. Besides, there weren't many people in the emergency room this day to justify losing his temper by speaking to me with such contempt and lack of humanity. I honestly haven't understood it. The rest of the squad, luckily, has not transmitted the same aggressiveness to me."
