,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,likes,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSdGNIVjNRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDRtcHV3QE%7CCgwI0ay6ogYQ0IvcwAE%7C?hl=en-US,5.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSdGNIVjNRRRAB,Uno de los mejores y más avanzados de Europa,Joan “Aldespy” Fradera,https://www.google.com/maps/contrib/117668545330667522271?hl=en-US,117668545330667522271,https://lh3.googleusercontent.com/a-/ALV-UjVuFPciiTgFKU5vl-xBzN50jBWSrBL7gDd-q8nIRebg-KsN=s40-c-rp-mo-ba6-br100,True,329,133.0,Uno de los mejores y más avanzados de Europa,One of the best and most advanced in Europe,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSLWRtd3p3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDR-dmwzwE%7CCgwIt4C0ogYQ2KL5wAM%7C?hl=en-US,5.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSLWRtd3p3RRAB,Muy contante con el trato y la pedicura que me hicieron fue fantástica. Me pusieron uña gelatina que me dejaron los pies muy relajados e hidratados.  Las chicas muy amables y simpáticas. Muy recomendable!!,Paula Lopez,https://www.google.com/maps/contrib/112329843410636486262?hl=en-US,112329843410636486262,https://lh3.googleusercontent.com/a/ACg8ocLhWPnqwjEJnt2mu02oKpWy9KGKFSHwPiKZbbMGnOZJ=s40-c-rp-mo-br100,,7,1.0,Muy contante con el trato y la pedicura que me hicieron fue fantástica. Me pusieron uña gelatina que me dejaron los pies muy relajados e hidratados.  Las chicas muy amables y simpáticas. Muy recomendable!!,Very happy with the treatment and the pedicure they gave me was fantastic. They put a gelatin nail on me that left my feet very relaxed and hydrated. The girls are very kind and friendly. Highly recommended!!,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSaWNHbnhRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDRicGnxQE%7CCgwIj_OsogYQiM2ErAI%7C?hl=en-US,1.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSaWNHbnhRRRAB,Te dicen hace más de 2 horas que vendrá un camillero a llevarte a planta y aquí seguimos esperando y mientras   de  conversación entre ellos  así va la sanidad,Vane Martinez,https://www.google.com/maps/contrib/107797599076118273854?hl=en-US,107797599076118273854,https://lh3.googleusercontent.com/a-/ALV-UjVcP8G75Dyb30d-X0-2AsUs099bQ_ucWlBKUxiWzo_m3Pf0=s40-c-rp-mo-ba4-br100,True,24,1.0,Te dicen hace más de 2 horas que vendrá un camillero a llevarte a planta y aquí seguimos esperando y mientras   de  conversación entre ellos  así va la sanidad,"They told you more than 2 hours ago that an orderly will come to take you to the ward and here we continue waiting and while they talk between them, this is how health is going.",1.0,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSb1lENDBnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDRoYD40gE%7CCgsIwNGmogYQqNyPPg%7C?hl=en-US,5.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSb1lENDBnRRAB,"Es un hospital, considerado el segundo mejor de España.",pepeillo rodriguez,https://www.google.com/maps/contrib/110166903062402793834?hl=en-US,110166903062402793834,https://lh3.googleusercontent.com/a/ACg8ocJvE7yGUt2ttx-jKeSWala4Dsj_L_fqcvmPZFpKllDY=s40-c-rp-mo-ba4-br100,True,64,58.0,"Es un hospital, considerado el segundo mejor de España.","It is a hospital, considered the second best in Spain.",,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURScG9fX0h3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDRpo__Hw%7CCgsIy6iZogYQ2N7TTw%7C?hl=en-US,5.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURScG9fX0h3EAE,Buena atención y buenas instalaciones,Paulo Carrillo Peña (panicape),https://www.google.com/maps/contrib/103423860322766423717?hl=en-US,103423860322766423717,https://lh3.googleusercontent.com/a-/ALV-UjUIqhIKQmPgK9D5x60T5x5ZVjShGOl3dZPxIof2NBNtbgcM=s40-c-rp-mo-ba5-br100,True,290,290.0,Buena atención y buenas instalaciones,Good service and good facilities,,['https://lh5.googleusercontent.com/p/AF1QipPFsNzC_EhyQdYOZLRpy0KB-UWyTkIkfCvvbsqP=w100-h100-p-n-k-no']
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSeXB6RTJ3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDRypzE2wE%7CCgwIisCPogYQiLy0jQM%7C?hl=en-US,5.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSeXB6RTJ3RRAB,Todo perfecto en cuanto a la atención al paciente. Lo que es de gran desagrado es la dificultad del acompañante para quedarse por la noche. Muchos venimos de casi 100 kilómetros. Creo que tenemos un papel importante en la evolución y recuperación del enfermo. En conclusión son muchos los pacientes que se quedan solos,Ana Maria Rodríguez Caamaño,https://www.google.com/maps/contrib/117084212360642839363?hl=en-US,117084212360642839363,https://lh3.googleusercontent.com/a/ACg8ocKr5OGIL-lP97SlXMUcwag-NXjSsfHQKsEHKZLbrjGY=s40-c-rp-mo-br100,,10,,Todo perfecto en cuanto a la atención al paciente. Lo que es de gran desagrado es la dificultad del acompañante para quedarse por la noche. Muchos venimos de casi 100 kilómetros. Creo que tenemos un papel importante en la evolución y recuperación del enfermo. En conclusión son muchos los pacientes que se quedan solos,"Everything perfect in terms of patient care. What is of great displeasure is the difficulty of the companion staying overnight. Many of us come from almost 100 kilometers. I believe that we have an important role in the evolution and recovery of the patient. In conclusion, there are many patients who are left alone",4.0,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSc3M3TkRREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDRss7NDQ%7CCgwIrZuMogYQqLzlkQI%7C?hl=en-US,1.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURSc3M3TkRREAE,"Los especialistas, muy buenos, el servicio y espacio de urgencias INCREIBLEMENTE PATETICO, DESASTROSO, DENUNCIABLE Y UN LARGO ETC ETC",Ana Abril,https://www.google.com/maps/contrib/108260280197456420165?hl=en-US,108260280197456420165,https://lh3.googleusercontent.com/a/ACg8ocIwELcEaI8VV7pWadblfoVLNuVV9TnN5NrEL7cSebf6=s40-c-rp-mo-br100,,7,1.0,"Los especialistas, muy buenos, el servicio y espacio de urgencias INCREIBLEMENTE PATETICO, DESASTROSO, DENUNCIABLE Y UN LARGO ETC ETC","The specialists, very good, the emergency service and space INCREDIBLY PATHETIC, DISASTROUS, REPORTABLE AND A LONG ETC ETC",,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSc3R5UEV3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDRstyPEw%7CCgwIp_qLogYQqIOPsQM%7C?hl=en-US,5.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURSc3R5UEV3EAE,Estupendo trato y buenos profesionales,Jordi Aixendri,https://www.google.com/maps/contrib/110548217800536109376?hl=en-US,110548217800536109376,https://lh3.googleusercontent.com/a-/ALV-UjXqeXm2iE8zsucyLtD-lIA9fHBfPdVoNRwPVFuhajXCSw=s40-c-rp-mo-ba3-br100,True,32,8.0,Estupendo trato y buenos profesionales,Great treatment and good professionals,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSb3FfbXNRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDRoq_msQE%7CCgwI5ZaJogYQ2LPLiwI%7C?hl=en-US,1.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSb3FfbXNRRRAB,"IMPOSSIBLE contactar per telèfon. Quan marques l'extensió corresponent, un missatge en castellà respón ""la entraadaaa.."" sense res més i tornes al menú principal, etern. És un bucle sense sortida que impedeix contactar amb ningú ni tan sols hi ha opció a parlar amb la centraleta.
És una vergonya que no es pugui contactar telefònicament amb un hospital, i els hi sigui tot igual, ells al seu món i si els pacients hem de contactar-hi, doncs problema nostre.

És la voluntat de no fer les coses bé, de total desídia, perquè amb els mitjans actuals, la centraleta HA DE FUNCIONAR CORRECTAMENT.

Com tampoc té cap sentit que s'anul·lin cursos i tallers per culpa de l'atac informàtic, quan fer tallers presencials no té res a veure amb un atac informàtic i si són capaços d'enviar un correu desconvocant, és que tenen totes les dades dels participants!

És aprofitar un incident per no treballar, fer el mínim del mínim sabent que, sent públic, no hi haurà conseqüències a la feina mal feta i al pasotisme, demostrant el poc respecte que mereixen els pacients per a ells/elles.",Antoni Feliu,https://www.google.com/maps/contrib/113018717950359611348?hl=en-US,113018717950359611348,https://lh3.googleusercontent.com/a/ACg8ocJ0IsH732KUsahnjA7VzkQpmOo0tFiv2a4mXCtsigou=s40-c-rp-mo-ba2-br100,True,15,,"IMPOSSIBLE contactar per telèfon. Quan marques l'extensió corresponent, un missatge en castellà respón ""la entraadaaa.."" sense res més i tornes al menú principal, etern. És un bucle sense sortida que impedeix contactar amb ningú ni tan sols hi ha opció a parlar amb la centraleta.
És una vergonya que no es pugui contactar telefònicament amb un hospital, i els hi sigui tot igual, ells al seu món i si els pacients hem de contactar-hi, doncs problema nostre.

És la voluntat de no fer les coses bé, de total desídia, perquè amb els mitjans actuals, la centraleta HA DE FUNCIONAR CORRECTAMENT.

Com tampoc té cap sentit que s'anul·lin cursos i tallers per culpa de l'atac informàtic, quan fer tallers presencials no té res a veure amb un atac informàtic i si són capaços d'enviar un correu desconvocant, és que tenen totes les dades dels participants!

És aprofitar un incident per no treballar, fer el mínim del mínim sabent que, sent públic, no hi haurà conseqüències a la feina mal feta i al pasotisme, demostrant el poc respecte que mereixen els pacients per a ells/elles.","IMPOSSIBLE to contact by phone. When you mark the corresponding extension, a message in Spanish answers ""la entraadaaa.."" without anything else and you return to the main menu, forever. It's a dead end loop that prevents you from contacting anyone and there's not even an option to talk to the switchboard.
It's a shame that you can't contact a hospital by phone, and it's all the same to them, they're in their own world and if the patients have to contact them, then it's our problem.

It is the will not to do things right, of total laziness, because with the current means, the switchboard MUST WORK CORRECTLY.

Just as it makes no sense for courses and workshops to be canceled because of the computer attack, when doing face-to-face workshops has nothing to do with a computer attack and if they are able to send a cancellation email, they have all the data of the participants!

It is to take advantage of an incident to not work, to do the minimum of the minimum knowing that, being public, there will be no consequences for the work done poorly and the pasotism, demonstrating how little respect the patients deserve for them/them.",1.0,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSN05pQWRBEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDR7NiAdA%7CCgwIvPOAogYQ4L7OmwI%7C?hl=en-US,5.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURSN05pQWRBEAE,I did not wait at all during daytime and got treated well as a German citizen. The doctor prescribed me the adequate antibiotics I have asked for ! :),Kemalya Aliyev,https://www.google.com/maps/contrib/109033612875855772894?hl=en-US,109033612875855772894,https://lh3.googleusercontent.com/a-/ALV-UjUn6pw0k_2EU1ZxQlxkTkDpH-tOzTHb5YITzQQ4oymZBEs=s40-c-rp-mo-ba4-br100,True,97,96.0,,,2.0,
