,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,images,likes,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSOVAzQ0R3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDR9P3CDw%7CCgwIhZD-oQYQ8MH8kQM%7C?hl=en-US,5.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURSOVAzQ0R3EAE,"Tiene sus limitaciones por la cantidad de usuarios que tiene, pero ojalá otros hospitales de Barcelona atendieran y dieran respuesta como este. Para mi el mejor en muchas especialidades. Y como el sistema catalán de salud solo pone cada vez más recortes por zona sanitaria y limita la elección de especialistas, no dudo de ir por la parte privada porque siempre encuentro buen tratamiento y atención de sus profesionales.",Moshe Dom,https://www.google.com/maps/contrib/115331649528074771251?hl=en-US,115331649528074771251,https://lh3.googleusercontent.com/a-/ALV-UjVbRm87VujeTaxLp5tYfNkSnpDn6UQu3tjO6DV0wPtGnA=s40-c-rp-mo-br100,21.0,3.0,"Tiene sus limitaciones por la cantidad de usuarios que tiene, pero ojalá otros hospitales de Barcelona atendieran y dieran respuesta como este. Para mi el mejor en muchas especialidades. Y como el sistema catalán de salud solo pone cada vez más recortes por zona sanitaria y limita la elección de especialistas, no dudo de ir por la parte privada porque siempre encuentro buen tratamiento y atención de sus profesionales.","It has its limitations due to the number of users it has, but I wish other hospitals in Barcelona would serve and provide a response like this one. For me the best in many specialties. And since the Catalan health system only makes more and more cuts per health area and limits the choice of specialists, I do not hesitate to go for the private part because I always find good treatment and attention from its professionals.",,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNBcXFEbmRREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICAqqDndQ%7CCgsIku3xoQYQsNyUFw%7C?hl=en-US,1.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNBcXFEbmRREAE,"muy buenos profesionales en mi caso puedo decir que me han salvado la vida tal cual suena.
Esto fue escrito hace 3 años...
Hoy diría hospital donde me engañaron y destrozaron tanto mi vida como la calidad de la misma con 41 años...
Con los que sigo en una eterna lucha de peritajes pero no hay más que verme para saber que lo que se hizo conmigo fue una auténtica desgracia....
Y sigo a la espera de una vida más cómoda y fácil dos años después... Encima de engañar y destruir ni si quiera hoy por hoy compensada , pese a no existir compensación",Chantal Castillo,https://www.google.com/maps/contrib/110535038584203783278?hl=en-US,110535038584203783278,https://lh3.googleusercontent.com/a-/ALV-UjXAPvU60ROZsm_ZIbjoDa6LTk6E2HDS_x4-FHt__v69wYgb=s40-c-rp-mo-br100,3.0,,"muy buenos profesionales en mi caso puedo decir que me han salvado la vida tal cual suena.
Esto fue escrito hace 3 años...
Hoy diría hospital donde me engañaron y destrozaron tanto mi vida como la calidad de la misma con 41 años...
Con los que sigo en una eterna lucha de peritajes pero no hay más que verme para saber que lo que se hizo conmigo fue una auténtica desgracia....
Y sigo a la espera de una vida más cómoda y fácil dos años después... Encima de engañar y destruir ni si quiera hoy por hoy compensada , pese a no existir compensación","very good professionals in my case I can say that they have saved my life just as it sounds.
This was written 3 years ago...
Today I would say hospital where they deceived me and destroyed both my life and the quality of it at 41 years old...
With whom I continue in an eternal fight for expert opinions, but you only have to look at me to know that what was done to me was a real disgrace...
And I'm still waiting for a more comfortable and easier life two years later... On top of deceiving and destroying, it's not even compensated today, despite there being no compensation",,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSNklxNU13EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDR6Iq5Mw%7CCgwIhufxoQYQsIHy2gM%7C?hl=en-US,5.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURSNklxNU13EAE,"El Hospital Clínico y Provincial de Barcelona, es un referente en la sanidad española, estando muy bien posicionado a nivel mundial.
Fundado en 1906, obra del arquitecto José Domenech i Estapá (1858 - 1917), que también se encargó de la edificación de la Universidad de Medicina, adjunta al Hospital.
Cuenta con un cuadro médico de gran prestigio, realiza numerosas intervenciones punteras, y desarrolla los mayores avances en investigación científica, siendo un referente a nivel internacional.
Cuenta con buenas comunicaciones en el transporte público, línea de metro, autobús i taxis, todos ellos muy próximos.",Javier Caro Munar,https://www.google.com/maps/contrib/102676730136195808922?hl=en-US,102676730136195808922,https://lh3.googleusercontent.com/a-/ALV-UjXB5Q50555lClAzhe7G01RGoblvTNrsKUyQ__GdtJnuHA4=s40-c-rp-mo-ba7-br100,828.0,5000.0,"El Hospital Clínico y Provincial de Barcelona, es un referente en la sanidad española, estando muy bien posicionado a nivel mundial.
Fundado en 1906, obra del arquitecto José Domenech i Estapá (1858 - 1917), que también se encargó de la edificación de la Universidad de Medicina, adjunta al Hospital.
Cuenta con un cuadro médico de gran prestigio, realiza numerosas intervenciones punteras, y desarrolla los mayores avances en investigación científica, siendo un referente a nivel internacional.
Cuenta con buenas comunicaciones en el transporte público, línea de metro, autobús i taxis, todos ellos muy próximos.","The Clinical and Provincial Hospital of Barcelona is a benchmark in Spanish healthcare, being very well positioned worldwide.
Founded in 1906, the work of the architect José Domenech i Estapá (1858 - 1917), who was also in charge of the construction of the University of Medicine, attached to the Hospital.
It has a highly prestigious medical team, performs numerous cutting-edge interventions, and develops the greatest advances in scientific research, being an international benchmark.
It has good public transport connections, metro line, bus and taxis, all of them very close.","['https://lh5.googleusercontent.com/p/AF1QipN1z9eubCsToqEx2OQkiutTMyYJsEvuvcXtP9-x=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP9cTdOoBniOKcvej9cMRscFFgjBBISuNAMVste=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMsCeef_WJGtHh39uIsqwqn5dJaH6c2EaUOWYuG=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOxDZgYncnt_oRvDPTC0vFP41_-7urS0CYvPdLP=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPCEOD1EYOh27OmU7A-USVBiFMFMyzzhl7IFoAl=w100-h100-p-n-k-no']",11.0,True
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSNEp6c05nEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDR4JzsNg%7CCgwI8YnqoQYQoJnr1AI%7C?hl=en-US,5.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURSNEp6c05nEAE,"얼마 전 해외 출장 중 심장이 빨리 뛰고 호흡이 가빠지는 현상이 나타나서 구급차를 타고 이 곳으로 이송되어 응급실에서 처치를 받았습니다. 정말 죽는 줄 알았는데, 이 곳에서 조치하면서 다시 살 수 있었습니다. 스페인어도 못하는데, 열심히 응급조치 해주셔서 다시 살 수 있었습니다. 정말 감사합니다.",Juhyeong Song (Zone Snou),https://www.google.com/maps/contrib/104506285567290709277?hl=en-US,104506285567290709277,https://lh3.googleusercontent.com/a-/ALV-UjXEmT9LWXIAbnmoZpOgzP7Ux46fF2p04M5Msh9EH5po6NOE=s40-c-rp-mo-ba6-br100,757.0,1864.0,"얼마 전 해외 출장 중 심장이 빨리 뛰고 호흡이 가빠지는 현상이 나타나서 구급차를 타고 이 곳으로 이송되어 응급실에서 처치를 받았습니다. 정말 죽는 줄 알았는데, 이 곳에서 조치하면서 다시 살 수 있었습니다. 스페인어도 못하는데, 열심히 응급조치 해주셔서 다시 살 수 있었습니다. 정말 감사합니다.","Recently, while on an overseas business trip, my heart began to beat faster and my breathing became more difficult, so I was taken by ambulance to this place and received treatment in the emergency room. I really thought I was going to die, but I was able to live again after taking action here. Even though I can't speak Spanish, I was able to live again thanks to the diligent first aid provided. thank you.",['https://lh5.googleusercontent.com/p/AF1QipPhTLNruJ1JiobzUG5w09FE41U8hU5_4_-5kOs2=w100-h100-p-n-k-no'],1.0,True
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSNE9DN0pREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDR4OC7JQ%7CCgwIq_LpoQYQqPeEkgE%7C?hl=en-US,1.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURSNE9DN0pREAE,A disgrace. Went there on an emergency. Saw the triage. And the wait was monger than 6 hours.,star mey,https://www.google.com/maps/contrib/108234868963080749173?hl=en-US,108234868963080749173,https://lh3.googleusercontent.com/a-/ALV-UjVA5QgnkkayZQORyQqVDJ9zDjZEsEfTRri-FiRDeyPOCw=s40-c-rp-mo-br100,5.0,,,,,1.0,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSdjRDOWdBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICRv4C9gAE%7CCgwIn-7koQYQ0JC21AM%7C?hl=en-US,5.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNSdjRDOWdBRRAB,"Sorprendido del trato tan bueno recibido en urgencias esta mañana, de todos! En dos horas me han realizado más pruebas que en toda mi vida, rápido y amables. Muchas gracias",Dani Laborda Luiten,https://www.google.com/maps/contrib/111905806576557375135?hl=en-US,111905806576557375135,https://lh3.googleusercontent.com/a/ACg8ocI6uB_5r9dD2nRvZKaeKg4jQO83wfXWNP7yhGxJXFNk=s40-c-rp-mo-br100,4.0,1.0,"Sorprendido del trato tan bueno recibido en urgencias esta mañana, de todos! En dos horas me han realizado más pruebas que en toda mi vida, rápido y amables. Muchas gracias","Surprised by the good treatment received in the emergency room this morning, from everyone! In two hours they performed more tests on me than in my entire life, quickly and kindly. Thank you so much",,1.0,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSdTdUdVRnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICRu7TuTg%7CCgwI6OfVoQYQyOzTowI%7C?hl=en-US,1.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNSdTdUdVRnEAE,"Una verguenza de hospital 8 horas para una ecografia, podría morir esperando.. para eso se paga obligatoriamente seguridad social.. en fin vergonzoso hospital",David garcia marquez,https://www.google.com/maps/contrib/110348096203775809826?hl=en-US,110348096203775809826,https://lh3.googleusercontent.com/a-/ALV-UjUJ0Uf0gvIOxByQc9NdzUYhQudoqZFq9IR1Fs1nu5lqUGw=s40-c-rp-mo-ba2-br100,35.0,2.0,"Una verguenza de hospital 8 horas para una ecografia, podría morir esperando.. para eso se paga obligatoriamente seguridad social.. en fin vergonzoso hospital","A disgraceful hospital, 8 hours for an ultrasound, I could die waiting... for that you must pay social security... anyway, disgraceful hospital",,3.0,True
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSd19mVmhRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICRw_fVhQE%7CCgwI9vzKoQYQuNS5_AE%7C?hl=en-US,3.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNSd19mVmhRRRAB,"La verdad llevo esperando 5 meses por una operación renal y nada que me dicen algo, me acerco y me dicen que espere a que me llamen, mis días son horribles vivo con dolores, no pido más que ayuda con este problema solo Dios sabe la necesidad",Pedro G,https://www.google.com/maps/contrib/113058376738065175058?hl=en-US,113058376738065175058,https://lh3.googleusercontent.com/a/ACg8ocKMl_ehLmX7c8bpY7IOSElRSYW7sxKjOyVCw813EVcu=s40-c-rp-mo-br100,2.0,,"La verdad llevo esperando 5 meses por una operación renal y nada que me dicen algo, me acerco y me dicen que espere a que me llamen, mis días son horribles vivo con dolores, no pido más que ayuda con este problema solo Dios sabe la necesidad","The truth is that I have been waiting 5 months for a kidney operation and nothing they say anything to me, I approach them and they tell me to wait for them to call me, my days are horrible, I live with pain, I only ask for help with this problem, only God knows the need.",,2.0,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSX2NMdXhRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICR_cLuxQE%7CCgwIo5HIoQYQqMj5iQI%7C?hl=en-US,1.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNSX2NMdXhRRRAB,"Mas vale q no vayáis si tenéis una urgencia, de sus 5 horas de espera no bajan nunca, eso sí, auxiliares en corrillo hablando de sus cosas y de cachondeo todos los que queráis! Q falta de educación, de empatía al enfermo y que poca profesionalidad!!",S M,https://www.google.com/maps/contrib/115941126051261394311?hl=en-US,115941126051261394311,https://lh3.googleusercontent.com/a/ACg8ocKzMOIrzemh05N16ugW9ZD4UJus4rFXnr0ucH5kZLoE=s40-c-rp-mo-br100,18.0,,"Mas vale q no vayáis si tenéis una urgencia, de sus 5 horas de espera no bajan nunca, eso sí, auxiliares en corrillo hablando de sus cosas y de cachondeo todos los que queráis! Q falta de educación, de empatía al enfermo y que poca profesionalidad!!","You better not go if you have an emergency, the 5 hour wait never stops, yes, assistants in a huddle talking about their things and having fun as many as you want! What lack of education, empathy for the patient and what little professionalism!!",,7.0,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNScmRyTjdBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICRrdrN7AE%7CCgsI87rDoQYQuPWkLw%7C?hl=en-US,1.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNScmRyTjdBRRAB,,Antoni Freixes,https://www.google.com/maps/contrib/109243193061230505594?hl=en-US,109243193061230505594,https://lh3.googleusercontent.com/a/ACg8ocITqke5jFWmtY6YvEbZq0y9y5UO6NM5_F3af1tzAUmh=s40-c-rp-mo-br100,,,,,,,
