,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,user.photos,likes,extracted_snippet.original,extracted_snippet.translated,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQxOWFMZUp3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgID19aLeJw%7CCgsIxf_yrAYQsPbPOA%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUQxOWFMZUp3EAE,11 hours waiting to be attended. urgent doesn't sound urgent clinic. muy lento. no recomendable.,kryzzzle kate,https://www.google.com/maps/contrib/103391117168453260850?hl=en-US,103391117168453260850,https://lh3.googleusercontent.com/a-/ALV-UjWJGHrVYBLFV06VA6rp74KyFOO_PTZm9UzC7q9wUJ8gt3Y=s40-c-rp-mo-br100,5,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQxcWE3U2NnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgID1qa7Scg%7CCgsIh77urAYQyO_ucw%7C?hl=en-US,5.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUQxcWE3U2NnEAE,Very copprative,NASIM TEXTILE IND,https://www.google.com/maps/contrib/113729720408037110411?hl=en-US,113729720408037110411,https://lh3.googleusercontent.com/a-/ALV-UjWnkKQAHG0tY2QpwUf3GrPfrgcHCy4AXIMQXpDNK73CXcgi=s40-c-rp-mo-br100,7,5.0,,,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQxd2FpVmZREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgID1waiVfQ%7CCgwIvZTrrAYQ6PCQ5gI%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUQxd2FpVmZREAE,"Llevamos más de siete horas de urgencia Manso a urgencias Clínico.
Hemos llegado al clínico con la petición de Manso para hacer una prueba.
Hemos llegado al Clínico sin nada de espera, 13:00h, son las 17:00h y solo me saben decir, que hay una persona por delante y que haga una reclamación.
Cuatro horas en la cuarta planta, mi padre 86 años en una silla, frente a los ascensores, vergonzoso.",Marta Edo Fernandez,https://www.google.com/maps/contrib/102156008220847312804?hl=en-US,102156008220847312804,https://lh3.googleusercontent.com/a/ACg8ocLRXIqylPEAOBaKkYNId050fO3eMlRK994MYKk0cAI=s40-c-rp-mo-br100,10,,8.0,"Llevamos más de siete horas de urgencia Manso a urgencias Clínico.
Hemos llegado al clínico con la petición de Manso para hacer una prueba.
Hemos llegado al Clínico sin nada de espera, 13:00h, son las 17:00h y solo me saben decir, que hay una persona por delante y que haga una reclamación.
Cuatro horas en la cuarta planta, mi padre 86 años en una silla, frente a los ascensores, vergonzoso.","We have been going from Manso to the Clinical emergency room for more than seven hours.
We have arrived at the clinic with Manso's request to do a test.
We have arrived at the Clinic without any wait, 1:00 p.m., it is 5:00 p.m. and they only know how to tell me that there is a person ahead and that I should make a claim.
Four hours on the fourth floor, my 86-year-old father in a chair, in front of the elevators, embarrassing.",
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQxbk5IYWRBEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgID1nNHadA%7CCgwIr-DhrAYQ6KbG-wE%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUQxbk5IYWRBEAE,Llevamos tres horas de espera para darnos información del paciente desde la última vez que nos atendieron. Es vergonzoso que nos tengan viendo pasar por nuestros morros a los que vienen de urgencias y no haya una mínima sala de espera después de hacernos bajar de la primera planta al sótano. Dejan mucho que desear ni siquiera empatia........,Angeles Gonzalez,https://www.google.com/maps/contrib/113712495165035925498?hl=en-US,113712495165035925498,https://lh3.googleusercontent.com/a/ACg8ocLCel3RCUDU8nu1Qy5TzzPDhX2WX64oz4n6GgSlHg2W=s40-c-rp-mo-br100,9,5.0,2.0,Llevamos tres horas de espera para darnos información del paciente desde la última vez que nos atendieron. Es vergonzoso que nos tengan viendo pasar por nuestros morros a los que vienen de urgencias y no haya una mínima sala de espera después de hacernos bajar de la primera planta al sótano. Dejan mucho que desear ni siquiera empatia........,"We have been waiting for three hours to give us patient information since the last time they saw us. It is shameful that they have us watching those coming from the emergency room pass by our faces and there is no minimum waiting room after making us go down from the first floor to the basement. They leave a lot to be desired, not even empathy......",
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQxa05EbDRBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgID1kNDl4AE%7CCgwIyJLcrAYQsIr73AE%7C?hl=en-US,1.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQxa05EbDRBRRAB,"Esta review va solo dirigida al servicio de urgencias. Parece que el concepto de urgencia es distinto en este lugar. Prepararse para esperar mínimo 4-5 horas. Vine en varias ocasiones y siempre es lo mismo. Para hacer el más simple estudio, pueden pasar días. Es bastante lamentable para el que es teóricamente el mejor hospital de Barcelona.",Maximiliano Vitelli,https://www.google.com/maps/contrib/108047966329265139634?hl=en-US,108047966329265139634,https://lh3.googleusercontent.com/a-/ALV-UjXwHS_iVJ01n24ZitfMUja7kJjcU7V7noWepme0KqwedOM=s40-c-rp-mo-br100,13,2.0,4.0,"Esta review va solo dirigida al servicio de urgencias. Parece que el concepto de urgencia es distinto en este lugar. Prepararse para esperar mínimo 4-5 horas. Vine en varias ocasiones y siempre es lo mismo. Para hacer el más simple estudio, pueden pasar días. Es bastante lamentable para el que es teóricamente el mejor hospital de Barcelona.","This review is only aimed at the emergency service. It seems that the concept of urgency is different in this place. Prepare to wait at least 4-5 hours. I came several times and it's always the same. To do the simplest study, it can take days. It is quite unfortunate for what is theoretically the best hospital in Barcelona.",
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxci1QWFNBEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC1r-PXSA%7CCgsIs73arAYQ8KDuTA%7C?hl=en-US,1.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUMxci1QWFNBEAE,"No lo recomiendo a nadie, muy mala atención, ingresado hace mas de 10 días, esperando a ser operado de urgencia, en traumatología. ES UNA VERGÜENZA.
Pongo 1 estrella porque sino, no da opción a publicarse, pero no se merece nada.",Bea,https://www.google.com/maps/contrib/112412190472538655401?hl=en-US,112412190472538655401,https://lh3.googleusercontent.com/a/ACg8ocLfP69L1NkhITQ-idQQKk9cBTRZmO2qnvUI9g_533mMpg=s40-c-rp-mo-br100,2,,5.0,"No lo recomiendo a nadie, muy mala atención, ingresado hace mas de 10 días, esperando a ser operado de urgencia, en traumatología. ES UNA VERGÜENZA.
Pongo 1 estrella porque sino, no da opción a publicarse, pero no se merece nada.","I do not recommend it to anyone, very poor care, admitted more than 10 days ago, waiting to undergo emergency surgery, in traumatology. IT IS A SHAME.
I give 1 star because otherwise, it does not give the option to be published, but it does not deserve anything.",
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxcjU3a0xREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC1r57kLQ%7CCgsIzLParAYQgLa9OQ%7C?hl=en-US,5.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUMxcjU3a0xREAE,"Estoy encantada con todo el personal, he estado ingresada en la UCI el trato fue exquisito.
También he estado ingresada en la planta Helios y encantada.",Cristina H,https://www.google.com/maps/contrib/115783010017222619578?hl=en-US,115783010017222619578,https://lh3.googleusercontent.com/a-/ALV-UjW6itXfLoFC4ozpYoApxDIk7peUJrNU1z6iHR82SISW0f0R=s40-c-rp-mo-br100,15,,,"Estoy encantada con todo el personal, he estado ingresada en la UCI el trato fue exquisito.
También he estado ingresada en la planta Helios y encantada.","I am delighted with all the staff, I have been admitted to the ICU, the treatment was exquisite.
I have also been admitted to the Helios plant and was delighted.",
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxcl9iam5RRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC1r_bjnQE%7CCgsI0LLarAYQ-MziCg%7C?hl=en-US,1.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUMxcl9iam5RRRAB,"Atención pésima, no lo recomiendo!",Marta,https://www.google.com/maps/contrib/103666432450676646473?hl=en-US,103666432450676646473,https://lh3.googleusercontent.com/a/ACg8ocIbdH7Pn_d61ypTswgOjwMBzVMe_C8wRCyVpwrwn1fxwsw=s40-c-rp-mo-br100,1,,3.0,"Atención pésima, no lo recomiendo!","Terrible attention, I do not recommend it!",
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxejVpOEpnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC1z5i8Jg%7CCgwIh4varAYQsO3a2QI%7C?hl=en-US,4.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUMxejVpOEpnEAE,Personal muy amable,MARTA F.,https://www.google.com/maps/contrib/104218674578965996243?hl=en-US,104218674578965996243,https://lh3.googleusercontent.com/a-/ALV-UjWNwAWEzq2dmEmC-QjN3Rq1wLyvqJK1SzCsH_2kB93CTIA=s40-c-rp-mo-ba4-br100,44,12.0,,Personal muy amable,Very friendly staff,True
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxdTVhaEtnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC1u5ahKg%7CCgwIhJvYrAYQyMnxkgE%7C?hl=en-US,2.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUMxdTVhaEtnEAE,,Farid Shaikh,https://www.google.com/maps/contrib/100204991910658970961?hl=en-US,100204991910658970961,https://lh3.googleusercontent.com/a/ACg8ocIQXL5SPevqz87SMMpV6JQxWLJ8WJIy0qBVw6S28D7w=s40-c-rp-mo-br100,1,,,,,
