,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,user.photos,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxNklpTnZnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC16IiNvgE%7CCgwIureSrAYQ-PWtogE%7C?hl=en-US,1.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUMxNklpTnZnRRAB,"Las urgencias dan pena! Más de 6 horas de espera... No te dicen nada, no hay enchufes, 3 personas detrás de cada mostrador tocándose el higo y mientras las salas de espera llenas...",5.0,yo,https://www.google.com/maps/contrib/107639493879018868731?hl=en-US,107639493879018868731,https://lh3.googleusercontent.com/a/ACg8ocKUfMmbiZn5wn4Q4ZCjkkmDEaHNpWudzRV1CMjvm5Kp=s40-c-rp-mo-br100,2,"Las urgencias dan pena! Más de 6 horas de espera... No te dicen nada, no hay enchufes, 3 personas detrás de cada mostrador tocándose el higo y mientras las salas de espera llenas...","Emergencies are painful! More than 6 hours of waiting... They don't tell you anything, there are no plugs, 3 people behind each counter touching their hands and while the waiting rooms are full...",,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxME8zVkp3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC10O3VJw%7CCgsI2caNrAYQ2Im6RQ%7C?hl=en-US,1.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUMxME8zVkp3EAE,"He estado de urgencias! Y cuando pregunté cuanto faltaba para que me atiendan, me dicen si gusta piede irse!! Textualmente la administrativa y la enfermera  Al CAP de manso    ahí también atienden y no tenemos suero oral para su caso deduzco que era un gastroenteritis, pero me fui estaba sentada ennuna silla dura.",1.0,Veronica Zambrano,https://www.google.com/maps/contrib/110388485461860795793?hl=en-US,110388485461860795793,https://lh3.googleusercontent.com/a/ACg8ocIaKSD-fX7wD7dQCj9pCrazfFL3uUalAti0fuvJXeP9=s40-c-rp-mo-br100,1,"He estado de urgencias! Y cuando pregunté cuanto faltaba para que me atiendan, me dicen si gusta piede irse!! Textualmente la administrativa y la enfermera  Al CAP de manso    ahí también atienden y no tenemos suero oral para su caso deduzco que era un gastroenteritis, pero me fui estaba sentada ennuna silla dura.","I've been to the emergency room! And when I asked how long it would take to be attended to, they told me if I wanted to, I could leave!! Verbatim, the administrator and the nurse at the CAP de manso    also serve there and we do not have oral serum for your case, I deduce that it was gastroenteritis, but I left while sitting in a hard chair.",,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxZ1BlSGRBEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC1gPeHdA%7CCgsI_76JrAYQ-P3gIQ%7C?hl=en-US,1.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUMxZ1BlSGRBEAE,"Servicio de atención en Urgencias: pésimo, tratan las personas como animales de granja, mas de 8 horas de espera para pasar el primer chequeo médico.
Llevo 4 días esperando por una simple radiografía!

Que vergüenza, ni en el tercer mundo!",8.0,Chico Simon,https://www.google.com/maps/contrib/113385554016186415250?hl=en-US,113385554016186415250,https://lh3.googleusercontent.com/a-/ALV-UjVqGam-Gtgj6F_deZTVx9j0dEbgfYvD2ct5udS4nmfDVCY=s40-c-rp-mo-br100,4,"Servicio de atención en Urgencias: pésimo, tratan las personas como animales de granja, mas de 8 horas de espera para pasar el primer chequeo médico.
Llevo 4 días esperando por una simple radiografía!

Que vergüenza, ni en el tercer mundo!","Emergency care service: terrible, they treat people like farm animals, more than 8 hours of waiting to undergo the first medical checkup.
I've been waiting 4 days for a simple x-ray!

What a shame, not even in the third world!",,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURWdjZmUWdnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDVv6fQggE%7CCgwIvbCHrAYQyK6yqgE%7C?hl=en-US,1.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURWdjZmUWdnRRAB,Servei d'urgències 4a. planta - radiologia: salvatges!!!  no puc dir res més que salvatges!!!,1.0,Ana B,https://www.google.com/maps/contrib/101372288415243115915?hl=en-US,101372288415243115915,https://lh3.googleusercontent.com/a-/ALV-UjVX2eiE-9uRfRADX6CLK5pl1NymEZoBl3YQHFZedu25aHs=s40-c-rp-mo-br100,20,Servei d'urgències 4a. planta - radiologia: salvatges!!!  no puc dir res més que salvatges!!!,Emergency service 4a. plant - radiology: wild!!! I can't say anything but wild!!!,5.0,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURWajRDenJ3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDVj4CzrwE%7CCgsI9buBrAYQ6Ji8dQ%7C?hl=en-US,4.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURWajRDenJ3RRAB,,,Carles,https://www.google.com/maps/contrib/109762009250070533566?hl=en-US,109762009250070533566,https://lh3.googleusercontent.com/a/ACg8ocLaXVVfvcC7CesSHz_J7lrTYJ18mAOvc9vyrmCrdgyD=s40-c-rp-mo-ba5-br100,168,,,397.0,True
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURWc192d1hBEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDVs_vwXA%7CCgsI3_7yqwYQ2OuXKg%7C?hl=en-US,5.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURWc192d1hBEAE,Bien,,Ivan Hidalgo Burgos,https://www.google.com/maps/contrib/115192229902113830949?hl=en-US,115192229902113830949,https://lh3.googleusercontent.com/a/ACg8ocKK7w8CmUJJlJ26gTibwVGNryf8Db2d1z2yUAi2belS=s40-c-rp-mo-br100,3,Bien,Good,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURWeGNTaHRBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDVxcShtAE%7CCgsI7bzqqwYQ8JH8SQ%7C?hl=en-US,5.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURWeGNTaHRBRRAB,"Quiero agradecer al equipo de traumatologia de cadera todos desde dr segur,dr jenaroFernández, dr alias y resto equipo así como toda planta de ingreso traumatologia son unos grandes profesionales, me siento orgullosa de pertenecer al colectivo de salud, gracias a, colegas como ellos",,Carina Lladó,https://www.google.com/maps/contrib/108836190554989129821?hl=en-US,108836190554989129821,https://lh3.googleusercontent.com/a-/ALV-UjWfShTi3neCJwE65HGWy2kVkQBq5nhPp6KDJGi1JTs0XvD5=s40-c-rp-mo-br100,10,"Quiero agradecer al equipo de traumatologia de cadera todos desde dr segur,dr jenaroFernández, dr alias y resto equipo así como toda planta de ingreso traumatologia son unos grandes profesionales, me siento orgullosa de pertenecer al colectivo de salud, gracias a, colegas como ellos","I want to thank the hip trauma team, everyone from Dr. Segur, Dr. JenaroFernández, Dr. Alias ​​and the rest of the team, as well as the entire trauma admission ward, are great professionals. I feel proud to belong to the health group, thanks to colleagues like them.",2.0,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURWa1ltRXBRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDVkYmEpQE%7CCgwI94HnqwYQkKLr9wE%7C?hl=en-US,5.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURWa1ltRXBRRRAB,Muy buen personal Efectivos héroes sin capa GRACIAS,,Virginia Gimenezmontes,https://www.google.com/maps/contrib/118239774067834261902?hl=en-US,118239774067834261902,https://lh3.googleusercontent.com/a/ACg8ocKoTgwcZxlxuf30AI_jotJ9qwtQA5lI2Oj2XXG4p2wE=s40-c-rp-mo-br100,11,Muy buen personal Efectivos héroes sin capa GRACIAS,Very good staff Effective heroes without capes THANK YOU,6.0,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURWNGNXZ2J3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDV4cWgbw%7CCgwIjubmqwYQwN6syQI%7C?hl=en-US,1.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURWNGNXZ2J3EAE,"Estoy esperando hace 2 horas y media para Urgencias, somos 7 personas y estamos esperando y no te dan ninguna solución, la respuesta fue que a la sala que me enviaron hay mucha gente y hay que esperar, me encanta como dejan a la tirada y la hacen perder el tiempo, un desastre de hospital",2.0,Augusto,https://www.google.com/maps/contrib/105679891191082423078?hl=en-US,105679891191082423078,https://lh3.googleusercontent.com/a-/ALV-UjWWnRxGQmxp5SStajxJZim32VqnAwUn1Gv5LLGWcL0rmgqy=s40-c-rp-mo-br100,14,"Estoy esperando hace 2 horas y media para Urgencias, somos 7 personas y estamos esperando y no te dan ninguna solución, la respuesta fue que a la sala que me enviaron hay mucha gente y hay que esperar, me encanta como dejan a la tirada y la hacen perder el tiempo, un desastre de hospital","I have been waiting for 2 and a half hours for the ER, there are 7 of us and we are waiting and they don't give you any solution, the answer was that there are a lot of people in the room they sent me and we have to wait, I love how they leave the room to run and the they waste time, a hospital disaster",,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURWNGJEc1hREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDV4bDsXQ%7CCgwIr9TmqwYQwJDcmAI%7C?hl=en-US,2.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURWNGJEc1hREAE,"Sin enchufes para cargar el móvil, lamentable.",1.0,Andy W,https://www.google.com/maps/contrib/116214021434444165907?hl=en-US,116214021434444165907,https://lh3.googleusercontent.com/a/ACg8ocJtjGB3SDYJ1Pj8DkESN1ka_32fvb1-VeeQR7DQf2cb=s40-c-rp-mo-br100,7,"Sin enchufes para cargar el móvil, lamentable.","No outlets to charge your cell phone, unfortunate.",,
