,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,images,extracted_snippet.original,extracted_snippet.translated
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURWaXV5RHBBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDViuyDpAE%7CCgsIn8_fqwYQiOrUIg%7C?hl=en-US,1.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURWaXV5RHBBRRAB,3 hours waiting. 2 hours totally alone in the waiting room. Still could not be attended by any doctor. I left because in 2 hours they open CAP and they will attend me faster but it should not work like that,1.0,B R,https://www.google.com/maps/contrib/106527526798234926477?hl=en-US,106527526798234926477,https://lh3.googleusercontent.com/a/ACg8ocIxMQy4lQlPmF4g9tzbc9JXEHJRSHwEm7hcf0zX3XQ2=s40-c-rp-mo-ba3-br100,True,36.0,4.0,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURWNktQdjVBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDV6KPv5AE%7CCgsIp53YqwYQqPahQw%7C?hl=en-US,5.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURWNktQdjVBRRAB,"Gracias a todo el personal que me atendió durante mi estancia debida a una delicada operación de cáncer de lengua.
Quiero agradecer también a los equipos de otorrinolaringologia, dietista, fisioterapeuta y sobretodo logopedia el ayudarme a superar el cáncer.",5.0,jordi garcia aldabo,https://www.google.com/maps/contrib/106522206336488140705?hl=en-US,106522206336488140705,https://lh3.googleusercontent.com/a-/ALV-UjWs6l2_dvs3vdxznUGqjO9hmxDf-qLR7nY7PixoThPZpg=s40-c-rp-mo-ba3-br100,True,77.0,21.0,"['https://lh5.googleusercontent.com/p/AF1QipMLyXEhdOjaq8PcoISxEj934gvTaiLc8QCGePcI=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO7LKtlRrwrhjKAg3L062ZIjws3l9WlIu-yiA5Q=w100-h100-p-n-k-no']","Gracias a todo el personal que me atendió durante mi estancia debida a una delicada operación de cáncer de lengua.
Quiero agradecer también a los equipos de otorrinolaringologia, dietista, fisioterapeuta y sobretodo logopedia el ayudarme a superar el cáncer.","Thank you to all the staff who cared for me during my stay due to a delicate tongue cancer operation.
I also want to thank the otorhinolaryngology, dietician, physiotherapist and, above all, speech therapy teams for helping me overcome cancer."
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNWcjZXaUpREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICVr6WiJQ%7CCgwIkPPTqwYQ4MzeogI%7C?hl=en-US,5.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNWcjZXaUpREAE,,,EDUARDO PÉREZ MARÍN,https://www.google.com/maps/contrib/111822074834342764564?hl=en-US,111822074834342764564,https://lh3.googleusercontent.com/a-/ALV-UjWc5xi9EZr78YVHcVzB8FLvBjWHQ2z7mxE8oCO-nh5niM-x=s40-c-rp-mo-ba5-br100,True,64.0,206.0,,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNWdTlfYUFnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICVu9_aAg%7CCgwIs-fRqwYQ4LfG2QE%7C?hl=en-US,1.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNWdTlfYUFnEAE,"Lo que pasó el dia de ayer 8/12/2023 no tiene nombre. Decenas de personas esperando ser atendidos en urgencias durante 9 horas...
Decepcionante y muy grave lo que está sucediendo con la seguridad social.",5.0,Judith Garcia,https://www.google.com/maps/contrib/112789283654745837907?hl=en-US,112789283654745837907,https://lh3.googleusercontent.com/a-/ALV-UjWET4uDIZa-53FDHF-5XQ7barGGxz2HLJKRAspJ63U_0M8=s40-c-rp-mo-ba5-br100,True,172.0,559.0,,"Lo que pasó el dia de ayer 8/12/2023 no tiene nombre. Decenas de personas esperando ser atendidos en urgencias durante 9 horas...
Decepcionante y muy grave lo que está sucediendo con la seguridad social.","What happened yesterday 12/8/2023 has no name. Dozens of people waiting to be treated in the emergency room for 9 hours...
Disappointing and very serious what is happening with social security."
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNWODdxMXJRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICV87q1rQE%7CCgwI2s3QqwYQ-IuCxAM%7C?hl=en-US,4.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNWODdxMXJRRRAB,,,Dolors Romeu Caralt,https://www.google.com/maps/contrib/100392956910882104059?hl=en-US,100392956910882104059,https://lh3.googleusercontent.com/a/ACg8ocKDfeAZEn2k23QJMaBINmTlNXeKzTwJGLOVjaqrhQ_9=s40-c-rp-mo-br100,,6.0,1.0,,,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNWOGN6WlNREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICV8czZSQ%7CCgwIkMzIqwYQkKjcogM%7C?hl=en-US,4.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNWOGN6WlNREAE,"Hoy ha fallecido Mercedes, mi suegra en este centro.
Al respecto,  trato HUMANO, profesional, resilente , empatico y determinacion. Por parte de dos equipos médicos.Estos equipos conformados por doctores, enfermeras, enfermeros, auxiliares, servicios logisticos, etc, a todos ellos GRACIAS.
Capítulo aparte,  es la masificacion en urgencias, competencia del sistema político, que no dota de más personal sanitario, cuando por circunstancias diversas se colapsa URGENCIAS.
Será que no pagamos suficientes impuestos...",4.0,Alberto Gaspar Ruiz,https://www.google.com/maps/contrib/108548565990261783474?hl=en-US,108548565990261783474,https://lh3.googleusercontent.com/a-/ALV-UjUoyAzEnrJwhtTSAFTjSDhDG0CLznFbHCYVIa5ktsl5vMBj=s40-c-rp-mo-br100,,24.0,3.0,,"Hoy ha fallecido Mercedes, mi suegra en este centro.
Al respecto,  trato HUMANO, profesional, resilente , empatico y determinacion. Por parte de dos equipos médicos.Estos equipos conformados por doctores, enfermeras, enfermeros, auxiliares, servicios logisticos, etc, a todos ellos GRACIAS.
Capítulo aparte,  es la masificacion en urgencias, competencia del sistema político, que no dota de más personal sanitario, cuando por circunstancias diversas se colapsa URGENCIAS.
Será que no pagamos suficientes impuestos...","Today Mercedes, my mother-in-law in this center, passed away.
In this regard, HUMAN, professional, resilient, empathetic and determination treatment. On behalf of two medical teams. These teams made up of doctors, nurses, assistants, logistical services, etc., THANK YOU to all of them.
A separate chapter is the overcrowding in emergencies, the responsibility of the political system, which does not provide more health personnel, when due to various circumstances, EMERGENCIES collapse.
Maybe we don't pay enough taxes..."
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNWd2V1V3BBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICVweuWpAE%7CCgwI3rDHqwYQsI_P-AE%7C?hl=en-US,5.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNWd2V1V3BBRRAB,El millor hospital de Catalunya,1.0,Sisco Bernaus,https://www.google.com/maps/contrib/114494184434909549422?hl=en-US,114494184434909549422,https://lh3.googleusercontent.com/a/ACg8ocJ0sTADfNKHBQfcNM01yM2WOyGYVzOkA4wvu3yqBzs1=s40-c-rp-mo-ba6-br100,True,349.0,15.0,,El millor hospital de Catalunya,The best hospital in Catalonia
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNWLUxQTUNnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICV-LPMCg%7CCgwI9428qwYQ2KjoxQM%7C?hl=en-US,1.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNWLUxQTUNnEAE,"Solo tienen un otorrino. Estuve esperando 2 horas y como solo habia uno, a la que le salio una urgencia ya no podia ser atendido. Fatal servicio. Pongo una estrella porque no permiten poner 0",,Neil Murphy Miguel,https://www.google.com/maps/contrib/103043436194264606494?hl=en-US,103043436194264606494,https://lh3.googleusercontent.com/a-/ALV-UjUw0Xgb5CJvzLprdcopnW3ORa3C7hcJmO8BlpGYcDI2CA=s40-c-rp-mo-br100,,8.0,1.0,,"Solo tienen un otorrino. Estuve esperando 2 horas y como solo habia uno, a la que le salio una urgencia ya no podia ser atendido. Fatal servicio. Pongo una estrella porque no permiten poner 0","They only have one ENT doctor. I was waiting for 2 hours and since there was only one, the one who had an emergency could no longer be attended to. Terrible service. I put a star because they don't allow 0"
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURsbzd6OGFBEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDlo7z8aA%7CCgsIkKKyqwYQoPCeag%7C?hl=en-US,1.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURsbzd6OGFBEAE,,,OSCAR DOMEC,https://www.google.com/maps/contrib/117784183687330020269?hl=en-US,117784183687330020269,https://lh3.googleusercontent.com/a/ACg8ocJA6X0DQEPuhhBZ116fr4KNhbpwwy5ul56QiaPCXFtKHw=s40-c-rp-mo-br100,,,,,,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURseGN1eXNBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDlxcuysAE%7CCgwIycyuqwYQuKrUzgE%7C?hl=en-US,5.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURseGN1eXNBRRAB,Me pusieron un riñón nuevo hace dos semanas y ya estoy como un toro. Totalmente recomendado. Riñón 100% de calidad,,Raul Recio,https://www.google.com/maps/contrib/115486572573357446025?hl=en-US,115486572573357446025,https://lh3.googleusercontent.com/a-/ALV-UjWEAUcW2wwJWCoOcg_LuABdLEu4sNDQkaM4pefc8o1UZw=s40-c-rp-mo-br100,,21.0,,,Me pusieron un riñón nuevo hace dos semanas y ya estoy como un toro. Totalmente recomendado. Riñón 100% de calidad,I got a new kidney two weeks ago and I'm already like a bull. Totally recommended. 100% quality kidney
