,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,details.un_consejo_para_elena,images,user.photos,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNWdDVLUW1RRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICVt5KQmQE%7CCgwI6vzSqwYQyP6f3wE%7C?hl=en-US,1.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNWdDVLUW1RRRAB,"Atendida por Elena Prior Palomero, el 8/12/2023.

Hospital saturado (por lo menos la sección de Urgencias Generales), había gente que llevaba más de 6h esperando ser atendidos, incluso gente mayor o niños.

Los profesionales son pocos y entiendo que (y espero que este sea la razón) por falta de tiempo, no hacen bien su trabajo.

Puedo decir que después una espera de 2h, la consulta ha durado tres minutos literalmente!!, me ha atendido la doctora Elena Prior Palomero de forma rápida y superficial y como resultado me ha puesto un diagnóstico erróneo. Afortunadamente, no es un caso grave porque he tenido la suerte de pedir una segunda opinión en un hospital privado de forma inmediata al no fiarme, pero ¿si lo hubiera sido, quien se hubiera hecho cargo de las consecuencias?

Un consejo para Elena: es obvio que eres joven y tienes poca experiencia profesional, pero la empatía y la humanidad creo que son dos cualidades que deberías de tener ya, si crees que no, mejor cambiar de profesión, aún está a tiempo.

Esto no debería estar pasando en un país que presume del mejor sistema sanitario, es una auténtica vergüenza lo que está pasando en la Comunidad de Madrid. Ayuso está consiguiendo su misión!",6.0,Madalina Diac,https://www.google.com/maps/contrib/109805574137066985154?hl=en-US,109805574137066985154,https://lh3.googleusercontent.com/a-/ALV-UjWLyjkHBBZ99yXVGXXMHwKSXlYWvhRw-QoPfrwe3upnA50=s40-c-rp-mo-br100,26,"Atendida por Elena Prior Palomero, el 8/12/2023.

Hospital saturado (por lo menos la sección de Urgencias Generales), había gente que llevaba más de 6h esperando ser atendidos, incluso gente mayor o niños.

Los profesionales son pocos y entiendo que (y espero que este sea la razón) por falta de tiempo, no hacen bien su trabajo.

Puedo decir que después una espera de 2h, la consulta ha durado tres minutos literalmente!!, me ha atendido la doctora Elena Prior Palomero de forma rápida y superficial y como resultado me ha puesto un diagnóstico erróneo. Afortunadamente, no es un caso grave porque he tenido la suerte de pedir una segunda opinión en un hospital privado de forma inmediata al no fiarme, pero ¿si lo hubiera sido, quien se hubiera hecho cargo de las consecuencias?

Un consejo para Elena: es obvio que eres joven y tienes poca experiencia profesional, pero la empatía y la humanidad creo que son dos cualidades que deberías de tener ya, si crees que no, mejor cambiar de profesión, aún está a tiempo.

Esto no debería estar pasando en un país que presume del mejor sistema sanitario, es una auténtica vergüenza lo que está pasando en la Comunidad de Madrid. Ayuso está consiguiendo su misión!","Attended by Elena Prior Palomero, on 12/8/2023.

Hospital was saturated (at least the General Emergency section), there were people who had been waiting for more than 6 hours to be treated, even elderly people or children.

Professionals are few and I understand that (and I hope this is the reason) due to lack of time, they do not do their job well.

I can say that after a 2-hour wait, the consultation literally lasted three minutes!! Dr. Elena Prior Palomero treated me quickly and superficially and as a result she gave me an erroneous diagnosis. Fortunately, it is not a serious case because I have been lucky enough to request a second opinion at a private hospital immediately because I did not trust it, but if it had been, who would have been responsible for the consequences?

Some advice for Elena: it is obvious that you are young and have little professional experience, but I think empathy and humanity are two qualities that you should already have. If you think not, it is better to change your profession, there is still time.

This should not be happening in a country that boasts the best health system, what is happening in the Community of Madrid is a real shame. Ayuso is achieving her mission!","es obvio que eres joven y tienes poca experiencia profesional, pero la empatía y la humanidad creo que son dos cualidades que deberías de tener ya, si crees que no, mejor cambiar de profesión, aún está a tiempo.",,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNWdGYzaVR3EAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICVtf3iTw%7CCgsI4_zQqwYQgOrMSg%7C?hl=en-US,1.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNWdGYzaVR3EAE,"UNA VERDADERA PESADILLA QUE TE ATIENDAN EN EL HOSPITAL 12 DE OCTUBRE,
UNA PE-SA-DI-LLA, DESPUÉS 3 HORAS DE ESPERA EN UNAS SALAS QUE NO SE PODIA RESPIRA, CON LA CALEFACCIÓN AL 100% CON LAS VENTANAS CERRADAS, PORQUE??? POR QUE ESTA EN REFORMA, AHI LA FOTO DE LA REFORMA, LA REGORMA YA LA TERMINARON, DE HECHO ES MEJOR RRSPIRAR QUE NO RESPIRAR CON LOS PACIENTES CASI AHOGADOS DENTRO DE LA SALA ESPERA, GASTANDOSE MILLONES DE EUROS, PARA QUE??? PARA TENER EL PEOR HOSPITAL DE EUROPA",8.0,Pablo Otero,https://www.google.com/maps/contrib/110380648167071866644?hl=en-US,110380648167071866644,https://lh3.googleusercontent.com/a/ACg8ocIBswjxgdQgWsodOBTZm4cqL_hUdM77ZobzuUm5iLI8=s40-c-rp-mo-br100,6,"UNA VERDADERA PESADILLA QUE TE ATIENDAN EN EL HOSPITAL 12 DE OCTUBRE,
UNA PE-SA-DI-LLA, DESPUÉS 3 HORAS DE ESPERA EN UNAS SALAS QUE NO SE PODIA RESPIRA, CON LA CALEFACCIÓN AL 100% CON LAS VENTANAS CERRADAS, PORQUE??? POR QUE ESTA EN REFORMA, AHI LA FOTO DE LA REFORMA, LA REGORMA YA LA TERMINARON, DE HECHO ES MEJOR RRSPIRAR QUE NO RESPIRAR CON LOS PACIENTES CASI AHOGADOS DENTRO DE LA SALA ESPERA, GASTANDOSE MILLONES DE EUROS, PARA QUE??? PARA TENER EL PEOR HOSPITAL DE EUROPA","A TRUE NIGHTMARE TO BE ATTENDED AT THE 12 DE OCTOBER HOSPITAL,
A B-SA-DI-LLA, AFTER 3 HOURS OF WAITING IN ROOMS THAT COULD NOT BREATHE, WITH THE HEATING AT 100% WITH THE WINDOWS CLOSED, WHY??? WHY IS IT UNDER REFORMATION, THERE IS THE PHOTO OF THE REFORMATION, THE REGORMA HAS ALREADY FINISHED IT, IN FACT IT IS BETTER TO BREATHE THAN NOT TO BREATHE WITH THE PATIENTS ALMOST DROWNED INSIDE THE WAITING ROOM, SPENDING MILLIONS OF EUROS, FOR WHAT??? TO HAVE THE WORST HOSPITAL IN EUROPE",,['https://lh5.googleusercontent.com/p/AF1QipPJFfu7KKF0THuA2YKFpoG_dFs8sdLFSrewb3LV=w100-h100-p-n-k-no'],1.0,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNWaWJhZEFREAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICVibadAQ%7CCgwIy_LIqwYQ6P2TrAI%7C?hl=en-US,5.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNWaWJhZEFREAE,Un gran hospital,,Luis Alberto Prieto,https://www.google.com/maps/contrib/106490903316212105890?hl=en-US,106490903316212105890,https://lh3.googleusercontent.com/a/ACg8ocJEXC0jygMt0lptc0gnKSHCNcMNJMz_pZS68RJSyGHY=s40-c-rp-mo-ba5-br100,116,Un gran hospital,A great hospital,,,,True
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURscTlyb1FBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDlq9roQA%7CCgwImc_DqwYQyNflzAE%7C?hl=en-US,5.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURscTlyb1FBEAE,"La Calidad de Profesionales más la calidez de seres humanos junto a la Empatía es la suma que da como resultado la muy buena atención en el Hospital 12 de Octubre. Los Profesionales de Cirugía, enfermeras y auxiliares, estudiantes de enfermería son un equipo. Estuve por 5 días Hospitalizado en la planta 9 habitacion 41 por una cirugía de Hernias inguinal y umbilical, pero por mi situación especial por la Paralisis Pseudobulbar necesitaba de mayores cuidados y control quede sumamente agradecido por la magnífica atención en todo y por todos. Bendiciones a tod@s por la Calidad y Calidez.",1.0,Jimmy anibal Guzman ramirez,https://www.google.com/maps/contrib/115287989720706159308?hl=en-US,115287989720706159308,https://lh3.googleusercontent.com/a-/ALV-UjVrdnxLrWgetNy2mgpaQYyGsQxMgxbU364MYW4itYQCpA=s40-c-rp-mo-ba2-br100,8,"La Calidad de Profesionales más la calidez de seres humanos junto a la Empatía es la suma que da como resultado la muy buena atención en el Hospital 12 de Octubre. Los Profesionales de Cirugía, enfermeras y auxiliares, estudiantes de enfermería son un equipo. Estuve por 5 días Hospitalizado en la planta 9 habitacion 41 por una cirugía de Hernias inguinal y umbilical, pero por mi situación especial por la Paralisis Pseudobulbar necesitaba de mayores cuidados y control quede sumamente agradecido por la magnífica atención en todo y por todos. Bendiciones a tod@s por la Calidad y Calidez.","The Quality of Professionals plus the warmth of human beings along with Empathy is the sum that results in the very good care at Hospital 12 de Octubre. Surgical Professionals, nurses and assistants, nursing students are a team. I was hospitalized for 5 days on the 9th floor, room 41, for inguinal and umbilical hernia surgery, but due to my special situation due to Pseudobulbar Paralysis, I needed greater care and control. I was extremely grateful for the magnificent attention in everything and by everyone. Blessings to all for the Quality and Warmth.",,,29.0,True
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNWb3NHMzRRRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICVosG34QE%7CCgsI_NbAqwYQiIbEag%7C?hl=en-US,5.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNWb3NHMzRRRRAB,Hospital excelentes profesionales,,Ramon Pozuelo,https://www.google.com/maps/contrib/115012154932724296488?hl=en-US,115012154932724296488,https://lh3.googleusercontent.com/a/ACg8ocKsGVOIV_Gpvny3nivzFiEtFsNFB8gswC5mCMEJk1gS=s40-c-rp-mo-ba4-br100,31,Hospital excelentes profesionales,Excellent professional hospital,,,49.0,True
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNWcFByZXh3RRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICVpPrexwE%7CCgwI7dy8qwYQ4OGF5wI%7C?hl=en-US,1.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNWcFByZXh3RRAB,"El teléfono de atención al paciente debe estar de adorno, porque nunca lo cogen",1.0,Ana Rodriguez Garcia,https://www.google.com/maps/contrib/101648343355312136834?hl=en-US,101648343355312136834,https://lh3.googleusercontent.com/a/ACg8ocKhLg9ugheeyLA5EdW5yT8jMbmUvQhhnNDxHsRRuo9n=s40-c-rp-mo-br100,33,"El teléfono de atención al paciente debe estar de adorno, porque nunca lo cogen","The patient service phone should be a decoration, because they never answer it",,,2.0,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNWb1BDc1dBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICVoPCsWA%7CCgwIiZe5qwYQkLuAjQE%7C?hl=en-US,1.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNWb1BDc1dBEAE,"Llevé a mi hija en dos ocasiones a urgencias infantil,la primera con 39 me diagnosticaron un virus y a casa,la segunda con 40 de fiebre y dolor en los pulmones a casa y la señora que me atendió me dijo que la traiga cuando no pueda doblar el cuello y abrir la boca... Leyre ventura mcardle, Ana Roche gomez,al día siguiente la ingresaron en el niño Jesús por neumonía en los dos pulmones!! Una negligencia en toda regla...falta de profesionalidad, de empatía, de interés y de todo!! No volvemos!",3.0,Tamara Teso,https://www.google.com/maps/contrib/116787594475155036235?hl=en-US,116787594475155036235,https://lh3.googleusercontent.com/a-/ALV-UjU-Rb_Bdod9sC9ztjfICPteTgRWmHxIbWfOpPlpEqd00w0=s40-c-rp-mo-br100,17,"Llevé a mi hija en dos ocasiones a urgencias infantil,la primera con 39 me diagnosticaron un virus y a casa,la segunda con 40 de fiebre y dolor en los pulmones a casa y la señora que me atendió me dijo que la traiga cuando no pueda doblar el cuello y abrir la boca... Leyre ventura mcardle, Ana Roche gomez,al día siguiente la ingresaron en el niño Jesús por neumonía en los dos pulmones!! Una negligencia en toda regla...falta de profesionalidad, de empatía, de interés y de todo!! No volvemos!","I took my daughter to the children's emergency room twice, the first time at 39 I was diagnosed with a virus and sent home, the second time I went home with a fever and pain in my lungs at 40 and the lady who treated me told me to bring her when she can't turn. the neck and open the mouth... Leyre ventura mcardle, Ana Roche Gomez, the next day she was admitted to the baby Jesus for pneumonia in both lungs!! Complete negligence...lack of professionalism, empathy, interest and everything!! We're not coming back!",,,1.0,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURscjVpeW1RRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDlr5iymQE%7CCgsIosG3qwYQ8KClEQ%7C?hl=en-US,5.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURscjVpeW1RRRAB,,,carlos nova lozano,https://www.google.com/maps/contrib/111809604713657684865?hl=en-US,111809604713657684865,https://lh3.googleusercontent.com/a/ACg8ocIQnE0HbRAZlkCS0zneJT3sgZmN-JaLf9fIgcaHFXtb=s40-c-rp-mo-ba5-br100,121,,,,,23.0,True
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURsMF9Tcm93RRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDl0_SrowE%7CCgwIuvKyqwYQiN34yQI%7C?hl=en-US,1.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURsMF9Tcm93RRAB,La verdad que muy mal tardan muchísimo em atender y te atienden como si fueras bicho,1.0,Mateus Souza,https://www.google.com/maps/contrib/102376746731809208185?hl=en-US,102376746731809208185,https://lh3.googleusercontent.com/a-/ALV-UjVA4B_7bNIxSlnCevcgE0WhYszBLtn32szTPeg5Mdxxdw=s40-c-rp-mo-br100,1,La verdad que muy mal tardan muchísimo em atender y te atienden como si fueras bicho,The truth is that it takes them a long time to serve you and they treat you as if you were a bug,,,,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURsazdtYzR3RRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDlk7mc4wE%7CCgwIoOOyqwYQuP3fzAI%7C?hl=en-US,3.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURsazdtYzR3RRAB,,,Begoña Hernando,https://www.google.com/maps/contrib/102891267570523412100?hl=en-US,102891267570523412100,https://lh3.googleusercontent.com/a-/ALV-UjXvAeL9xKmNZHkXUUTJLHl6leAuAJplOPGANXimyJrSBldJ=s40-c-rp-mo-ba5-br100,52,,,,,1101.0,True
