,link,rating,date,source,review_id,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,snippet,extracted_snippet.original,extracted_snippet.translated,likes
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNaN19Uc3ZRRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICZ7_TsvQE%7CCgwI9_-tqAYQ6KnA0AI%7C?hl=en-US,4.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNaN19Uc3ZRRRAB,AlexFire0001,https://www.google.com/maps/contrib/101675256062595588952?hl=en-US,101675256062595588952,https://lh3.googleusercontent.com/a-/ALV-UjWZpL0KRhJ1GdYYW_owps82rcMA62mJb33nbhrlP9jxSDs=s40-c-rp-mo-ba3-br100,True,32,29.0,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaMTdMSFBnEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICZ17LHPg%7CCgwIsYuqqAYQgPfi1AM%7C?hl=en-US,4.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNaMTdMSFBnEAE,Pedro Romero,https://www.google.com/maps/contrib/104570494883260845207?hl=en-US,104570494883260845207,https://lh3.googleusercontent.com/a-/ALV-UjUpdpZIIQ1U6s9J0f2LjrvV9F_KPv2QKXZExeh23k8ZPfSN=s40-c-rp-mo-ba5-br100,True,251,244.0,De los mejores hospitales públicos de Madrid pero cada ve más masificado y con menos recursos humanos.,De los mejores hospitales públicos de Madrid pero cada ve más masificado y con menos recursos humanos.,One of the best public hospitals in Madrid but increasingly crowded and with fewer human resources.,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNaNV8ybWpRRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICZ5_2mjQE%7CCgwIvZSoqAYQoNmx_wE%7C?hl=en-US,5.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNaNV8ybWpRRRAB,maria alba,https://www.google.com/maps/contrib/109477595728686308883?hl=en-US,109477595728686308883,https://lh3.googleusercontent.com/a/ACg8ocJy2km46tGGphfwAoQaER-7hPGocKdAcH_2vNltmoXJ=s40-c-rp-mo-br100,,10,,"Gracias a todo el personal de la planta 14, profesionales y mejores personas. Gracias por todo.","Gracias a todo el personal de la planta 14, profesionales y mejores personas. Gracias por todo.","Thanks to all the staff on the 14th floor, professionals and best people. Thanks for everything.",
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaeDduUWFnEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICZx7nQag%7CCgwI19SmqAYQ2MrXvAI%7C?hl=en-US,5.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNaeDduUWFnEAE,Tatiana Mesa,https://www.google.com/maps/contrib/104173890603447140213?hl=en-US,104173890603447140213,https://lh3.googleusercontent.com/a/ACg8ocKCLfeJeCVpMf30fiJsoj_3RVcvIrW0wdtm38B5duSq=s40-c-rp-mo-ba3-br100,True,29,44.0,,,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaaDVQYUpREAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICZh5PaJQ%7CCgsIi5CmqAYQuKvdQA%7C?hl=en-US,1.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNaaDVQYUpREAE,Anna B. Santano,https://www.google.com/maps/contrib/107671891511532050525?hl=en-US,107671891511532050525,https://lh3.googleusercontent.com/a-/ALV-UjWC3mpgifC1_Jx5rANH5opzrJdP_17Wx8Rd6Ki4eNb2ZSo=s40-c-rp-mo-ba4-br100,True,110,23.0,"Entré en urgencias por rotura de hombro el 21 de julio, me dijeron de ponerme un clavo y que ya me llamarian. El 2 de agosto el adjunto, más seco y poco explicativo me dijo que decidiera operarme o no. Dije que si por su consejo médico, que digo yo que es el que te tiene que asesorar, y que me pondría una placa con clavos. Nadie me llamó para la operación sino para otra consulta el 22 de agosto donde una doctora muy amable me dice como tengo el hombro roto, me enseña las radiografías, cosa que no hizo el anterior médico, pero como han tenido tantas operaciones, el hueso se ha ido soldando y ya no me operan. En un mes he pasado por tres diagnósticos.
Me mandan rehabilitación preferente que resulta es para el 4 de Octubre!!! Después del 21 de julio. Me ha visto un médico de la privada y me ha dicho que he ganado yo sola más en mi casa pero eso no es. No me han explicado nada de nada. Si lo llego a saber me voy por la privada, un mes de incertidumbre y agobio. Traumatología un 0. Me he sentido abandonada totalmente y si no es a base de reclamaciones no gano nada","Entré en urgencias por rotura de hombro el 21 de julio, me dijeron de ponerme un clavo y que ya me llamarian. El 2 de agosto el adjunto, más seco y poco explicativo me dijo que decidiera operarme o no. Dije que si por su consejo médico, que digo yo que es el que te tiene que asesorar, y que me pondría una placa con clavos. Nadie me llamó para la operación sino para otra consulta el 22 de agosto donde una doctora muy amable me dice como tengo el hombro roto, me enseña las radiografías, cosa que no hizo el anterior médico, pero como han tenido tantas operaciones, el hueso se ha ido soldando y ya no me operan. En un mes he pasado por tres diagnósticos.
Me mandan rehabilitación preferente que resulta es para el 4 de Octubre!!! Después del 21 de julio. Me ha visto un médico de la privada y me ha dicho que he ganado yo sola más en mi casa pero eso no es. No me han explicado nada de nada. Si lo llego a saber me voy por la privada, un mes de incertidumbre y agobio. Traumatología un 0. Me he sentido abandonada totalmente y si no es a base de reclamaciones no gano nada","I went to the emergency room with a broken shoulder on July 21, they told me to put a nail in and that they would call me. On August 2, the assistant, drier and less explanatory, told me to decide whether to have surgery or not. I said yes because of his medical advice, which I say is the one who has to advise you, and that he would give me a plate with nails. No one called me for the operation but for another consultation on August 22 where a very kind doctor tells me how my shoulder is broken, shows me the x-rays, something that the previous doctor did not do, but since they have had so many operations, the bone He has been welding and they no longer operate on me. In one month I have gone through three diagnoses.
They send me preferential rehabilitation which turns out to be for October 4th!!! After July 21. A private doctor has seen me and told me that I have earned more on my own at home but that is not the case. They haven't explained anything to me at all. If I find out, I'll go private, a month of uncertainty and stress. Traumatology a 0. I have felt completely abandoned and if it is not based on complaints I do not gain anything",1.0
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNadmRHZC1nRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICZvdGd-gE%7CCgwIia2WqAYQoIvkxwM%7C?hl=en-US,5.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNadmRHZC1nRRAB,Antonio Teno Alvarez,https://www.google.com/maps/contrib/109049940107325797010?hl=en-US,109049940107325797010,https://lh3.googleusercontent.com/a/ACg8ocKEfoKb6Ye6s3TUx-zG7SjsG7_WWf7AsIjhNCG_3cRM=s40-c-rp-mo-ba5-br100,True,230,2.0,"Sanidad Publica excepcional, pese a las tramas politicas de la comunidad de madrid","Sanidad Publica excepcional, pese a las tramas politicas de la comunidad de madrid","Exceptional Public Health, despite the political plots of the community of Madrid",
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSeHN6NFRBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICRxsz4TA%7CCgwI1q6VqAYQ0MTriwE%7C?hl=en-US,5.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNSeHN6NFRBEAE,Ibiza De Madrid,https://www.google.com/maps/contrib/114332472989417744126?hl=en-US,114332472989417744126,https://lh3.googleusercontent.com/a-/ALV-UjWqDkzkciQcj3mWTSJOK0zaxyn4KZlEZ8xtaBQve9qKY8I=s40-c-rp-mo-br100,,8,2.0,"Es la primera vez que voy hacerme una resonancia magnética a este hospital, quiero agradecer por su simpatía y buen trabajo a las dos enfermeras del turno de tarde. Sin embargo, el mismo trato no recibí de una chica de informacion del edificio nuevo, debería sonreír un poco más.","Es la primera vez que voy hacerme una resonancia magnética a este hospital, quiero agradecer por su simpatía y buen trabajo a las dos enfermeras del turno de tarde. Sin embargo, el mismo trato no recibí de una chica de informacion del edificio nuevo, debería sonreír un poco más.","It is the first time that I am going to have an MRI at this hospital, I want to thank the two nurses on the afternoon shift for their kindness and good work. However, I did not receive the same treatment from an information girl in the new building, I should smile a little more.",1.0
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNaNVlUaWp3RRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICZ5YTijwE%7CCgwI7reMqAYQ0Ln_ywE%7C?hl=en-US,1.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNaNVlUaWp3RRAB,Manuel Núñez,https://www.google.com/maps/contrib/114545706081889158332?hl=en-US,114545706081889158332,https://lh3.googleusercontent.com/a-/ALV-UjXanWzDWLGLkJxFkRbvt-98YPbG_Iu4GvfGfns3M1KIP-8=s40-c-rp-mo-br100,,3,,"Tienen que tomar acción legal con este sitio y sus enfermeros, son lo peor de todo Madrid, hasta a un animal lo tratan mejor, algunas pacientes entraron en crisis por los abusos y hasta la amarraron y le quitaron sus pertenencias, es lamentable de verdad, para ser el primer mundo, esto es lo peor que hay en toda España.","Tienen que tomar acción legal con este sitio y sus enfermeros, son lo peor de todo Madrid, hasta a un animal lo tratan mejor, algunas pacientes entraron en crisis por los abusos y hasta la amarraron y le quitaron sus pertenencias, es lamentable de verdad, para ser el primer mundo, esto es lo peor que hay en toda España.","They have to take legal action with this place and its nurses, they are the worst in all of Madrid, they even treat an animal better, some patients went into crisis due to the abuse and they even tied her up and took her belongings, it is truly unfortunate, To be the first world, this is the worst there is in all of Spain.",
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaLWFXOGV3EAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICZ-aW8ew%7CCgwIs9OJqAYQgN6-zQE%7C?hl=en-US,1.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNaLWFXOGV3EAE,feli feli,https://www.google.com/maps/contrib/102984786462757939255?hl=en-US,102984786462757939255,https://lh3.googleusercontent.com/a/ACg8ocLSk9--ZVOzigIcEXxQMQ83EvgzeuS5T84Cjj3ROyEr=s40-c-rp-mo-br100,,7,,Yo no sé qué le pasa al hospital doce de octubre que es penoso el trato más de 15 horas esperando una cama con unos dolores y esperando en la sala de espera para una maldita cama vergonzoso es poco,Yo no sé qué le pasa al hospital doce de octubre que es penoso el trato más de 15 horas esperando una cama con unos dolores y esperando en la sala de espera para una maldita cama vergonzoso es poco,"I don't know what's wrong with the Twelfth of October hospital, the treatment is painful, more than 15 hours waiting for a bed with some pain and waiting in the waiting room for a damn bed, shameful, it's not enough.",
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNaLVlqS2x3RRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICZ-YjKlwE%7CCgwIkfqIqAYQiMrYtwM%7C?hl=en-US,4.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNaLVlqS2x3RRAB,FRANCISCO HERNANDEZ,https://www.google.com/maps/contrib/114332147245081627853?hl=en-US,114332147245081627853,https://lh3.googleusercontent.com/a/ACg8ocJ7uoJOVKebLbRnE-v3mEjqs1-3tl_xBksf37-4CpRq=s40-c-rp-mo-br100,,3,3.0,,,,
