,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,likes,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwcS0zT09nEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDpq-3OOg%7CCgwIz7S3pwYQ2N7HzQI%7C?hl=en-US,5.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwcS0zT09nEAE,Me han dado la vida,Pedro Mingo,https://www.google.com/maps/contrib/118125822365505207156?hl=en-US,118125822365505207156,https://lh3.googleusercontent.com/a-/ALV-UjUQzMT2wvaiO2E6crP5a12XmlfG62tfaJufrzGKZ_q4q8o=s40-c-rp-mo-ba4-br100,True,70,3.0,Me han dado la vida,They have given me life,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwODlqRkdBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDp89jFGA%7CCgwIjv-zpwYQiMiblAM%7C?hl=en-US,5.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwODlqRkdBEAE,,Javier Jaramillo Morán,https://www.google.com/maps/contrib/118326489489093162954?hl=en-US,118326489489093162954,https://lh3.googleusercontent.com/a-/ALV-UjWMRiaaD_sRqL1QoPgA2Tz05omQ1YVl0m34WFW5p9IpUxM=s40-c-rp-mo-ba4-br100,True,56,,,,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwbmQzSmFnEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDpnd3Jag%7CCgsInZuspwYQ2KTNEg%7C?hl=en-US,1.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwbmQzSmFnEAE,Es una pena que con los buenos profesionales que hay en éste hospital tenga que valorarlo con ésta puntuación.Pésima la organización de urgencias el día 26 de Agosto.Un caos total sin médicos  ni personal sanitario suficiente para atender la demanda de pacientes con una demora de atención de 10 horas.Unas urgencias saturadas e incontroladas poniendo soluciones cuando los pacientes ya no podíamos más y empezamos a reclamar.Nefasta la organización!!,Silvia. R.G,https://www.google.com/maps/contrib/100235361364086396802?hl=en-US,100235361364086396802,https://lh3.googleusercontent.com/a/ACg8ocJVsAjOznwl5Vn00tH4BPpORmdPZWdfTgJG14RJdMsp=s40-c-rp-mo-ba3-br100,True,48,18.0,Es una pena que con los buenos profesionales que hay en éste hospital tenga que valorarlo con ésta puntuación.Pésima la organización de urgencias el día 26 de Agosto.Un caos total sin médicos  ni personal sanitario suficiente para atender la demanda de pacientes con una demora de atención de 10 horas.Unas urgencias saturadas e incontroladas poniendo soluciones cuando los pacientes ya no podíamos más y empezamos a reclamar.Nefasta la organización!!,It is a shame that with the good professionals in this hospital I have to rate it with this score. The emergency organization on August 26 was terrible. Total chaos without enough doctors or health personnel to meet the demand of patients with a delay of 10-hour care. Saturated and uncontrolled emergencies providing solutions when patients couldn't take it anymore and started complaining. Disastrous organization!!,2.0,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwN2VtWXpBRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDp7emYzAE%7CCgwI-aarpwYQkN2T7wI%7C?hl=en-US,1.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURwN2VtWXpBRRAB,Del centro de salud sin medico me mandan a urgencias y alli me tienen esperando 6 horas por que una bronconeumonia no les parece preferente. Asco de todo,Nuria,https://www.google.com/maps/contrib/105874213880452745598?hl=en-US,105874213880452745598,https://lh3.googleusercontent.com/a/ACg8ocJE4fkioG1txkgaOZhUQePlxSDBRpIZLukvCzeypaUs=s40-c-rp-mo-br100,,4,1.0,Del centro de salud sin medico me mandan a urgencias y alli me tienen esperando 6 horas por que una bronconeumonia no les parece preferente. Asco de todo,From the health center without a doctor they send me to the emergency room and there they keep me waiting for 6 hours because bronchopneumonia does not seem preferable to them. Disgust of everything,1.0,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwemZqMmRBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDpzfj2dA%7CCgwI6YippwYQiKOd1QE%7C?hl=en-US,5.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwemZqMmRBEAE,"En éste preciso momento mi padre Tomás está en la UCI cardiología de la tercera planta.Lleva desde el día 11 y sólo tengo muestras de agradecimiento con el trato a mi padre y  a nosotros los familiares. Puedo decir que son un equipo maravilloso tanto médicos enfermeros y auxiliares ,se dejan la piel por sus pacientes a mí padre todavía le queda por estar allí.Muchas gracias por el trato.",María M. M,https://www.google.com/maps/contrib/105210851129368175007?hl=en-US,105210851129368175007,https://lh3.googleusercontent.com/a/ACg8ocLmba4AFAz1DBTYvPDPSl9pXVzW7UlS1neUwA7Q0GqF=s40-c-rp-mo-br100,,4,,"En éste preciso momento mi padre Tomás está en la UCI cardiología de la tercera planta.Lleva desde el día 11 y sólo tengo muestras de agradecimiento con el trato a mi padre y  a nosotros los familiares. Puedo decir que son un equipo maravilloso tanto médicos enfermeros y auxiliares ,se dejan la piel por sus pacientes a mí padre todavía le queda por estar allí.Muchas gracias por el trato.","At this precise moment my father Tomás is in the cardiology ICU on the third floor. He has been there since the 11th and I only have expressions of gratitude for the treatment of my father and us family members. I can say that they are a wonderful team, both nurses and assistants, they go out of their way for their patients, my father still has to be there. Thank you very much for the treatment.",1.0,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwcWNLT1pREAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDpqcKOZQ%7CCgsI_tadpwYQsMD4Wg%7C?hl=en-US,5.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwcWNLT1pREAE,,Mark Vasey,https://www.google.com/maps/contrib/109747312904910834071?hl=en-US,109747312904910834071,https://lh3.googleusercontent.com/a-/ALV-UjXnwEr224JoLN3LegnVBFqLhJm9B8fA1JCsAK7UKuVcYzI=s40-c-rp-mo-ba4-br100,True,22,256.0,,,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURweXJYMjd3RRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDpyrX27wE%7CCgwIoa6EpwYQiPT51AI%7C?hl=en-US,1.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURweXJYMjd3RRAB,"Horrible la sala de espera de emergencias, pasan a las personas que tienen ""prioridad"" aunque los demas hayamos llegado antes, la mayoria de las consultas vacias",Fer Lost,https://www.google.com/maps/contrib/101852274053021021532?hl=en-US,101852274053021021532,https://lh3.googleusercontent.com/a-/ALV-UjWFW0n9tRbdesbp0nI3Rr6AYlTTj7GysBtPr_wnWvFjNlI=s40-c-rp-mo-br100,,2,,"Horrible la sala de espera de emergencias, pasan a las personas que tienen ""prioridad"" aunque los demas hayamos llegado antes, la mayoria de las consultas vacias","The emergency waiting room is horrible, they pass on to people who have ""priority"" even though the rest of us have arrived first, most of the consultation rooms are empty",1.0,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwdktYQkxBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDpvKXBLA%7CCgwItaT8pgYQsKyJmgI%7C?hl=en-US,1.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwdktYQkxBEAE,"Habitaciones dobles my extrechas, en el aseo no hay bañera ni ducha, es muy antiguo, me ha decepcionado mucho, en atención médica y enfermería buen, la comida pésima no peor, lo siento, en medicina y cirugía en general, de lo mejor",Gabi Laguna,https://www.google.com/maps/contrib/116935553633439737758?hl=en-US,116935553633439737758,https://lh3.googleusercontent.com/a-/ALV-UjUZmOFZS9AMutOwstH52MlRVOHjB0JdvkG1OdfQvTHCYA=s40-c-rp-mo-ba5-br100,True,35,1326.0,"Habitaciones dobles my extrechas, en el aseo no hay bañera ni ducha, es muy antiguo, me ha decepcionado mucho, en atención médica y enfermería buen, la comida pésima no peor, lo siento, en medicina y cirugía en general, de lo mejor","Very narrow double rooms, there is no bathtub or shower in the bathroom, it is very old, I was very disappointed, the medical and nursing care was good, the food was not worse, I'm sorry, in medicine and surgery in general, the best",2.0,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwckx5cTlnRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDprLyq9gE%7CCgsIr934pgYQ6N2odA%7C?hl=en-US,3.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURwckx5cTlnRRAB,Estoy en el pabellón de ontológica y es un equipo estupend0,Casimiro Perea,https://www.google.com/maps/contrib/100885964930893742998?hl=en-US,100885964930893742998,https://lh3.googleusercontent.com/a-/ALV-UjUV3Agekpu6mcX97nF8at5YYEx8yZ-qqLKUa7p72XKl0KSc=s40-c-rp-mo-ba4-br100,True,71,408.0,Estoy en el pabellón de ontológica y es un equipo estupend0,I'm in the ontological pavilion and it's a great team.,,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwNkptZUFREAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDp6JmeAQ%7CCgwI-uLupgYQgOjUjQE%7C?hl=en-US,5.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwNkptZUFREAE,"La atención es esmerada y respetuosa, ahora tienen un dispositivo nuevo que te colocan para hacer seguimiento de las pautas y tu localización dentro de las instalaciones cosa que me parece muy conveniente sobre todo por la seguridad del paciente. Debes descargar una aplicación y puedes compartir el código QR, con tu acompañante para que esté al tanto de donde te encuentras y en qué fase está tu atención.  Espero que mejore el dispositivo, de momento está un poco descontrolado, en mi caso, mi acompañante no pudo acceder a él cuando se lo compartí y en una de las actualizaciones decía que ya me estaba atendiendo el médico cuando aún estaba en la sala de espera. De todas formas es genial si logran coordinarlo bien. Este hospital se esfuerza por brindar una buena atención, seamos recíprocos.",Silvia Zimmer,https://www.google.com/maps/contrib/100690706640263235535?hl=en-US,100690706640263235535,https://lh3.googleusercontent.com/a-/ALV-UjUOhfKV2V6hBGO8CiT2YONjPrqME-eJvs_5FNCLdyACWqA=s40-c-rp-mo-ba4-br100,True,76,162.0,"La atención es esmerada y respetuosa, ahora tienen un dispositivo nuevo que te colocan para hacer seguimiento de las pautas y tu localización dentro de las instalaciones cosa que me parece muy conveniente sobre todo por la seguridad del paciente. Debes descargar una aplicación y puedes compartir el código QR, con tu acompañante para que esté al tanto de donde te encuentras y en qué fase está tu atención.  Espero que mejore el dispositivo, de momento está un poco descontrolado, en mi caso, mi acompañante no pudo acceder a él cuando se lo compartí y en una de las actualizaciones decía que ya me estaba atendiendo el médico cuando aún estaba en la sala de espera. De todas formas es genial si logran coordinarlo bien. Este hospital se esfuerza por brindar una buena atención, seamos recíprocos.","The care is careful and respectful, now they have a new device that they give you to monitor the guidelines and your location within the facilities, which I think is very convenient, especially for the safety of the patient. You must download an application and you can share the QR code with your companion so that they are aware of where you are and what phase your attention is in. I hope the device improves, at the moment it is a little uncontrolled, in my case, my companion could not access it when I shared it with him and in one of the updates it said that the doctor was already treating me when I was still in the waiting room . Anyway, it's great if they manage to coordinate it well. This hospital strives to provide good care, let's reciprocate.",2.0,['https://lh5.googleusercontent.com/p/AF1QipOWo7BAYOSJa1BpxyiuPFacU7z1cHQArcEeWrme=w100-h100-p-n-k-no']
