,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,user.photos,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR4Z1kyMGhBRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDxgY20hAE%7CCgsI0MqMpAYQwP7bIA%7C?hl=en-US,5.0,8 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUR4Z1kyMGhBRRAB,"Gracias por la atención prestada en sala 6 y sala 11 neumología,  el equipo médico del Dr Alvarez Martinez y la dedicación de enfermeras y auxiliares, María planta 6 que es un ángel y Mirian planta 11. Muchísimas gracias por vuestra profesionalidad.",3.0,Araceli HC,https://www.google.com/maps/contrib/106231260116062793055?hl=en-US,106231260116062793055,https://lh3.googleusercontent.com/a-/ALV-UjUHlNzoCLdMIry5ZZNbPkria7l_8PdlkNZeKpGdez19vsgJ=s40-c-rp-mo-br100,3,"Gracias por la atención prestada en sala 6 y sala 11 neumología,  el equipo médico del Dr Alvarez Martinez y la dedicación de enfermeras y auxiliares, María planta 6 que es un ángel y Mirian planta 11. Muchísimas gracias por vuestra profesionalidad.","Thank you for the care provided in room 6 and pulmonology room 11, the medical team of Dr Alvarez Martinez and the dedication of the nurses and assistants, María on floor 6 who is an angel and Mirian on floor 11. Thank you very much for your professionalism.",,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR4OXJhYkRBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDx9rabDA%7CCgsI3a-EpAYQ0KzXQQ%7C?hl=en-US,1.0,8 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR4OXJhYkRBEAE,"Lamentable la atención que he recibido hoy en este hospital por urgencias, llegue con mi hija que presentaba un cuadro de ansiedad y al principio muy bien la mujer del mostrado muy amable me tomo nota de los datos personales de mi hija y me indicó que pasará a la sala de espera de al lado, las doctoras que atendieron a mi hija en esta sala excelente atención por su parte, me enviaron con una enfermera a sala de línea amarilla y le dieron indicaciones de la medicina que le debían dar a mi hija para la tembladera que tenía en ese momento, cuando llegamos a dicha sala escucho como la enfermera que lleva a mi hija en una silla de ruedas le dice a la doctora que estaba atendiendo la medicina que debían aplicarle y le contesta en tono bastante déspota que la deje en el pasillo que ahí no puede estar, la enfermera la deja en el pasillo, no era la primera vez que mi hija presenta un cuadro de ansiedad y su pareja llegó al hospital con la medicina, como yo sabía que le iban a poner una medicina y veo que tardaban tanto en atender me acerco al mostrador de esta sala a preguntarle a una enfermera que estaba ahí que si podía darle esta medicina a mi hija por lo menos para que dejara de temblar a lo que interrumpe una mujer se ve que es la médico jefe y con tono fuerte y déspota me contesta que las enfermeras no me pueden decir nada por que mi hija aún no tiene ni médico, intente explicarle en 2 ocasiones lo que quería decirle pero ella me interrumpe sin dejarme terminar y me dice que yo puedo hacer lo que quiera pero que ellas no me pueden decir nada y sin más le di las gracias y me marche, dicho esto creo que a esta señora le falta empatía y más educación, que por mucho título que tenga  la educación es esencial, ni siquiera dejo que le explicara bien lo que quería decirle y tiene que darse cuenta que somos humanos no objetos para que nos trate a las patadas, no soy de poner reseñas y menos de esta forma pero creo que esta vez sí que hace falta para concientizar no a todo pero si a uno que otro del personal en cuestión del tacto con la gente, creo que a nadie le gusta estar en hospital interminables horas y uno va ya por que no le queda de otra y por el estado de salud que presenta en ese momento y ser tratado como he sido trata hoy no me parece justo.",5.0,Dayana Quevedo,https://www.google.com/maps/contrib/110448449427462206233?hl=en-US,110448449427462206233,https://lh3.googleusercontent.com/a/ACg8ocKdYIPwrEAHtHXLQUxyB7FgVfY4ih-AC74mYRNq6yO8=s40-c-rp-mo-br100,6,"Lamentable la atención que he recibido hoy en este hospital por urgencias, llegue con mi hija que presentaba un cuadro de ansiedad y al principio muy bien la mujer del mostrado muy amable me tomo nota de los datos personales de mi hija y me indicó que pasará a la sala de espera de al lado, las doctoras que atendieron a mi hija en esta sala excelente atención por su parte, me enviaron con una enfermera a sala de línea amarilla y le dieron indicaciones de la medicina que le debían dar a mi hija para la tembladera que tenía en ese momento, cuando llegamos a dicha sala escucho como la enfermera que lleva a mi hija en una silla de ruedas le dice a la doctora que estaba atendiendo la medicina que debían aplicarle y le contesta en tono bastante déspota que la deje en el pasillo que ahí no puede estar, la enfermera la deja en el pasillo, no era la primera vez que mi hija presenta un cuadro de ansiedad y su pareja llegó al hospital con la medicina, como yo sabía que le iban a poner una medicina y veo que tardaban tanto en atender me acerco al mostrador de esta sala a preguntarle a una enfermera que estaba ahí que si podía darle esta medicina a mi hija por lo menos para que dejara de temblar a lo que interrumpe una mujer se ve que es la médico jefe y con tono fuerte y déspota me contesta que las enfermeras no me pueden decir nada por que mi hija aún no tiene ni médico, intente explicarle en 2 ocasiones lo que quería decirle pero ella me interrumpe sin dejarme terminar y me dice que yo puedo hacer lo que quiera pero que ellas no me pueden decir nada y sin más le di las gracias y me marche, dicho esto creo que a esta señora le falta empatía y más educación, que por mucho título que tenga  la educación es esencial, ni siquiera dejo que le explicara bien lo que quería decirle y tiene que darse cuenta que somos humanos no objetos para que nos trate a las patadas, no soy de poner reseñas y menos de esta forma pero creo que esta vez sí que hace falta para concientizar no a todo pero si a uno que otro del personal en cuestión del tacto con la gente, creo que a nadie le gusta estar en hospital interminables horas y uno va ya por que no le queda de otra y por el estado de salud que presenta en ese momento y ser tratado como he sido trata hoy no me parece justo.","The care I received today in this hospital for emergencies is regrettable. I arrived with my daughter who was suffering from anxiety and at first, the very kind woman in the room took note of my daughter's personal information and told me that she would go to the waiting room next door, the doctors who treated my daughter in this room provided excellent service on their part, they sent me with a nurse to the yellow line room and gave her instructions on the medicine that they should give my daughter for the tremors that I had at that moment, when we arrived at said room I heard how the nurse who was carrying my daughter in a wheelchair told the doctor who was attending to the medicine that they should apply to her and she replied in a rather despotic tone to leave her alone. the hallway, she can't be there, the nurse leaves her in the hallway, it wasn't the first time that my daughter has symptoms of anxiety and her partner arrived at the hospital with the medicine, as I knew they were going to give her medicine and I see that they were taking so long to attend. I approach the counter of this room to ask a nurse who was there if she could give this medicine to my daughter at least so that she would stop shaking, to which a woman interrupts, apparently she is the doctor. boss and with a strong and despotic tone she answers me that the nurses can't tell me anything because my daughter doesn't even have a doctor yet, I tried to explain to her twice what I wanted to tell her but she interrupted me without letting me finish and told me that I can do whatever I want but they can't tell me anything and without further ado I thanked her and left, having said that I think that this lady lacks empathy and more education, that no matter how much education she has, it is essential, I don't even let that I explained well what I wanted to tell him and he has to realize that we are humans, not objects so that he can treat us with kicks, I am not one to give reviews, especially not in this way, but I think that this time it is necessary to raise awareness, not to everyone. But if one or another of the staff in terms of contact with people, I think that no one likes to be in the hospital for endless hours and one goes now because they have no other choice and because of the state of health they present at that moment and Being treated the way I have been treated today doesn't seem fair to me.",,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR4OXNMbm1nRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDx9sLnmgE%7CCgwIsZWEpAYQyIDTrAM%7C?hl=en-US,1.0,8 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUR4OXNMbm1nRRAB,"Más de 12 horas esperando para un ingreso...
Vergonzoso",,Jose Herranz,https://www.google.com/maps/contrib/110034331350937873839?hl=en-US,110034331350937873839,https://lh3.googleusercontent.com/a-/ALV-UjVRGLulGAL08JdDj_P4qPgModuTv51cMNTGUTm4RoP-zQ=s40-c-rp-mo-br100,2,"Más de 12 horas esperando para un ingreso...
Vergonzoso","More than 12 hours waiting for an admission...
Shameful",,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR4cHJHckxnEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDxprGrLg%7CCgwIv-6ApAYQiPSSowI%7C?hl=en-US,1.0,8 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR4cHJHckxnEAE,"Es de vergüenza. Para que tenéis habilitados tlfns de petición de citas?. Estoy embarazada y tengo un brote de dermatitis intenso, estoy intentando adelantar mi revisión porque dado mi estado estoy sin tratamiento y no hay manera de que contestéis el tlf. Menuda sanidad.",5.0,Nazareth Troya Valdivia,https://www.google.com/maps/contrib/101952891184171678609?hl=en-US,101952891184171678609,https://lh3.googleusercontent.com/a/ACg8ocK_aBO11lmt2jcpBLPdmS-W57HksyW8vSUc3tBzMQJl=s40-c-rp-mo-br100,2,"Es de vergüenza. Para que tenéis habilitados tlfns de petición de citas?. Estoy embarazada y tengo un brote de dermatitis intenso, estoy intentando adelantar mi revisión porque dado mi estado estoy sin tratamiento y no hay manera de que contestéis el tlf. Menuda sanidad.","It's shameful. Why do you have appointment request phone numbers enabled? I am pregnant and I have an intense dermatitis outbreak. I am trying to advance my check-up because given my condition, I am untreated and there is no way for you to answer the phone. Nice health.",,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR4d3VtZldBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDxwumfWA%7CCgwI0ujyowYQkJWUzQI%7C?hl=en-US,5.0,9 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR4d3VtZldBEAE,,,Ronald jcr,https://www.google.com/maps/contrib/100153397228822861616?hl=en-US,100153397228822861616,https://lh3.googleusercontent.com/a/ACg8ocIA0uwfUhkT6R_KAdHLoPWaFPPAep83LEGOzs7AxTnGEVI=s40-c-rp-mo-br100,2,,,5.0,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR4cVBmN1dnEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDxqPf7Wg%7CCgwI7NHeowYQwLjkgwI%7C?hl=en-US,1.0,9 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR4cVBmN1dnEAE,"El oftalmologo de esta mañana en urgencias,debería empezar de nuevo la carrera,los de la óptica la ven herida en la córnea y demás,el no ve nada,todo perfecto y ha las pocas horas en el hospital clínico,nos dicen lo mismo que en la óptica,vergonzoso",3.0,Noelia Serra,https://www.google.com/maps/contrib/106977681138619666756?hl=en-US,106977681138619666756,https://lh3.googleusercontent.com/a/ACg8ocKlZrZ5ouoEeY66lp_YbLtWDoRmnGcT-hsCOmNpxTNu=s40-c-rp-mo-br100,8,"El oftalmologo de esta mañana en urgencias,debería empezar de nuevo la carrera,los de la óptica la ven herida en la córnea y demás,el no ve nada,todo perfecto y ha las pocas horas en el hospital clínico,nos dicen lo mismo que en la óptica,vergonzoso","The ophthalmologist this morning in the emergency room should start the race again, the opticians see her injured in the cornea and so on, he doesn't see anything, everything is perfect and within a few hours in the clinical hospital, they tell us the same thing as in the optics, shameful",,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR4OFA2Mk1REAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDx8P62MQ%7CCgwI-4_cowYQyJTGwgE%7C?hl=en-US,5.0,9 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR4OFA2Mk1REAE,Gran vestíbulo para acceder y no es muy complicado encontrar las consultas.,,Begoña Monge Zapata,https://www.google.com/maps/contrib/115481898410062792876?hl=en-US,115481898410062792876,https://lh3.googleusercontent.com/a/ACg8ocIQ0ZK3GvM5Edd_siSViBFKjPT_PuX2ETLtnOzUThBN=s40-c-rp-mo-ba4-br100,139,Gran vestíbulo para acceder y no es muy complicado encontrar las consultas.,Large lobby to access and it is not very difficult to find consultations.,19.0,True
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN4aDZtUkxREAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICxh6mRLQ%7CCgsIlejHowYQkJbmfQ%7C?hl=en-US,5.0,9 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN4aDZtUkxREAE,Es de lo mejor,,Jose Gonzalez,https://www.google.com/maps/contrib/101955084003266189666?hl=en-US,101955084003266189666,https://lh3.googleusercontent.com/a/ACg8ocJerAPYOD0ZieW5gjhUDiuIpmB96kaX0Pm7V-Ov8Uk=s40-c-rp-mo-ba5-br100,280,Es de lo mejor,It's the best,361.0,True
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN4eThIdV9RRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICxy8Hu_QE%7CCgwIjZDBowYQsJqB9QE%7C?hl=en-US,5.0,9 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUN4eThIdV9RRRAB,"Solo tenemos palabras de agradecimiento, un trato de diez!",,Jose Antonio Espada Zorzano,https://www.google.com/maps/contrib/111154695610395422939?hl=en-US,111154695610395422939,https://lh3.googleusercontent.com/a-/ALV-UjXTeiK7oByX27TfyMKV_7wfXF34Y23I603o9xW3rqysy62w=s40-c-rp-mo-ba2-br100,17,"Solo tenemos palabras de agradecimiento, un trato de diez!","We only have words of gratitude, a deal of ten!",30.0,True
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN4cy11bFpnEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICxs-ulZg%7CCgwIrJm-owYQiIL_tQI%7C?hl=en-US,1.0,9 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN4cy11bFpnEAE,"Vergonzoso es poco...esta mañana ha entrado mi madre al QX con programación de cirugía a las 8.30. No sabían decirnos si anestesia general o parcial, si ingreso o no y era una cirugía de un bulto en la mano. Se supone que me llamarían al salir de la intervención pero la llamads nunca se ha producido. Por fin, a las 18h en información, tras preguntar más de 10 veces, me dicen que esta ingresado en una habitación. V  de la planta",4.0,Maria,https://www.google.com/maps/contrib/117986755821439396694?hl=en-US,117986755821439396694,https://lh3.googleusercontent.com/a-/ALV-UjUse_OIAHOgwtBDFDj--Onl-wULAgpRKL4zX-1Qpe6eHTUi=s40-c-rp-mo-br100,20,"Vergonzoso es poco...esta mañana ha entrado mi madre al QX con programación de cirugía a las 8.30. No sabían decirnos si anestesia general o parcial, si ingreso o no y era una cirugía de un bulto en la mano. Se supone que me llamarían al salir de la intervención pero la llamads nunca se ha producido. Por fin, a las 18h en información, tras preguntar más de 10 veces, me dicen que esta ingresado en una habitación. V  de la planta","Embarrassing is an understatement...this morning my mother came into the QX with surgery scheduled for 8:30. They couldn't tell us whether general or partial anesthesia, whether I was admitted or not, and it was surgery for a lump on the hand. They were supposed to call me when I left the intervention but the call never came. Finally, at 6pm in information, after asking more than 10 times, they tell me that he is admitted to a room. V of the plant",1.0,
