,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,likes
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSMzdUQzRBRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDR37TC4AE%7CCgsI09jdogYQsPO_FA%7C?hl=en-US,5.0,9 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSMzdUQzRBRRAB,Simplemente te dan la vida con un trato espectacular y especializado al máximo solo me queda decir gracias.,Manuel Moratilla Moratilla,https://www.google.com/maps/contrib/103273266645570336170?hl=en-US,103273266645570336170,https://lh3.googleusercontent.com/a-/ALV-UjXACYb_ZwZG24GPfopmW9izchfRsEoVb8eM9DQo-6jPfvg=s40-c-rp-mo-ba3-br100,True,94,1.0,Simplemente te dan la vida con un trato espectacular y especializado al máximo solo me queda decir gracias.,They simply give you life with spectacular and maximally specialized treatment. All I have to say is thank you.,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSai0tQ3ZnRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDRj--CvgE%7CCgwI_L_ZogYQqO3f0AM%7C?hl=en-US,5.0,9 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSai0tQ3ZnRRAB,,José Flores Bernardo,https://www.google.com/maps/contrib/108149283693081427571?hl=en-US,108149283693081427571,https://lh3.googleusercontent.com/a-/ALV-UjUxn0g10uhK9TjJpu8GYWvWYhJKnHteiZOx4pjS3WFqVA=s40-c-rp-mo-ba4-br100,True,150,55.0,,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSbDZDZy1RRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDRl6Cg-QE%7CCgwI4uHUogYQgOzx7wI%7C?hl=en-US,5.0,9 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSbDZDZy1RRRAB,,Claudio Hernandez,https://www.google.com/maps/contrib/100511003235887635242?hl=en-US,100511003235887635242,https://lh3.googleusercontent.com/a/ACg8ocKSURgFus4RWF7qbQaG9TUPcQijJBVy193G_APEVa7j=s40-c-rp-mo-br100,,3,3.0,,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURScDdQRC1nRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDRp7PD-gE%7CCgwIxfLTogYQwPnosgI%7C?hl=en-US,5.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURScDdQRC1nRRAB,"Sólo podemos tener palabras de agradecimiento al Hospital 12 de Octubre de Madrid. En especial, Pediatría - Oncología. Neurocirujanos, anestesistas, enfermero/as, auxiliares, etc. El trabajo y el trato de todos sus profesionales es digno de orgullo que todos tendríamos que sentir y sobre todo, apoyar para que sigamos teniendo y mejorando para ofrecer las mejores condiciones de nuestra Sanidad Pública.
Gracias de parte de nuestro hijo Víctor.",Ivi Viti Pro,https://www.google.com/maps/contrib/100479088385148912176?hl=en-US,100479088385148912176,https://lh3.googleusercontent.com/a-/ALV-UjXO4BOEe6Dg-_sJ3-erg6NZ3u17bhjqWNvYSXEthBJPnXA=s40-c-rp-mo-br100,,6,,"Sólo podemos tener palabras de agradecimiento al Hospital 12 de Octubre de Madrid. En especial, Pediatría - Oncología. Neurocirujanos, anestesistas, enfermero/as, auxiliares, etc. El trabajo y el trato de todos sus profesionales es digno de orgullo que todos tendríamos que sentir y sobre todo, apoyar para que sigamos teniendo y mejorando para ofrecer las mejores condiciones de nuestra Sanidad Pública.
Gracias de parte de nuestro hijo Víctor.","We can only have words of gratitude to the 12 de Octubre Hospital in Madrid. Especially Pediatrics - Oncology. Neurosurgeons, anesthetists, nurses, assistants, etc. The work and treatment of all its professionals is worthy of pride that we should all feel and, above all, support so that we continue to have and improve to offer the best conditions of our Public Health.
Thank you from our son Victor.",1.0
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSeDV6bG5BRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDRx5zlnAE%7CCgwIwcTSogYQ8JXN7gI%7C?hl=en-US,1.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSeDV6bG5BRRAB,"El servicio telefónico el peor de Madrid, tienen líneas de tfo de consultas que no funcionan, llamas a centralita y después de 24 llamadas y te cogen, te dan el teléfono al que llevas llamando tres días y donde se indica que esa línea no existe. Y te dicen que no tienen otra forma de contactar con la consulta.",Rut Criado,https://www.google.com/maps/contrib/115590809720850910554?hl=en-US,115590809720850910554,https://lh3.googleusercontent.com/a/ACg8ocJTSnTj8gX4581owwRO9rJ6i4zkMYOoKpOWq_hIdxau=s40-c-rp-mo-ba4-br100,True,61,75.0,"El servicio telefónico el peor de Madrid, tienen líneas de tfo de consultas que no funcionan, llamas a centralita y después de 24 llamadas y te cogen, te dan el teléfono al que llevas llamando tres días y donde se indica que esa línea no existe. Y te dicen que no tienen otra forma de contactar con la consulta.","The telephone service is the worst in Madrid, they have telephone lines for inquiries that do not work, you call the switchboard and after 24 calls and they answer you, they give you the telephone number that you have been calling for three days and where it is indicated that this line does not exist. And they tell you that they have no other way to contact the consultation.",1.0
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSaDduQllnEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDRh7nBYg%7CCgsI7-nRogYQqOO1dg%7C?hl=en-US,5.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURSaDduQllnEAE,"Por desgracia necesite de sus servicios,no por los servicios cuidado sino por mi defectos en los huesos agravados por tener poliomielitis,la atención en las tres operaciones,hago un aparte al magnífico doctor RAYO,y a su equipo incluido anestesistas,fue de lo más profesional y cercano,y luego en planta todo muy bien,ya se sabe depende también de el compañero que te toque jj,luego el seguimiento y las revisiones muy profesionales,sólo quiero darle las gracias,ya sé que a todos no les salen las cosas como quisieran,pero yo solo puedo agradecerles todo.en especial al doctor por su trato de tu a tu.mi nombre es Fco Javier cornejo cimarra sigan así y gracias por su dedicación.",Fco Javier Cornejo,https://www.google.com/maps/contrib/102399946992233830186?hl=en-US,102399946992233830186,https://lh3.googleusercontent.com/a/ACg8ocJ0Ax7Y6nNDAsXJuWd2iSwqSrd1hWXVN5meARybCJNn=s40-c-rp-mo-br100,,36,33.0,"Por desgracia necesite de sus servicios,no por los servicios cuidado sino por mi defectos en los huesos agravados por tener poliomielitis,la atención en las tres operaciones,hago un aparte al magnífico doctor RAYO,y a su equipo incluido anestesistas,fue de lo más profesional y cercano,y luego en planta todo muy bien,ya se sabe depende también de el compañero que te toque jj,luego el seguimiento y las revisiones muy profesionales,sólo quiero darle las gracias,ya sé que a todos no les salen las cosas como quisieran,pero yo solo puedo agradecerles todo.en especial al doctor por su trato de tu a tu.mi nombre es Fco Javier cornejo cimarra sigan así y gracias por su dedicación.","Unfortunately I needed your services, not because of the care services but because of my bone defects aggravated by having poliomyelitis, the attention in the three operations, I make an aside to the magnificent doctor RAYO, and his team including anesthetists, he was most professional and close, and then on the floor everything is very good, you know it also depends on the colleague you have jj, then the follow-up and the very professional reviews, I just want to thank you, I know that things don't turn out like that for everyone They would like to, but I can only thank them for everything. Especially the doctor for his personal treatment. My name is Fco Javier Cornejo Ciarra, keep up the good work and thank you for your dedication.",
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSMjVyTEZ3EAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDR25rLFw%7CCgwIiu_OogYQiKTQtgE%7C?hl=en-US,5.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURSMjVyTEZ3EAE,El mejor,Mónica,https://www.google.com/maps/contrib/110585287380945323611?hl=en-US,110585287380945323611,https://lh3.googleusercontent.com/a-/ALV-UjXJyHo3bslwUZOXNQcJu8rqRKt9rcIwefbPux-MSAAqGEM=s40-c-rp-mo-ba4-br100,True,139,61.0,El mejor,The best,1.0
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSeTV2RGhRRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDRy5vDhQE%7CCgsI6KbLogYQ0LqjNQ%7C?hl=en-US,1.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSeTV2RGhRRRAB,"para que tanto estudio de carrera? si descansan mas que trabajan , madre mía se tiran mas de chachara  y comiendo ,q haciendo su trabajo, que vergüenza.",firniky,https://www.google.com/maps/contrib/109243936212241422183?hl=en-US,109243936212241422183,https://lh3.googleusercontent.com/a-/ALV-UjVHPWQsKbUMhY0wptPj8s4sJIus4JQPzM3nhJtKct_vCA=s40-c-rp-mo-br100,,4,,"para que tanto estudio de carrera? si descansan mas que trabajan , madre mía se tiran mas de chachara  y comiendo ,q haciendo su trabajo, que vergüenza.","Why study so much career? If they rest more than they work, my goodness they spend more time chatting and eating than doing their work, what a shame.",1.0
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSdy1hV3V3RRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDRw-aWuwE%7CCgwI5JTEogYQoO6FsgM%7C?hl=en-US,1.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSdy1hV3V3RRAB,"Una vergüenza de personal llevo y endo tres dias porque tengo familiar el personal de vergüenza peleándose entre ellos mal atendidos yo lo que haría a estos empleados suspenderles el suelo y verás como no pasaría esto de vergüenza así pasa que atienden al enfermo mal les e tenido que decir tres veces el suero que tenían puesto a mi suegra no funcionaba .
Y luego discutiendo entre trabajadores que decían que hoy no tenían cuerpo para atender enfermos son unos sin vergüenzas y lo voy a denunciar porque lo tengo todo grabado para que a esas seis empleadas se las quite la Gracias porque juegan con nuestros pacientes de una vergüenza",aluminios arias e ivan sl,https://www.google.com/maps/contrib/112999424301136016156?hl=en-US,112999424301136016156,https://lh3.googleusercontent.com/a-/ALV-UjX87y2qrwKnAJO8LLYkS00RButxWPu0uk4P-yKm9PXWJhl5=s40-c-rp-mo-ba3-br100,True,41,6.0,"Una vergüenza de personal llevo y endo tres dias porque tengo familiar el personal de vergüenza peleándose entre ellos mal atendidos yo lo que haría a estos empleados suspenderles el suelo y verás como no pasaría esto de vergüenza así pasa que atienden al enfermo mal les e tenido que decir tres veces el suero que tenían puesto a mi suegra no funcionaba .
Y luego discutiendo entre trabajadores que decían que hoy no tenían cuerpo para atender enfermos son unos sin vergüenzas y lo voy a denunciar porque lo tengo todo grabado para que a esas seis empleadas se las quite la Gracias porque juegan con nuestros pacientes de una vergüenza","It's been a disgraceful staff for three days because I have a family member who is disgraceful, fighting among themselves, poorly cared for, what would I do to these employees is to suspend them and you'll see how this disgraceful thing wouldn't happen, so it happens that they take care of the sick badly and I've had to Saying three times the serum they had on my mother-in-law didn't work.
And then arguing between workers who said that today they did not have the body to care for patients, they are shameless and I am going to report it because I have everything recorded so that those six employees can be taken away. Thank you because they play with our patients in a shameful way.",4.0
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSLWFDRWpBRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDR-aCEjAE%7CCgwIqrqzogYQ4KeKzQM%7C?hl=en-US,4.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSLWFDRWpBRRAB,"Ayer lleve a mi pequeña a urgencias de pediatría por una brecha que se hizo en la frente por una caída y la atención desde el triaje fue estupenda . A la cirujana que le hizo los dos puntos en la frente , le doy las gracias por su excelente atención. Hizo que mi pequeña estuviera muy bien y entretenida en todo momento . Se ve que es médico por vocación    y la mayoría de veces que he ido a este hospital  es buena y con empatía la Atencion en él área de urgencias pediátricas",Nelsy Milena Castaño,https://www.google.com/maps/contrib/117886420442633468024?hl=en-US,117886420442633468024,https://lh3.googleusercontent.com/a/ACg8ocJVHlAbT-yGMbLxfOTtnuIWauXb4pobFFcK1Pt_tCGi=s40-c-rp-mo-br100,,42,107.0,"Ayer lleve a mi pequeña a urgencias de pediatría por una brecha que se hizo en la frente por una caída y la atención desde el triaje fue estupenda . A la cirujana que le hizo los dos puntos en la frente , le doy las gracias por su excelente atención. Hizo que mi pequeña estuviera muy bien y entretenida en todo momento . Se ve que es médico por vocación    y la mayoría de veces que he ido a este hospital  es buena y con empatía la Atencion en él área de urgencias pediátricas","Yesterday I took my little girl to the pediatric emergency room due to a gap she made in her forehead due to a fall and the care from the triage was great. To the surgeon who performed the two stitches on his forehead, I thank her for her excellent care. He made my little girl feel very well and entertained at all times. It seems that he is a doctor by vocation    and most of the times that I have gone to this hospital the attention in the pediatric emergency area is good and empathetic.",1.0
