,link,rating,date,source,review_id,user.name,user.link,user.contributor_id,user.thumbnail,snippet,likes,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSMmJUeHZRRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDR2bTxvQE%7CCgsIoJaxogYQuOC3Kw%7C?hl=en-US,5.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSMmJUeHZRRRAB,Leticia Galán González,https://www.google.com/maps/contrib/113667907190051236130?hl=en-US,113667907190051236130,https://lh3.googleusercontent.com/a/ACg8ocI2aVqn6lGREsOohSmIi4NjC3eZqJdf5FNHA2Khrd04=s40-c-rp-mo-br100,,,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSd1pIX2NnEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDRwZH_cg%7CCgwIv42mogYQ0MrrtAE%7C?hl=en-US,5.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURSd1pIX2NnEAE,jessi14,https://www.google.com/maps/contrib/115503307818255849935?hl=en-US,115503307818255849935,https://lh3.googleusercontent.com/a-/ALV-UjXjW_BfzFlvmsNWVCwR4Ws3PYREAECmERTKTYnjW-K9oPw=s40-c-rp-mo-br100,me atendieron una urgencia por mi embarazo y la atención fue muy amable y rápida. muchas gracias a todo el personal de maternidad.,1.0,5.0,2.0,me atendieron una urgencia por mi embarazo y la atención fue muy amable y rápida. muchas gracias a todo el personal de maternidad.,They treated me for an emergency due to my pregnancy and the care was very friendly and fast. Many thanks to all the maternity staff.,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSd2FqeFBBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDRwajxPA%7CCgsI4NqlogYQ2IyBLg%7C?hl=en-US,1.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURSd2FqeFBBEAE,Nancy Mercado,https://www.google.com/maps/contrib/106137875165811420961?hl=en-US,106137875165811420961,https://lh3.googleusercontent.com/a/ACg8ocK4CEVTV6Pi-yNTkuhJ0eJuKo8qHOfV1Rk0FgXcTW1M=s40-c-rp-mo-br100,12 horas para que me atenderme solo por un dolor de estomago,,4.0,,12 horas para que me atenderme solo por un dolor de estomago,12 hours to be treated just for a stomach ache,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSZ002dGp3RRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDRgM6tjwE%7CCgwI88ulogYQ-J6OtgE%7C?hl=en-US,1.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSZ002dGp3RRAB,Javier,https://www.google.com/maps/contrib/114213233904005737471?hl=en-US,114213233904005737471,https://lh3.googleusercontent.com/a-/ALV-UjVRgNTMPe6R23dWPyi773Ox0bsh_ViaY7O4z0ov4b6zImQ=s40-c-rp-mo-ba5-br100,"Mala experiencia, estuve ingresado y las instalaciones son una ruina… sin espacio, sucio, poco personal, desorganizado y mucho frustrado, que lo pagan con los pacientes, como si no tuvieran bastante con estar allí, resaltando las auxiliares/celadores… much@s se creen más de lo que son (solo muestran falta de personalidad)… si se ocuparan de lo que de verdad son… por lo menos ahí otro gallo nos cantaría",3.0,118.0,167.0,"Mala experiencia, estuve ingresado y las instalaciones son una ruina… sin espacio, sucio, poco personal, desorganizado y mucho frustrado, que lo pagan con los pacientes, como si no tuvieran bastante con estar allí, resaltando las auxiliares/celadores… much@s se creen más de lo que son (solo muestran falta de personalidad)… si se ocuparan de lo que de verdad son… por lo menos ahí otro gallo nos cantaría","Bad experience, I was admitted and the facilities are a ruin... without space, dirty, little staff, disorganized and very frustrated, who pay for it with the patients, as if they didn't have enough to be there, highlighting the assistants/guardians... much@s They think they are more than they are (they only show a lack of personality)... if they would take care of what they really are... at least there another rooster would sing to us.",True
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSZ2VQS21RRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDRgePKmQE%7CCgwI7bmlogYQ2IH09QE%7C?hl=en-US,4.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSZ2VQS21RRRAB,Miguel Angel Fernandez,https://www.google.com/maps/contrib/118109069385489787968?hl=en-US,118109069385489787968,https://lh3.googleusercontent.com/a-/ALV-UjWv3JynlkosJz_J83ALu0Oldi1YKFIXra7g_3TlBAZ1TjOK=s40-c-rp-mo-br100,,,26.0,205.0,,,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSX3Jub3lRRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDR_rnoyQE%7CCgwI3pylogYQ-IH82gE%7C?hl=en-US,1.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSX3Jub3lRRRAB,Kyke Mar,https://www.google.com/maps/contrib/113604714546782365259?hl=en-US,113604714546782365259,https://lh3.googleusercontent.com/a/ACg8ocLPajl03M-0exiPCRIhJuR_bu0V1TBYUVSDBbnit2pW=s40-c-rp-mo-br100,"He entrado a urgencias, con una herida en un ojo, y justo cuando me pasan de triaje a que me vea el oftalmologo, este abre la puerta de la consulta c1, y se marcha por la puerta. Llevo 1 hora aqui sentado y aun no a aparecido ningun oftalmologo..
Fenomenal.. lo que no entiendo, es como sabiendo que no tienen la consulta abierta, siguen mandando gente a la sala de espera, cuando no hay nadie.. al final  me he ido a las 4 horas de esperar a ser atendido, sin ser atendido, y solo me han dado de explicacion un tu mismo.. creo que al final se han agarrado  a una dinamica de  que
me da igual tu problema, y la culpa es del gobierno, y me la pela tu ojo  tu apendice y  tu salud .
Estais apañados si esperais otro aplaudo bonitos...",6.0,29.0,23.0,"He entrado a urgencias, con una herida en un ojo, y justo cuando me pasan de triaje a que me vea el oftalmologo, este abre la puerta de la consulta c1, y se marcha por la puerta. Llevo 1 hora aqui sentado y aun no a aparecido ningun oftalmologo..
Fenomenal.. lo que no entiendo, es como sabiendo que no tienen la consulta abierta, siguen mandando gente a la sala de espera, cuando no hay nadie.. al final  me he ido a las 4 horas de esperar a ser atendido, sin ser atendido, y solo me han dado de explicacion un tu mismo.. creo que al final se han agarrado  a una dinamica de  que
me da igual tu problema, y la culpa es del gobierno, y me la pela tu ojo  tu apendice y  tu salud .
Estais apañados si esperais otro aplaudo bonitos...","I went into the emergency room with an eye injury, and just when they took me from triage to see the ophthalmologist, he opened the door to consultation room C1 and walked out the door. I've been sitting here for 1 hour and no ophthalmologist has yet shown up.
Phenomenal... what I don't understand, is like knowing that they don't have the consultation open, they keep sending people to the waiting room, when there is no one... in the end I left after 4 hours of waiting to be attended to, without being attended, and they have only given me an explanation yourself... I think that in the end they have stuck to a dynamic that
I don't care about your problem, and it's the government's fault, and I'm worried about your eye, your appendix, and your health.
You're all set if you expect another nice applause...",
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSbHFiM1BBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDRlqb3PA%7CCgwIgbeaogYQwIaW6wE%7C?hl=en-US,5.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURSbHFiM1BBEAE,Zanther Bull,https://www.google.com/maps/contrib/101289206021694224875?hl=en-US,101289206021694224875,https://lh3.googleusercontent.com/a/ACg8ocJbNW5XWuFJ0STnlqaXpEdGG__2C4Dh5siFcKoEFYT5gQQ=s40-c-rp-mo-ba6-br100,,,137.0,2983.0,,,True
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSaHNTYy1BRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDRhsSc-AE%7CCgwIiI6WogYQ2KHCjQM%7C?hl=en-US,1.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSaHNTYy1BRRAB,Andrea Michell,https://www.google.com/maps/contrib/108157205073695234250?hl=en-US,108157205073695234250,https://lh3.googleusercontent.com/a-/ALV-UjUQvhwhF6gCWjqH2Qsowom364Pqa_6oJ_r0TWv4gPdNN98=s40-c-rp-mo-br100,"Pasé 6 horas en emergencia, pasan a un paciente cada dos horas hay 8 cubiculos y solo tienen habilitado 2. Tanto esperar sólo hizo que empeorara y me termine yendo. Decepcionante el servicio, un asco de verdad de hospital.",,1.0,,"Pasé 6 horas en emergencia, pasan a un paciente cada dos horas hay 8 cubiculos y solo tienen habilitado 2. Tanto esperar sólo hizo que empeorara y me termine yendo. Decepcionante el servicio, un asco de verdad de hospital.","I spent 6 hours in the emergency room, they transfer a patient every two hours, there are 8 cubicles and they only have 2 enabled. So much waiting only made it worse and I ended up leaving. Disappointing service, a truly disgusting hospital.",
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURScXB2WV9RRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDRqpvY_QE%7CCgsIjd6QogYQ6ImtUg%7C?hl=en-US,1.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURScXB2WV9RRRAB,Alana Gabriely Bartieres,https://www.google.com/maps/contrib/100491916252429013152?hl=en-US,100491916252429013152,https://lh3.googleusercontent.com/a/ACg8ocIrdF5NacXzD0MimyUbbgezSOppPoC3-eC0oiR52zD3=s40-c-rp-mo-br100,El sistema de urgencias es malísimo. Tardan entre 2-3h en llamar a la gente y muchos personales se la pasan paseando por los pasillos.,1.0,1.0,,El sistema de urgencias es malísimo. Tardan entre 2-3h en llamar a la gente y muchos personales se la pasan paseando por los pasillos.,The emergency system is terrible. It takes between 2-3 hours to call people and many staff spend their time walking through the hallways.,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSZ3ZtUjB3RRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDRgvmR0wE%7CCgsIgbmGogYQkI_FbQ%7C?hl=en-US,1.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSZ3ZtUjB3RRAB,Ilana Watson,https://www.google.com/maps/contrib/104601660624553401127?hl=en-US,104601660624553401127,https://lh3.googleusercontent.com/a-/ALV-UjWD3JRMjGFz8GJZNqCV3x9NJGonVvkIzzj0oUl8W72kkOA=s40-c-rp-mo-br100,No pongo menos estrellas porque no se puede. Si vais a venir a este hospital tener en cuenta que menos de 6h no vais a estar. 0 recomendado. En cualquier sitio atienden mas rápido que aquí,2.0,2.0,,No pongo menos estrellas porque no se puede. Si vais a venir a este hospital tener en cuenta que menos de 6h no vais a estar. 0 recomendado. En cualquier sitio atienden mas rápido que aquí,"I don't give fewer stars because it's not possible. If you are going to come to this hospital, keep in mind that you will not be there for less than 6 hours. 0 recommended. They serve faster anywhere than here",
