,link,rating,date,source,review_id,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,snippet,extracted_snippet.original,extracted_snippet.translated,images,likes
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSX016dzZnRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDR_Mzw6gE%7CCgwIq6qFogYQ-I-_ywM%7C?hl=en-US,3.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSX016dzZnRRAB,Nacho Vadillo,https://www.google.com/maps/contrib/109703227035340834749?hl=en-US,109703227035340834749,https://lh3.googleusercontent.com/a/ACg8ocKwGxK7-fHZSaPGsF9ZHwgPU21pZKCobhzLi-Cfm7Tz=s40-c-rp-mo-ba4-br100,True,24,3.0,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSM1BlYWxRRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDR3PealQE%7CCgwIwqWEogYQyLmsiQM%7C?hl=en-US,3.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSM1BlYWxRRRAB,an bl,https://www.google.com/maps/contrib/114319590755850481407?hl=en-US,114319590755850481407,https://lh3.googleusercontent.com/a/ACg8ocIpPp_K9BskUzONWlV6Ol6BvCxDBFKa2EOhUCtbc1Vh=s40-c-rp-mo-ba3-br100,True,73,2.0,Masificado,Masificado,Overcrowded,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSbk1XZV9BRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDRnMWe_AE%7CCgwIiuaCogYQwMKlhgM%7C?hl=en-US,1.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSbk1XZV9BRRAB,Sergio Andrés Dominguez,https://www.google.com/maps/contrib/105322265353986058165?hl=en-US,105322265353986058165,https://lh3.googleusercontent.com/a-/ALV-UjWxLLf5uTab1WVz_SxNu1axiLDt2J2xuaHVn724vWUXFU8=s40-c-rp-mo-br100,,10,2.0,"Los médicos de urgencias unos chulos, llegue por una hipopotasemia por que tengo un riñón mal y pierdo magnesio fósforo potasio  peligroso por que se te para el corazón, llegó y me dice la gran médico que me atendió que era de la ansiedad si ni si quiera se molesto a hacerme una gasometria rápida nada de nada. Toma el alta a tu casa. Llegó a la paz en 15 minutos estoy dentro con la vía puesta ES U N A VERGÜENZA impresentables no deberíais trabajar de cara al público y más para algo como lo vuestro que es vocación. Lo dicho ni entréis. Es el hospital de los horrores una auténtica VEEEEERGUENZAAAAAA","Los médicos de urgencias unos chulos, llegue por una hipopotasemia por que tengo un riñón mal y pierdo magnesio fósforo potasio  peligroso por que se te para el corazón, llegó y me dice la gran médico que me atendió que era de la ansiedad si ni si quiera se molesto a hacerme una gasometria rápida nada de nada. Toma el alta a tu casa. Llegó a la paz en 15 minutos estoy dentro con la vía puesta ES U N A VERGÜENZA impresentables no deberíais trabajar de cara al público y más para algo como lo vuestro que es vocación. Lo dicho ni entréis. Es el hospital de los horrores una auténtica VEEEEERGUENZAAAAAA","The emergency doctors are cool, I arrived due to hypokalemia because I have a bad kidney and I lose dangerous magnesium phosphorus potassium because your heart stops, they arrived and the great doctor who treated me told me that it was from anxiety, yes, I don't even want to. He bothered to give me a quick gasometry, nothing at all. Take the discharge home. He arrived at peace in 15 minutes, I'm inside with the track on. IT'S A SHAME. You unpresentable people should not work in front of the public, especially for something like yours, which is your vocation. What I said, don't even enter. The hospital of horrors is a real VEEEEEERGUENZAAAAAAA",['https://lh5.googleusercontent.com/p/AF1QipM4joIW-0aoSCIFiz6SOkXzDCyqBWl9skbHtVEH=w100-h100-p-n-k-no'],7.0
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSakpyUVB3EAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDRjJrQPw%7CCgwIwOD-oQYQ6OawlwI%7C?hl=en-US,5.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURSakpyUVB3EAE,Paola Lozano,https://www.google.com/maps/contrib/107244518534544178356?hl=en-US,107244518534544178356,https://lh3.googleusercontent.com/a/ACg8ocLSGiOJYGgg9zMWhQwAn1ahY8fgJ90oH2BRYtfk-F6X=s40-c-rp-mo-ba2-br100,True,29,3.0,Buen trato y con poco tiempo de espera,Buen trato y con poco tiempo de espera,Good treatment and short waiting time,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSak1UQnhRRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDRjMTBxQE%7CCgwItsb-oQYQyKTHrwI%7C?hl=en-US,1.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSak1UQnhRRRAB,Hermes,https://www.google.com/maps/contrib/117769968680415067511?hl=en-US,117769968680415067511,https://lh3.googleusercontent.com/a-/ALV-UjVrXh8EbOwu4hX1cte_tk53cORljLBUekJxraiHrqSq3u8=s40-c-rp-mo-br100,,5,,"Son las 10 de la mañana y nadie coge el teléfono, ni siquiera después de llamar muchas veces. Que vergüenza.","Son las 10 de la mañana y nadie coge el teléfono, ni siquiera después de llamar muchas veces. Que vergüenza.","It's 10 in the morning and no one picks up the phone, even after calling many times. What a shame.",,1.0
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSNU95ZlRnEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDR5OyfTg%7CCgwIyu75oQYQkLyEywM%7C?hl=en-US,5.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURSNU95ZlRnEAE,Jose Luis Gonzalez Marina,https://www.google.com/maps/contrib/111831240467586931685?hl=en-US,111831240467586931685,https://lh3.googleusercontent.com/a-/ALV-UjXS-_tH-M15waTHU6gCfPMmXhQry4UtByNyokD6jljzTts=s40-c-rp-mo-ba3-br100,True,48,35.0,Amazing,,,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSNE5HLU93EAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDR4NG-Ow%7CCgwInq7qoQYQ6LDgjQI%7C?hl=en-US,5.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURSNE5HLU93EAE,Yamilé,https://www.google.com/maps/contrib/110466534095388007962?hl=en-US,110466534095388007962,https://lh3.googleusercontent.com/a-/ALV-UjXbrRE1MLhnrjlrXWSILl3REuq0gj2Y52KAyk59g9UESg=s40-c-rp-mo-ba5-br100,True,147,348.0,,,,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSajdmTzZRRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICRj7fO6QE%7CCgsIyuLfoQYQ-KXYZQ%7C?hl=en-US,5.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNSajdmTzZRRRAB,Andrés García,https://www.google.com/maps/contrib/112586749260794809001?hl=en-US,112586749260794809001,https://lh3.googleusercontent.com/a/ACg8ocJ01OEWuKq0U0YBhftKh3hFjvwZTJ2OafR8jay2_R1J=s40-c-rp-mo-br100,,1,,"5 estrellas a sus profesionales (médic@s, enfermer@s, celador@es y adminitativ@s) que me han salvado la vida dos veces con un trato exquisito. Un CERO a sus gestores políticos y demás  enchufados sin mérito en la sanidad madrileña que tratan de ponérselo difícil.","5 estrellas a sus profesionales (médic@s, enfermer@s, celador@es y adminitativ@s) que me han salvado la vida dos veces con un trato exquisito. Un CERO a sus gestores políticos y demás  enchufados sin mérito en la sanidad madrileña que tratan de ponérselo difícil.","5 stars to its professionals (doctors, nurses, orderlies and administrators) who have saved my life twice with exquisite treatment. A ZERO to their political managers and others plugged in without merit in Madrid's health system who try to make it difficult for them.",,2.0
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSajdYOXBnRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICRj7X9pgE%7CCgwIr8jfoQYQyOWOogE%7C?hl=en-US,4.0,10 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNSajdYOXBnRRAB,Teresa BC,https://www.google.com/maps/contrib/114699662475256227527?hl=en-US,114699662475256227527,https://lh3.googleusercontent.com/a-/ALV-UjU0ixY6D18R_3FM8I034unI4xhOYbbF9cnMYwTwlMUurQB-=s40-c-rp-mo-ba3-br100,True,37,,,,,,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSdDZEdEVREAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICRt6DtEQ%7CCgwIwbncoQYQ2KW_1gI%7C?hl=en-US,5.0,10 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNSdDZEdEVREAE,Nuria Bautista,https://www.google.com/maps/contrib/108935837028352012781?hl=en-US,108935837028352012781,https://lh3.googleusercontent.com/a/ACg8ocLRyXUdquhpnlGSKpGyoSMpF4Z3uu2bKaV87pM13E0X=s40-c-rp-mo-br100,,5,,"Muchas gracias por la atención de materno-infantil, llegamos a urgencias,rápidamente fuimos a triaje, en 30-45min pasamos con las doctoras,enfermeras, auxiliares,etc. Y posteriormente pasamos a box con todos ellos y el maxilofacial, en 3 min subsanó el problema y cuando nuestro bebé se repuso de la ""microcirugía"" y la anestesia, nos lo llevamos a casa. Mil gracias por el cariño, la atención y la profesionalidad. Estoy ALUCINADA con la evolucion de la cicatriz(24h) y la obra de arte del doctor en la lengua de Mateo! Mil gracias!","Muchas gracias por la atención de materno-infantil, llegamos a urgencias,rápidamente fuimos a triaje, en 30-45min pasamos con las doctoras,enfermeras, auxiliares,etc. Y posteriormente pasamos a box con todos ellos y el maxilofacial, en 3 min subsanó el problema y cuando nuestro bebé se repuso de la ""microcirugía"" y la anestesia, nos lo llevamos a casa. Mil gracias por el cariño, la atención y la profesionalidad. Estoy ALUCINADA con la evolucion de la cicatriz(24h) y la obra de arte del doctor en la lengua de Mateo! Mil gracias!","Thank you very much for the maternal and child care, we arrived at the emergency room, we quickly went to triage, in 30-45 minutes we met with the doctors, nurses, assistants, etc. And later we went to the box with all of them and the maxillofacial, in 3 minutes the problem was corrected and when our baby recovered from the ""microsurgery"" and anesthesia, we took him home. Thank you very much for the love, attention and professionalism. I am AMAZED with the evolution of the scar (24 hours) and the doctor's work of art in Mateo's language! Thank you!",,2.0
