,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,extracted_snippet.original,extracted_snippet.translated,user.photos
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoanY3OE53EAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDhjv78Nw%7CCgwIiq2joAYQ6MyMmwE%7C?hl=en-US,5.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoanY3OE53EAE,Fui a urgencias por que se me cayó una señora encima de mi el traumatologo me atendió muy bien gracias por la atención prestada de verdad se nota el buen trabajo muchísimas gracias por ayudarme,1.0,Maria MB,https://www.google.com/maps/contrib/105182191822329001754?hl=en-US,105182191822329001754,https://lh3.googleusercontent.com/a-/ALV-UjW6_vSjPrIdWoZn9xn3M4mA_Nq9S7A7TPPWVzVjTBBD_n4=s40-c-rp-mo-ba3-br100,True,57,Fui a urgencias por que se me cayó una señora encima de mi el traumatologo me atendió muy bien gracias por la atención prestada de verdad se nota el buen trabajo muchísimas gracias por ayudarme,I went to the emergency room because a lady fell on top of me. The traumatologist treated me very well. Thank you for the attention provided. You can really see the good work. Thank you very much for helping me.,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURobG9xdkF3EAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDhloqvAw%7CCgwIr4efoAYQoOPBuwM%7C?hl=en-US,1.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURobG9xdkF3EAE,"Una vergüenza de personal , les pido porfavor que recojan la muestra de orina y dicen que vale y luego pasan de lante de ti y hacen que no te ven y pasan y uno esperando y lo vuelvo a repetir me ven y pasan de verdad que poca vergüenza porque tarda más en ponerse unos guantes y estar apoyada que en recogerme una muestra de orina .. que no tardas nada en recogerme el bote. Y la doctora no hablar .. si por estos médicos se hacen huelga la verdad no merecen la pena y bueno si te digo que la señora hace pis con sangre lo normal es hacerle una muestra de orina para descartar infección pero encima dice que puede ser casualidad si le da infección porque la señora tiene gripe .. hazle la prueba y punto . Este hospital no merece la pena .habrá pocos que tengan vocación pero otros ni paciencia y uno si reclama se ofenden . Una vergüenza ⚠️ .",3.0,Sasha Nicol,https://www.google.com/maps/contrib/114063166630106571061?hl=en-US,114063166630106571061,https://lh3.googleusercontent.com/a-/ALV-UjWpoiVy5VUuzHuQtJoBTmCVPMY0AINx4bXsil1k1AUlQ0zE=s40-c-rp-mo-br100,,2,"Una vergüenza de personal , les pido porfavor que recojan la muestra de orina y dicen que vale y luego pasan de lante de ti y hacen que no te ven y pasan y uno esperando y lo vuelvo a repetir me ven y pasan de verdad que poca vergüenza porque tarda más en ponerse unos guantes y estar apoyada que en recogerme una muestra de orina .. que no tardas nada en recogerme el bote. Y la doctora no hablar .. si por estos médicos se hacen huelga la verdad no merecen la pena y bueno si te digo que la señora hace pis con sangre lo normal es hacerle una muestra de orina para descartar infección pero encima dice que puede ser casualidad si le da infección porque la señora tiene gripe .. hazle la prueba y punto . Este hospital no merece la pena .habrá pocos que tengan vocación pero otros ni paciencia y uno si reclama se ofenden . Una vergüenza ⚠️ .","A shame for the staff, I ask them to please collect the urine sample and they say okay and then they pass in front of you and pretend they don't see you and they pass by and one waiting and I repeat it again they see me and they really pass by, what a shame because it takes longer to put on gloves and be supported than to collect a urine sample... it doesn't take you long to collect the bottle from me. And the doctor doesn't talk...if these doctors go on strike, the truth is that they are not worth it and well, if I tell you that the lady pees with blood, the normal thing is to take a urine sample to rule out infection, but on top of that she says that it could be a coincidence. If you get an infection because the lady has the flu... do the test and that's it. This hospital is not worth it. There will be few who have a vocation but others have no patience and if you complain they will be offended. A shame ⚠️.",
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoeHNmLVlBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDhxsf-YA%7CCgsInvucoAYQoLXJAQ%7C?hl=en-US,5.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoeHNmLVlBEAE,"Un 10 para las enfermeras y auxiliares de la 5 planta de cardiología muy buen trato muy buenas personas y un gran rato humano, gracias por todo",,María José Ruiz Martínez,https://www.google.com/maps/contrib/104350717458189621694?hl=en-US,104350717458189621694,https://lh3.googleusercontent.com/a/ACg8ocJfsLBK43j2oEaS7DwZzAHgmpDDDNu-jYz9a3-S-WSO=s40-c-rp-mo-br100,,1,"Un 10 para las enfermeras y auxiliares de la 5 planta de cardiología muy buen trato muy buenas personas y un gran rato humano, gracias por todo","A 10 for the nurses and assistants of the 5th cardiology floor, very good treatment, very good people and a great human time, thank you for everything",
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURodXNDekdBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDhusCzGA%7CCgsIotOZoAYQkNj2HQ%7C?hl=en-US,4.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURodXNDekdBEAE,,,Laura Villa,https://www.google.com/maps/contrib/101752690075605880252?hl=en-US,101752690075605880252,https://lh3.googleusercontent.com/a/ACg8ocL0nnhYmC_daVZKVFA8n0Om6cP782zcRkgIomGUT6lJ=s40-c-rp-mo-ba3-br100,True,26,,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURob282bi1RRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDhoo6n-QE%7CCgsIxfeOoAYQiOyTbw%7C?hl=en-US,1.0,a year ago,Google,ChdDSUhNMG9nS0VJQ0FnSURob282bi1RRRAB,Urgencia muy mal son personas trabajadores en Urgencia no ayudan gente infermos  sola tenía C6 TRABAJANDO MUY AMABLE,1.0,Necati Okal,https://www.google.com/maps/contrib/109787800247043111362?hl=en-US,109787800247043111362,https://lh3.googleusercontent.com/a-/ALV-UjUoA0BkHESviKReTOBP-Ajnsv8iM8eBoBsWjBcxbCOet6k=s40-c-rp-mo-br100,,4,Urgencia muy mal son personas trabajadores en Urgencia no ayudan gente infermos  sola tenía C6 TRABAJANDO MUY AMABLE,"Emergency very bad, workers in Emergency don't help sick people alone had C6 WORKING VERY FRIENDLY",
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURod29tQnJRRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDhwomBrQE%7CCgwIrYqOoAYQkM_VowI%7C?hl=en-US,5.0,a year ago,Google,ChdDSUhNMG9nS0VJQ0FnSURod29tQnJRRRAB,,,Laura Garcia,https://www.google.com/maps/contrib/100824525727828691572?hl=en-US,100824525727828691572,https://lh3.googleusercontent.com/a-/ALV-UjXvthK2hLYjGfAB1DKuxGACkuvjRX47fGt84qKPKMFliEZo=s40-c-rp-mo-ba4-br100,True,142,,,20.0
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoblBlcHJBRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDhnPeprAE%7CCgwI1KaJoAYQ4LqS5wI%7C?hl=en-US,5.0,a year ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoblBlcHJBRRAB,"Todas las veces que necesitado ir allí, SIEMPRE, me han atendido bien, y nunca he tenido ningún tipo de problema, y la verdad es un muy buen hospital, sus trabajadores excelentes profesionales! personalmente por mi parte, os doy las GRACIAS.",3.0,Rayanne Rodrigues Da Silva,https://www.google.com/maps/contrib/101581776328273452423?hl=en-US,101581776328273452423,https://lh3.googleusercontent.com/a-/ALV-UjW2HHXRqttGrAmY-qW36mte2uCbsw_R5Rhkl4iFXDPCGGI=s40-c-rp-mo-ba3-br100,True,26,"Todas las veces que necesitado ir allí, SIEMPRE, me han atendido bien, y nunca he tenido ningún tipo de problema, y la verdad es un muy buen hospital, sus trabajadores excelentes profesionales! personalmente por mi parte, os doy las GRACIAS.","Every time I needed to go there, ALWAYS, they have treated me well, and I have never had any type of problem, and the truth is it is a very good hospital, its workers are excellent professionals! Personally, for my part, I thank you.",16.0
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURobVBMeVh3EAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDhmPLyXw%7CCgsIhdn4nwYQyOvDZg%7C?hl=en-US,4.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSURobVBMeVh3EAE,Muy contento con los profesionales...se que se debe mejorar en la estructura física pero el personal...son grandes profesionales hace 2 meses que me operaron de un tendón de aquíles...así que bien...ahora en traumatismo el jefe área Dr Caba...excelente...me esta llevando mi recuperación. ..muy agradecido...hay cosas...que se debe mejorar...pero esto hay que reclamar a los políticos que están al frente de comunidad.,1.0,Israel Villacis C.,https://www.google.com/maps/contrib/101766277993580451121?hl=en-US,101766277993580451121,https://lh3.googleusercontent.com/a-/ALV-UjUqvnx18_cHg-5f0HJ0oUYJ78y1PisUevzv5GaqLPbzfp4=s40-c-rp-mo-br100,,8,Muy contento con los profesionales...se que se debe mejorar en la estructura física pero el personal...son grandes profesionales hace 2 meses que me operaron de un tendón de aquíles...así que bien...ahora en traumatismo el jefe área Dr Caba...excelente...me esta llevando mi recuperación. ..muy agradecido...hay cosas...que se debe mejorar...pero esto hay que reclamar a los políticos que están al frente de comunidad.,Very happy with the professionals...I know that the physical structure must be improved but the staff...they are great professionals 2 months ago I had surgery on an Achilles tendon...so good...now in trauma the Area head Dr Caba...excellent...he is leading my recovery. ..very grateful...there are things...that must be improved...but this must be reported to the politicians who are in charge of the community.,2.0
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURod1AzbHB3RRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDhwP3lpwE%7CCgwIp9_unwYQqJ3FqgM%7C?hl=en-US,1.0,a year ago,Google,ChdDSUhNMG9nS0VJQ0FnSURod1AzbHB3RRAB,Lo peor más de 7 horas y aún nada que lo atienden a uno piensan que uno va por urgencias por jugar o por q no tienen nada q hacer en la casa,,Jhon Edinson Garzon Rubio,https://www.google.com/maps/contrib/117198245715793613755?hl=en-US,117198245715793613755,https://lh3.googleusercontent.com/a/ACg8ocLd01MKBPURZVqch7N-XzsG5NoOw9vOnkAbL6r9t10L=s40-c-rp-mo-br100,,2,Lo peor más de 7 horas y aún nada que lo atienden a uno piensan que uno va por urgencias por jugar o por q no tienen nada q hacer en la casa,"The worst thing is more than 7 hours and still nothing, they take care of you, they think you are going for emergencies to play or because they have nothing to do at home.",
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURod0xUbThnRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDhwLTm8gE%7CCgsIgJ3unwYQkPDFfg%7C?hl=en-US,1.0,a year ago,Google,ChdDSUhNMG9nS0VJQ0FnSURod0xUbThnRRAB,Fatal madre mia todos salen a tomar algo fuera teniendo un montón  de pacientes esperando con dolores mal estar . Que pena,,Luciajunior Celi Rojas,https://www.google.com/maps/contrib/105345981272207017098?hl=en-US,105345981272207017098,https://lh3.googleusercontent.com/a-/ALV-UjXkYxzlQ6Vu1DNUT2LTV8icLJBBhwFQekCPsrZ0I1mr2A=s40-c-rp-mo-br100,,4,Fatal madre mia todos salen a tomar algo fuera teniendo un montón  de pacientes esperando con dolores mal estar . Que pena,"My god, everyone goes out to have a drink and there are a lot of patients waiting with pain and discomfort. What a pity",
