,link,rating,date,images,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUROdW91OUpnEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDNuou9Jg%7CCgsIkrC2rQYQ2J-_Mw%7C?hl=en-US,1.0,a month ago,['https://lh5.googleusercontent.com/p/AF1QipOVl7LcjrvZXAjCJdO8KuKNbjg-gpN1Dzo9anUN=w100-h100-p-n-k-no'],Google,ChZDSUhNMG9nS0VJQ0FnSUROdW91OUpnEAE,"⚠️AVISO IMPORTANTE ⚠️
La peor de las atenciones, urgencias no debería llamarse así, en los cambios de horarios todo el personal se pasea como si fuera su casa con una tranquilidad tan grande que no parece que están en una zona de alto riesgo para ayudar al ciudadano.
Al atenderte te hacen los menos procedente y  te dejan esperando otras 4 a 5 horas solo para decirte indicaciones no correspondientes a una buena intervención.
Sin contar que llevo esperando anteriormente una citación para realizarme una colonoscopia, 4 meses esperando.
¿Está es la Sanidad Pública del cual todos se enorgullecen? Todo es pura pantalla.
Adjunto una imagen del 1/4 % de la gente que hay en la sala de espera sin enfocar sus caras por protección de Datos.",2.0,ricardo galarza,https://www.google.com/maps/contrib/112858087850827868093?hl=en-US,112858087850827868093,https://lh3.googleusercontent.com/a-/ALV-UjVHvIcTdT2aOhc8VusqV6lEo1TTxVP9W8dxM9AOo1H9Rt4=s40-c-rp-mo-br100,5,2.0,"⚠️AVISO IMPORTANTE ⚠️
La peor de las atenciones, urgencias no debería llamarse así, en los cambios de horarios todo el personal se pasea como si fuera su casa con una tranquilidad tan grande que no parece que están en una zona de alto riesgo para ayudar al ciudadano.
Al atenderte te hacen los menos procedente y  te dejan esperando otras 4 a 5 horas solo para decirte indicaciones no correspondientes a una buena intervención.
Sin contar que llevo esperando anteriormente una citación para realizarme una colonoscopia, 4 meses esperando.
¿Está es la Sanidad Pública del cual todos se enorgullecen? Todo es pura pantalla.
Adjunto una imagen del 1/4 % de la gente que hay en la sala de espera sin enfocar sus caras por protección de Datos.","⚠️IMPORTANT NOTICE ⚠️
The worst of the attention, emergencies should not be called that, during schedule changes all the staff walk around as if it were their home with such calm that it does not seem that they are in a high-risk area to help the citizen.
By assisting you, they make you the least appropriate and leave you waiting another 4 to 5 hours just to tell you instructions that do not correspond to a good intervention.
Not to mention that I have been waiting previously for an appointment to have a colonoscopy, waiting for 4 months.
Is this the Public Health that everyone is proud of? Everything is pure screen.
I attach an image of 1/4% of the people in the waiting room without focusing on their faces for data protection.",
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURONnYtWC1nRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDN6v-X-gE%7CCgwIkcu1rQYQ0MLuowI%7C?hl=en-US,5.0,a month ago,,Google,ChdDSUhNMG9nS0VJQ0FnSURONnYtWC1nRRAB,,,Óscar González,https://www.google.com/maps/contrib/113068802883416058259?hl=en-US,113068802883416058259,https://lh3.googleusercontent.com/a-/ALV-UjVpAaqzzLjJnszMbaLp6vOk6pOUzGgDfDz8v9Fvgghxjw=s40-c-rp-mo-br100,2,,,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUROcUxxcnl3RRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDNqLqrywE%7CCgwI-qaurQYQiKKMvAI%7C?hl=en-US,5.0,a month ago,,Google,ChdDSUhNMG9nS0VJQ0FnSUROcUxxcnl3RRAB,"Ordenado, buena atención",,LM POUILLER,https://www.google.com/maps/contrib/105112901172872176880?hl=en-US,105112901172872176880,https://lh3.googleusercontent.com/a-/ALV-UjWbSLRTL6qhLkO7VYPAEiOyEDi77ESssEimzZ7mh6mE6Knf=s40-c-rp-mo-ba5-br100,194,5.0,"Ordenado, buena atención","Tidy, good service",True
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNOMV9fNE5REAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICN1__4NQ%7CCgwI7I6mrQYQqJCTzQI%7C?hl=en-US,5.0,a month ago,,Google,ChZDSUhNMG9nS0VJQ0FnSUNOMV9fNE5REAE,"Pues en la planta 14 son maravill@s todos y todas, felicidades por vuestra labor",,joser ceballos,https://www.google.com/maps/contrib/106996532769915364063?hl=en-US,106996532769915364063,https://lh3.googleusercontent.com/a-/ALV-UjUc5YX7VQP--XS_0fld3mMAyFXVlgL0JV0i7AoHvW1vMmw=s40-c-rp-mo-br100,3,,"Pues en la planta 14 son maravill@s todos y todas, felicidades por vuestra labor","Well, on the 14th floor, everyone is wonderful, congratulations on your work.",
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNONS1MYVpBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICN5-LaZA%7CCgsI1KClrQYQsNrfGg%7C?hl=en-US,5.0,a month ago,,Google,ChZDSUhNMG9nS0VJQ0FnSUNONS1MYVpBEAE,"Yo no sé cómo agradecer a este hospital por el trato recibido hacia mi padre durante seis meses de ingreso todo fue muy profesional y mucha paciencia de parte de todo el equipo hacia nosotros alguien me dijo que es de ser bien nacido el ser agradecido, solo puedo decir Gracias por estar ahy que Dios os bendiga a todos este hospital .",,Manuel Gonzalez,https://www.google.com/maps/contrib/116940136083559148010?hl=en-US,116940136083559148010,https://lh3.googleusercontent.com/a-/ALV-UjVYH2Gq7ZYlJm3F_2zgWJ3ZR_F3IOF1M4LjPhA3Qbr5fA=s40-c-rp-mo-br100,2,,"Yo no sé cómo agradecer a este hospital por el trato recibido hacia mi padre durante seis meses de ingreso todo fue muy profesional y mucha paciencia de parte de todo el equipo hacia nosotros alguien me dijo que es de ser bien nacido el ser agradecido, solo puedo decir Gracias por estar ahy que Dios os bendiga a todos este hospital .","I don't know how to thank this hospital for the treatment my father received during six months of admission, everything was very professional and a lot of patience on the part of the entire team towards us. Someone told me that it is a good thing to be born to be grateful, I can only say Thank you for being there and may God bless you all in this hospital.",
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNOaDRYU3R3RRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICNh4XStwE%7CCgwI-qukrQYQ-LmarAI%7C?hl=en-US,4.0,a month ago,,Google,ChdDSUhNMG9nS0VJQ0FnSUNOaDRYU3R3RRAB,,,MAIKA VILLACAÑAS,https://www.google.com/maps/contrib/110782135440690151743?hl=en-US,110782135440690151743,https://lh3.googleusercontent.com/a-/ALV-UjVxGhgUwbitbLg4wm_wpODFnqQIu3cXJ34A5Xki66-tqw=s40-c-rp-mo-br100,15,,,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNOdTRYTEpnEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICNu4XLJg%7CCgwIzMijrQYQuIS7nQM%7C?hl=en-US,1.0,a month ago,,Google,ChZDSUhNMG9nS0VJQ0FnSUNOdTRYTEpnEAE,"Llevo 3 días llamando al número de ginecólogia y no lo cogen, es desesperante.",,Maria Eugenia Perdomo Hernandez,https://www.google.com/maps/contrib/103469832124760150220?hl=en-US,103469832124760150220,https://lh3.googleusercontent.com/a-/ALV-UjX9I5sw9KyE-bbSGbYIwFJqZ_btSI81ibkSNdMuM-H2-EM=s40-c-rp-mo-br100,5,,"Llevo 3 días llamando al número de ginecólogia y no lo cogen, es desesperante.","I've been calling the gynecology number for 3 days and they don't pick up, it's exasperating.",
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNONDdETHBRRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICN47DLpQE%7CCgwIwIyfrQYQqLCZggI%7C?hl=en-US,1.0,a month ago,,Google,ChdDSUhNMG9nS0VJQ0FnSUNONDdETHBRRRAB,"De traca que la gente se ponga a fumar justo en la puerta de los edificios sabiendo que hay enfermos interesados con problemas, más aquellos que van de visita que puedan tener algún problema. Yo, como asmática, me parece de vergüenza que se permita hacer eso!
Pero lo que es peor, es que los propios médicos y enfermeros también se ponen a fumar ahí!!!
Lo dicho, de vergüenza!!!",2.0,Cristina G,https://www.google.com/maps/contrib/117784601095974296681?hl=en-US,117784601095974296681,https://lh3.googleusercontent.com/a-/ALV-UjUxHp7f4EwFBvXfNe85Du3Czo1BMxRdk9676rEwUo4pUg=s40-c-rp-mo-ba3-br100,41,6.0,"De traca que la gente se ponga a fumar justo en la puerta de los edificios sabiendo que hay enfermos interesados con problemas, más aquellos que van de visita que puedan tener algún problema. Yo, como asmática, me parece de vergüenza que se permita hacer eso!
Pero lo que es peor, es que los propios médicos y enfermeros también se ponen a fumar ahí!!!
Lo dicho, de vergüenza!!!","It's a shame that people start smoking right at the door of the buildings knowing that there are interested patients with problems, plus those who come to visit who may have a problem. As an asthmatic, I find it shameful that this is allowed!
But what's worse is that the doctors and nurses themselves also start smoking there!!!
As I said, shameful!!!",True
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURac2RINFVREAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDZsdH4UQ%7CCgwImoGVrQYQiNOH0QM%7C?hl=en-US,1.0,a month ago,,Google,ChZDSUhNMG9nS0VJQ0FnSURac2RINFVREAE,"La señora de atención telefónica es la persona con menos empatía y menos ganas de ayudar al paciente que he visto en mi vida…
Es una pena que gente así pueda estar en atención al cliente de personas en situación vulnerable en ese momento.
El hospital en mi opinión es uno de los mejores públicos de Madrid.",2.0,Uve,https://www.google.com/maps/contrib/100590008119090523887?hl=en-US,100590008119090523887,https://lh3.googleusercontent.com/a-/ALV-UjW-TSIwX6OaEQ0BZqsJviAIrPO1_-PKC4sMNdRHKc_3nkY=s40-c-rp-mo-br100,59,,"La señora de atención telefónica es la persona con menos empatía y menos ganas de ayudar al paciente que he visto en mi vida…
Es una pena que gente así pueda estar en atención al cliente de personas en situación vulnerable en ese momento.
El hospital en mi opinión es uno de los mejores públicos de Madrid.","The lady on the phone is the person with the least empathy and least desire to help the patient that I have ever seen in my life...
It's a shame that people like that can be in customer service for people in vulnerable situations at that time.
The hospital in my opinion is one of the best public in Madrid.",
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNOX3FDZlp3EAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICN_qCfZw%7CCgwIzfORrQYQgIHsxQI%7C?hl=en-US,5.0,a month ago,,Google,ChZDSUhNMG9nS0VJQ0FnSUNOX3FDZlp3EAE,"La mayoría de opiniones negativas son de personajillos que quieren servicios de 5 estrellas y luego viajan en low cost y compran las ofertas de Carrefour. Dirigid vuestra ira contra la dirección del hospital, que son los que juegan a su hucha personal.
El resto de trabajadoras es de 10/10.",3.0,Aitor Paz,https://www.google.com/maps/contrib/101960111817665231126?hl=en-US,101960111817665231126,https://lh3.googleusercontent.com/a-/ALV-UjWXtjRMKvOxN7cA7f9cPFZYfn1sj0LQTf1Nrzm2tUGrXXg=s40-c-rp-mo-br100,13,1.0,"La mayoría de opiniones negativas son de personajillos que quieren servicios de 5 estrellas y luego viajan en low cost y compran las ofertas de Carrefour. Dirigid vuestra ira contra la dirección del hospital, que son los que juegan a su hucha personal.
El resto de trabajadoras es de 10/10.","The majority of negative opinions are from little people who want 5-star services and then travel at low cost and buy Carrefour offers. Direct your anger against the hospital management, who are the ones who are playing into their personal piggy bank.
The rest of the workers are 10/10.",
