,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM5LU51c0l3EAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIC9-NusIw%7CCgwI142JrwYQ0Jni8QI%7C?hl=en-US,1.0,15 hours ago,Google,ChZDSUhNMG9nS0VJQ0FnSUM5LU51c0l3EAE,"Esta semana acompañé a mi pareja embarazada a la prueba de la curva, todo ok, nos invitan a pasar a la sala de descanso porque tenemos que esperar 1 hora para que haga efecto y de repente….nos meten en una sala de “descanso” con 20 sillas de ruedas que ocupaban el 70% de la sala y que están en constante entrar y salir creo yo que son las sillas para recoger a los pacientes que vienen de urgencia en las ambulancias… llegan más embarazadas y no tienen sitio para sentarse…tienen que ir a otra zona “a descansar” porque no entran en el “parking de sillas de ruedas”….lo curioso es que he buscado en Google y este hospital tiene 120 mil metros cuadrados 55 mil metros cuadrados edificados….pero no les basta… tienen que compartir una habitación de “descanso 30%” con “un parking de sillas de ruedas 70%”  en una habitación donde entran no más de 20 personas.

Vergüenza",Hector,https://www.google.com/maps/contrib/100864520572441723420?hl=en-US,100864520572441723420,https://lh3.googleusercontent.com/a-/ALV-UjXK6UlZKft8q-66eZ2PtTPGGRCbEcpuhLon-u8WZlaCRhRS=s40-c-rp-mo-ba3-br100,True,47,1.0,"Esta semana acompañé a mi pareja embarazada a la prueba de la curva, todo ok, nos invitan a pasar a la sala de descanso porque tenemos que esperar 1 hora para que haga efecto y de repente….nos meten en una sala de “descanso” con 20 sillas de ruedas que ocupaban el 70% de la sala y que están en constante entrar y salir creo yo que son las sillas para recoger a los pacientes que vienen de urgencia en las ambulancias… llegan más embarazadas y no tienen sitio para sentarse…tienen que ir a otra zona “a descansar” porque no entran en el “parking de sillas de ruedas”….lo curioso es que he buscado en Google y este hospital tiene 120 mil metros cuadrados 55 mil metros cuadrados edificados….pero no les basta… tienen que compartir una habitación de “descanso 30%” con “un parking de sillas de ruedas 70%”  en una habitación donde entran no más de 20 personas.

Vergüenza","This week I accompanied my pregnant partner to the curve test, everything was ok, they invited us to go to the rest room because we have to wait 1 hour for it to take effect and suddenly… they put us in a “rest” room With 20 wheelchairs that occupied 70% of the room and that are constantly coming and going, I think they are the chairs to pick up the patients who come urgently in the ambulances... more pregnant women arrive and have no place to sit... They have to go to another area “to rest” because they do not fit into the “wheelchair parking lot”….the funny thing is that I have searched on Google and this hospital has 120 thousand square meters built on it…55 thousand square meters…but they don't want to. Enough... they have to share a “30% rest” room with “70% wheelchair parking” in a room where no more than 20 people can fit.

Shame"
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM5bU1YdENREAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIC9mMXtCQ%7CCgwIosyGrwYQsPizzAE%7C?hl=en-US,5.0,a day ago,Google,ChZDSUhNMG9nS0VJQ0FnSUM5bU1YdENREAE,"Quería dar las gracias al personal sanitario de este hospital por su trato tan cercano, la empatía con el paciente y la profesionalidad. Solo deseo que tengan un sueldo digno y que se cuide la sanidad porque la salud es lo primero.",Luis Fer,https://www.google.com/maps/contrib/106209549313199949096?hl=en-US,106209549313199949096,https://lh3.googleusercontent.com/a-/ALV-UjXm16mSmArUcViE4YvgprO6PLPEkLRjeIJQN4a6bqqZt6c=s40-c-rp-mo-br100,,6,2.0,"Quería dar las gracias al personal sanitario de este hospital por su trato tan cercano, la empatía con el paciente y la profesionalidad. Solo deseo que tengan un sueldo digno y que se cuide la sanidad porque la salud es lo primero.","I wanted to thank the health staff of this hospital for their close treatment, empathy with the patient and professionalism. I only wish that they have a decent salary and that health is taken care of because health comes first."
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURkbDRQOFlREAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDdl4P8YQ%7CCgsIy9v7rgYQ-KzuTw%7C?hl=en-US,1.0,3 days ago,Google,ChZDSUhNMG9nS0VJQ0FnSURkbDRQOFlREAE,"Lamentable el juego que tienen a la hora de coger el teléfono. Tres días diferentes que he llamado y hacen los mismo, me lo cogen la primera vez, me dicen que no me escuchan y me cuelgan, después vuelvo a llamar seis veces y no me responden. Ya dejo de llamar porque lo veo imposible.",María A,https://www.google.com/maps/contrib/102297943944323205326?hl=en-US,102297943944323205326,https://lh3.googleusercontent.com/a-/ALV-UjW8uFBTB4__hgnDAH1Bj_by1eopptf2AABjrmp9ils1Qg=s40-c-rp-mo-br100,,8,,"Lamentable el juego que tienen a la hora de coger el teléfono. Tres días diferentes que he llamado y hacen los mismo, me lo cogen la primera vez, me dicen que no me escuchan y me cuelgan, después vuelvo a llamar seis veces y no me responden. Ya dejo de llamar porque lo veo imposible.","The game they play when picking up the phone is unfortunate. I have called three different days and they do the same thing, they pick up the first time, they tell me they can't hear me and they hang up on me, then I call again six times and they don't answer me. I've stopped calling because I find it impossible."
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURkbDdXTjR3RRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDdl7WN4wE%7CCgsIndj7rgYQgMXBNg%7C?hl=en-US,5.0,3 days ago,Google,ChdDSUhNMG9nS0VJQ0FnSURkbDdXTjR3RRAB,"El hospital funciona y está organizado muy bien. El problema es conseguir cita en un tiempo razonable, no el año que viene. Hoy, después de la pandemia, está peor en ese sentido.",Federico Jorreto,https://www.google.com/maps/contrib/117246455596146844599?hl=en-US,117246455596146844599,https://lh3.googleusercontent.com/a/ACg8ocJNlQSlQd1PgdSYrauDhBtsFL2vpvOhAsbGnMzi8JMI=s40-c-rp-mo-ba3-br100,True,12,,"El hospital funciona y está organizado muy bien. El problema es conseguir cita en un tiempo razonable, no el año que viene. Hoy, después de la pandemia, está peor en ese sentido.","The hospital works and is organized very well. The problem is getting an appointment in a reasonable time, not next year. Today, after the pandemic, it is worse in that sense."
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURkdV9yOWR3EAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDdu_r9dw%7CCgwI8rb4rgYQ-LKvhwM%7C?hl=en-US,4.0,3 days ago,Google,ChZDSUhNMG9nS0VJQ0FnSURkdV9yOWR3EAE,,Jose Juan Palomar,https://www.google.com/maps/contrib/112320394264644049607?hl=en-US,112320394264644049607,https://lh3.googleusercontent.com/a-/ALV-UjVxB7cUhocZs7tBjOT_9_TFdCJbqiCZkEco6St-YIqoYvOL=s40-c-rp-mo-ba4-br100,True,17,234.0,,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURkcGR2cWF3EAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDdpdvqaw%7CCgwIxZvtrgYQsJSvkAI%7C?hl=en-US,5.0,5 days ago,Google,ChZDSUhNMG9nS0VJQ0FnSURkcGR2cWF3EAE,Di a luz a mi hija en 2012 y no puedo estar más agradecida a todos los que nos asistieron. He ido a urgencias alguna que otra vez y siempre nos han atendido perfectamente. Ahora estoy recibiendo rehabilitación y el trato de todo el equipo es excelente. Gracias.,Cristina,https://www.google.com/maps/contrib/111548393897523677278?hl=en-US,111548393897523677278,https://lh3.googleusercontent.com/a-/ALV-UjV8ff6_yEsDJkK7RoTzN02464qPZMrNRaOEaNeKHBDQl8_s=s40-c-rp-mo-ba3-br100,True,60,,Di a luz a mi hija en 2012 y no puedo estar más agradecida a todos los que nos asistieron. He ido a urgencias alguna que otra vez y siempre nos han atendido perfectamente. Ahora estoy recibiendo rehabilitación y el trato de todo el equipo es excelente. Gracias.,I gave birth to my daughter in 2012 and I couldn't be more grateful to everyone who helped us. I have gone to the emergency room from time to time and they have always treated us perfectly. Now I am receiving rehabilitation and the treatment from the entire team is excellent. Thank you.
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURkLXRlbkFREAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDd-tenAQ%7CCgwI3uTfrgYQ8K7ThQM%7C?hl=en-US,4.0,a week ago,Google,ChZDSUhNMG9nS0VJQ0FnSURkLXRlbkFREAE,Muy bien todo casi siempre.,KONCIK 555,https://www.google.com/maps/contrib/101986354293178421872?hl=en-US,101986354293178421872,https://lh3.googleusercontent.com/a-/ALV-UjU4WdSIJUe73BqBkmhH3nNVBuHCAPiCeVWNqjb5hkSD2vht=s40-c-rp-mo-ba6-br100,True,556,626.0,Muy bien todo casi siempre.,Everything is very good almost always.
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURkNnQtcnNnRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDd6t-rsgE%7CCgwIxJXergYQwN6GrAI%7C?hl=en-US,3.0,a week ago,Google,ChdDSUhNMG9nS0VJQ0FnSURkNnQtcnNnRRAB,"Quiero ser justa con esta reseña, así que le doy la ""mitad"" de estrellas por lo siguiente:

Cuando voy a hacerme análisis de sangre, a ver a algún familiar o a ginecología, todo perfecto, excepto porque no van en hora, pero teniendo tanta gente y sin saber cuánto pueden tardar con cada uno, bien, puedo esperar. Cuando la pandemia, fue todo muy bien. En general buena atención, pero hoy ha sido una excepción.

Llego con tiempo de sobra para mi resonancia en el apartado de diagnóstico de imagen, que no sé donde está, por lo que pregunto en información, mandándome al lugar equivocado. Un enfermero muy amablemente me ha acompañado hasta la sala de espera, a tiempo de mi hora señalada. Para sorpresa de nadie, iba con restrado de media hora, lo que no es tanto, todo bien. Cuando entro me indican dónde cambiarme y cuando me coloco para la resonancia, me indican que me van a poner una vía, descrubro por mí misma que es para hacerme un contraste ya que no me lo señalan. Les digo que mi endocrino ha pedido la resonancia SIN constraste, nerviosa con la idea. Me responden que se debe hacer con contraste, me niego indicando que no he firmado para dar mi consentimiento. Me responden diciendo que el consentiemiento es VERBAL y que el radiólogo lo necesitará para valorar en conjunto, vuelvo a negar. Una de las varias médicas o enfermeras me señala que entonces no vale la resonancia, que no me la hacen. Vuelvo a negarme a hacerme el constrate, indicando que la resonanica la pidió el endocrino para mirar un hecho concreto relacionado a un tema hormonal. Finalmente, hablan con la médica responsable, sin calmarme y dejándome sola allí. Cuando regresa otra chica me dice que finalmente sí, me la hacen sin el contraste.

No creo que tenga que decir mucho más sobre esta última experiencia. El trato ha sido bastante deficiente por parte de los que se encontraban haciendo resonancias, de ahí que haya puesto solo tres estrellas, ya que darle menos sería castigar al personal que me ha tratado amable y eficazmente durante estos años, pero sí que deben atender a lo que pasa en ciertos sectores como este, con algo tan importante como un contraste.

Espero esto le sirva a alguien.",Alba B.B,https://www.google.com/maps/contrib/103582932286970715610?hl=en-US,103582932286970715610,https://lh3.googleusercontent.com/a-/ALV-UjXuDKQDkKEhLaSZE4tzxqOlJR0OOr-wmT-25pudbpqhgfg=s40-c-rp-mo-br100,,4,,"Quiero ser justa con esta reseña, así que le doy la ""mitad"" de estrellas por lo siguiente:

Cuando voy a hacerme análisis de sangre, a ver a algún familiar o a ginecología, todo perfecto, excepto porque no van en hora, pero teniendo tanta gente y sin saber cuánto pueden tardar con cada uno, bien, puedo esperar. Cuando la pandemia, fue todo muy bien. En general buena atención, pero hoy ha sido una excepción.

Llego con tiempo de sobra para mi resonancia en el apartado de diagnóstico de imagen, que no sé donde está, por lo que pregunto en información, mandándome al lugar equivocado. Un enfermero muy amablemente me ha acompañado hasta la sala de espera, a tiempo de mi hora señalada. Para sorpresa de nadie, iba con restrado de media hora, lo que no es tanto, todo bien. Cuando entro me indican dónde cambiarme y cuando me coloco para la resonancia, me indican que me van a poner una vía, descrubro por mí misma que es para hacerme un contraste ya que no me lo señalan. Les digo que mi endocrino ha pedido la resonancia SIN constraste, nerviosa con la idea. Me responden que se debe hacer con contraste, me niego indicando que no he firmado para dar mi consentimiento. Me responden diciendo que el consentiemiento es VERBAL y que el radiólogo lo necesitará para valorar en conjunto, vuelvo a negar. Una de las varias médicas o enfermeras me señala que entonces no vale la resonancia, que no me la hacen. Vuelvo a negarme a hacerme el constrate, indicando que la resonanica la pidió el endocrino para mirar un hecho concreto relacionado a un tema hormonal. Finalmente, hablan con la médica responsable, sin calmarme y dejándome sola allí. Cuando regresa otra chica me dice que finalmente sí, me la hacen sin el contraste.

No creo que tenga que decir mucho más sobre esta última experiencia. El trato ha sido bastante deficiente por parte de los que se encontraban haciendo resonancias, de ahí que haya puesto solo tres estrellas, ya que darle menos sería castigar al personal que me ha tratado amable y eficazmente durante estos años, pero sí que deben atender a lo que pasa en ciertos sectores como este, con algo tan importante como un contraste.

Espero esto le sirva a alguien.","I want to be fair with this review, so I'm giving it ""half"" stars for the following:

When I go to have blood tests, to see a family member or to gynecology, everything is perfect, except that they don't come on time, but with so many people and not knowing how long it can take with each one, well, I can wait. When the pandemic hit, everything went very well. In general good service, but today was an exception.

I arrive in plenty of time for my MRI in the imaging diagnostic section, which I don't know where it is, so I ask for information, sending me to the wrong place. A nurse very kindly accompanied me to the waiting room, on time at my appointed time. To no one's surprise, I was restrained for half an hour, which is not that much, everything was fine. When I enter they tell me where to change and when I get ready for the MRI, they tell me that they are going to put an IV in, I discover for myself that it is to do a contrast since they don't show it to me. I tell them that my endocrinologist has requested the MRI WITHOUT contrast, nervous about the idea. They answer that it must be done with contrast, I refuse, indicating that I have not signed to give my consent. They respond to me saying that consent is VERBAL and that the radiologist will need it to evaluate as a whole, I deny again. One of the several doctors or nurses points out to me that then the MRI is not worth it, that they won't do it for me. I once again refuse to have the contracture done, indicating that the MRI was requested by the endocrinologist to look at a specific fact related to a hormonal issue. Finally, they talk to the doctor in charge, without calming me down and leaving me alone there. When another girl returns she tells me that finally yes, they do it without the contrast.

I don't think I have to say much more about this last experience. The treatment has been quite poor on the part of those who were doing the reviews, which is why I have only given three stars, since giving less would be punishing the staff who have treated me kindly and effectively during these years, but they do have to attend to what happens in certain sectors like this, with something as important as a contrast.

I hope this helps someone."
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURkd3JyaVNnEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDdwrriSg%7CCgwI8bbargYQ2MDC1QE%7C?hl=en-US,5.0,a week ago,Google,ChZDSUhNMG9nS0VJQ0FnSURkd3JyaVNnEAE,El auxiliar de urgencias pediátricas que me tocó cuida a los críos como si fueran suyos.,Sergio,https://www.google.com/maps/contrib/102812500032350171167?hl=en-US,102812500032350171167,https://lh3.googleusercontent.com/a-/ALV-UjVLniW1zXoIf1Qy41ysi786v_SBN_GihRSFv2xG1dTjaHM=s40-c-rp-mo-ba3-br100,True,83,,El auxiliar de urgencias pediátricas que me tocó cuida a los críos como si fueran suyos.,The pediatric emergency assistant that I had takes care of the kids as if they were his own.
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURkcUxmajBBRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDdqLfj0AE%7CCgwI38HTrgYQoKTP7QE%7C?hl=en-US,1.0,a week ago,Google,ChdDSUhNMG9nS0VJQ0FnSURkcUxmajBBRRAB,"Siempre hemos tenido buena atención pero la prepotencia de la chica que hace las radiografías en la sala roja, en la cabina 2, ha sido lamentable como ha tratado a mi madre, evidentemente a mi madre se le había olvidado el volante (otras veces se ha olvidado y las chicas le han hecho la radiografía,buscando el informe en la base de datos), mi madre le ha dicho que si se la podría realizar a ultima hora, para que le diese tiempo a volver a casa a por el volante, la chica le ha dicho que ella decidía si hacerse o no, y que para eso tenia mi madre un turno y una hora y que no se la realizaba.  El problema es que por la actitud y la poca empatía mi madre ha perdido una cita.por la que ha tenido que esperar meses.
Es una pena qué tengáis trabajando a gente tan desagradable.",Lilibet Rosillo Solano,https://www.google.com/maps/contrib/115457103903810926644?hl=en-US,115457103903810926644,https://lh3.googleusercontent.com/a-/ALV-UjWeerPWmEwAVPUSrOJfMf14_-1PyXqNf79GO8gZkseUdS64=s40-c-rp-mo-br100,,4,,"Siempre hemos tenido buena atención pero la prepotencia de la chica que hace las radiografías en la sala roja, en la cabina 2, ha sido lamentable como ha tratado a mi madre, evidentemente a mi madre se le había olvidado el volante (otras veces se ha olvidado y las chicas le han hecho la radiografía,buscando el informe en la base de datos), mi madre le ha dicho que si se la podría realizar a ultima hora, para que le diese tiempo a volver a casa a por el volante, la chica le ha dicho que ella decidía si hacerse o no, y que para eso tenia mi madre un turno y una hora y que no se la realizaba.  El problema es que por la actitud y la poca empatía mi madre ha perdido una cita.por la que ha tenido que esperar meses.
Es una pena qué tengáis trabajando a gente tan desagradable.","We have always had good care but the arrogance of the girl who does the x-rays in the red room, in cabin 2, has been regrettable in the way she has treated my mother, evidently my mother had forgotten the steering wheel (other times she has forgotten and the girls have done the girl told him that she decided whether to do it or not, and that my mother had a shift and an hour for that and that she didn't do it. The problem is that due to the attitude and lack of empathy my mother has missed an appointment for which she had to wait months.
It's a shame you have such unpleasant people working."
