,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,user.photos,user.local_guide,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURaZ3JiLWtRRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDZgrb-kQE%7CCgwI4YnOqAYQ-Iu4tQI%7C?hl=en-US,1.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURaZ3JiLWtRRRAB,"Una vergüenza urgencias! A veces pienso que si vacilan a la gente, 7 tí@s sentados en ordenador, ahora entiendo que este ahí los municipales más de un jaleo habrán tenido, por que es una vergüenza de hospital",2.0,Natalia Martínez Sierrs,https://www.google.com/maps/contrib/107656584691735606589?hl=en-US,107656584691735606589,https://lh3.googleusercontent.com/a/ACg8ocK7CBxT0zsV2c95RowYP9Vl4ZqeGpHkc9qUp00ZmaMJ=s40-c-rp-mo-br100,5.0,"Una vergüenza urgencias! A veces pienso que si vacilan a la gente, 7 tí@s sentados en ordenador, ahora entiendo que este ahí los municipales más de un jaleo habrán tenido, por que es una vergüenza de hospital","A shameful emergency! Sometimes I think that if people hesitate, 7 guys sitting at the computer, now I understand that the municipal officials will have had more than one trouble there, because it is a disgraceful hospital.",,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURaNE43MVVREAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDZ4N71UQ%7CCgwIvra1qAYQ4PaJkwE%7C?hl=en-US,1.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURaNE43MVVREAE,"Fuimos ayer con cuadro de cólico nefrítico, diagnosticado por otros médicos, con informes, analisis de sangre y orina del dia anterior y volante urgente de TAC, ya que no se ve la piedra en las pruebas y la máquina estaba rota en el otro hospital, le pincharon Enantyum para el dolor, un medicamento nada recomendable si tienes piedras en el riñon, tras 4 horas en una silla...nos fuimos. Si tenéis una Urgencia, ir mejor al privado, alli te pinchan el medicamento que les da comisión, y te dejan en una silla hasta que tu decidas irte.",5.0,Esmeralda Garrido,https://www.google.com/maps/contrib/111211999230572695148?hl=en-US,111211999230572695148,https://lh3.googleusercontent.com/a/ACg8ocIMvU7ZNQvmnZbCIJPezQxf1r6pngup8ABJr8ACpgya=s40-c-rp-mo-br100,2.0,"Fuimos ayer con cuadro de cólico nefrítico, diagnosticado por otros médicos, con informes, analisis de sangre y orina del dia anterior y volante urgente de TAC, ya que no se ve la piedra en las pruebas y la máquina estaba rota en el otro hospital, le pincharon Enantyum para el dolor, un medicamento nada recomendable si tienes piedras en el riñon, tras 4 horas en una silla...nos fuimos. Si tenéis una Urgencia, ir mejor al privado, alli te pinchan el medicamento que les da comisión, y te dejan en una silla hasta que tu decidas irte.","We went yesterday with renal colic, diagnosed by other doctors, with reports, blood and urine analysis from the previous day and an urgent CT scan, since the stone was not seen in the tests and the machine was broken in the other hospital, They gave him Enantyum for pain, a medication not recommended if you have kidney stones, after 4 hours in a chair...we left. If you have an emergency, it is better to go to the private one, there they will give you the medication that gives them commission, and they will leave you in a chair until you decide to leave.",5.0,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaei1mc01BEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICZz-fsMA%7CCgsInpqtqAYQsPzrLg%7C?hl=en-US,1.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNaei1mc01BEAE,"Menudo sitio, cada vez que tengo que ir con mi madre es ir a un agujero negro de espacio tiempo, pasan las horas sin k te hagan ni caso, da igual que sean personas mayores.",2.0,Carlos Jimenez Hernandez,https://www.google.com/maps/contrib/110258611279216240964?hl=en-US,110258611279216240964,https://lh3.googleusercontent.com/a/ACg8ocJ_Sc4Vb56fg9vayXlxrHogsZDL19_8oIyb6vTISSqL=s40-c-rp-mo-br100,13.0,"Menudo sitio, cada vez que tengo que ir con mi madre es ir a un agujero negro de espacio tiempo, pasan las horas sin k te hagan ni caso, da igual que sean personas mayores.","What a place, every time I have to go with my mother it's like going to a black hole of space-time, hours go by without them paying any attention to you, it doesn't matter if they are older people.",2.0,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaMV9feUVBEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICZ1__yEA%7CCgwI-NuqqAYQwJO5ygM%7C?hl=en-US,5.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNaMV9feUVBEAE,,,Esther Esteban,https://www.google.com/maps/contrib/108456596290137701755?hl=en-US,108456596290137701755,https://lh3.googleusercontent.com/a-/ALV-UjVkk1TzHLCyVI1hQ56AqgPvo9_Ja9lfVXLBBh9LbZzCIwZJ=s40-c-rp-mo-ba4-br100,61.0,,,89.0,True,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNPMmEzckJBEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICO2a3rBA%7CCgwIqd6kqAYQ6IPouQI%7C?hl=en-US,1.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNPMmEzckJBEAE,Cada día van a peor. El peor servicio de urgencia que he recibido nunca. No tienen dermatólogo de guardia. Llegué con la cabeza supurando y no tuvieron la profesionalidad suficiente ni como para darme un apósito o limpiarme las heridas.,1.0,Carlos Sanchez,https://www.google.com/maps/contrib/106216792443703401677?hl=en-US,106216792443703401677,https://lh3.googleusercontent.com/a-/ALV-UjXhfVszckfgA2aB22WRtz-s-q-DZcQfe81Ht3GsCy_GsPE=s40-c-rp-mo-ba3-br100,52.0,Cada día van a peor. El peor servicio de urgencia que he recibido nunca. No tienen dermatólogo de guardia. Llegué con la cabeza supurando y no tuvieron la profesionalidad suficiente ni como para darme un apósito o limpiarme las heridas.,Every day they get worse. The worst emergency service I have ever received. They do not have a dermatologist on call. I arrived with my head oozing and they were not professional enough to even give me a dressing or clean my wounds.,21.0,True,"['https://lh5.googleusercontent.com/p/AF1QipNrHd_Ru0egtXkpOSQTKVvVSlJLAfiKXbERw2i7=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipM3jEjQtLdQ7vedVVijvnDrI7dZzFESOmUsxZc6=w100-h100-p-n-k-no']"
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaczRtTUxREAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICZs4mMLQ%7CCgwIr_acqAYQkLrg-AE%7C?hl=en-US,5.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNaczRtTUxREAE,"Magnifico trató del personal del hospital en general. Médicos de guardia, enfermeros, auxiliares, celadores, cirujanos... La atención,comida y la limpieza del hospital muy bueno para mí gusto. Trato excepcional sobretodo en la planta 1 de cirugía general. Las enfermeras y enfermeros, celadores, empelados de limpieza y demás personal son súper atentos y te cuidan con un magnífico trato. Solo tengo palabras de gratitud y siempre les estaré muy agradecido. La verdad es que no sabemos lo que tenemos en cuestión de sanidad pública. Un abrazo   .",2.0,Wago74,https://www.google.com/maps/contrib/107720058387219303138?hl=en-US,107720058387219303138,https://lh3.googleusercontent.com/a-/ALV-UjV9_59JxRpesOWYWWwQB0g0NtrXkQbPowDOib_FXDqEWx0=s40-c-rp-mo-ba4-br100,56.0,"Magnifico trató del personal del hospital en general. Médicos de guardia, enfermeros, auxiliares, celadores, cirujanos... La atención,comida y la limpieza del hospital muy bueno para mí gusto. Trato excepcional sobretodo en la planta 1 de cirugía general. Las enfermeras y enfermeros, celadores, empelados de limpieza y demás personal son súper atentos y te cuidan con un magnífico trato. Solo tengo palabras de gratitud y siempre les estaré muy agradecido. La verdad es que no sabemos lo que tenemos en cuestión de sanidad pública. Un abrazo   .","Magnificent treatment of the hospital staff in general. Doctors on duty, nurses, assistants, orderlies, surgeons... The care, food and cleanliness of the hospital were very good for me. Exceptional treatment especially on floor 1 of general surgery. The nurses, orderlies, cleaning staff and other staff are super attentive and take great care of you. I only have words of gratitude and I will always be very grateful. The truth is that we do not know what we have in terms of public health. A hug   .",301.0,True,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNady02WTF3RRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICZw-6Y1wE%7CCgwIlreYqAYQgKORqwE%7C?hl=en-US,5.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNady02WTF3RRAB,,,Sara S,https://www.google.com/maps/contrib/108835415804075036549?hl=en-US,108835415804075036549,https://lh3.googleusercontent.com/a-/ALV-UjUY5SV7zbbDzkomk5pSSAc7ZltKL0lunXLNYEzJn4Ek7Gk=s40-c-rp-mo-br100,,,,,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaamZHSElREAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICZjfGHIQ%7CCgwI-ZmRqAYQuNi46wI%7C?hl=en-US,1.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNaamZHSElREAE,"Horrible experiencia en urgencias. Vas con dolores porque hace un mes te ha dado un infarto, te hacen analítica llaman al neurólogo, todo está bien y te mandan a casa con dolores. Hubo un médico que me dijo que en urgencias no se podía hablar con ningún cardiólogo. Una enfermera trató de ayudarme hablando con él y nada de nada. Me tuve que ir a otro hospital. De vergüenza. Encima para resolvertelo tienes que esperar a tu cita de consulta normal. Increíble",5.0,Nines,https://www.google.com/maps/contrib/102262071304818835138?hl=en-US,102262071304818835138,https://lh3.googleusercontent.com/a-/ALV-UjWlj9fmEPw2oZ9Ny1UmBjWU5vXYpmc9XTbhCUvC21nn7X0=s40-c-rp-mo-br100,2.0,"Horrible experiencia en urgencias. Vas con dolores porque hace un mes te ha dado un infarto, te hacen analítica llaman al neurólogo, todo está bien y te mandan a casa con dolores. Hubo un médico que me dijo que en urgencias no se podía hablar con ningún cardiólogo. Una enfermera trató de ayudarme hablando con él y nada de nada. Me tuve que ir a otro hospital. De vergüenza. Encima para resolvertelo tienes que esperar a tu cita de consulta normal. Increíble","Horrible experience in the emergency room. You go in pain because you had a heart attack a month ago, they do tests, they call the neurologist, everything is fine and they send you home with pain. There was a doctor who told me that in the emergency room you couldn't talk to any cardiologist. A nurse tried to help me by talking to him and nothing at all. I had to go to another hospital. Of shame. Additionally, to resolve it you have to wait for your normal consultation appointment. Incredible",,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaeGFfQlpREAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICZxa_BZQ%7CCgwIzNuLqAYQsNbb9wI%7C?hl=en-US,4.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNaeGFfQlpREAE,No le doy 5 porque hay k pagar para aparcar,,Jose Tello,https://www.google.com/maps/contrib/107302164932819156121?hl=en-US,107302164932819156121,https://lh3.googleusercontent.com/a/ACg8ocIGGAZhZAScL8fzuTqsgUFYR7CiORmH4MeFeNoUVNj0=s40-c-rp-mo-ba4-br100,120.0,No le doy 5 porque hay k pagar para aparcar,I don't give it 5 because you have to pay to park,36.0,True,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNabWF5RUJnEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICZmayEBg%7CCgsIwoqHqAYQsMfKMQ%7C?hl=en-US,3.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNabWF5RUJnEAE,,,Javier Ramirez,https://www.google.com/maps/contrib/115646440938841693954?hl=en-US,115646440938841693954,https://lh3.googleusercontent.com/a-/ALV-UjVbaFolaq0Fc94W6361k2u6B7l_C-pXVJsui4Lvz7WUqA=s40-c-rp-mo-ba4-br100,4.0,,,1.0,True,
