,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNwdG9URmN3EAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICptoTFcw%7CCgsIq5eupgYQiJXxBg%7C?hl=en-US,1.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNwdG9URmN3EAE,"Servicio de fisioterapia lamentable, con informes médicos positivos de cirujanos, oncólogos y dos veces en urgencias por linfedema nos indican que ellos no lo estiman así y que hasta que no lleguen a 2cm que no aplica. Lamentable servicio ofrecido, a este servicio creo que la dirección del hospital debería darle una vuelta, nos consta que no somos los únicos descontentos con esta especialidad, el resto de los servicios de este hospital que hemos necesitado siempre cumplen.",2.0,Sergio Martin,https://www.google.com/maps/contrib/114173777529858133715?hl=en-US,114173777529858133715,https://lh3.googleusercontent.com/a/ACg8ocI4qE5rNLkq5Un0Zlh10A3yb4qZsh_R_gWFjXRtvBWv=s40-c-rp-mo-br100,11,2.0,"Servicio de fisioterapia lamentable, con informes médicos positivos de cirujanos, oncólogos y dos veces en urgencias por linfedema nos indican que ellos no lo estiman así y que hasta que no lleguen a 2cm que no aplica. Lamentable servicio ofrecido, a este servicio creo que la dirección del hospital debería darle una vuelta, nos consta que no somos los únicos descontentos con esta especialidad, el resto de los servicios de este hospital que hemos necesitado siempre cumplen.","Deplorable physiotherapy service, with positive medical reports from surgeons, oncologists and twice in the emergency room for lymphedema, they tell us that they do not consider it that way and that until they reach 2cm it does not apply. Deplorable service offered, I think that the hospital management should give this service a second look. We know that we are not the only ones dissatisfied with this specialty, the rest of the services of this hospital that we have needed always comply.",
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNwMXQ2alZnEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICp1t6jVg%7CCgsIrdmtpgYQqPe-VQ%7C?hl=en-US,1.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNwMXQ2alZnEAE,Increíble no contestan en admisión y puedes pasar todo el día intentando comunicarte al hospital.,,Carina Márquez,https://www.google.com/maps/contrib/106092109629518447380?hl=en-US,106092109629518447380,https://lh3.googleusercontent.com/a-/ALV-UjVEI2zzYsy1-e6Q1vYebeVWWkpaGUtml_VdYIpB93IbDG8=s40-c-rp-mo-br100,5,1.0,Increíble no contestan en admisión y puedes pasar todo el día intentando comunicarte al hospital.,"Incredible, they don't answer at admission and you can spend the whole day trying to contact the hospital.",
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNwbHZlTnl3RRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICplveNywE%7CCgsIwaCtpgYQ8ISscw%7C?hl=en-US,5.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNwbHZlTnl3RRAB,,,Rebk Clown,https://www.google.com/maps/contrib/100339933234626766545?hl=en-US,100339933234626766545,https://lh3.googleusercontent.com/a-/ALV-UjUxOO3oICmtb1kEnOhBNflauW8EXTUVLATvRhx_Izv2zNc=s40-c-rp-mo-ba4-br100,51,76.0,,,True
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNwakt1a3lnRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICpjKukygE%7CCgwIks-WpgYQwNHhoAE%7C?hl=en-US,4.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNwakt1a3lnRRAB,"Quiero hacer constar lo bien que siempre atienden a mi madre, que tiene 87 años y tiene varias enfermedades crónicas. En medicina interna, hospital de día y cuando ha estado ingresada.",,Noemí Castilla,https://www.google.com/maps/contrib/101656188807043882282?hl=en-US,101656188807043882282,https://lh3.googleusercontent.com/a-/ALV-UjXwUNE5vyLPBtY3JgRYEyphlRFIAoVThV7fiOq4oZt8apU=s40-c-rp-mo-br100,50,4.0,"Quiero hacer constar lo bien que siempre atienden a mi madre, que tiene 87 años y tiene varias enfermedades crónicas. En medicina interna, hospital de día y cuando ha estado ingresada.","I want to point out how well they always take care of my mother, who is 87 years old and has several chronic illnesses. In internal medicine, day hospital and when she has been admitted.",
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNweU5Hb19RRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICpyNGo_QE%7CCgwIkrGKpgYQ4OypwQE%7C?hl=en-US,5.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNweU5Hb19RRRAB,"He tenido la mala suerte de sufrir un Ictus, pero la buena que me han llevado a este hospital, desde el minuto 0 solo puedo decir GRACIAS y mas GRACIAS al equipo de personas que han estado cuidándome estos días, atención, cuidados, amabilidad, empatía , se siente que les gusta su trabajo y lo dan todo por sus pacientes
Muchísimas Gracias a tod@s de corazón !!!",,Jose Luis Ramiro,https://www.google.com/maps/contrib/115642055709225093225?hl=en-US,115642055709225093225,https://lh3.googleusercontent.com/a/ACg8ocL9sWADNuYi2M4oDtp-4stP0BGGHSOPA73OjwympY1R=s40-c-rp-mo-br100,4,,"He tenido la mala suerte de sufrir un Ictus, pero la buena que me han llevado a este hospital, desde el minuto 0 solo puedo decir GRACIAS y mas GRACIAS al equipo de personas que han estado cuidándome estos días, atención, cuidados, amabilidad, empatía , se siente que les gusta su trabajo y lo dan todo por sus pacientes
Muchísimas Gracias a tod@s de corazón !!!","I have had the bad luck of suffering a Stroke, but the good thing is that they have taken me to this hospital, from minute 0 I can only say THANK YOU and even more THANK YOU to the team of people who have been taking care of me these days, attention, care, kindness, empathy , you feel that they like their job and give everything for their patients
Thank you very much from the bottom of my heart!!!",
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNwOEpxMFp3EAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICp8Jq0Zw%7CCgwI7I2JpgYQoO2stgI%7C?hl=en-US,5.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNwOEpxMFp3EAE,"Quiero destacar el comportamiento de todo el personal de pediatría de urgencias. Desde celadores, auxiliares, enfermeros, pediatras y traumatologa q atendieron de forma muy profesional  a mi hijo de cinco años que llegó ayer por la noche con una fractura del brazo. Cariñosos a más no poder, el trato fue de 10. Muchas graciassss  a todos.",1.0,Gloria Guerrero,https://www.google.com/maps/contrib/115723314503920841032?hl=en-US,115723314503920841032,https://lh3.googleusercontent.com/a/ACg8ocJNXp7oppxM8f9VDxHsMH9jmZX5cIpXt26x8ETSc4Td=s40-c-rp-mo-br100,6,1.0,"Quiero destacar el comportamiento de todo el personal de pediatría de urgencias. Desde celadores, auxiliares, enfermeros, pediatras y traumatologa q atendieron de forma muy profesional  a mi hijo de cinco años que llegó ayer por la noche con una fractura del brazo. Cariñosos a más no poder, el trato fue de 10. Muchas graciassss  a todos.","I want to highlight the behavior of all the emergency pediatrics staff. From orderlies, assistants, nurses, pediatricians and traumatologists, they very professionally cared for my five-year-old son who arrived last night with a broken arm. Loving as they could be, the treatment was 10. Thank you all very much.",
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKMVo2dUtBEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDJ1Z6uKA%7CCgwI9a3ppQYQiJjnhgE%7C?hl=en-US,1.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKMVo2dUtBEAE,"La atención telefónica es nefasta en este hospital. Después de estar esperando al menos media hora hacen que te cogen el teléfono, te dicen “Dígame” y te cuelgan. Que poca empatía tienen. Les deberían llamar la atención por ello. Hay gente que no vive al lado Iara acercarse en un momento.",3.0,Veronica Moya,https://www.google.com/maps/contrib/102916953238965944250?hl=en-US,102916953238965944250,https://lh3.googleusercontent.com/a/ACg8ocLEjxK3y23ZufREn8OtvBjuAdJbT4Ms5LVg3k1YUpZN=s40-c-rp-mo-br100,12,,"La atención telefónica es nefasta en este hospital. Después de estar esperando al menos media hora hacen que te cogen el teléfono, te dicen “Dígame” y te cuelgan. Que poca empatía tienen. Les deberían llamar la atención por ello. Hay gente que no vive al lado Iara acercarse en un momento.","The telephone service is disastrous in this hospital. After waiting for at least half an hour, they pick up your phone, say, “Tell me,” and hang up on you. How little empathy they have. They should be called out for it. There are people who don't live next door to come over in a moment.",
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKenJhdkZBEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDJzravFA%7CCgsInJDVpQYQ8JascQ%7C?hl=en-US,1.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKenJhdkZBEAE,Me perdieron muestra de orina y de sangre para una prueba muy importante. El centro de salud dice que fue el hospital y el hospital que no recibió la muestra del centro de salud. Me la he tenido que repetir y cruzando los dedos para que no se repita,3.0,Alejandra de la Oliva,https://www.google.com/maps/contrib/105328049132174720548?hl=en-US,105328049132174720548,https://lh3.googleusercontent.com/a-/ALV-UjX2Or9LFCBOgNcIzxwIFC2L8rGVPX9lU_TCuGKkaWHVKQ=s40-c-rp-mo-ba3-br100,41,9.0,Me perdieron muestra de orina y de sangre para una prueba muy importante. El centro de salud dice que fue el hospital y el hospital que no recibió la muestra del centro de salud. Me la he tenido que repetir y cruzando los dedos para que no se repita,They lost a urine and blood sample for a very important test. The health center says it was the hospital and the hospital that did not receive the sample from the health center. I have had to repeat it to myself and crossing my fingers so that it does not happen again.,True
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKcnZDbEpBEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDJrvClJA%7CCgsImPfTpQYQyKyUUw%7C?hl=en-US,5.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKcnZDbEpBEAE,"Eternamente agradecido al equipo de Ginecología, Matronas y personal de paritorio y obstetricia. Muchísima calidad humana y si cabe mejores profesionales, nos atendieron de maravilla. Gracias",2.0,Abel NQ,https://www.google.com/maps/contrib/110546778442334235946?hl=en-US,110546778442334235946,https://lh3.googleusercontent.com/a/ACg8ocIJeO3VIlu5fuMTi8-QZjw5zPAAgabumZnaMD11cQK2=s40-c-rp-mo-br100,11,,"Eternamente agradecido al equipo de Ginecología, Matronas y personal de paritorio y obstetricia. Muchísima calidad humana y si cabe mejores profesionales, nos atendieron de maravilla. Gracias","Eternally grateful to the Gynecology team, Midwives and delivery room and obstetrics staff. A lot of human quality and if possible better professionals, they treated us wonderfully. Thank you",
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKMXNDWkNREAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDJ1sCZCQ%7CCgwIoNTPpQYQwPXMnQM%7C?hl=en-US,5.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKMXNDWkNREAE,Muy bien comunicado por metro y Renfe. Fácil de encontrar y muy bien ubicado para toda la zona,,Margarita Manchado,https://www.google.com/maps/contrib/113717312160803051704?hl=en-US,113717312160803051704,https://lh3.googleusercontent.com/a/ACg8ocLlpqGn6BzXVpqJysd5FJQZ6yN7KSYuXWJY-6xn3C0a=s40-c-rp-mo-ba5-br100,156,206.0,Muy bien comunicado por metro y Renfe. Fácil de encontrar y muy bien ubicado para toda la zona,Very well connected by metro and Renfe. Easy to find and very well located for the entire area,True
