,link,rating,date,source,review_id,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,snippet,extracted_snippet.original,extracted_snippet.translated,likes
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQxcGVpdDlBRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgID1peit9AE%7CCgsIuYrxrAYQuO3WOw%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQxcGVpdDlBRRAB,Carlos P,https://www.google.com/maps/contrib/114286353928495976155?hl=en-US,114286353928495976155,https://lh3.googleusercontent.com/a/ACg8ocLH0w4tN8MKNmtNDWG3hTG5nhvG2MtpTcKO2HQ7fExq=s40-c-rp-mo-ba5-br100,True,192,10.0,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQxdkxEQjBRRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgID1vLDB0QE%7CCgsInoTirAYQ-P2XYw%7C?hl=en-US,1.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQxdkxEQjBRRRAB,Ice,https://www.google.com/maps/contrib/109970770270184503173?hl=en-US,109970770270184503173,https://lh3.googleusercontent.com/a/ACg8ocJztYvNpGNCrnG9q7hbUCvvcBrQi6PYIL6fTFYTbu8mXw=s40-c-rp-mo-ba4-br100,True,91,6.0,"Urgencias pésimas, tendrían que estar todos en la calle, evitar ir a este Hospital. Penoso","Urgencias pésimas, tendrían que estar todos en la calle, evitar ir a este Hospital. Penoso","Terrible emergencies, everyone should be on the street, avoid going to this Hospital. Painful",
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQxNUtxS0NnEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgID15KqKCg%7CCgwIzt3frAYQ2Oj4hAI%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUQxNUtxS0NnEAE,carlosjuan,https://www.google.com/maps/contrib/111836557290014676854?hl=en-US,111836557290014676854,https://lh3.googleusercontent.com/a/ACg8ocI2B2mHkDB50zqAL2Eqyr-gvJqy0YKDDd-OUkIvpmTZ=s40-c-rp-mo-br100,,2,,"seria mejor cerrarlo, y todo el coste que tiene este hospital, lo invierten en algo mejor.
Peor servicio y trato al paciente no existe","seria mejor cerrarlo, y todo el coste que tiene este hospital, lo invierten en algo mejor.
Peor servicio y trato al paciente no existe","It would be better to close it, and invest all the cost of this hospital in something better.
There is no worse service and patient treatment.",1.0
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQxc0pMbnpBRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgID1sJLnzAE%7CCgsI6cHcrAYQuNuZew%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQxc0pMbnpBRRAB,Dimitrina Todorova,https://www.google.com/maps/contrib/105184708860982011445?hl=en-US,105184708860982011445,https://lh3.googleusercontent.com/a-/ALV-UjWJWrPQ1J83xNhiLKNZd50U-Jrg3CQsCcWINsrv-V6KEYw=s40-c-rp-mo-ba3-br100,True,19,2.0,,,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxaTgzUjdnRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIC1i83R7gE%7CCgwIlcbWrAYQsN2TrQI%7C?hl=en-US,1.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUMxaTgzUjdnRRAB,Francisco Mosqueda,https://www.google.com/maps/contrib/100267281806155914941?hl=en-US,100267281806155914941,https://lh3.googleusercontent.com/a/ACg8ocIUr0kXE8MLn2xHkkuAiL05-Bwx9GuKqC7kpiqB7nUh8A=s40-c-rp-mo-br100,,5,,"No hay peor hospital en Madrid, trato pésimo del personal al paciente. La falta de educación requisito imprescindible para trabajar allí.","No hay peor hospital en Madrid, trato pésimo del personal al paciente. La falta de educación requisito imprescindible para trabajar allí.","There is no worse hospital in Madrid, terrible treatment of the patient by the staff. The lack of education is an essential requirement to work there.",1.0
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxN2FxOHR3RRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIC17aq8twE%7CCgsIhpjQrAYQ0J7SYA%7C?hl=en-US,1.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUMxN2FxOHR3RRAB,Vio-lencia Sin Justicia,https://www.google.com/maps/contrib/100136211149375459631?hl=en-US,100136211149375459631,https://lh3.googleusercontent.com/a-/ALV-UjUt4k2td5WIKj5Fzy713alBVr9hC2OiDphImG-PeBBOnEM=s40-c-rp-mo-br100,,1,,La comida que sube de cocina un día intoxicara a los pacientes no por la comida si no por como se realiza la limpieza y el emplatado de la comida,La comida que sube de cocina un día intoxicara a los pacientes no por la comida si no por como se realiza la limpieza y el emplatado de la comida,The food that comes out of the kitchen one day will poison patients not because of the food but because of how the cleaning and plating of the food is done.,1.0
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxa2NyWmVREAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIC1kcrZeQ%7CCgwI5d_ErAYQyPOEhQI%7C?hl=en-US,3.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUMxa2NyWmVREAE,Escuela de capoeira Arte da Vida,https://www.google.com/maps/contrib/102115232367162073330?hl=en-US,102115232367162073330,https://lh3.googleusercontent.com/a-/ALV-UjWHyP2jA36iAwOTHBB2TyDJmXO2WeEonxDzHp36CuGagtg=s40-c-rp-mo-ba4-br100,True,111,42.0,"Creo que tienen que tienen que mejorar en muchos aspectos,  sobre todo en atención  al paciente,  y la culpa creo que son de los jefes por que pude observar  ya que en mi presentación ia no trataron. Bien algunos médicos y enfermeras por lo que luego ellos a su vez salen quemados  y lo terminan pagando los pacientes.","Creo que tienen que tienen que mejorar en muchos aspectos,  sobre todo en atención  al paciente,  y la culpa creo que son de los jefes por que pude observar  ya que en mi presentación ia no trataron. Bien algunos médicos y enfermeras por lo que luego ellos a su vez salen quemados  y lo terminan pagando los pacientes.","I think they have to improve in many aspects, especially in patient care, and I think the fault lies with the bosses because I was able to observe that they did not address it in my presentation. Well, some doctors and nurses end up getting burned and the patients end up paying for it.",1.0
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxbXNiSXlBRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIC1msbIyAE%7CCgsIqsmyrAYQuPCFLA%7C?hl=en-US,5.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUMxbXNiSXlBRRAB,Margarita Trapero,https://www.google.com/maps/contrib/104372051701424106960?hl=en-US,104372051701424106960,https://lh3.googleusercontent.com/a/ACg8ocK3vQyCuwqiDRsKtP6mRaKnurGJ7Vy8qV9Fok37O_qk=s40-c-rp-mo-br100,,5,,"No tengo más que palabras de agradecimiento para el equipo de traumalogia (Doctor Gavín y su equipo) y
la doctora Ana Vegas de medicina interna.
Un 10 sobre 10 en profesionalidad, humanidad y trato.","No tengo más que palabras de agradecimiento para el equipo de traumalogia (Doctor Gavín y su equipo) y
la doctora Ana Vegas de medicina interna.
Un 10 sobre 10 en profesionalidad, humanidad y trato.","I have nothing but words of gratitude for the trauma team (Doctor Gavín and his team) and
Dr. Ana Vegas of internal medicine.
A 10 out of 10 in professionalism, humanity and treatment.",
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxcXNPRF9BRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIC1qsOD_AE%7CCgwIt6axrAYQoIOn-wI%7C?hl=en-US,5.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUMxcXNPRF9BRRAB,Adelmo V,https://www.google.com/maps/contrib/112649860352114872378?hl=en-US,112649860352114872378,https://lh3.googleusercontent.com/a/ACg8ocJ6-I-_Ygjbx0dp09Ubxm34IgzEqy1a56mc_-4bb1uu=s40-c-rp-mo-ba2-br100,True,6,,,,,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxMHEzU2xnRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIC10q3SlgE%7CCgwIwtasrAYQsLLk-wE%7C?hl=en-US,1.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUMxMHEzU2xnRRAB,Tatiana Seminario,https://www.google.com/maps/contrib/107340868365000351878?hl=en-US,107340868365000351878,https://lh3.googleusercontent.com/a-/ALV-UjUWu4n1SvVXvBAEvyTL5mwkNGyHk425QVtGLAusu7OlbtOB=s40-c-rp-mo-br100,,8,1.0,"Este hospital es una pena. En urgencias las enfermeras conversando de cualquier cosa y tardando demasiado en atender. Las personas incluso hasta llorando de dolor y ellos conversando cualquier tontería, pasando de la gente. He esperado cuatro horas para que me viera un médico después de Triaje, ingresada por hepatitis y sin tener un diagnóstico de éste hasta 16 horas después de mi ingreso.
La atención mala sobre todo por parte de las enfermeras","Este hospital es una pena. En urgencias las enfermeras conversando de cualquier cosa y tardando demasiado en atender. Las personas incluso hasta llorando de dolor y ellos conversando cualquier tontería, pasando de la gente. He esperado cuatro horas para que me viera un médico después de Triaje, ingresada por hepatitis y sin tener un diagnóstico de éste hasta 16 horas después de mi ingreso.
La atención mala sobre todo por parte de las enfermeras","This hospital is a shame. In the emergency room, the nurses talk about anything and take too long to respond. People even cried in pain and they talked about any nonsense, passing by people. I have waited four hours to be seen by a doctor after Triage, admitted for hepatitis and without having a diagnosis of this until 16 hours after my admission.
Poor attention especially from nurses",8.0
