,link,rating,date,source,review_id,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,snippet,extracted_snippet.original,extracted_snippet.translated
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNsOU0tRW1nRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICl9M-EmgE%7CCgwIvNbNqgYQqKmAlgM%7C?hl=en-US,5.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNsOU0tRW1nRRAB,1.0,Mario Emilio,https://www.google.com/maps/contrib/104454991634941882996?hl=en-US,104454991634941882996,https://lh3.googleusercontent.com/a-/ALV-UjW8XBpC81QE6sYIj6jh-ZJsYzlqH_X8pHk-QsOJ0S7ghb0=s40-c-rp-mo-ba4-br100,True,53,20.0,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNseU5uT1VBEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIClyNnOUA%7CCgsIg5TIqgYQ8P3Xcw%7C?hl=en-US,5.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNseU5uT1VBEAE,,Francisco Cabañas,https://www.google.com/maps/contrib/106914898810998263278?hl=en-US,106914898810998263278,https://lh3.googleusercontent.com/a-/ALV-UjUGJm8B7CMzdOtcEH1nGw8116_lzyTUlkhfz8xq0YQtKOQY=s40-c-rp-mo-ba5-br100,True,327,182.0,Profesionales y buen servicio.,Profesionales y buen servicio.,Professionals and good service.
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURGbzhMYS13RRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDFo8La-wE%7CCgwI-dK0qgYQ4MjNswM%7C?hl=en-US,5.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURGbzhMYS13RRAB,,Francisco Sanchez,https://www.google.com/maps/contrib/116317010442187358746?hl=en-US,116317010442187358746,https://lh3.googleusercontent.com/a/ACg8ocK3L9x_9_n5i9CIxXmeW8qag0eH5kRrfKrPvPXzqxqv=s40-c-rp-mo-br100,,5,3.0,"Recientemente ha estado mi madre en urgencias y la atención recibida por el doctor Pizarro y todo el personal auxiliares, ats...fue excelente.
El hospital debería mejorar los asientos de los bóxer de urgencias para los acompañantes.","Recientemente ha estado mi madre en urgencias y la atención recibida por el doctor Pizarro y todo el personal auxiliares, ats...fue excelente.
El hospital debería mejorar los asientos de los bóxer de urgencias para los acompañantes.","Recently my mother was in the emergency room and the care received by Dr. Pizarro and all the auxiliary staff, ATS... was excellent.
The hospital should improve the emergency boxer seats for companions."
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN1dHJTMUJREAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICutrS1BQ%7CCgwItoOwqgYQ8Nn6kgI%7C?hl=en-US,5.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN1dHJTMUJREAE,,Sheila De Miguel,https://www.google.com/maps/contrib/111612844374068994011?hl=en-US,111612844374068994011,https://lh3.googleusercontent.com/a/ACg8ocLsNOFoeqBlHxbQwSfKcOQFKWRqCRyPDVAS-6F_A-sv=s40-c-rp-mo-br100,,17,,"Experiencia más que positiva
Tuve a mi hija alli,solo tengo palabras de agradecimiento,
Me sentí apoyada y animada en todo momento
Gracias","Experiencia más que positiva
Tuve a mi hija alli,solo tengo palabras de agradecimiento,
Me sentí apoyada y animada en todo momento
Gracias","More than positive experience
I had my daughter there, I only have words of gratitude,
I felt supported and encouraged at all times
Thank you"
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURGNWRXQU93EAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDF5dWAOw%7CCgwI_s2vqgYQ6OvmvwE%7C?hl=en-US,1.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURGNWRXQU93EAE,1.0,Maria Jose Martin,https://www.google.com/maps/contrib/104491025035499888783?hl=en-US,104491025035499888783,https://lh3.googleusercontent.com/a-/ALV-UjXsWq2F8aT-IGpbY7se63aIwitR2PE24m33Q-jBEva0Bbw=s40-c-rp-mo-br100,,6,,"Las urgencias lo peor, mala coordinacion, muy lentos en evaluar y hacer pruebas y mas lentos aun en el diagnostico","Las urgencias lo peor, mala coordinacion, muy lentos en evaluar y hacer pruebas y mas lentos aun en el diagnostico","The emergencies are the worst, poor coordination, very slow in evaluating and doing tests and even slower in diagnosing."
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURGbWJuZjhnRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDFmbnf8gE%7CCgwI5-qtqgYQkJD4ywE%7C?hl=en-US,5.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURGbWJuZjhnRRAB,,Ely Kinakono,https://www.google.com/maps/contrib/112644399205387262332?hl=en-US,112644399205387262332,https://lh3.googleusercontent.com/a/ACg8ocJ0cJDywqDXoWtvGy_1kr4bVkYX2x3YePclosC5GMRj=s40-c-rp-mo-br100,,36,2.0,"Quiero dar las gracias a todo el equipo de la unidad del dolor, desde auxiliares a enfermer@s y por supuesto a las doctoras, están con nosotros,los pacientes en unas circunstancias complicadas y yo personalmente no podría llevar mi situación si no fuera gracias a su ayuda y tratamiento ... Un millón de GRACIAS !!! Y enhorabuena por el equipazo que sois, tanto profesional como personal!!!!","Quiero dar las gracias a todo el equipo de la unidad del dolor, desde auxiliares a enfermer@s y por supuesto a las doctoras, están con nosotros,los pacientes en unas circunstancias complicadas y yo personalmente no podría llevar mi situación si no fuera gracias a su ayuda y tratamiento ... Un millón de GRACIAS !!! Y enhorabuena por el equipazo que sois, tanto profesional como personal!!!!","I want to thank the entire team at the pain unit, from assistants to nurses and of course the doctors, they are with us, the patients are in complicated circumstances and I personally would not be able to handle my situation if it were not thanks to your help and treatment... THANK YOU a million!!! And congratulations on the great team you are, both professional and personal!!!!"
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURGcWNmSE1nEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDFqcfHMg%7CCgsIhbCtqgYQ0N_TEw%7C?hl=en-US,5.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURGcWNmSE1nEAE,2.0,Paula García,https://www.google.com/maps/contrib/106870542879945813168?hl=en-US,106870542879945813168,https://lh3.googleusercontent.com/a-/ALV-UjWFVpR0ms_cgRXErH0BpU0jO6uoPZUiAXRemLCwUnU6XBA=s40-c-rp-mo-br100,,7,,"Quiero agradecer en primer lugar al personal de urgencias por la atención y por mover tan rápido mis citas médicas. También a todo el personal del hospital de día por el gran trato recibido por parte de enfermeros, cirujanos y anestesistas. Mil gracias!","Quiero agradecer en primer lugar al personal de urgencias por la atención y por mover tan rápido mis citas médicas. También a todo el personal del hospital de día por el gran trato recibido por parte de enfermeros, cirujanos y anestesistas. Mil gracias!","I want to first thank the emergency room staff for their care and for moving my medical appointments so quickly. Also to all the day hospital staff for the great treatment received from the nurses, surgeons and anesthetists. Thank you!"
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNGeDRIT0h3EAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICFx4HOHw%7CCgsIkfyTqgYQ8JPQEg%7C?hl=en-US,5.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNGeDRIT0h3EAE,1.0,Susana Postigo,https://www.google.com/maps/contrib/101010907882624322593?hl=en-US,101010907882624322593,https://lh3.googleusercontent.com/a-/ALV-UjXThQDoNv0e5kQuhdxY2DoLCKUV8h_FoePl-MjpFgQVIY7U=s40-c-rp-mo-ba4-br100,True,6,614.0,"Lo que comenta otra persona de la atención telefónica, lo ratifico, lo rubrico y doy fe, pero aprovecho para dar 500.000 gracias a todo el personal de urgencias que me atendieron el pasado día uno del presente, todos muy cariñosos y atentos y la Dra. Andrea, pues de los demás no me acuerdo de sus nombres, discúlpenme,  un amor de persona, profesional, cariñosa, estupenda en todos los sentidos.
Muchas gracias por todo, que siempre les recordaré con cariñó ya que era la primera vez que acudía a un servicio de urgencia. Susana Postigo Bardón.","Lo que comenta otra persona de la atención telefónica, lo ratifico, lo rubrico y doy fe, pero aprovecho para dar 500.000 gracias a todo el personal de urgencias que me atendieron el pasado día uno del presente, todos muy cariñosos y atentos y la Dra. Andrea, pues de los demás no me acuerdo de sus nombres, discúlpenme,  un amor de persona, profesional, cariñosa, estupenda en todos los sentidos.
Muchas gracias por todo, que siempre les recordaré con cariñó ya que era la primera vez que acudía a un servicio de urgencia. Susana Postigo Bardón.","What another person comments about the telephone service, I ratify it, sign it and attest, but I take this opportunity to give 500,000 thanks to all the emergency personnel who treated me last day one of the present, all very affectionate and attentive and Dr. Andrea, I don't remember the names of the others, excuse me, a lovely person, professional, affectionate, wonderful in every way.
Thank you very much for everything, I will always remember you fondly since it was the first time I went to an emergency service. Susana Postigo Bardón."
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNGLTlHTnBnRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICF-9GNpgE%7CCgsI8d2SqgYQoPKNKg%7C?hl=en-US,1.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNGLTlHTnBnRRAB,5.0,Marta Murillo,https://www.google.com/maps/contrib/115010114360127014751?hl=en-US,115010114360127014751,https://lh3.googleusercontent.com/a-/ALV-UjXodLR5yVNSg6-EfMtPdjJogMnKKKenA0O2G9yX64uM2mVT=s40-c-rp-mo-ba2-br100,True,22,1.0,"Llevamos en urgencias desde las 23:00h de ayer y aquí no hay quien esté del frío que hace. Yo no me he quitado el abrigo en toda la noche y mi madre con 3 mantas y tiene frío. Muchos de los trabajadores están igual de helados. Es vergonzoso,  con
el temporal que tenemos .
Todo el personal de urgencias, nos ha tratado fenomenal, con rapidez y profesionalidad. Pero el frío se nos ha metido en los huesos y a ver quién  reclama  cuando nos pongamos  malas.","Llevamos en urgencias desde las 23:00h de ayer y aquí no hay quien esté del frío que hace. Yo no me he quitado el abrigo en toda la noche y mi madre con 3 mantas y tiene frío. Muchos de los trabajadores están igual de helados. Es vergonzoso,  con
el temporal que tenemos .
Todo el personal de urgencias, nos ha tratado fenomenal, con rapidez y profesionalidad. Pero el frío se nos ha metido en los huesos y a ver quién  reclama  cuando nos pongamos  malas.","We have been in the emergency room since 11:00 p.m. yesterday and there is no one here because of the cold. I haven't taken off my coat all night and my mother has 3 blankets and is cold. Many of the workers are just as frozen. It's shameful, with
the storm we have.
All the emergency personnel have treated us phenomenally, quickly and professionally. But the cold has gotten into our bones and let's see who complains when we get sick."
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNGMjRpU1pnEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICF24iSZg%7CCgwIpbaQqgYQoKHYlAI%7C?hl=en-US,5.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNGMjRpU1pnEAE,2.0,irene jimenez navarro,https://www.google.com/maps/contrib/100292647487495872552?hl=en-US,100292647487495872552,https://lh3.googleusercontent.com/a-/ALV-UjUACeioR0n9ztsSR-Vu4fNQ4CZItM3k06jQ3ODAAeVmGrs=s40-c-rp-mo-ba4-br100,True,98,37.0,"Mi nota es para todos los médic@s, enfermer@s y auxiliares de la planta 1 de oncología. Mi padre falleció el día 27 de octubre y todos se portaron de maravilla con él y con nosotros. Increíble el cariño, la paciencia y lo bien que lo cuidaron. Muchas gracias por hacer que sus últimos días fueran de la mejor forma posible.","Mi nota es para todos los médic@s, enfermer@s y auxiliares de la planta 1 de oncología. Mi padre falleció el día 27 de octubre y todos se portaron de maravilla con él y con nosotros. Increíble el cariño, la paciencia y lo bien que lo cuidaron. Muchas gracias por hacer que sus últimos días fueran de la mejor forma posible.","My note is for all the doctors, nurses and assistants on the 1st oncology floor. My father passed away on October 27 and everyone was wonderful with him and with us. The love, patience and how well they took care of him were incredible. Thank you very much for making his last days go as smoothly as possible."
