,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,likes,user.local_guide,user.photos,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNwZ3UzTHRnRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICpgu3LtgE%7CCgwIkdGdpgYQ4PH7sAI%7C?hl=en-US,5.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNwZ3UzTHRnRRAB,"Gracias a Dios, yo he tenido una experiencia totalmente correcta y normal en el servicio de Urgencias. Tanto yo, como mi hijo tambien.",Lorena,https://www.google.com/maps/contrib/116430298529109381155?hl=en-US,116430298529109381155,https://lh3.googleusercontent.com/a-/ALV-UjXyLyOgwb2V_lsk8rPMTSrRj5KnwEMZhzPPBQVGM2dZ1dg=s40-c-rp-mo-br100,11,"Gracias a Dios, yo he tenido una experiencia totalmente correcta y normal en el servicio de Urgencias. Tanto yo, como mi hijo tambien.","Thank God, I have had a completely correct and normal experience in the Emergency Department. Both me and my son too.",,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNwdE0zTEJBEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICptM3LBA%7CCgwIpfaUpgYQkL2fugE%7C?hl=en-US,1.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNwdE0zTEJBEAE,"Una absoluta basura, no puede ser 1 enfermero de hurgencias un fin de semana solo, llege a la 1 y 20 sin poder andar por dolor de espalda , son las 6 y 15 y aún sigo aquí, me dicen que ya me AN atendido , una absoluta patraña de hospital una basura de gestion",Jesus Suarez,https://www.google.com/maps/contrib/107540375922747454595?hl=en-US,107540375922747454595,https://lh3.googleusercontent.com/a/ACg8ocILzfkMaBd7fJENG_VsmXYULMO3YG1TIaHuW-9IpcPN=s40-c-rp-mo-br100,10,"Una absoluta basura, no puede ser 1 enfermero de hurgencias un fin de semana solo, llege a la 1 y 20 sin poder andar por dolor de espalda , son las 6 y 15 y aún sigo aquí, me dicen que ya me AN atendido , una absoluta patraña de hospital una basura de gestion","Absolute rubbish, you can't be an emergency nurse on a weekend alone, I arrived at 1:20 without being able to walk due to back pain, it's 6:15 and I'm still here, they tell me that they have already taken care of me, one absolute hospital nonsense, management rubbish",1.0,,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNwMUxPbFF3EAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICp1LOlQw%7CCgwI16qUpgYQ2ODoowM%7C?hl=en-US,3.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNwMUxPbFF3EAE,Bastante limpio pero tener que pagar el parking y nada barato!!! No se yo creo que hay que darle una vuelta a eso. Elhospital limpio y lleno de pacientes esperndo horas Enteras para tener una cita con el especialista ! Yo pedi la cita en enero y me dieron hueco en julio dia 28!!! Julio!!,Ramona,https://www.google.com/maps/contrib/115471812220806629792?hl=en-US,115471812220806629792,https://lh3.googleusercontent.com/a-/ALV-UjW1emNdKnJC0AztmvzwcIyfmXaTop4rES5zKjdehTmSK3k=s40-c-rp-mo-ba5-br100,533,Bastante limpio pero tener que pagar el parking y nada barato!!! No se yo creo que hay que darle una vuelta a eso. Elhospital limpio y lleno de pacientes esperndo horas Enteras para tener una cita con el especialista ! Yo pedi la cita en enero y me dieron hueco en julio dia 28!!! Julio!!,"Quite clean but having to pay for parking and not cheap at all!!! I don't know, I think we need to give that a second thought. The hospital was clean and full of patients, waiting for hours to have an appointment with the specialist! I made the appointment in January and they gave me a slot on July 28!!! July!!",,True,435.0,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNwLUlHT2VnEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICp-IGOeg%7CCgwItZyPpgYQsPjPkwM%7C?hl=en-US,5.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNwLUlHT2VnEAE,"Esta muy bien, un sitio bastante amplio y está muy limpio, tiene un servicio de información en la entrada, y eso facilita mucho, porque en algunos hospitales son como un laberinto y te pierdes fácilmente, en este no, esta muy bien. Alejandro Barragan Corbeira",Alejandro Barragan Corbeira,https://www.google.com/maps/contrib/109707924468803248426?hl=en-US,109707924468803248426,https://lh3.googleusercontent.com/a-/ALV-UjU1mUsI8HYIFb9RcXDWr6rW7XY5qCu-wTY0S-GswZ7snbc=s40-c-rp-mo-ba6-br100,306,"Esta muy bien, un sitio bastante amplio y está muy limpio, tiene un servicio de información en la entrada, y eso facilita mucho, porque en algunos hospitales son como un laberinto y te pierdes fácilmente, en este no, esta muy bien. Alejandro Barragan Corbeira","It's very good, a fairly spacious place and it's very clean, it has an information service at the entrance, and that makes it a lot easier, because in some hospitals they are like a labyrinth and you get lost easily, not in this one, it's very good. Alejandro Barragan Corbeira",,True,456.0,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNwbVA2ejV3RRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICpmP6z5wE%7CCgsIu4CNpgYQ6MfMJQ%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNwbVA2ejV3RRAB,Vengo a las 6 de la mañana con un dolor fuerte de oído y medio lado derecho causado por una infección de muela que llevó 5 días de antibiótico fuerte y no hay mejoría...vengo a que me pongan un calmante porque es inaguantable el dolor parece que me explota la cabeza pero el chico de triaje pone en el informe el color verde( urgencia menor) puedes esperar 120 minutos a que te atiendan. En sala de espera hay 8 personas... Gran profesional...ojalá nunca te pase a ti o a un familiar tuyo algo parecido para sentir en tu propia piel lo que se siente...cada vez peor y con gente así  pésimo,Vichi Manuela Albu,https://www.google.com/maps/contrib/118371069402812196239?hl=en-US,118371069402812196239,https://lh3.googleusercontent.com/a-/ALV-UjV8Ag9rbF8kImpOiW_7ayY_SbhwttC1VzWEeFPd4GeggjM=s40-c-rp-mo-ba3-br100,36,Vengo a las 6 de la mañana con un dolor fuerte de oído y medio lado derecho causado por una infección de muela que llevó 5 días de antibiótico fuerte y no hay mejoría...vengo a que me pongan un calmante porque es inaguantable el dolor parece que me explota la cabeza pero el chico de triaje pone en el informe el color verde( urgencia menor) puedes esperar 120 minutos a que te atiendan. En sala de espera hay 8 personas... Gran profesional...ojalá nunca te pase a ti o a un familiar tuyo algo parecido para sentir en tu propia piel lo que se siente...cada vez peor y con gente así  pésimo,I come at 6 in the morning with a severe pain in my ear and middle right side caused by a tooth infection that took 5 days of strong antibiotics and there is no improvement... I come to get a painkiller because the pain seems unbearable. My head is exploding but the triage guy puts the color green on the report (minor urgency) you can wait 120 minutes for them to attend to you. There are 8 people in the waiting room... Great professional... I hope something similar never happens to you or a family member of yours to feel in your own skin what it feels like... it's getting worse and worse and with terrible people like that,5.0,True,90.0,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKbllxTFRBEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDJnYqLTA%7CCgwIq_jupQYQkNHXrQM%7C?hl=en-US,3.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKbllxTFRBEAE,"Cómo todos los hospitales de la salud pública en Madrid, no es para tirar cohetes",mounir bouzakri,https://www.google.com/maps/contrib/108688278969663156616?hl=en-US,108688278969663156616,https://lh3.googleusercontent.com/a-/ALV-UjXFl8iLYuf7-FHw3lXR87iXEe6dAZDU4e4BQJQJmmoBPAzT=s40-c-rp-mo-ba3-br100,24,"Cómo todos los hospitales de la salud pública en Madrid, no es para tirar cohetes","Like all public health hospitals in Madrid, it is nothing to write home about",1.0,True,42.0,"['https://lh5.googleusercontent.com/p/AF1QipMYHEIOw45lCrdPNMez4b3GPWABdM5Cb7ZWJdJI=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMdS7v-HshAQ_TqgNcAkCCj7ZKZYgbiex3R9_v5=w100-h100-p-n-k-no']"
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKeGVlbUhREAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDJxeemHQ%7CCgwI9P7lpQYQ4NGwkgM%7C?hl=en-US,3.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKeGVlbUhREAE,"Para mi.
el hospital infanta leonor no es malo ni bueno pero podria mejorarse en general.",Francisco jose Merino gil,https://www.google.com/maps/contrib/110961516398092386913?hl=en-US,110961516398092386913,https://lh3.googleusercontent.com/a-/ALV-UjUbAyQdQOROnOtVNzry7drHIt5bl_Ab92QMGmQuGYVyow=s40-c-rp-mo-br100,1,"Para mi.
el hospital infanta leonor no es malo ni bueno pero podria mejorarse en general.","For me.
The Infanta Leonor hospital is neither bad nor good but it could be improved in general.",,,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKbWRTNXd3RRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDJmdS5wwE%7CCgwIgp_hpQYQsM_D5wE%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKbWRTNXd3RRAB,Muy mal organizado y personal poco empático horrible estar en urgencias,Tania Diaz Peña,https://www.google.com/maps/contrib/118237591941785858695?hl=en-US,118237591941785858695,https://lh3.googleusercontent.com/a-/ALV-UjXB3WwaeJrAVUAi2KeI-MD7SE5FFkAgshTdua78PWd_W-w=s40-c-rp-mo-br100,3,Muy mal organizado y personal poco empático horrible estar en urgencias,"Very poorly organized and unempathetic staff, horrible being in the emergency room",1.0,,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKeWUyQkVnEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDJye2BEg%7CCgwIud_fpQYQiOf_kQE%7C?hl=en-US,2.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKeWUyQkVnEAE,"Ajuar sin comentarios.
Hospital Público.",Esther L,https://www.google.com/maps/contrib/101970710798931282141?hl=en-US,101970710798931282141,https://lh3.googleusercontent.com/a/ACg8ocI9K1sViskfBl4iKY_01-k1-Wg7AYjT2Y6Cne9mponC=s40-c-rp-mo-br100,13,"Ajuar sin comentarios.
Hospital Público.","Trousseau without comments.
Public hospital.",,,3.0,['https://lh5.googleusercontent.com/p/AF1QipNDOB5QLP2wk3rp7bHklfajULoPuINd7mWW42bw=w100-h100-p-n-k-no']
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKb1pHZ0FnEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDJoZGgAg%7CCgwI76bapQYQsL39qQI%7C?hl=en-US,5.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKb1pHZ0FnEAE,,Paula López,https://www.google.com/maps/contrib/109405748149738109450?hl=en-US,109405748149738109450,https://lh3.googleusercontent.com/a/ACg8ocL8KCHpk9ZTxrQtGQAH4xPokADe_ZJLRjZjv0oyR4vL=s40-c-rp-mo-br100,8,,,,,,
