,link,rating,date,source,review_id,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,snippet,likes,user.local_guide,user.photos,extracted_snippet.original,extracted_snippet.translated
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKM3NXRzNnRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDJ3sWG3gE%7CCgsI9afWpQYQ8P34aA%7C?hl=en-US,5.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKM3NXRzNnRRAB,Nuria Carreira Mirasierras,https://www.google.com/maps/contrib/106566636298010288805?hl=en-US,106566636298010288805,https://lh3.googleusercontent.com/a/ACg8ocLYj9xdL_h3seeMxp9haCjPfC2lz3Pgld45rf3AjcEk=s40-c-rp-mo-br100,16,,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKenNXMGV3EAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDJzsW0ew%7CCgwIjtXTpQYQ-PLDmAI%7C?hl=en-US,2.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKenNXMGV3EAE,Taxi 4724,https://www.google.com/maps/contrib/112238311789510753363?hl=en-US,112238311789510753363,https://lh3.googleusercontent.com/a/ACg8ocJrDZnGzFOrRjcshPOrRLELfanZMk3wzG7pUahcNOb5=s40-c-rp-mo-br100,5,,,,,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKMm9hYTNRRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDJ2oaa3QE%7CCgwIkrrJpQYQuPSElQM%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKMm9hYTNRRRAB,Mariluz Botas,https://www.google.com/maps/contrib/111145368997414970639?hl=en-US,111145368997414970639,https://lh3.googleusercontent.com/a/ACg8ocJumuY9fdz9tHymaM40rJ5aEgMv0t2yVthb2MVPUdio=s40-c-rp-mo-ba3-br100,33,Una vergüenza que en pediatría un finde semana no haya médicos para atender a los niños.. el triaje rápido pero las consultas muy lentas por falta de personal.... Una lastima.,1.0,True,9.0,Una vergüenza que en pediatría un finde semana no haya médicos para atender a los niños.. el triaje rápido pero las consultas muy lentas por falta de personal.... Una lastima.,It's a shame that in pediatrics on a weekend there are no doctors to care for children... quick triage but very slow consultations due to lack of staff... A shame.
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKcXV6Vmt3RRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDJquzVkwE%7CCgwI2MLGpQYQ6IalzwI%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKcXV6Vmt3RRAB,Jorge 1986,https://www.google.com/maps/contrib/100661239332832210915?hl=en-US,100661239332832210915,https://lh3.googleusercontent.com/a/ACg8ocIgg1F-quLq5iY8opQfzCSJdksV1yBNSrLKI3UX6Fld=s40-c-rp-mo-br100,6,"Hospital asqueroso, no tiene otro nombre, 3 veces a urgencias en el último mes con un familiar y no son capaces de hacer ningún tipo de prueba, solo analiticas, soltando comentarios como.. ""Si lleva dos meses con dolores y fuera algo malo ya se habría muerto"" Mi familiar dentro de la consulta que no podía más de dolores y ellos hablando de sus cosas, son unos sinvergüenzas, sin ningún tipo de empatía ni humanidad, que rezen porque mi familiar no tenga nada grave",1.0,,,"Hospital asqueroso, no tiene otro nombre, 3 veces a urgencias en el último mes con un familiar y no son capaces de hacer ningún tipo de prueba, solo analiticas, soltando comentarios como.. ""Si lleva dos meses con dolores y fuera algo malo ya se habría muerto"" Mi familiar dentro de la consulta que no podía más de dolores y ellos hablando de sus cosas, son unos sinvergüenzas, sin ningún tipo de empatía ni humanidad, que rezen porque mi familiar no tenga nada grave","Disgusting hospital, it has no other name, 3 times in the emergency room in the last month with a relative and they are not able to do any type of test, they only analyze, making comments like... ""If he has been in pain for two months and it was something bad now ""He would have died."" My family member in the consultation who couldn't take any more pain and they talking about their things, they are shameless, without any type of empathy or humanity, let them pray that my family member doesn't have anything serious"
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMtcm9hd3h3RRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIC-roawxwE%7CCgsIueTBpQYQ8OqFSw%7C?hl=en-US,4.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUMtcm9hd3h3RRAB,Fernando F,https://www.google.com/maps/contrib/108906381594404432398?hl=en-US,108906381594404432398,https://lh3.googleusercontent.com/a-/ALV-UjUoEmZNNZVPd-noNMEYiSUHsoNCWHNuEmczLXhSyaK9R1g=s40-c-rp-mo-ba6-br100,384,"Como hospital está muy bien, pero las urgencias no son buenas, no atienden urgencias de oftalmología por la tarde y te obligan a ir al Gregorio Marañón. Los parkings de larga estancia son muy caros. La entrada por la zona de consultas del pabellón rojo, siempre tiene cola en las máquinas de tickets y se pierde mucho tiempo y en las analíticas por la mañana también se tarda mucho. Luego una vez que estás en tu sala de espera para consulta, se pasa 1h de tu cita y no pasa nada, toca aguantar.",1.0,True,1702.0,"Como hospital está muy bien, pero las urgencias no son buenas, no atienden urgencias de oftalmología por la tarde y te obligan a ir al Gregorio Marañón. Los parkings de larga estancia son muy caros. La entrada por la zona de consultas del pabellón rojo, siempre tiene cola en las máquinas de tickets y se pierde mucho tiempo y en las analíticas por la mañana también se tarda mucho. Luego una vez que estás en tu sala de espera para consulta, se pasa 1h de tu cita y no pasa nada, toca aguantar.","As a hospital it is very good, but the emergencies are not good, they do not attend ophthalmology emergencies in the afternoon and they force you to go to the Gregorio Marañón. Long-term parking is very expensive. Entering through the consultation area of ​​the red pavilion, there is always a queue at the ticket machines and a lot of time is wasted and the analysis in the morning also takes a long time. Then once you are in your waiting room for a consultation, 1 hour passes after your appointment and nothing happens, you have to endure."
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKeEpENm1BRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDJxJD6mAE%7CCgwIn9iypQYQyKOqmgM%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKeEpENm1BRRAB,francisco javier Garcia Blanco,https://www.google.com/maps/contrib/103129466100117752630?hl=en-US,103129466100117752630,https://lh3.googleusercontent.com/a/ACg8ocK4y7BMQxAWYh8Hs68zk1s3sfUH6enWFyVGv8zMlwE=s40-c-rp-mo-ba5-br100,169,"Urgencias de ginecólogia muy mal, por lo menos cuando nosotros fuimos",1.0,True,106.0,"Urgencias de ginecólogia muy mal, por lo menos cuando nosotros fuimos","Gynecology emergencies very bad, at least when we went"
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNKLS11aG1BRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICJ--uhmAE%7CCgsIxYuYpQYQkOjlEw%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNKLS11aG1BRRAB,Nataliya Lyubchak,https://www.google.com/maps/contrib/101347178654528385847?hl=en-US,101347178654528385847,https://lh3.googleusercontent.com/a/ACg8ocL0l5MPlrftpRykZMbStI0VpTsl-BEXVWj3HBezafqHDQ=s40-c-rp-mo-br100,3,,,,,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNKZzhudkdREAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICJg8nvGQ%7CCgwI7v6LpQYQ0K2I8QI%7C?hl=en-US,3.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNKZzhudkdREAE,Gianly Daniela Di vito vieira,https://www.google.com/maps/contrib/117232087443517938447?hl=en-US,117232087443517938447,https://lh3.googleusercontent.com/a/ACg8ocJ59KjT5jnOYYWhTCBHMSd0vE0rPdsvOi9psGT_z8pE=s40-c-rp-mo-br100,7,"La atención médica es maravillosa, los doctores y enfermeros son atentos y amables. Sin embargo la gestión administrativa es negativa, tengo una semana intentando comunicarme con atención al paciente, ya que necesito que me cambien un medicamento, me contestan y me dejan en espera sin dejarme ni hablar. Es lamentable.",2.0,,,"La atención médica es maravillosa, los doctores y enfermeros son atentos y amables. Sin embargo la gestión administrativa es negativa, tengo una semana intentando comunicarme con atención al paciente, ya que necesito que me cambien un medicamento, me contestan y me dejan en espera sin dejarme ni hablar. Es lamentable.","The medical care is wonderful, the doctors and nurses are attentive and kind. However, the administrative management is negative, I have been trying to communicate with patient care for a week, since I need a medication changed, they answer me and leave me on hold without even allowing me to speak. It is unfortunate."
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNKMFB5SlNBEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICJ0PyJSA%7CCgwI_vbppAYQuJ7JzQM%7C?hl=en-US,1.0,8 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNKMFB5SlNBEAE,Maricarmen,https://www.google.com/maps/contrib/118177964058308396499?hl=en-US,118177964058308396499,https://lh3.googleusercontent.com/a/ACg8ocIJa0Hbx-euwWhoYOhahrg7arcWxzaH6bZaRk0MgLam=s40-c-rp-mo-ba4-br100,95,"Me hice una resonancia de estómago en diciembre de 2022 , después de haber esperado 14 meses(2021 la consulta) y para los resultados me han dado la fecha en febrero de 2024!!!! Mientras,  a seguir con los dolores.....Una vergüenza. Lo único que le interesa a la Comunidad de Madrid= Ayuso es que te vayas a las privadas!!!!!!!VERGÜENZA",1.0,True,217.0,"Me hice una resonancia de estómago en diciembre de 2022 , después de haber esperado 14 meses(2021 la consulta) y para los resultados me han dado la fecha en febrero de 2024!!!! Mientras,  a seguir con los dolores.....Una vergüenza. Lo único que le interesa a la Comunidad de Madrid= Ayuso es que te vayas a las privadas!!!!!!!VERGÜENZA","I had a stomach MRI in December 2022, after having waited 14 months (2021 for the consultation) and for the results they gave me the date in February 2024!!!! Meanwhile, continue with the pain.....A shame. The only thing that interests the Community of Madrid = Ayuso is that you go to the private ones!!!!!!!SHAME"
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNKNHRHRjlBRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICJ4tGF9AE%7CCgwIhpfYpAYQ0JTCmAM%7C?hl=en-US,5.0,8 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNKNHRHRjlBRRAB,Adriana Romelia Cosgarea,https://www.google.com/maps/contrib/106484543999510551216?hl=en-US,106484543999510551216,https://lh3.googleusercontent.com/a-/ALV-UjXbYqUvNX7c6RPZm7ULCGk0EIhOE2mHcglNO0_WdnfNI4w=s40-c-rp-mo-br100,1,"Cuándo nació mi hijo estuve a punto de morir por las complicaciones.Gracias al esfuerzo y la dedicación del personal estoy  aquí.
Y con mi hijo estuve hospitalizada en dos ocasiones y puedo decir que la atención que hemos recibido fue de 10!",2.0,,,"Cuándo nació mi hijo estuve a punto de morir por las complicaciones.Gracias al esfuerzo y la dedicación del personal estoy  aquí.
Y con mi hijo estuve hospitalizada en dos ocasiones y puedo decir que la atención que hemos recibido fue de 10!","When my son was born I almost died due to complications. Thanks to the effort and dedication of the staff I am here.
And with my son I was hospitalized on two occasions and I can say that the care we received was a 10!"
