,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,details.actualización
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoOWJuRFZnEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDh9bnDVg%7CCgsI8-_BoAYQ-MyzbQ%7C?hl=en-US,5.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoOWJuRFZnEAE,"Hospital, tal cual",1.0,Antonio Lopez,https://www.google.com/maps/contrib/113604875090405000818?hl=en-US,113604875090405000818,https://lh3.googleusercontent.com/a/ACg8ocLNj0n6-D67XUydA95LQ15UVKfD9sGHXiv57CxtEjUG=s40-c-rp-mo-ba5-br100,True,339,1038.0,"Hospital, tal cual","Hospital, as is",
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQyMGVMS0VnEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgID20eLKEg%7CCgwIoc_BoAYQuIuawwM%7C?hl=en-US,1.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUQyMGVMS0VnEAE,"Había huelga y no viene mi médica y ni avisan ni nada. Las personas tenemos cosas que hacer, no podemos estar aquí perdiendo el tiempo por amor al arte.

No sé qué pedirán en la huelga, si nunca están. Otra vez me mandó mal los análisis, y tuvimos que echar la mañana porque la médica tampoco estaba xD

Actualización: hoy la misma médica que hizo huelga resulta que se ha equivocado y me ha pedido cita para un prueba donde no era, que ya me llamarán. Otro día que me hacen perder estos",1.0,Sonia S,https://www.google.com/maps/contrib/103536969302658241604?hl=en-US,103536969302658241604,https://lh3.googleusercontent.com/a-/ALV-UjUJDydyWM4u0UEEfuBLBiqeKG2CPqREkKSGhQ05HGUBCw=s40-c-rp-mo-br100,,21,2.0,"Había huelga y no viene mi médica y ni avisan ni nada. Las personas tenemos cosas que hacer, no podemos estar aquí perdiendo el tiempo por amor al arte.

No sé qué pedirán en la huelga, si nunca están. Otra vez me mandó mal los análisis, y tuvimos que echar la mañana porque la médica tampoco estaba xD

Actualización: hoy la misma médica que hizo huelga resulta que se ha equivocado y me ha pedido cita para un prueba donde no era, que ya me llamarán. Otro día que me hacen perder estos","There was a strike and my doctor didn't come and they didn't notify me or anything. People have things to do, we can't be here wasting time for the love of art.

I don't know what they will ask for in the strike, if they are never there. Once again he sent me the wrong tests, and we had to waste the morning because the doctor wasn't there either xD

Update: today the same doctor who went on strike turns out to have made a mistake and made an appointment for a test where it wasn't, and they will call me. Another day that these make me lose","hoy la misma médica que hizo huelga resulta que se ha equivocado y me ha pedido cita para un prueba donde no era, que ya me llamarán. Otro día que me hacen perder estos"
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURobGRiQ3BnRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDhldbCpgE%7CCgwIifS-oAYQqMrJ_QE%7C?hl=en-US,1.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURobGRiQ3BnRRAB,"Inmunda intolerable y vomitiva atención .¡ LA FALTA DE MEDIOS ES ALARMANTE . El personal se va a volver loco, trabajando en esa condiciones. Pasan las horas y los pacientes no se atienden en urgencias. paso de dar mas detalles porque la lista es interminable. Pongo una estrella por respeto al personal sanitario. Hacienda nos pisa el cuello para engordar a un estado obeso y tener una sanidad publica tercermundista. No hace falta viajar al tercer mundo, ya estamos en él a nivel sanitario.",6.0,Elias Cosmos,https://www.google.com/maps/contrib/109576915048304929721?hl=en-US,109576915048304929721,https://lh3.googleusercontent.com/a-/ALV-UjUNg4XDkuhjzk1TAz3Y7R8vBdvAOJXgCIg1t9R-Rp4veHS5=s40-c-rp-mo-ba4-br100,True,79,16.0,"Inmunda intolerable y vomitiva atención .¡ LA FALTA DE MEDIOS ES ALARMANTE . El personal se va a volver loco, trabajando en esa condiciones. Pasan las horas y los pacientes no se atienden en urgencias. paso de dar mas detalles porque la lista es interminable. Pongo una estrella por respeto al personal sanitario. Hacienda nos pisa el cuello para engordar a un estado obeso y tener una sanidad publica tercermundista. No hace falta viajar al tercer mundo, ya estamos en él a nivel sanitario.","Filthy intolerable and vomiting attention. THE LACK OF MEDIA IS ALARMING. The staff is going to go crazy, working in those conditions. Hours pass and patients are not treated in the emergency room. I'm going to give more details because the list is endless. I put a star out of respect for the healthcare personnel. The Treasury is stepping on our necks to make an obese state fat and have third-world public health. There is no need to travel to the third world, we are already there at a health level.",
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURobGZxU25nRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDhlfqSngE%7CCgwIqdC-oAYQ6LyFqgI%7C?hl=en-US,1.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURobGZxU25nRRAB,"Cuatro horas esperando en la sala de espera de urgencias a ser atendidos y NADA!! Ni siquiera nos han atendido ni ayudado. Eso si, 10€ de parking de regalo!! Basura de sanidad pública",5.0,Vane83 83,https://www.google.com/maps/contrib/111173033576234965094?hl=en-US,111173033576234965094,https://lh3.googleusercontent.com/a/ACg8ocJgVNqyszNj8MApMYyKn5MLetQJkbiEuxcplzdlqYNr=s40-c-rp-mo-ba4-br100,True,67,30.0,"Cuatro horas esperando en la sala de espera de urgencias a ser atendidos y NADA!! Ni siquiera nos han atendido ni ayudado. Eso si, 10€ de parking de regalo!! Basura de sanidad pública","Four hours waiting in the emergency waiting room to be treated and NOTHING!! They have not even attended to us or helped us. Of course, €10 parking as a gift!! Public health waste",
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURobGJTdzFBRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDhlbSw1AE%7CCgwIr7G-oAYQgOyrsAM%7C?hl=en-US,5.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURobGJTdzFBRRAB,,,Adrian M.,https://www.google.com/maps/contrib/104597864416532514205?hl=en-US,104597864416532514205,https://lh3.googleusercontent.com/a/ACg8ocLvw9I1GQmL5St8p3J2YJxHQqS5F7krYLG26ASMbpiG=s40-c-rp-mo-ba4-br100,True,23,3.0,,,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURod2N1OEdnEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDhwcu8Gg%7CCgsI_P-soAYQ-JGeQw%7C?hl=en-US,5.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURod2N1OEdnEAE,,,Luis García,https://www.google.com/maps/contrib/118092113387582097721?hl=en-US,118092113387582097721,https://lh3.googleusercontent.com/a-/ALV-UjWefQIvtfNiZmG33qpOvNrlRe5V5Yipi3jyFC2VKsU_sjo=s40-c-rp-mo-ba5-br100,True,98,657.0,,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoZ2YyRTBRRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDhgf2E0QE%7CCgwI7Y2soAYQ-PnqqQE%7C?hl=en-US,5.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoZ2YyRTBRRRAB,"Mi nombre es Teresa Alonso Fuentes.
Me operaron ayer de un hernia inguinal, quisiera dar las gracias ha todo el personal que estuvo con migo en todo momento, por su profesionalidad, simpatía y todas las dudas me las aclaranon con mucha profesionalidad,.
Gracias para estás personas y grandes profesionales .",3.0,lirio tulipan,https://www.google.com/maps/contrib/111815678885552199833?hl=en-US,111815678885552199833,https://lh3.googleusercontent.com/a/ACg8ocL5rtlPDKwL1W1JWQXAMFNVMvSM8OBW6gWtjEHGy3sr=s40-c-rp-mo-br100,,6,,"Mi nombre es Teresa Alonso Fuentes.
Me operaron ayer de un hernia inguinal, quisiera dar las gracias ha todo el personal que estuvo con migo en todo momento, por su profesionalidad, simpatía y todas las dudas me las aclaranon con mucha profesionalidad,.
Gracias para estás personas y grandes profesionales .","My name is Teresa Alonso Fuentes.
I had surgery yesterday for an inguinal hernia, I would like to thank all the staff who were with me at all times, for their professionalism, friendliness and they clarified all my doubts with great professionalism.
Thank you for these people and great professionals.",
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoaHJYNmxRRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDhhrX6lQE%7CCgwI5v6boAYQ2Kyc0AM%7C?hl=en-US,1.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoaHJYNmxRRRAB,"Es una vergüenza de hospital, te contestan mal, algunos ni te contestan, te cancelan y anulan citas porque les da la gana y encima no te dan solucion, es un caos de hospital y no sirve para nada",2.0,carlos palazuelos centenera,https://www.google.com/maps/contrib/105292822078892408221?hl=en-US,105292822078892408221,https://lh3.googleusercontent.com/a/ACg8ocJD1ZDjHoeLr0gV8MHC7y01ckHDijXGBlulv7DGgXUM=s40-c-rp-mo-br100,,5,,"Es una vergüenza de hospital, te contestan mal, algunos ni te contestan, te cancelan y anulan citas porque les da la gana y encima no te dan solucion, es un caos de hospital y no sirve para nada","It's a disgraceful hospital, they answer you badly, some don't even answer you, they cancel and cancel appointments because they feel like it and on top of that they don't give you a solution, it's a hospital chaos and it's useless.",
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURocXRYbVJBEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDhqtXmRA%7CCgwI1PWWoAYQgPD-jAE%7C?hl=en-US,1.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURocXRYbVJBEAE,"Ayer pase por Urgencias ya que era domingo y no podia asistir a mi centro de salud,la doctora me mando ibuprofeno y paracetamol que no podia mandarme nada mas,hoy voy a mi medico de cabezera y sorpresa,me manda antibiotico y algidol,menos mal que no era nada.Pesima esa doctora....",3.0,Nuria,https://www.google.com/maps/contrib/107713433617376958701?hl=en-US,107713433617376958701,https://lh3.googleusercontent.com/a-/ALV-UjWjRlsnilRSZ9GHub2jQlivGi_fZ4gDQklMNVeV_1i9eF70=s40-c-rp-mo-br100,,9,2.0,"Ayer pase por Urgencias ya que era domingo y no podia asistir a mi centro de salud,la doctora me mando ibuprofeno y paracetamol que no podia mandarme nada mas,hoy voy a mi medico de cabezera y sorpresa,me manda antibiotico y algidol,menos mal que no era nada.Pesima esa doctora....","Yesterday I went to the emergency room since it was Sunday and I couldn't go to my health center. The doctor sent me ibuprofen and paracetamol, which she couldn't send me anything else. That was nothing. That doctor was terrible...",
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoZ3BTNW9nRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDhgpS5ogE%7CCgsIifiMoAYQoOimBw%7C?hl=en-US,2.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoZ3BTNW9nRRAB,Esto es vergonzoso. Dos dias en una présala con 12 pacientes y a la espera sin saber cuando te toca de habitación. Nadie sabe nada. Esta es nuestra asistencia sanitaria donde al paciente se le trata como si estuviera por gusto en un hospital,2.0,Pilar Barba Cáceres,https://www.google.com/maps/contrib/100003246980211022472?hl=en-US,100003246980211022472,https://lh3.googleusercontent.com/a/ACg8ocKq6E9hXDTrqRaczExNs2QqimiNeydRpYVQqQkyB4AQ=s40-c-rp-mo-br100,,31,,Esto es vergonzoso. Dos dias en una présala con 12 pacientes y a la espera sin saber cuando te toca de habitación. Nadie sabe nada. Esta es nuestra asistencia sanitaria donde al paciente se le trata como si estuviera por gusto en un hospital,This is shameful. Two days in a presala with 12 patients and waiting without knowing when it's your turn to get a room. Nobody knows anything. This is our healthcare where the patient is treated as if they were in a hospital for pleasure.,
