,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,images,likes
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUROMmVXZGRnEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDN2eWddg%7CCgwIqPrDrQYQsKvaigM%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUROMmVXZGRnEAE,"En urgencias, de las 6 consultas solo atienden en una, es vergonzoso la sanidad que tenemos.Después de estar allí más de seis horas, los resultados de un test no pude saberlos porque el médico de urgencias Manuel San José abandonó su puesto de trabajo y desapareció, la chica de admisión y otro grupo de triaje que se lo estaban pasando muy bien tampoco fueron capaces de levantarse e intentar hacer algo más. Con las manos vacías desde las 23:30  hasta las 6 de la mañana. ¿Defender la sanidad pública? ¿Calidad humana de nuestros médicos y personal sanitario? Anoche no sentí nada de eso.",D. C.,https://www.google.com/maps/contrib/116923256827594495083?hl=en-US,116923256827594495083,https://lh3.googleusercontent.com/a/ACg8ocKmfZQSxIS8zu3MeMMdRysIlnLPhqEKalV_IUJUXlIs=s40-c-rp-mo-ba4-br100,True,116,28.0,"En urgencias, de las 6 consultas solo atienden en una, es vergonzoso la sanidad que tenemos.Después de estar allí más de seis horas, los resultados de un test no pude saberlos porque el médico de urgencias Manuel San José abandonó su puesto de trabajo y desapareció, la chica de admisión y otro grupo de triaje que se lo estaban pasando muy bien tampoco fueron capaces de levantarse e intentar hacer algo más. Con las manos vacías desde las 23:30  hasta las 6 de la mañana. ¿Defender la sanidad pública? ¿Calidad humana de nuestros médicos y personal sanitario? Anoche no sentí nada de eso.","In the emergency room, of the 6 consultations they only attend to one, the healthcare we have is shameful. After being there for more than six hours, I could not know the results of a test because the emergency doctor Manuel San José left his job and disappeared, the intake girl and another triage group who were having a great time were also not able to get up and try to do anything else. Empty-handed from 11:30 p.m. to 6 a.m. Defend public health? Human quality of our doctors and health personnel? Last night I didn't feel any of that.",,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUROanVxTWN3EAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDNjuqMcw%7CCgwIx7G5rQYQwLHn5wE%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUROanVxTWN3EAE,No echo la culpa al personal pero un familiar tenia una radiografia a las 11.20 y son las 13 horas y aun no se le han hecho. Estan con retrasos de 2 horas para una placa. Desastre de hospital,Miguel Angel De Pablo Solsona,https://www.google.com/maps/contrib/106748959906492243271?hl=en-US,106748959906492243271,https://lh3.googleusercontent.com/a/ACg8ocI-oliAI1iLOVUhHYzz4aC-L77cXKACmRwsrZfmGKhx=s40-c-rp-mo-br100,,16,36.0,No echo la culpa al personal pero un familiar tenia una radiografia a las 11.20 y son las 13 horas y aun no se le han hecho. Estan con retrasos de 2 horas para una placa. Desastre de hospital,"I don't blame the staff, but a family member had an x-ray at 11:20 and it's 1:00 p.m. and it hasn't been done yet. They are 2 hours late for a plate. hospital disaster",,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN4OU5maVNnEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICx9NfiSg%7CCgwIorawrQYQ-Pa7tgI%7C?hl=en-US,3.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN4OU5maVNnEAE,"Estuve ingresada en urgencias, en unos box que son para ingresos de corta estancia, después en preingresos para finalmente y después de 4 días acabar en planta.
En urgencias los aseos fatal!! Uno para pacientes y acompañantes. Tienes que esperar mucho y aunque los limpian, siempre andan sucios. Los otros aseos están distanciados de urgencias central. Los box almenos en el que yo estuve 6 horas, sucio.  Botella con orina encima de uno de los mobiliarios que disponen para trabajar los sanitarios,  gasas por el suelo, sangre caída por los laterales del sillón que me tocó. Camillas que aunque hay que dar gracias que las convierten en camas, eso es inhumano... soy una persona obesa por enfermedades.... no podía apenas moverme... vergonzoso. Ahí ponía yo a los que subsanan el problema colocando  camillas... en planta: estuve en la segunda zona D. Muchísimo ruido por los pasillos.  Entran desordenadamente y constantemente en las habitaciones y te sobresaltan.  Que si para las atenciones de los pacientes que ahí se entiende. Pero no que entren gritando. Después que si para dejar la ropa de lencería para el día siguiente, que si para la limpieza, entiendo que me pilló la huelga de médicos, enfermería y las nuevas incorporaciones. Pero a quien concierna porfavor reforzar todos los servicios.  Las cameras y  limpieza van l@s pobres a mil... no dan a basto.  En mi caso muy mala coordinación con mi medicación pautada en crónicos y a la hora de distribuir. Tengo en ayunas 2. Después de casi rogar, me traían 1. La otra caso después del desayuno y aun así,  me faltaba mi medicación habitual. Que si te dicen que te hacen analíticas en la mañana, luego que si algunos médicos se les olvida dejarlo anotado así también como algunas pruebas.
Demasiadas visitas en algunas habitaciones lo cual interfiere en el descanso del paciente que bastante desgracia tiene ya un@ de estar hospitalizados como para soportar ruido, calor, stres. Las ingestas de comidas para mi bien. Calidad, cantidad, variedad.  Poca limpieza en la cubertería. Las duchas de las habitaciones un horror!! No tienen caída hacía el desagüe y se inundan. Las de ciertas zonas de urgencias algo mejor. Pero al ser compartidas es un puñetero estrés. Se nota que es un hospital ubicado en zona de clase obrera.... cuando por desgracia he ingresado en otros, tienes hasta una tablet con wifi para enfermos por cama. Siendo hospitales concertados. Y claro! En zonas céntricas o periferia.... escribo ésta reseña, con el fin de poder hacer que esto llegue a quien debe y que porfavor lo solucione ya que el día de mañana podría ser usted o uno de los suyos. Ahh yo se al 100% no te vas curada a casa.... pero en mi caso, muchas prisas por darme alta padeciendo una neumonia y sin haberme leído el resultado de las dos últimas pruebas... se que se necesitan camas... pero será mejor una buena recuperación que no recaídas y tener que volver al hospital??  Deseo y espero que sirva.",Nebenka Uriarte Uriarte,https://www.google.com/maps/contrib/108458420927277257538?hl=en-US,108458420927277257538,https://lh3.googleusercontent.com/a-/ALV-UjUOAuMKyMZ_YGEBJXLzaU2sWLqYqfLB4kn2MOvwhyFsz2sd=s40-c-rp-mo-ba4-br100,True,140,144.0,"Estuve ingresada en urgencias, en unos box que son para ingresos de corta estancia, después en preingresos para finalmente y después de 4 días acabar en planta.
En urgencias los aseos fatal!! Uno para pacientes y acompañantes. Tienes que esperar mucho y aunque los limpian, siempre andan sucios. Los otros aseos están distanciados de urgencias central. Los box almenos en el que yo estuve 6 horas, sucio.  Botella con orina encima de uno de los mobiliarios que disponen para trabajar los sanitarios,  gasas por el suelo, sangre caída por los laterales del sillón que me tocó. Camillas que aunque hay que dar gracias que las convierten en camas, eso es inhumano... soy una persona obesa por enfermedades.... no podía apenas moverme... vergonzoso. Ahí ponía yo a los que subsanan el problema colocando  camillas... en planta: estuve en la segunda zona D. Muchísimo ruido por los pasillos.  Entran desordenadamente y constantemente en las habitaciones y te sobresaltan.  Que si para las atenciones de los pacientes que ahí se entiende. Pero no que entren gritando. Después que si para dejar la ropa de lencería para el día siguiente, que si para la limpieza, entiendo que me pilló la huelga de médicos, enfermería y las nuevas incorporaciones. Pero a quien concierna porfavor reforzar todos los servicios.  Las cameras y  limpieza van l@s pobres a mil... no dan a basto.  En mi caso muy mala coordinación con mi medicación pautada en crónicos y a la hora de distribuir. Tengo en ayunas 2. Después de casi rogar, me traían 1. La otra caso después del desayuno y aun así,  me faltaba mi medicación habitual. Que si te dicen que te hacen analíticas en la mañana, luego que si algunos médicos se les olvida dejarlo anotado así también como algunas pruebas.
Demasiadas visitas en algunas habitaciones lo cual interfiere en el descanso del paciente que bastante desgracia tiene ya un@ de estar hospitalizados como para soportar ruido, calor, stres. Las ingestas de comidas para mi bien. Calidad, cantidad, variedad.  Poca limpieza en la cubertería. Las duchas de las habitaciones un horror!! No tienen caída hacía el desagüe y se inundan. Las de ciertas zonas de urgencias algo mejor. Pero al ser compartidas es un puñetero estrés. Se nota que es un hospital ubicado en zona de clase obrera.... cuando por desgracia he ingresado en otros, tienes hasta una tablet con wifi para enfermos por cama. Siendo hospitales concertados. Y claro! En zonas céntricas o periferia.... escribo ésta reseña, con el fin de poder hacer que esto llegue a quien debe y que porfavor lo solucione ya que el día de mañana podría ser usted o uno de los suyos. Ahh yo se al 100% no te vas curada a casa.... pero en mi caso, muchas prisas por darme alta padeciendo una neumonia y sin haberme leído el resultado de las dos últimas pruebas... se que se necesitan camas... pero será mejor una buena recuperación que no recaídas y tener que volver al hospital??  Deseo y espero que sirva.","I was admitted to the emergency room, in a box that is for short-stay admissions, then in pre-admissions to finally end up on the ward after 4 days.
In the emergency room the toilets are fatal!! One for patients and companions. You have to wait a long time and even though they clean them, they are always dirty. The other toilets are distanced from the central emergency room. The box, at least the one I was in for 6 hours, was dirty. Bottle of urine on top of one of the furniture that the restrooms have for working, gauze on the floor, blood falling down the sides of the chair that touched me. Stretchers that although we have to be thankful that they turn them into beds, that is inhumane... I am an obese person due to illnesses... I could barely move... shameful. There I put those who correct the problem by placing stretchers... on the floor: I was in the second zone D. A lot of noise in the hallways. They constantly and disorderly enter rooms and startle you. Yes, for the care of patients, that is understood there. But don't let them come in screaming. Then yes to leave the lingerie for the next day, yes to cleaning, I understand that the strike of doctors, nursing and the new hires caught me. But to whom it concerns, please reinforce all services. The cameras and cleaning are going to the poor... they are not enough. In my case, very poor coordination with my medication prescribed for chronic patients and when distributing. I have 2 fasting. After almost begging, they brought me 1. The other case after breakfast and even then, I was missing my usual medication. What if they tell you that they do tests in the morning, then if some doctors forget to write it down as well as some tests.
Too many visitors in some rooms which interferes with the rest of the patient who is already unfortunate enough to be hospitalized to endure noise, heat, stress. Meal intakes for my good. Quality, quantity, variety. Poor cleaning of the cutlery. The showers in the rooms are horrible!! They do not fall into the drain and they flood. Those in certain emergency areas somewhat better. But when they are shared it is a damn stress. It is clear that it is a hospital located in a working class area.... when unfortunately I have been admitted to others, you even have a tablet with Wi-Fi for patients per bed. Being subsidized hospitals. And of course! In central areas or outskirts... I am writing this review, in order to be able to get this to whoever it should and to please solve it since tomorrow it could be you or one of yours. Ahh, I know 100% that you are not going home cured.... but in my case, there was a lot of rush to get discharged suffering from pneumonia and without having read the results of the last two tests... I know that beds are needed... .but a good recovery will be better than not relapses and having to return to the hospital?? I hope and hope it helps.","['https://lh5.googleusercontent.com/p/AF1QipPdMFd-VUY2wGA287MFkss1ar8KjokbRMa2B9cw=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPklJQrp6MZEOfrgSGKazxbM2roMRKer2NCp9qT=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMvOg3aP63kir3ZrdCuHV8swucVKI_-kidLQ5gd=w100-h100-p-n-k-no']",1.0
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUROd01lUEN3EAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDNwMePCw%7CCgwIm_iqrQYQwKD6qAI%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUROd01lUEN3EAE,Que triste me siento el día de hoy a pesar de estar muy enfermo con una tos intensa y cada vez peor no me quisieron atender en admisión por ser inmigrante gracias por la amabilidad y la hospitalidad prestada por ustedes,Omaira Paola Pérez Morales,https://www.google.com/maps/contrib/110571190032322389494?hl=en-US,110571190032322389494,https://lh3.googleusercontent.com/a-/ALV-UjVNcxeeibeeEzIatPYJ-K0-BFRJBvsOezphOL_QHXMrbA=s40-c-rp-mo-br100,,8,,Que triste me siento el día de hoy a pesar de estar muy enfermo con una tos intensa y cada vez peor no me quisieron atender en admisión por ser inmigrante gracias por la amabilidad y la hospitalidad prestada por ustedes,How sad I feel today despite being very sick with an intense cough and it getting worse. They did not want to treat me in admission because I was an immigrant. Thank you for the kindness and hospitality provided by you.,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNOMGRHWTNBRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICN0dGY3AE%7CCgwI2deXrQYQgO_M_gE%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNOMGRHWTNBRRAB,"Fui remitida al Dpto. de Cardiología del Hospital Universitario Infanta Leonor para un revisión y no tengo más palabras sino agradecimiento por la buena atención y profesionalismo del personal. Es cierto que la cantidad de pacientes es bastante considerable, aún así todo marcha
rápido y sin problemas. Felicitaciones España !!",Elba Pazos,https://www.google.com/maps/contrib/112384768305449723580?hl=en-US,112384768305449723580,https://lh3.googleusercontent.com/a-/ALV-UjVo84VNqei-MUfCt0BKFxcnEcgavb-mbMp38OEYd8QEWnih=s40-c-rp-mo-ba7-br100,True,729,8866.0,"Fui remitida al Dpto. de Cardiología del Hospital Universitario Infanta Leonor para un revisión y no tengo más palabras sino agradecimiento por la buena atención y profesionalismo del personal. Es cierto que la cantidad de pacientes es bastante considerable, aún así todo marcha
rápido y sin problemas. Felicitaciones España !!","I was referred to the Cardiology Department of the Infanta Leonor University Hospital for a check-up and I have no words other than gratitude for the good care and professionalism of the staff. It is true that the number of patients is quite considerable, yet everything is going well
fast and without problems. Congratulations Spain!!","['https://lh5.googleusercontent.com/p/AF1QipPjf92qGa9EWcyNjKV7l13MiDseBdRbotXFiAxq=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP21Cti1trMNXOK369SzXUzBvPC9PzeusZbBun6=w100-h100-p-n-k-no']",1.0
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxdXRTN093EAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIC1utS7Ow%7CCgwIkLKWrQYQuJfg2gE%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUMxdXRTN093EAE,"Este hospital es lo peor el trato es denigrante hacia a los pacientes, no sé ni cómo se llama hospital lo tenían encima tienen las últimas plantas cerradas para que no se usen como habitaciones vergonzoso deberían cerrarlo directamente.",Fulanitodetal,https://www.google.com/maps/contrib/115370921706854070200?hl=en-US,115370921706854070200,https://lh3.googleusercontent.com/a-/ALV-UjWXpvP44d2-QVwl5hfNMmfIDK-hi7IkxQcFUlEEG5hMWg=s40-c-rp-mo-ba4-br100,True,111,2.0,"Este hospital es lo peor el trato es denigrante hacia a los pacientes, no sé ni cómo se llama hospital lo tenían encima tienen las últimas plantas cerradas para que no se usen como habitaciones vergonzoso deberían cerrarlo directamente.","This hospital is the worst, the treatment of the patients is degrading, I don't even know what the name of the hospital is, they had it on top, they have the top floors closed so that they are not used as rooms, shameful, they should close it directly.",,2.0
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNOMlA3S1FBEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICN2P7KQA%7CCgsI-suBrQYQsL2dTw%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNOMlA3S1FBEAE,"Urgencias pediatricas:enfermeras y personal maravilloso,pediatra de nombre Lucia,empatia cero y trato seco y sin ganas…no se los demas,pero yo no voy por la noche,en pijama con mi hija por gusto a molestar,voy en busca de un profesional que me ayude,me explique y me entienda…y lo siento pero ayer no lo encontre…",maria del pozo,https://www.google.com/maps/contrib/111079549629405515459?hl=en-US,111079549629405515459,https://lh3.googleusercontent.com/a-/ALV-UjVAX2iysxn76RWCI34GKFo-j9lVIH3MG8jfRAii8nCLzng=s40-c-rp-mo-ba4-br100,True,64,153.0,"Urgencias pediatricas:enfermeras y personal maravilloso,pediatra de nombre Lucia,empatia cero y trato seco y sin ganas…no se los demas,pero yo no voy por la noche,en pijama con mi hija por gusto a molestar,voy en busca de un profesional que me ayude,me explique y me entienda…y lo siento pero ayer no lo encontre…","Pediatric emergencies: wonderful nurses and staff, pediatrician named Lucia, zero empathy and dry and unwilling treatment... I don't know about the rest, but I don't go at night, in my pajamas with my daughter for the pleasure of bothering, I'm looking for a professional to help me, explain and understand me... and I'm sorry but I couldn't find it yesterday...",,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoaHJHV1FBEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDhhrGWQA%7CCgwIkaj_rAYQuPyEogM%7C?hl=en-US,5.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoaHJHV1FBEAE,Atención  sanitaria genial el servicio de mostrador para pedir justificantes de l trabajo penoso tardas más que en la consulta es desesperante que los sellen en consulta como hacían antes,Toñi Martinez Escobar,https://www.google.com/maps/contrib/112777419952620479801?hl=en-US,112777419952620479801,https://lh3.googleusercontent.com/a/ACg8ocJsJe--bP9tye0VGj41_kJgVl3sIFHwryWs4ieWaHnD=s40-c-rp-mo-br100,,4,,Atención  sanitaria genial el servicio de mostrador para pedir justificantes de l trabajo penoso tardas más que en la consulta es desesperante que los sellen en consulta como hacían antes,"Great health care, the counter service to ask for proof of hard work, it takes longer than in the consultation, it is exasperating that they stamp them in the consultation as they did before",,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQxdkp5X2tnRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgID1vJy_kgE%7CCgwIh4HsrAYQsJbLwQE%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQxdkp5X2tnRRAB,Quiero dar las gracias al maravilloso equipo de urgencias pediátricas demuestran profesionalidad empatía van más allá. con mi niño le hicieron agradable un momento desagradable y también al equipo de hospitalización pediátrica del piso 3 nos tocó pasar reyes ingresados y gracias a la atención el niño se sintió muy bien personas como ustedes( equipo de pediatría Dras. y enfermeras ) marcan la diferencia son increíbles  gracias y mi mas sincera en hora buena no cambien nunca,gabriela sanchez,https://www.google.com/maps/contrib/105533979489790212682?hl=en-US,105533979489790212682,https://lh3.googleusercontent.com/a-/ALV-UjU1fpGN6JGUE_kxnMmOnPC_ceZgCa8K8P5dDkW0N9b-CW4=s40-c-rp-mo-ba5-br100,True,216,367.0,Quiero dar las gracias al maravilloso equipo de urgencias pediátricas demuestran profesionalidad empatía van más allá. con mi niño le hicieron agradable un momento desagradable y también al equipo de hospitalización pediátrica del piso 3 nos tocó pasar reyes ingresados y gracias a la atención el niño se sintió muy bien personas como ustedes( equipo de pediatría Dras. y enfermeras ) marcan la diferencia son increíbles  gracias y mi mas sincera en hora buena no cambien nunca,"I want to thank the wonderful pediatric emergency team, they demonstrate professionalism, empathy, they go above and beyond. With my child, they made an unpleasant moment pleasant and also for the pediatric hospitalization team on the 3rd floor, we had to go through several hospitalizations and thanks to the care the child felt very good, people like you (pediatrics team, doctors and nurses) make a difference They are incredible, thank you and my most sincere hope, never change.","['https://lh5.googleusercontent.com/p/AF1QipNzgNh6U98858r5fw4DMEJGD6qEDS6ajHUe53oc=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOdlDkS6FHhDCxZVyvbKEEC1Zg4xigZvlCYTyPF=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMvMj8ftsfRr19fUPSbPxq54va9DqP9hL0ph6M_=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMSmPh-Fet5NbSYz2jClMP-Ki3PztZANhVFC17_=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP83wAOYJe5k0MksaLNkmIYLCKuRxTdbljziqvn=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOEcNpGPhSBC2rlK8-zJIgNNQ0rKI4MwxneSqZW=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMyouXwz-1h47HiZllLdoZSf3TDyH77HOEFjPnt=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOMGn0drk1xfedb3jx5y7VoAeunSIkjRU05tEpy=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMesIhfaCCiprT1ReOINdYw2z_KFQWui2e_cit2=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOKl_5RfM1VN2VidZYMwV5yp3PNGFSzWy6rXteS=w100-h100-p-n-k-no']",3.0
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQxdm9mbDR3RRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgID1vofl4wE%7CCgwI6LHqrAYQiIrBrQI%7C?hl=en-US,2.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQxdm9mbDR3RRAB,"Siendo un hospital prácticamente nuevo,solo tiene 15 años , está demasiado sucio la limpieza en las habitaciones deja mucho que desear aunque teniendo en cuenta que no pasan todos los días no es de extrañar",paz fernandez,https://www.google.com/maps/contrib/116440958208219764093?hl=en-US,116440958208219764093,https://lh3.googleusercontent.com/a/ACg8ocIpBo_7BCnPpQR7u0mvwtK94VixVa01Vga70KAMkWra=s40-c-rp-mo-br100,,4,,"Siendo un hospital prácticamente nuevo,solo tiene 15 años , está demasiado sucio la limpieza en las habitaciones deja mucho que desear aunque teniendo en cuenta que no pasan todos los días no es de extrañar","Being a practically new hospital, it is only 15 years old, it is too dirty, the cleanliness in the rooms leaves a lot to be desired although taking into account that they do not come every day it is not surprising",,1.0
