,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkOThxcktnEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICd98qrKg%7CCgwI7sbMrgYQ8KOUtwM%7C?hl=en-US,1.0,a week ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkOThxcktnEAE,"Quería dejar mi experiencia con la especialidad de reumatología de este hospital. Primero fui atendida por una residente de una forma excepcional, me exploró, me hizo todo tipo de preguntas, etc... cuando ya tuvo que dar un diagnóstico llamó a su superior (normal y comprensible), y aquí apareció la Dra. Cobo reumatóloga y profesora en la Universidad muy importante me dejó bien clarito, que le bastó con 2 cosas q le preguntó a la médico residente porque no la dejó hablar más, que lo q tenía era por falta de una hormona, así sin prueba alguna, le dije que ya tomaba un suplemento respondiéndome ""pues toma más""!!
Ni una analítica, ni rx, naaaada!
Una pastillita para dormir mejor, y nada de volver a consulta a revisión.
Con esto mejoras, y sino pues que te vaya bien!!
Aún sigo en shock Dra. Cobo profesora en Universidad, deplorable su atención médica, profesión, mejor quédese en casa guapa!!",2.0,Mamen,https://www.google.com/maps/contrib/114614004241082681981?hl=en-US,114614004241082681981,https://lh3.googleusercontent.com/a-/ALV-UjUysCHccguuCQRvN3Z2yp_LN8FursX0HLNgMpLSRJDk5tY=s40-c-rp-mo-ba2-br100,True,33,1.0,"Quería dejar mi experiencia con la especialidad de reumatología de este hospital. Primero fui atendida por una residente de una forma excepcional, me exploró, me hizo todo tipo de preguntas, etc... cuando ya tuvo que dar un diagnóstico llamó a su superior (normal y comprensible), y aquí apareció la Dra. Cobo reumatóloga y profesora en la Universidad muy importante me dejó bien clarito, que le bastó con 2 cosas q le preguntó a la médico residente porque no la dejó hablar más, que lo q tenía era por falta de una hormona, así sin prueba alguna, le dije que ya tomaba un suplemento respondiéndome ""pues toma más""!!
Ni una analítica, ni rx, naaaada!
Una pastillita para dormir mejor, y nada de volver a consulta a revisión.
Con esto mejoras, y sino pues que te vaya bien!!
Aún sigo en shock Dra. Cobo profesora en Universidad, deplorable su atención médica, profesión, mejor quédese en casa guapa!!","I wanted to share my experience with the rheumatology specialty at this hospital. First I was treated by a resident in an exceptional way, she examined me, asked me all kinds of questions, etc... when she had to give a diagnosis, she called her superior (normal and understandable), and here Dr. Cobo, a rheumatologist, appeared. and a very important professor at the University made it very clear to me that it was enough for her with 2 things that she asked the resident doctor because she didn't let her talk anymore, that what she had was due to a lack of a hormone, so without any proof, I told her who was already taking a supplement, answering me ""well, take more""!!
Not an analysis, not an x-ray, naaaada!
A little pill to sleep better, and no more visits for check-ups.
With this you improve, and if not, then good luck to you!!
I'm still in shock Dr. Cobo, professor at the University, your medical care, profession is deplorable, better stay home beautiful!!",
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkdmF2YkZnEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICdvavbFg%7CCgsIta_DrgYQgNbXEQ%7C?hl=en-US,1.0,a week ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkdmF2YkZnEAE,"Hospital peor que lamentable.
Vas un día a urgencias y te dicen que no tienes nada. Vuelves a los 2 días roto de dolor y te dicen que cómo has aguantado tanto.
Al conjunto de médicos y enfermeros que se dedican a dar un trato así les deseo el peor de los dolores y ser tratados por profesionales a su altura, a lo mejor así espabilaban un poquito y se dejaban de tanto lloriquear para vivir del cuento y tomar cafecitos cada medio hora.",2.0,Rober,https://www.google.com/maps/contrib/109891482893275844573?hl=en-US,109891482893275844573,https://lh3.googleusercontent.com/a-/ALV-UjUas0CuMrT_-ZOc3HXjxn5SJ6Yb7TJyMnykmvDXpMAJJ9c=s40-c-rp-mo-ba4-br100,True,132,3.0,"Hospital peor que lamentable.
Vas un día a urgencias y te dicen que no tienes nada. Vuelves a los 2 días roto de dolor y te dicen que cómo has aguantado tanto.
Al conjunto de médicos y enfermeros que se dedican a dar un trato así les deseo el peor de los dolores y ser tratados por profesionales a su altura, a lo mejor así espabilaban un poquito y se dejaban de tanto lloriquear para vivir del cuento y tomar cafecitos cada medio hora.","Hospital worse than pitiful.
You go to the emergency room one day and they tell you that you have nothing. You come back after 2 days broken with pain and they tell you how you have endured so much.
To the group of doctors and nurses who are dedicated to providing treatment like this, I wish them the worst of pain and to be treated by professionals at their level. Maybe this way they would wake up a little and stop whining so much to live off the story and drink coffee. every half hour.",
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkMmZxeGtRRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICd2fqxkQE%7CCgwIi7i9rgYQ4I7VngI%7C?hl=en-US,5.0,2 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNkMmZxeGtRRRAB,"El día 10 de Febrero acudimos al servicio de urgencias y nos atendió extraordinariamente la Doctora Ana Isabel Nogales y la enfermera Verónica Benito, nada que ver con el trato recibido el día 7. Muchísimas gracias por vuestra profesionalidad . Hoy acudimos otra vez por una caída y María Isabel Fonteboa y la doctora Teresa Mendozay Patricia Portillo, Noemí Fríasy la alumna de enfermería Claudia Molina mejor trato imposible , muchísimas gracias a todas.",,Carmen De La Vera,https://www.google.com/maps/contrib/116469738971571720723?hl=en-US,116469738971571720723,https://lh3.googleusercontent.com/a/ACg8ocIIzX9E4VMVrjeKKMR8l4XoTVNiAK1L4qyOtO63TM_A=s40-c-rp-mo-br100,,1,,"El día 10 de Febrero acudimos al servicio de urgencias y nos atendió extraordinariamente la Doctora Ana Isabel Nogales y la enfermera Verónica Benito, nada que ver con el trato recibido el día 7. Muchísimas gracias por vuestra profesionalidad . Hoy acudimos otra vez por una caída y María Isabel Fonteboa y la doctora Teresa Mendozay Patricia Portillo, Noemí Fríasy la alumna de enfermería Claudia Molina mejor trato imposible , muchísimas gracias a todas.","On February 10 we went to the emergency service and were treated extraordinarily by Doctor Ana Isabel Nogales and nurse Verónica Benito, nothing like the treatment received on the 7th. Thank you very much for your professionalism. Today we went again due to a fall and María Isabel Fonteboa and Dr. Teresa Mendozay Patricia Portillo, Noemí Frías and the nursing student Claudia Molina gave the best possible treatment, thank you all very much.",
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNka2Y3OFFnEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICdkf78Qg%7CCgwI9Zi6rgYQ6NLXqAI%7C?hl=en-US,1.0,2 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNka2Y3OFFnEAE,"La experiencia en urgencias vergonzosa, estuve 14 horas con mi padre que tiene 84 años, estuvo sentado en una silla todas esas horas. Yo he tenido que ir al de Villalba al traumatólogo porque me daban casi un año para atenderme y eso con una lesión que no me permitía apenas caminar. En fin, claro ejemplo de cómo día tras día se desmantela la seguridad social.",1.0,Ana Gonzalez,https://www.google.com/maps/contrib/111502000614775176193?hl=en-US,111502000614775176193,https://lh3.googleusercontent.com/a-/ALV-UjVIPEa_HCxRkYo4TidEw8jKXKuGg0DirEaTxFUofaGTnT0=s40-c-rp-mo-br100,,11,,"La experiencia en urgencias vergonzosa, estuve 14 horas con mi padre que tiene 84 años, estuvo sentado en una silla todas esas horas. Yo he tenido que ir al de Villalba al traumatólogo porque me daban casi un año para atenderme y eso con una lesión que no me permitía apenas caminar. En fin, claro ejemplo de cómo día tras día se desmantela la seguridad social.","The experience in the emergency room was embarrassing, I spent 14 hours with my father who is 84 years old, he was sitting in a chair all those hours. I had to go to the traumatologist in Villalba because they gave me almost a year to treat me and that with an injury that barely allowed me to walk. In short, a clear example of how social security is dismantled day after day.",
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkaXNyeEVnEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICdisrxEg%7CCgwIz5KyrgYQ4OH6vQM%7C?hl=en-US,1.0,2 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkaXNyeEVnEAE,"No coloco cero estrella porque no tengo la opción, y aún así sería mucho. Tenía cita confirmada, había pedido permiso en el trabajo y todo (teniendo en cuenta que trabajo de cara al público y es un poco complicado con los permisos) vienen y me modifican la cita para cuando se les dio la gana, sin hablar de lo mal educada que fue la de atención al cliente cuando llamé diciéndole que porque me la han modificado si ya la tenía confirmada.  Da vergüenza el servicio sanitario de ese lugar.",,Erine Feliz,https://www.google.com/maps/contrib/106789973677360135379?hl=en-US,106789973677360135379,https://lh3.googleusercontent.com/a/ACg8ocLNm4xwYzUoeowxjNywl3nw8asd-3e-yJkeOB5AFzRL=s40-c-rp-mo-br100,,2,3.0,"No coloco cero estrella porque no tengo la opción, y aún así sería mucho. Tenía cita confirmada, había pedido permiso en el trabajo y todo (teniendo en cuenta que trabajo de cara al público y es un poco complicado con los permisos) vienen y me modifican la cita para cuando se les dio la gana, sin hablar de lo mal educada que fue la de atención al cliente cuando llamé diciéndole que porque me la han modificado si ya la tenía confirmada.  Da vergüenza el servicio sanitario de ese lugar.","I don't give zero stars because I don't have the option, and even then it would be a lot. I had a confirmed appointment, I had asked for leave at work and everything (taking into account that I work in front of the public and it is a bit complicated with permissions) they come and modify the appointment for me when they felt like it, not to mention how bad it was. The customer service was polite when I called, telling her why they changed it if I already had it confirmed. The health service in that place is shameful.",
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkekxmRWdBRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICdzLfEgAE%7CCgwIq-usrgYQwK307gI%7C?hl=en-US,1.0,2 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNkekxmRWdBRRAB,"El día 7 de Febrero acudí a urgencias con mi madre y nos atendió de manera pésima Rubiela Calderón Jacome , déspota, borde y sin oportunidad de réplica puesto que nos dejó con la palabra en la boca. Le dije que estaba falta de educación y su respuesta fue darse la vuelta y marcharse, vamos una falta de respeto en toda regla, nada profesional y sinceramente vergonzoso.",,Vito 87,https://www.google.com/maps/contrib/117555201823945944154?hl=en-US,117555201823945944154,https://lh3.googleusercontent.com/a-/ALV-UjWCmgAIKgufjvLrNWUjj-48-lcvDnUsww4Y_jiMkJQMLOs=s40-c-rp-mo-br100,,38,,"El día 7 de Febrero acudí a urgencias con mi madre y nos atendió de manera pésima Rubiela Calderón Jacome , déspota, borde y sin oportunidad de réplica puesto que nos dejó con la palabra en la boca. Le dije que estaba falta de educación y su respuesta fue darse la vuelta y marcharse, vamos una falta de respeto en toda regla, nada profesional y sinceramente vergonzoso.","On February 7, I went to the emergency room with my mother and Rubiela Calderón Jacome treated us in a terrible way, despotic, rude and with no opportunity for a reply since she left us speechless. I told him that it was rude and his response was to turn around and walk away, totally disrespectful, unprofessional and honestly embarrassing.",
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkNU9uZnFnRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICd5OnfqgE%7CCgsIn-WnrgYQwJubag%7C?hl=en-US,1.0,2 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNkNU9uZnFnRRAB,"Estoy hasta los co...nes, hace casi 2 años fui a la recepción para poner una queja de que me llamen de vuestro numero, ya fui varias veces, pero me canse de repetir mas, que soy sordo!. Que no puedo escuchar!!!, Se perfectamente que en la semana que viene tengo cita, porque tengo una app de citas previas automaticas, y vengo a decir que basta de putearme de mi sordera, porque con eso voy directamente a poner una denuncia!.",1.0,Geny Ma Co,https://www.google.com/maps/contrib/115445418312044072303?hl=en-US,115445418312044072303,https://lh3.googleusercontent.com/a-/ALV-UjXGiDUNOAEH2q8VwYrQKMC_ckJk6lD6F2GwBuru3NcEyA=s40-c-rp-mo-br100,,1,,"Estoy hasta los co...nes, hace casi 2 años fui a la recepción para poner una queja de que me llamen de vuestro numero, ya fui varias veces, pero me canse de repetir mas, que soy sordo!. Que no puedo escuchar!!!, Se perfectamente que en la semana que viene tengo cita, porque tengo una app de citas previas automaticas, y vengo a decir que basta de putearme de mi sordera, porque con eso voy directamente a poner una denuncia!.","I'm fed up... almost 2 years ago I went to the reception to complain about someone calling me from your number, I already went several times, but I got tired of repeating more, that I'm deaf! I can't hear!!! I know perfectly well that next week I have an appointment, because I have an app for automatic appointments, and I'm here to say that enough of telling me about my deafness, because with that I'm going directly to file a complaint! .",
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkNUk2V0xnEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICd5I6WLg%7CCgsI8NWnrgYQoMKjKA%7C?hl=en-US,5.0,2 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkNUk2V0xnEAE,"El mejor hospital del mundo, un trato genial, vine de urgencias por amigdalitis y me quedé la noche ingresada, estuvieron todos super atentos a mi, y no tardaron nada",,Paula B,https://www.google.com/maps/contrib/109999757976066460812?hl=en-US,109999757976066460812,https://lh3.googleusercontent.com/a/ACg8ocJqgEfwvGCyS7bpLnsbJmCBlCFvPAxdqcClJlWf50d8=s40-c-rp-mo-br100,,1,1.0,"El mejor hospital del mundo, un trato genial, vine de urgencias por amigdalitis y me quedé la noche ingresada, estuvieron todos super atentos a mi, y no tardaron nada","The best hospital in the world, great treatment, I came from the emergency room for tonsillitis and I was admitted overnight, everyone was super attentive to me, and it didn't take long at all",['https://lh5.googleusercontent.com/p/AF1QipPQhEYT9oBEDapk_oKXbCp-A7bYl9dN3Cp7LW4n=w100-h100-p-n-k-no']
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkc09ydllBEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICdsOrvYA%7CCgsIha-crgYQ0NbyXQ%7C?hl=en-US,1.0,3 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkc09ydllBEAE,"Sipquiatria las enfermeras muy amables,pero las doctoras pésimas, demasiado jóvenes, no tienen ni idea, mi problema no han sabido llevarlo, una vergüenza.",1.0,Salud Hernández,https://www.google.com/maps/contrib/102956395791269670377?hl=en-US,102956395791269670377,https://lh3.googleusercontent.com/a-/ALV-UjVVkk5GomSKsskAWwCl0nAiLPocti_1YXWC4pLgHSymH_Q=s40-c-rp-mo-br100,,1,,"Sipquiatria las enfermeras muy amables,pero las doctoras pésimas, demasiado jóvenes, no tienen ni idea, mi problema no han sabido llevarlo, una vergüenza.","In psychiatry, the nurses are very kind, but the doctors are terrible, too young, they have no idea, they have not known how to handle my problem, a shame.",
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR0al9Hbnh3RRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDtj_GnxwE%7CCgsIzpOSrgYQqIa3Vg%7C?hl=en-US,4.0,3 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUR0al9Hbnh3RRAB,Gracias al personal q nos atiende,,Julián Valentín Marín Triguero,https://www.google.com/maps/contrib/115542407089534963956?hl=en-US,115542407089534963956,https://lh3.googleusercontent.com/a-/ALV-UjUtsB_rs32gePVGnZ2-TthUvPWaHYWNbQeUK391E4L0W6ve=s40-c-rp-mo-ba5-br100,True,160,413.0,Gracias al personal q nos atiende,Thanks to the staff who assist us,
