,link,rating,date,source,review_id,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,user.photos,snippet,likes,user.local_guide,extracted_snippet.original,extracted_snippet.translated
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSaUxlMktnEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICRiLe2Kg%7CCgwIrLTyoAYQ4IiAvgE%7C?hl=en-US,4.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNSaUxlMktnEAE,Miriam Esteban,https://www.google.com/maps/contrib/106400301367177474574?hl=en-US,106400301367177474574,https://lh3.googleusercontent.com/a/ACg8ocLkslPf7LI4krzfoc9SUMGZNOjGu_XaVk0L59niB-GR=s40-c-rp-mo-br100,30,531.0,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSc05HbTJnRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICRsNGm2gE%7CCgsIwrnwoAYQiM_EVA%7C?hl=en-US,5.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNSc05HbTJnRRAB,Merche Vérez,https://www.google.com/maps/contrib/111357487945073111751?hl=en-US,111357487945073111751,https://lh3.googleusercontent.com/a-/ALV-UjXwZS8yAOyQO4kktDnLqDcetPF5sIkXhGoV4M7sdt7sMqw=s40-c-rp-mo-ba3-br100,17,3.0,"El doctor Ricardo Jesús Chico Chamorro dermatólogo de consultas externas, me paso consulta ayer después de una espera de varios meses, y tengo q decir q es un profesional cercano,eficaz,y resolutivo.Estoy encantada de su atención y profesionalidad.",1.0,True,"El doctor Ricardo Jesús Chico Chamorro dermatólogo de consultas externas, me paso consulta ayer después de una espera de varios meses, y tengo q decir q es un profesional cercano,eficaz,y resolutivo.Estoy encantada de su atención y profesionalidad.","Dr. Ricardo Jesús Chico Chamorro, outpatient dermatologist, consulted me yesterday after a wait of several months, and I have to say that he is a close, effective, and decisive professional. I am delighted with his attention and professionalism."
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSNEpLXzN3RRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICR4JK_3wE%7CCgsIwN_soAYQoJLgGQ%7C?hl=en-US,5.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNSNEpLXzN3RRAB,Maria PdlV,https://www.google.com/maps/contrib/114904298654016582425?hl=en-US,114904298654016582425,https://lh3.googleusercontent.com/a/ACg8ocLhTCIPFvuY4Cb_KgtXxEqYWMmuNzIcfessGvCl4DV1=s40-c-rp-mo-br100,15,,"Buenisima la atencion del equipo de ginecologia, ademas de profesionales grandes personas. Seguira siendo mi hospital de referencia. Gracias por todo.",,,"Buenisima la atencion del equipo de ginecologia, ademas de profesionales grandes personas. Seguira siendo mi hospital de referencia. Gracias por todo.","Great attention from the gynecology team, as well as professionals, great people. It will continue to be my reference hospital. Thanks for everything."
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURobjc2c3h3RRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDhn76sxwE%7CCgwIr6HmoAYQ6N3orwI%7C?hl=en-US,5.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURobjc2c3h3RRAB,German Lemme,https://www.google.com/maps/contrib/118217804459317374495?hl=en-US,118217804459317374495,https://lh3.googleusercontent.com/a-/ALV-UjW8KupxExL5AhHnIeffbD9-U3hCLV79gPRMpfxfm_UNpw=s40-c-rp-mo-ba3-br100,28,6.0,"Nosotros dimos a luz a nuestro primer hijo aquí y solo puedo decir cosas buenas!!! tanto los ginecologos, auxiliares, pediatras, endocrino!!! Muchas gracias por todo!!",,True,"Nosotros dimos a luz a nuestro primer hijo aquí y solo puedo decir cosas buenas!!! tanto los ginecologos, auxiliares, pediatras, endocrino!!! Muchas gracias por todo!!","We gave birth to our first child here and I can only say good things!!! both gynecologists, assistants, pediatricians, endocrinologists!!! Many thanks for everything!!"
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURobF9TaUpBEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDhl_SiJA%7CCgwI4PjdoAYQ4Ou09QE%7C?hl=en-US,1.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURobF9TaUpBEAE,Laura RgRa,https://www.google.com/maps/contrib/113639424329889520098?hl=en-US,113639424329889520098,https://lh3.googleusercontent.com/a/ACg8ocJasgdWTwsmgH3QekjCkHV3PU9PivNkKHUXTT6ZOdXG=s40-c-rp-mo-ba3-br100,11,,,,True,,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoMDl1RTN3RRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDh09uE3wE%7CCgwIwKDQoAYQkO6C1AM%7C?hl=en-US,1.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoMDl1RTN3RRAB,Victor VSM,https://www.google.com/maps/contrib/111921010371290451020?hl=en-US,111921010371290451020,https://lh3.googleusercontent.com/a/ACg8ocJ-jXym_MT0UucvCQxtd3-Sywn2psd9A1Sc13fHEH51=s40-c-rp-mo-br100,5,,"No recomendable este hospital si te toca la doctora Maria Jesus Escobar!!! Ah no perdona que no es doctora , según ella es la autoridad!!   Fui por un problema urinario con los problemas de dolor que conlleva. Después de estar esperando 7 HORAS, acudo a atención al paciente para que me informen porqué tanta tardanza, casualidad que a los 10 minutos me llama la doctora(ah no, la autoridad) para supuestamente darme el informe médico. Nada mas entrar sin yo dirigir la palabra se me pone a GRITAR y faltar el respecto, con una soberbia impresionante diciendo que esto no es una urgencia y que no me piensa atender… que como tengo tanta cara de acudir aqui… Yo, llegado a este punto y sin faltarla el respeto la digo que me de el informe amablemente que lo único que quiero es curarme!! Me dice que no la da la gana, que ella es la autoridad aqui en este hospital y que llama al personal de seguridad para que me expulsen del centro (así  fue).  Ante la imposibilidad de hacer nada, ME VOY con una negligencia médica, SIN el informe y sin el alta… Esto me lo corroboraron las chicas muy amables de atención al paciente, pues no es la única queja que ya ha recibido esta impresentable. Ya esta demandada y puesto en conocimiento de mis abogados.",6.0,,"No recomendable este hospital si te toca la doctora Maria Jesus Escobar!!! Ah no perdona que no es doctora , según ella es la autoridad!!   Fui por un problema urinario con los problemas de dolor que conlleva. Después de estar esperando 7 HORAS, acudo a atención al paciente para que me informen porqué tanta tardanza, casualidad que a los 10 minutos me llama la doctora(ah no, la autoridad) para supuestamente darme el informe médico. Nada mas entrar sin yo dirigir la palabra se me pone a GRITAR y faltar el respecto, con una soberbia impresionante diciendo que esto no es una urgencia y que no me piensa atender… que como tengo tanta cara de acudir aqui… Yo, llegado a este punto y sin faltarla el respeto la digo que me de el informe amablemente que lo único que quiero es curarme!! Me dice que no la da la gana, que ella es la autoridad aqui en este hospital y que llama al personal de seguridad para que me expulsen del centro (así  fue).  Ante la imposibilidad de hacer nada, ME VOY con una negligencia médica, SIN el informe y sin el alta… Esto me lo corroboraron las chicas muy amables de atención al paciente, pues no es la única queja que ya ha recibido esta impresentable. Ya esta demandada y puesto en conocimiento de mis abogados.","This hospital is not recommended if you have Dr. Maria Jesus Escobar!!! Oh, she doesn't forgive that she is not a doctor, according to her she is the authority!! I went for a urinary problem with the pain problems that come with it. After waiting for 7 HOURS, I go to patient care to find out why there is so much delay, a coincidence that after 10 minutes the doctor calls me (ah no, the authority) to supposedly give me the medical report. As soon as I enter without me speaking, I start to SCREAM and disrespect, with an impressive arrogance, saying that this is not an emergency and that they are not going to attend to me... that since I have so much nerve to come here... Me, having arrived at this period and without disrespecting her I tell her to kindly give me the report that the only thing I want is to be cured!! She tells me that she doesn't feel like it, that she is the authority here at this hospital and that she is calling the security personnel to expel me from the center (that's how it was). Given the impossibility of doing anything, I LEAVE with medical negligence, WITHOUT the report and without the discharge... This was corroborated by the very kind patient care girls, as it is not the only complaint that this unpresentable person has already received. It is already sued and brought to the attention of my lawyers."
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoMDRqN0xREAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDh04j7LQ%7CCgsIsKHPoAYQwOqfUg%7C?hl=en-US,1.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoMDRqN0xREAE,Santiago Castané Suárez,https://www.google.com/maps/contrib/107333207976092115695?hl=en-US,107333207976092115695,https://lh3.googleusercontent.com/a/ACg8ocL971nO8yUzbh10MxfBrE72d__RgFX3LF-GOOYw2eeb=s40-c-rp-mo-ba4-br100,90,8.0,"El martes fuimos con mi hija de 2 años con una reacción  alergica fuerte, nos indican que fue un proceso virico. Hoy viernes a las 2 am la bebe vomitando, roja e hinchada como un tomate.
Tenemos que llegar a esto?
Para la cita de alergia, 6 meses.
Ya veo que pagar estos altos impuestos es super rentable.",2.0,True,"El martes fuimos con mi hija de 2 años con una reacción  alergica fuerte, nos indican que fue un proceso virico. Hoy viernes a las 2 am la bebe vomitando, roja e hinchada como un tomate.
Tenemos que llegar a esto?
Para la cita de alergia, 6 meses.
Ya veo que pagar estos altos impuestos es super rentable.","On Tuesday we went with my 2-year-old daughter with a strong allergic reaction, they told us it was a viral process. Today, Friday at 2 am, the baby is vomiting, red and swollen like a tomato.
Do we have to come to this?
For the allergy appointment, 6 months.
I see that paying these high taxes is super profitable."
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoNDkyTWV3EAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDh492Mew%7CCgsI9dXNoAYQkPrnOg%7C?hl=en-US,5.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoNDkyTWV3EAE,Enrique Sendin,https://www.google.com/maps/contrib/111811500761331521998?hl=en-US,111811500761331521998,https://lh3.googleusercontent.com/a-/ALV-UjVbDuRQKhWOF8NkQ0fnIyT6qA0IYG9IuugX2UONtztkj5o=s40-c-rp-mo-br100,6,6.0,"Agradezco muy sinceramente el trato profesional, cercano, agradable y reconfortante de todas las enfermeras, enfermeros y médicos de la sala B de Urgencias que me han atendido durante 3 días.
Siempre con buena disposición y ayudando en lo que fuera necesario.
Muchas gracias.",,,"Agradezco muy sinceramente el trato profesional, cercano, agradable y reconfortante de todas las enfermeras, enfermeros y médicos de la sala B de Urgencias que me han atendido durante 3 días.
Siempre con buena disposición y ayudando en lo que fuera necesario.
Muchas gracias.","I sincerely appreciate the professional, close, pleasant and comforting treatment of all the nurses and doctors in Emergency Room B who have treated me for 3 days.
Always with a good disposition and helping in whatever was necessary.
Thank you so much."
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoZzgzbVd3EAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDhg83mWw%7CCgwIvojLoAYQ8LCS2AE%7C?hl=en-US,5.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoZzgzbVd3EAE,Ainoha Moral (SilverRose89),https://www.google.com/maps/contrib/116762710330703187480?hl=en-US,116762710330703187480,https://lh3.googleusercontent.com/a-/ALV-UjX9TozO751QbXHlnmYbPLQWYThuFxti0MBH5wxUdMlgxPk=s40-c-rp-mo-br100,10,,"Agradecimiento a obstetricia,ginecología y neonatología.

Mi embarazo llevado con mucha profesionalidad por cada una de las ginecólogas que me han ido atendiendo

Mi parto lo gestionó Alicia Gomez, que junto a Patricia fueron unas estupendas profesionales,  me preguntaron en todo momento y me ayudaron en cada paso, he tenido un parto natural, y totalmente respetado gracias a ellas, fueron un apoyo constante y se lo agradezco muchísimo.Recibí la epidural de la anestesista de manera rápida y competente.

Los dias en planta un buen trato de todo el personal, especial mención al programa la escuela de padres que lleva Sara ya que nos ayudó muchísimo en esos primero días como primerizos.

Por último agradecimiento a todos los pediatras, enfermeras y personal de neonatología que se vuelcan con los bebés pero también con los padres para que tu estancia allí sea lo más llevadera posible. MariaJose genial!

Muchas gracias a todos y en conclusión grandes profesionales",,,"Agradecimiento a obstetricia,ginecología y neonatología.

Mi embarazo llevado con mucha profesionalidad por cada una de las ginecólogas que me han ido atendiendo

Mi parto lo gestionó Alicia Gomez, que junto a Patricia fueron unas estupendas profesionales,  me preguntaron en todo momento y me ayudaron en cada paso, he tenido un parto natural, y totalmente respetado gracias a ellas, fueron un apoyo constante y se lo agradezco muchísimo.Recibí la epidural de la anestesista de manera rápida y competente.

Los dias en planta un buen trato de todo el personal, especial mención al programa la escuela de padres que lleva Sara ya que nos ayudó muchísimo en esos primero días como primerizos.

Por último agradecimiento a todos los pediatras, enfermeras y personal de neonatología que se vuelcan con los bebés pero también con los padres para que tu estancia allí sea lo más llevadera posible. MariaJose genial!

Muchas gracias a todos y en conclusión grandes profesionales","Thanks to obstetrics, gynecology and neonatology.

My pregnancy was handled with great professionalism by each of the gynecologists who have treated me.

My birth was managed by Alicia Gomez, who along with Patricia were wonderful professionals, they asked me at all times and helped me at every step, I had a natural birth, and I was totally respected thanks to them, they were constant support and I thank them very much. .I received the epidural from the anesthetist quickly and competently.

On the days at the plant, good treatment from all the staff, special mention to the parent school program that Sara runs since it helped us a lot in those first days as first-timers.

Finally, thanks to all the pediatricians, nurses and neonatology staff who are dedicated to the babies but also to the parents to make your stay there as bearable as possible. MariaJose great!

Thank you all very much and in conclusion great professionals"
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoamREYlNnEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDhjdDbSg%7CCgsIt5bCoAYQ-MS1DA%7C?hl=en-US,5.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoamREYlNnEAE,Jose Lazaro,https://www.google.com/maps/contrib/101362758571698755036?hl=en-US,101362758571698755036,https://lh3.googleusercontent.com/a/ACg8ocIXidQ6-TwSh0qxuJrV61WBsvOIzSdVyUJ2J9s8fui4=s40-c-rp-mo-br100,5,,Fui a una operacion de hernia enguinal y tanto enfermeros celadores y cirujanos me trataron genial estoy muy agradecido a todos ......,,,Fui a una operacion de hernia enguinal y tanto enfermeros celadores y cirujanos me trataron genial estoy muy agradecido a todos ......,I went to an inguinal hernia operation and both the nurses and surgeons treated me great. I am very grateful to all of them......
