,link,rating,date,source,review_id,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,snippet,extracted_snippet.original,extracted_snippet.translated,user.local_guide,user.photos,likes,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR0X1lYSEdnEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDt_YXHGg%7CCgwI6PSIrgYQyNflzAE%7C?hl=en-US,1.0,3 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR0X1lYSEdnEAE,Ramiro Jose Berraz,https://www.google.com/maps/contrib/111102505891206906860?hl=en-US,111102505891206906860,https://lh3.googleusercontent.com/a-/ALV-UjURG9yqg_SHAcBBH5DbRUAy9SYKfjRU2HKmJJHLlDa8mLQ=s40-c-rp-mo-br100,14,,,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR0bGNLaE53EAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDtlcKhNw%7CCgwI-PaFrgYQ-IHEwwE%7C?hl=en-US,1.0,3 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR0bGNLaE53EAE,Alejandra HERNANDEZ,https://www.google.com/maps/contrib/100743423417466547114?hl=en-US,100743423417466547114,https://lh3.googleusercontent.com/a-/ALV-UjXCReQzebZHh7ESX_p1iqmIrG4SnmQYLhHXIBm6owfbANo=s40-c-rp-mo-br100,2,La atención es horrible te hacen esperar demasiado y las de filtro son prepotentes.,La atención es horrible te hacen esperar demasiado y las de filtro son prepotentes.,"The service is horrible, they make you wait too long and the filter people are arrogant.",,,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR0cGJxNmNREAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDtpbq6cQ%7CCgsIxcmFrgYQiNGhGg%7C?hl=en-US,1.0,3 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR0cGJxNmNREAE,Daniel GS,https://www.google.com/maps/contrib/104815998233553175935?hl=en-US,104815998233553175935,https://lh3.googleusercontent.com/a-/ALV-UjWQDSXdKGKHHKe4bBMXqeGgWLprfpHpJeVxH-WfPt6wWKY=s40-c-rp-mo-ba3-br100,61,"Después de estar 3.30 horas para una radiografía. Resulta que se han equivocado y tienen que repetirmela. Aquí sigo esperando de nuevo.
Un desastre absoluto.","Después de estar 3.30 horas para una radiografía. Resulta que se han equivocado y tienen que repetirmela. Aquí sigo esperando de nuevo.
Un desastre absoluto.","After spending 3.30 hours for an x-ray. Turns out they made a mistake and have to repeat it to me. Here I am still waiting again.
An absolute disaster.",True,40.0,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR0cFpTY2ZREAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDtpZScfQ%7CCgwIjJmFrgYQ8KiNowE%7C?hl=en-US,5.0,3 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR0cFpTY2ZREAE,Isabelino Est fer,https://www.google.com/maps/contrib/113524323223381298004?hl=en-US,113524323223381298004,https://lh3.googleusercontent.com/a/ACg8ocLT2kRG7JDM1BaCkk3zDveUTmYlWO7kctE4yGSCW6BByb4=s40-c-rp-mo-ba3-br100,30,"Por desgracia tuvimos que llevar a mi nieto a urgencias, el trato asido excepcional desde el momento que entramos por la puerta , le hemos tenido que dejar un dia entero ingresado y el trato y el cariño con el que le atendieron a sido increíble, hago mencion al personal de pediatria que nos atendieron mejor imposible mil gracias a las pediatras y a las enfermeras que nos atendieron de 10
Muchas gracias de parte del bebe Erick","Por desgracia tuvimos que llevar a mi nieto a urgencias, el trato asido excepcional desde el momento que entramos por la puerta , le hemos tenido que dejar un dia entero ingresado y el trato y el cariño con el que le atendieron a sido increíble, hago mencion al personal de pediatria que nos atendieron mejor imposible mil gracias a las pediatras y a las enfermeras que nos atendieron de 10
Muchas gracias de parte del bebe Erick","Unfortunately we had to take my grandson to the emergency room, the treatment was exceptional from the moment we entered the door, we had to leave him hospitalized for a whole day and the treatment and affection with which they treated him was incredible, I mention to the pediatric staff who cared for us better than possible, a thousand thanks to the pediatricians and nurses who cared for us 10
Thank you very much from baby Erick",True,157.0,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR0LVBxNlNBEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDt-Pq6SA%7CCgsIicTzrQYQkOj_NA%7C?hl=en-US,5.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR0LVBxNlNBEAE,Juan Francisco Calle,https://www.google.com/maps/contrib/100495883099263863415?hl=en-US,100495883099263863415,https://lh3.googleusercontent.com/a-/ALV-UjVi1ksOEQPuWDxGSSfwhVDerb76xKq_oO8zo6dn-jo_3Q=s40-c-rp-mo-ba3-br100,34,"Llevo unos meses yendo a Cardiología a este hospital por un problema serio que tuve en primavera.
Solo puedo hablar cosas buenas de todo el personal, desde el ingreso en urgencias con todo el equipo, las pruebas... Hasta ahora ya con el problema bajo control.
Víctor y Elena (cardiología) aparte de salvarme la vida literalmente y su calidad profesional, son excepcionales como personas, ojalá todos los equipos sanitarios fueran así.","Llevo unos meses yendo a Cardiología a este hospital por un problema serio que tuve en primavera.
Solo puedo hablar cosas buenas de todo el personal, desde el ingreso en urgencias con todo el equipo, las pruebas... Hasta ahora ya con el problema bajo control.
Víctor y Elena (cardiología) aparte de salvarme la vida literalmente y su calidad profesional, son excepcionales como personas, ojalá todos los equipos sanitarios fueran así.","I have been going to Cardiology at this hospital for a few months for a serious problem I had in the spring.
I can only speak good things about all the staff, from the admission to the emergency room with all the equipment, the tests... Until now with the problem under control.
Víctor and Elena (cardiology), apart from literally saving my life and their professional quality, are exceptional as people, I wish all healthcare teams were like this.",True,7.0,,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN0Z2FMVVhnEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICtgaLUXg%7CCgsI44jkrQYQwLe5Tw%7C?hl=en-US,5.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN0Z2FMVVhnEAE,MC V,https://www.google.com/maps/contrib/105954085383449888109?hl=en-US,105954085383449888109,https://lh3.googleusercontent.com/a-/ALV-UjXxos7lEXdLlLmQ0hcqJXJST8S-je_gAHldqnr3CdSiIGM=s40-c-rp-mo-br100,10,"El día 26 de noviembre tuve a mi bebé en este hospital. Sólo tengo palabras de agradecimiento tanto como para la matrona Isabel como para todos los profesionales que me asistieron esa noche y en planta. Trato de 10!! Les agradezco mucho el trato, el cariño y la profesionalidad que tuvieron conmigo.","El día 26 de noviembre tuve a mi bebé en este hospital. Sólo tengo palabras de agradecimiento tanto como para la matrona Isabel como para todos los profesionales que me asistieron esa noche y en planta. Trato de 10!! Les agradezco mucho el trato, el cariño y la profesionalidad que tuvieron conmigo.","On November 26, I had my baby in this hospital. I only have words of gratitude for both midwife Isabel and all the professionals who assisted me that night and on the ward. Deal of 10!! I thank you very much for the treatment, affection and professionalism you had with me.",,1.0,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN0MHV1ZWZREAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICt0uuefQ%7CCgwIotDgrQYQiJ7zqwE%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN0MHV1ZWZREAE,tani,https://www.google.com/maps/contrib/115662238755856910435?hl=en-US,115662238755856910435,https://lh3.googleusercontent.com/a/ACg8ocI3CG43TBz-0nNH8EAYLxBEK6heW5n-HWlWch9H9RQK=s40-c-rp-mo-br100,11,"Nefasto el tiempo de espera en urgencias más de 20 minutos la pantalla con los mismos números, además las pantallas de vez en cuando pitan y no indican nuevo paciente, con 15 personas en la sala entre familiares y pacientes 3 horas esperando a ser atendidos desde las 9 de la noche,","Nefasto el tiempo de espera en urgencias más de 20 minutos la pantalla con los mismos números, además las pantallas de vez en cuando pitan y no indican nuevo paciente, con 15 personas en la sala entre familiares y pacientes 3 horas esperando a ser atendidos desde las 9 de la noche,","Disastrous waiting time in the emergency room, more than 20 minutes, the screen with the same numbers, in addition the screens beep from time to time and do not indicate a new patient, with 15 people in the room including family members and patients, 3 hours waiting to be treated from the 9 pm,",,286.0,1.0,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN0eVBmN1ZREAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICtyPf7VQ%7CCgwIjI3ZrQYQgJbZxgM%7C?hl=en-US,5.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN0eVBmN1ZREAE,laura alcedo,https://www.google.com/maps/contrib/111049131143516916290?hl=en-US,111049131143516916290,https://lh3.googleusercontent.com/a-/ALV-UjVbA153UhNdIjXDCJmChc2l701P-ygbs6U3bXB5Q2gD73c=s40-c-rp-mo-br100,52,"Tuve a mi bebé en este hospital el día 24. El trato ha sido increíble y me faltarían palabras para describir la experiencia tan bonita que hemos vivido. Desde el personal de urgencias, paritorio, auxiliares, ginecólogos, matronas..  disponibles 24h nos han ayudado muchísimo en las primeras noches. Muchísimas gracias! Laura David y David","Tuve a mi bebé en este hospital el día 24. El trato ha sido increíble y me faltarían palabras para describir la experiencia tan bonita que hemos vivido. Desde el personal de urgencias, paritorio, auxiliares, ginecólogos, matronas..  disponibles 24h nos han ayudado muchísimo en las primeras noches. Muchísimas gracias! Laura David y David","I had my baby in this hospital on the 24th. The treatment has been incredible and I would lack words to describe the beautiful experience we have had. From the emergency staff, delivery room, assistants, gynecologists, midwives... available 24 hours a day, they have helped us a lot in the first nights. Thanks a lot! Laura David and David",,9.0,2.0,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURONDdieGZBEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDN47bxfA%7CCgwIuIfKrQYQ2JaNmAE%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSURONDdieGZBEAE,miguel angel plaza tenorio,https://www.google.com/maps/contrib/115614018365406998343?hl=en-US,115614018365406998343,https://lh3.googleusercontent.com/a/ACg8ocJP79Mzn-V2DUNOY8H4eqG-5C01NeTF5VQMjDmlHjjD=s40-c-rp-mo-ba3-br100,61,"Una forma barata de encontrar vivienda en Sanse, vienes a urgencias y te quedas a vivir, en 3 horas nos ha visto la enfermera. Si en 3 días no hemos salido, mandar a los GEO para el rescate. Un abrazo","Una forma barata de encontrar vivienda en Sanse, vienes a urgencias y te quedas a vivir, en 3 horas nos ha visto la enfermera. Si en 3 días no hemos salido, mandar a los GEO para el rescate. Un abrazo","A cheap way to find housing in Sanse, you come to the emergency room and stay to live, within 3 hours the nurse has seen us. If we have not left in 3 days, send the GEO for the rescue. A hug",True,15.0,6.0,['https://lh5.googleusercontent.com/p/AF1QipOqAcRa7vpsOCmVPd0IsOCF8DSTFWxHqW2Z-gC5=w100-h100-p-n-k-no']
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURONWZHeTlnRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDN5fGy9gE%7CCgwIy9vDrQYQ0NToowI%7C?hl=en-US,1.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSURONWZHeTlnRRAB,Marisol Espinosa,https://www.google.com/maps/contrib/108904624944562374726?hl=en-US,108904624944562374726,https://lh3.googleusercontent.com/a/ACg8ocLw3Nycw6yUUDbJztF_NAwSp8Amm2R60Rd1MOH8I1sm=s40-c-rp-mo-br100,5,"Como es posible que si vienes a ver a un familiar ingresado no haya ni una silla para poder sentarse.
Existe un sillón que está el paciente y si después de 2 horas de visita quieres sentarte debes hacerlo encima de la cama..","Como es posible que si vienes a ver a un familiar ingresado no haya ni una silla para poder sentarse.
Existe un sillón que está el paciente y si después de 2 horas de visita quieres sentarte debes hacerlo encima de la cama..","How is it possible that if you come to see a family member who is hospitalized, there won't even be a chair to sit on.
There is a chair where the patient is and if after 2 hours of visiting you want to sit down you must do so on the bed.",,,1.0,
