,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,likes,user.local_guide,user.photos
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM5MXRXTy1BRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIC91tWO-AE%7CCgwI2vCbrwYQqKLJtgM%7C?hl=en-US,1.0,3 hours ago,Google,ChdDSUhNMG9nS0VJQ0FnSUM5MXRXTy1BRRAB,"Impossible contactar per telèfon, una vergonya",Olga Barbens,https://www.google.com/maps/contrib/106462481573079367465?hl=en-US,106462481573079367465,https://lh3.googleusercontent.com/a/ACg8ocIJaqXOzg_NO8B_4j_89erMsb1knWrZNpDtxuT9jO2A=s40-c-rp-mo-br100,28.0,"Impossible contactar per telèfon, una vergonya","Impossible to contact by phone, a shame",,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM5Mm9iZzNBRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIC92obg3AE%7CCgwI_pqXrwYQsP_GsQM%7C?hl=en-US,1.0,a day ago,Google,ChdDSUhNMG9nS0VJQ0FnSUM5Mm9iZzNBRRAB,"Tres horas en urgencias y la gente que venían detrás de mi pasaban antes. Voy al de admisión de urgencias y me dice que todo está bien que sigue su curso.
Decidí irme por qué para ellos estaba correcto y seguía pasando el tiempo. Una vergüenza estar toda la vida paga dos SS para ir y que pasen de ti. Luego eso si sabéis reclamar bien vuestros derechos pero el del ciudadano os lo saltais ala torera",Jonathan,https://www.google.com/maps/contrib/106191732952017377604?hl=en-US,106191732952017377604,https://lh3.googleusercontent.com/a-/ALV-UjXNHtnDt1p4bHH4qLwG5pnqxFsuTnbevX2odH3cAkQZckX4=s40-c-rp-mo-ba3-br100,27.0,"Tres horas en urgencias y la gente que venían detrás de mi pasaban antes. Voy al de admisión de urgencias y me dice que todo está bien que sigue su curso.
Decidí irme por qué para ellos estaba correcto y seguía pasando el tiempo. Una vergüenza estar toda la vida paga dos SS para ir y que pasen de ti. Luego eso si sabéis reclamar bien vuestros derechos pero el del ciudadano os lo saltais ala torera","Three hours in the emergency room and the people who came after me passed before me. I go to the emergency admission and he tells me that everything is fine and it continues its course.
I decided to leave because it was right for them and time continued to pass. It's a shame to spend your whole life paying two SS to go and have them pass you by. Then that is if you know how to claim your rights well, but you skip that of the citizen to the bullfighter.",1.0,True,5.0
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM5ekpfRFd3EAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIC9zJ_DWw%7CCgwIjd2SrwYQwLPA0gM%7C?hl=en-US,1.0,a day ago,Google,ChZDSUhNMG9nS0VJQ0FnSUM5ekpfRFd3EAE,"Fatallllllll, llegue con mi mamá a las 2 con dolor de oido por urgencia , eran las 6 y todavía no la habían atendido , lo único q me decían el otorrino va lento,  me pregunto cual es la atención de urgencia?  Cualquiera muere esperando",Belen Martinez,https://www.google.com/maps/contrib/103939287014998532387?hl=en-US,103939287014998532387,https://lh3.googleusercontent.com/a/ACg8ocL_PKp7iTThJV-ALiDCXXZpKqSiGGwusXjIS00BcXD9=s40-c-rp-mo-br100,4.0,"Fatallllllll, llegue con mi mamá a las 2 con dolor de oido por urgencia , eran las 6 y todavía no la habían atendido , lo único q me decían el otorrino va lento,  me pregunto cual es la atención de urgencia?  Cualquiera muere esperando","Fatallllllll, I arrived with my mother at 2 o'clock with an urgent earache, it was 6 o'clock and they still hadn't treated her, the only thing they told me was that the ENT doctor was slow, I wonder what emergency care is? Anyone dies waiting",1.0,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM5akoydmtnRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIC9jJ2vkgE%7CCgwI_eGRrwYQ-NDh9gE%7C?hl=en-US,5.0,2 days ago,Google,ChdDSUhNMG9nS0VJQ0FnSUM5akoydmtnRRAB,,Jose Varela,https://www.google.com/maps/contrib/103408361489345085761?hl=en-US,103408361489345085761,https://lh3.googleusercontent.com/a/ACg8ocKxCD6KD4l_wTQ-WCdYa0lAm8yaOB_D63HACHGo06q5=s40-c-rp-mo-br100,,,,,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM5LU4tZ1dnEAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIC9-N-gWg%7CCgsIxJ-JrwYQiKv7HA%7C?hl=en-US,5.0,3 days ago,Google,ChZDSUhNMG9nS0VJQ0FnSUM5LU4tZ1dnEAE,Gracias a todo el servicio de urgencias por vuestra humanidad y profesionalidad con los pacientes.,Jordi V,https://www.google.com/maps/contrib/103538967653672541164?hl=en-US,103538967653672541164,https://lh3.googleusercontent.com/a/ACg8ocKwJDDYNQUiW2xpjJpq4z_JN-7kV6fw6aPfpD2752XYQA=s40-c-rp-mo-ba3-br100,16.0,Gracias a todo el servicio de urgencias por vuestra humanidad y profesionalidad con los pacientes.,Thank you to the entire emergency service for your humanity and professionalism with patients.,,True,1.0
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM5MkxTRFhnEAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIC92LSDXg%7CCgwIsYWHrwYQqOqQxAI%7C?hl=en-US,3.0,4 days ago,Google,ChZDSUhNMG9nS0VJQ0FnSUM5MkxTRFhnEAE,"Todo excelente, la parte de urgencias es lo único malo para mí lA atención lo hacen muy bien pero el tiempo de espera es horrible    más de 2h almenos yo.",Amaia,https://www.google.com/maps/contrib/116837999819770561914?hl=en-US,116837999819770561914,https://lh3.googleusercontent.com/a-/ALV-UjW9YNZaCfrv640rQ3EYPrEST7sJrmv6RsNoSrpMGToNNUE=s40-c-rp-mo-br100,2.0,"Todo excelente, la parte de urgencias es lo único malo para mí lA atención lo hacen muy bien pero el tiempo de espera es horrible    más de 2h almenos yo.","Everything is excellent, the emergency part is the only bad thing for me, the attention is very good but the waiting time is horrible    more than 2 hours at least for me.",,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUROeDdHVFV3EAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDNx7GTUw%7CCgsI59uDrwYQuNPmAQ%7C?hl=en-US,4.0,4 days ago,Google,ChZDSUhNMG9nS0VJQ0FnSUROeDdHVFV3EAE,,Anaís Prieto,https://www.google.com/maps/contrib/105142746303907577616?hl=en-US,105142746303907577616,https://lh3.googleusercontent.com/a-/ALV-UjXxzO78nAerDhPds5xmxakDzGpXgE5Nh_FoDTn2leTTJWE=s40-c-rp-mo-br100,2.0,,,,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURkLTVubktnEAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDd-5nnKg%7CCgsI3pv5rgYQiIWGYw%7C?hl=en-US,5.0,6 days ago,Google,ChZDSUhNMG9nS0VJQ0FnSURkLTVubktnEAE,,Antonella Rullo,https://www.google.com/maps/contrib/108909666496070253203?hl=en-US,108909666496070253203,https://lh3.googleusercontent.com/a/ACg8ocJ3TwCi7qwzDez168gxYRsccmsbj50d7LPyKh3bto0c=s40-c-rp-mo-ba3-br100,27.0,,,,True,7.0
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURkcWZIdnZnRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDdqfHvvgE%7CCgwIuNLprgYQ6KOvgwI%7C?hl=en-US,5.0,a week ago,Google,ChdDSUhNMG9nS0VJQ0FnSURkcWZIdnZnRRAB,"Extremely friendly staff from security, reception, nurses & doctors. I'm native English and have a A1 level of Spanish. Thank you for those reading this who work there.",Andrew P,https://www.google.com/maps/contrib/107799553706138675608?hl=en-US,107799553706138675608,https://lh3.googleusercontent.com/a/ACg8ocIE1eH6aaioXodXiKL0S27iyMJB5UaqB7G5wU9DwdlT=s40-c-rp-mo-ba4-br100,132.0,,,,True,52.0
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURkbHVIMHB3RRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDdluH0pwE%7CCgwI2fDhrgYQoITJtQM%7C?hl=en-US,1.0,a week ago,Google,ChdDSUhNMG9nS0VJQ0FnSURkbHVIMHB3RRAB,he llamado 3 veces para psiquiatría  y no me han contestado que vergüenza está fatal la sanidad pública.,Tatiana Mons,https://www.google.com/maps/contrib/108677968159366973840?hl=en-US,108677968159366973840,https://lh3.googleusercontent.com/a-/ALV-UjXqDP3g1BYHaepc-JNlxFR_H0kKa8Gfzl_aNE7_7c29GA=s40-c-rp-mo-br100,11.0,he llamado 3 veces para psiquiatría  y no me han contestado que vergüenza está fatal la sanidad pública.,I have called psychiatry 3 times and they have not answered what a shame public health is.,,,
