,link,rating,date,source,review_id,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,snippet,likes,extracted_snippet.original,extracted_snippet.translated
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNadE1pQnpRRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICZtMiBzQE%7CCgwIiZzbpwYQyKLLowE%7C?hl=en-US,4.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNadE1pQnpRRRAB,Luis Trak Mireles,https://www.google.com/maps/contrib/116091875520632593096?hl=en-US,116091875520632593096,https://lh3.googleusercontent.com/a-/ALV-UjXHkOOIiH8qrYeGT4b7e8gusk61gTHj28A_kqteciQNxac=s40-c-rp-mo-ba4-br100,True,116,16.0,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNaMElHeHlnRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICZ0IGxygE%7CCgwI0vfMpwYQwJnkwQE%7C?hl=en-US,5.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNaMElHeHlnRRAB,Juan S Parada Z (Juanse),https://www.google.com/maps/contrib/105099791075220189194?hl=en-US,105099791075220189194,https://lh3.googleusercontent.com/a-/ALV-UjVJi8gbtP59Xlj5X6P66Y4MyFA9Ha6d2vke5eI11D8vUYw=s40-c-rp-mo-br100,,8,2.0,,,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwMTVqZGdRRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDp15jdgQE%7CCgwI8oe_pwYQqIWu4QI%7C?hl=en-US,4.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURwMTVqZGdRRRAB,R MF,https://www.google.com/maps/contrib/107887396142981261063?hl=en-US,107887396142981261063,https://lh3.googleusercontent.com/a-/ALV-UjVdZF9XxWQTDjpd-ImZxpBYzlW-uFxoEtlgyuzYc93F-q8W=s40-c-rp-mo-ba7-br100,True,898,6340.0,"Macro hospital situado en la parte alta de Barcelona,dispone de 17 edificios,atendiendo 120 especialidades diferentes entre las que destacan oncología,pediatría y neurología, llegando a atender hasta 7000 personas al día, y realizar 30000 intervenciones quirúrgicas al año, edificio un poco antiguo pero a la vanguardia de toda la modernidad en medicina, gran equipo humano, te sientes muy protegido",2.0,"Macro hospital situado en la parte alta de Barcelona,dispone de 17 edificios,atendiendo 120 especialidades diferentes entre las que destacan oncología,pediatría y neurología, llegando a atender hasta 7000 personas al día, y realizar 30000 intervenciones quirúrgicas al año, edificio un poco antiguo pero a la vanguardia de toda la modernidad en medicina, gran equipo humano, te sientes muy protegido","Macro hospital located in the upper part of Barcelona, ​​it has 17 buildings, serving 120 different specialties, including oncology, pediatrics and neurology, serving up to 7,000 people a day, and performing 30,000 surgical interventions a year, a somewhat old building. but at the forefront of all modernity in medicine, great human team, you feel very protected"
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwNTlmVy13RRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDp59fW-wE%7CCgwI3Y2-pwYQ8Krb5wI%7C?hl=en-US,1.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURwNTlmVy13RRAB,Mª Teresa Molina Monleón,https://www.google.com/maps/contrib/103569069736284916852?hl=en-US,103569069736284916852,https://lh3.googleusercontent.com/a/ACg8ocI7LTcheGiitSV5A6oFv7gNcWv-NXa6D5zKTA-XvWHU=s40-c-rp-mo-br100,,17,,"Hola, ahora mismo estoy aquí con mi madre,vergüenza desde la cuatro y además como son las ocho, cambio de turno y seguramente otras cuatro horas, le han enviado del cap de Horta otros vagos, por un soplo en el corazón y anemia, pero eso da igual, lo importante es hacer el vago y tardar lo máximo posible, para seguir teniendo la fama, que nunca mejor dicho os habéis ganado a pulso, la próxima vez antes de aplaudir no lo voy hacer, tb había más gente currando y con peligro y nunca se les agradeció nada",2.0,"Hola, ahora mismo estoy aquí con mi madre,vergüenza desde la cuatro y además como son las ocho, cambio de turno y seguramente otras cuatro horas, le han enviado del cap de Horta otros vagos, por un soplo en el corazón y anemia, pero eso da igual, lo importante es hacer el vago y tardar lo máximo posible, para seguir teniendo la fama, que nunca mejor dicho os habéis ganado a pulso, la próxima vez antes de aplaudir no lo voy hacer, tb había más gente currando y con peligro y nunca se les agradeció nada","Hello, right now I'm here with my mother, shame since four o'clock and also since it's eight o'clock, change of shift and probably another four hours, they've sent her from the Horta cap other lazy people, for a heart murmur and anemia, but That doesn't matter, the important thing is to be lazy and take as long as possible, to continue having the fame, which never better said you have earned hard, next time before applauding I'm not going to do it, there were also more people working and with danger and they were never thanked for anything"
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwdGJtX1pBEAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDptbm_ZA%7CCgwI37inpwYQ6K3hjQI%7C?hl=en-US,1.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwdGJtX1pBEAE,MONTSERRAT M,https://www.google.com/maps/contrib/100060653088092630491?hl=en-US,100060653088092630491,https://lh3.googleusercontent.com/a-/ALV-UjUA-tG2YW9l-oZ3k8T4Ug4_HTPLotPtB0OLhx_iAsDUCnA=s40-c-rp-mo-br100,,10,,"Una tortura, 2 días en un pasillo tirada.
Ni me pusieron suero! Y me dan resultados e indica tratada con sueroterapia? Perdón? Poner la vía xa nada le llaman eso.
Gente muy joven que tuvieron q consultar sobre mi enfermedad a otros q tampoco sabían.
La comida ya de traca ni pizca de sal (siendo hipotensa) y cafe con leche : un sobre de cafe soluble a diluir con leche helada!!!.
Sin contar la experiencia de mi padre q entra sano por una caida y fallece por ""covid"" y por corticoides pasó a ser diabético..hipertenso..etc.
No es lo que era parece un tunel del terror.
Ah cuidado porque a mi padre le desapareció todo lo que llevaba de oro y la bata!!!
Salvado a algun@ enfermer@ y algún médico.(poc@s) pues nefasto.
Sanidad o el hospital? Culpa???",7.0,"Una tortura, 2 días en un pasillo tirada.
Ni me pusieron suero! Y me dan resultados e indica tratada con sueroterapia? Perdón? Poner la vía xa nada le llaman eso.
Gente muy joven que tuvieron q consultar sobre mi enfermedad a otros q tampoco sabían.
La comida ya de traca ni pizca de sal (siendo hipotensa) y cafe con leche : un sobre de cafe soluble a diluir con leche helada!!!.
Sin contar la experiencia de mi padre q entra sano por una caida y fallece por ""covid"" y por corticoides pasó a ser diabético..hipertenso..etc.
No es lo que era parece un tunel del terror.
Ah cuidado porque a mi padre le desapareció todo lo que llevaba de oro y la bata!!!
Salvado a algun@ enfermer@ y algún médico.(poc@s) pues nefasto.
Sanidad o el hospital? Culpa???","Torture, 2 days lying in a hallway.
They didn't even give me serum! And they give me results and indicate treated with serum therapy? Sorry? Laying the road for nothing they call it that.
Very young people who had to consult others who didn't know about my illness.
The food doesn't contain even a pinch of salt (being hypotensive) and coffee with milk: a packet of instant coffee to dilute with ice milk!!!
Not to mention the experience of my father who came in healthy due to a fall and died from ""covid"" and due to corticosteroids he became diabetic...hypertensive...etc.
It's not what it was, it looks like a tunnel of terror.
Oh, be careful because my father's gold robe and everything he was wearing disappeared!!!
Saved some nurses and some doctors (a few), well, disastrous.
Health or the hospital? Blame???"
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwd2ZtNEt3EAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDpwfm4Kw%7CCgsIrJCXpwYQuOnnGg%7C?hl=en-US,1.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwd2ZtNEt3EAE,Angie Daniela,https://www.google.com/maps/contrib/100981005828246535171?hl=en-US,100981005828246535171,https://lh3.googleusercontent.com/a-/ALV-UjU_yQTUIN1W3KHC3atOALlH7rzaUvCvRlXMDcUacHkKWg=s40-c-rp-mo-br100,,2,,No puede ser posible q llevo 4 horas aquí sentada para q me atienda la ginecóloga y nada q Llamaa . Muy mala la atención,2.0,No puede ser posible q llevo 4 horas aquí sentada para q me atienda la ginecóloga y nada q Llamaa . Muy mala la atención,It can't be possible that I've been sitting here for 4 hours for the gynecologist to see me and nothing has happened. Very bad attention
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwcXZfV3FnRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDpqv_WqgE%7CCgsIhsuFpwYQsPSzCg%7C?hl=en-US,5.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURwcXZfV3FnRRAB,Carlos Cruz,https://www.google.com/maps/contrib/103038534328147922475?hl=en-US,103038534328147922475,https://lh3.googleusercontent.com/a-/ALV-UjVayFgUQ9VLej3kGCKkTbpdBX6wTZxwRQ3aRHo0cSa70fE=s40-c-rp-mo-ba3-br100,True,21,18.0,,,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwLU1yM1l3EAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDp-Mr3Yw%7CCgwIiqnwpgYQ2ICRoQM%7C?hl=en-US,5.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwLU1yM1l3EAE,Pablo Calzado González,https://www.google.com/maps/contrib/109983773943456844328?hl=en-US,109983773943456844328,https://lh3.googleusercontent.com/a/ACg8ocKLuWzrsVMsnXHdU7eglJcvstWlxkeM7Tk3_aocYBUf=s40-c-rp-mo-ba2-br100,True,20,9.0,"Muy atentos y profesionales
Hospital completo",,"Muy atentos y profesionales
Hospital completo","Very attentive and professional
Full hospital"
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwc09fWXB3RRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDpsO_YpwE%7CCgwIuf_ppgYQqOeUwAM%7C?hl=en-US,5.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURwc09fWXB3RRAB,M barcelona,https://www.google.com/maps/contrib/107839358495324299645?hl=en-US,107839358495324299645,https://lh3.googleusercontent.com/a/ACg8ocKYCYLWSO1ifBKtzqOfGHSj2aopYKLEhwNTiVh4o3If=s40-c-rp-mo-br100,,4,,"Fuimos de urgencias a la sección de otorrino, el trato hacia mi hijo fue espectacular, tuvo que pasar la noche allí, todo el personal, absolutamente todo, el personal desde recepción, enfermer@s, l@s doctores, el personal de limpieza, un 10 para todos, muchas gracias por el trato recibido. El problema de Salud fue bien atendido y resuelto.",2.0,"Fuimos de urgencias a la sección de otorrino, el trato hacia mi hijo fue espectacular, tuvo que pasar la noche allí, todo el personal, absolutamente todo, el personal desde recepción, enfermer@s, l@s doctores, el personal de limpieza, un 10 para todos, muchas gracias por el trato recibido. El problema de Salud fue bien atendido y resuelto.","We went from the emergency room to the ENT section, the treatment of my son was spectacular, he had to spend the night there, all the staff, absolutely everything, the staff from reception, nurses, doctors, cleaning staff, a 10 for everyone, thank you very much for the treatment received. The Health problem was well attended to and resolved."
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNwdi1yNVRREAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICpv-r5TQ%7CCgsIpNXjpgYQqOClUg%7C?hl=en-US,1.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNwdi1yNVRREAE,Campanilla Peter,https://www.google.com/maps/contrib/104897669226614556500?hl=en-US,104897669226614556500,https://lh3.googleusercontent.com/a/ACg8ocKnnwzfNC0FwAy5slFTnwsZ67adHt7BWc8qcRIjl7c=s40-c-rp-mo-br100,,31,2.0,"Mala atención en urgencias de la general,muy poca empatía con los enfermos",,"Mala atención en urgencias de la general,muy poca empatía con los enfermos","Poor care in general emergencies, very little empathy with the sick"
