,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,user.local_guide,user.photos
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNwcl82UGxRRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICpr_6PlQE%7CCgwI_LPgpgYQ0JjL2gM%7C?hl=en-US,1.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNwcl82UGxRRRAB,"Demasiada mala atención estuve con mi pareja tres horas y ni siquiera le pusieron medicamento para el dolor, la muestra de orina ni la recogieron, al final nos tuvimos que ir de ahí ..",2.0,Sebastian Hurtado Ramírez,https://www.google.com/maps/contrib/116421758235232444816?hl=en-US,116421758235232444816,https://lh3.googleusercontent.com/a-/ALV-UjUe0ndCfZxxqkBR0Rf5gBxCnfWdhKuGM1_q-caW_lrKxBYw=s40-c-rp-mo-br100,1,"Demasiada mala atención estuve con mi pareja tres horas y ni siquiera le pusieron medicamento para el dolor, la muestra de orina ni la recogieron, al final nos tuvimos que ir de ahí ..","Too bad attention, I was with my partner for three hours and they didn't even give him pain medication, nor did they collect the urine sample, in the end we had to leave there...",,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNwOXQyY0FnEAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICp9t2cAg%7CCgwI25SvpgYQ2JHNnAI%7C?hl=en-US,5.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNwOXQyY0FnEAE,,,Víctor Reigosa,https://www.google.com/maps/contrib/118185001882205871854?hl=en-US,118185001882205871854,https://lh3.googleusercontent.com/a-/ALV-UjU3MaD8yxBOIvwhVwk_J0tkwheRz6nZ3Dy6J1LX4KTAPg=s40-c-rp-mo-ba3-br100,28,,,True,5.0
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNwbW9lazFBRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICpmoek1AE%7CCgwIzcSmpgYQuNmhvgE%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNwbW9lazFBRRAB,4 horas de espera y solicitando el alta voluntaria (pediatria) porque no son capaces de decir qué tiene un niño!! Pruebas y medicamentos inútiles como si fuera un conejillo de indias...lamentable!,3.0,Angi MR,https://www.google.com/maps/contrib/107047228153524411416?hl=en-US,107047228153524411416,https://lh3.googleusercontent.com/a/ACg8ocK9z0aBEuAg0LV7z1FzW7X0fTW6BPgWci5CyBzxB1w1=s40-c-rp-mo-br100,13,4 horas de espera y solicitando el alta voluntaria (pediatria) porque no son capaces de decir qué tiene un niño!! Pruebas y medicamentos inútiles como si fuera un conejillo de indias...lamentable!,4 hours of waiting and requesting voluntary discharge (pediatrics) because they are not able to say what a child has!! Useless tests and medications as if I were a guinea pig...unfortunate!,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNweXFXNG1BRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICpyqW4mAE%7CCgwItZukpgYQyJTg4wE%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNweXFXNG1BRRAB,Si tienes más de 80 años te mandan para casa a morirte...según ellos tienes muchas patologías no se puede hacer nada....el alta y a morir a otro sitio,2.0,Antonio Raja lopez,https://www.google.com/maps/contrib/101533761314301530284?hl=en-US,101533761314301530284,https://lh3.googleusercontent.com/a/ACg8ocIIlPqhwfbRtCJxIq9E_bxiMkZb4lctoiT7x2X9KWr1=s40-c-rp-mo-br100,1,Si tienes más de 80 años te mandan para casa a morirte...según ellos tienes muchas patologías no se puede hacer nada....el alta y a morir a otro sitio,If you are over 80 years old they send you home to die...according to them you have many pathologies nothing can be done...discharge you and die somewhere else,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNwd3VQNG1RRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICpwuP4mQE%7CCgsIubWepgYQ-JWsMA%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNwd3VQNG1RRRAB,Pongo una estrella por que tengo que ponerla pero no se merecen ni una las consultas de la dona pesimas el trato pesimo deja mucho que desear que tengas que ir a visitarte alli despues de 2 oras de viaje i te digan que tenemos qud esperar 2 años mas para hacer la prueba ya te puedes morir,1.0,Kika. Ba.Gi,https://www.google.com/maps/contrib/110029933210276883390?hl=en-US,110029933210276883390,https://lh3.googleusercontent.com/a/ACg8ocLyrF3r99LFXbPciAHCZeJABHopTF8PEVFKJIxh_Uyu=s40-c-rp-mo-br100,3,Pongo una estrella por que tengo que ponerla pero no se merecen ni una las consultas de la dona pesimas el trato pesimo deja mucho que desear que tengas que ir a visitarte alli despues de 2 oras de viaje i te digan que tenemos qud esperar 2 años mas para hacer la prueba ya te puedes morir,"I put a star because I have to put it but they don't deserve one, the donut's queries are terrible, the treatment is terrible, it leaves a lot to be desired, you have to go visit there after 2 hours of travel and they tell you that we have to wait 2 more years. to take the test you can die",,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKemYzbV93RRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDJzf3m_wE%7CCgwI4LfspQYQ-MHG1AI%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKemYzbV93RRAB,"Menuda cara más dura que tienen, urgencias pediatría, 6 horas esperando hoy día 21, desde las 20:30 hasta las 2:00 y seguimos esperando. Niños pequeños bebes con fiebre, vómitos en la sala de espera.
Eso sí!! Llega mamá con la bata de CLECE, empresa colaboradora de limpieza Vall d'Hebron, con un niño de unos 12 años, y no se sienta ni en la sala de espera.  Pasa directa y en media hora esta fuera. El niño baja a hacerse radiografía , sube y sale caminando perfectamente, a ritmo rápido. Que poca a vergüenza.",6.0,Carmen Gregorio,https://www.google.com/maps/contrib/102534326735783907402?hl=en-US,102534326735783907402,https://lh3.googleusercontent.com/a/ACg8ocKHWk8ljIZs7OqAmWQn_JvHwbgwHgIV6WkZuTs-QSiD=s40-c-rp-mo-br100,9,"Menuda cara más dura que tienen, urgencias pediatría, 6 horas esperando hoy día 21, desde las 20:30 hasta las 2:00 y seguimos esperando. Niños pequeños bebes con fiebre, vómitos en la sala de espera.
Eso sí!! Llega mamá con la bata de CLECE, empresa colaboradora de limpieza Vall d'Hebron, con un niño de unos 12 años, y no se sienta ni en la sala de espera.  Pasa directa y en media hora esta fuera. El niño baja a hacerse radiografía , sube y sale caminando perfectamente, a ritmo rápido. Que poca a vergüenza.","What a tough face they have, pediatric emergencies, 6 hours waiting today the 21st, from 8:30 p.m. to 2:00 a.m. and we continue waiting. Small children babies with fever, vomiting in the waiting room.
Yes indeed!! Mom arrives in the robe from CLECE, a Vall d'Hebron cleaning company partner, with a child of about 12 years old, and she doesn't even sit in the waiting room. It goes straight through and in half an hour it's out. The child goes down to have an x-ray, goes up and walks perfectly, at a fast pace. How little shame.",,1.0
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKemRDRGpnRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDJzdCDjgE%7CCgwI2N3rpQYQ4P-o1QM%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKemRDRGpnRRAB,Más de 4 horas de espera en pediatría urgencias. Entiendo todo cuando veo a 8 enfermeras y enfermeros saliendo en bloque directos al bar de enfrente. Preguntas y el motivo es porque justo hoy les han llegado muchas urgencias graves.,5.0,Helena Helen,https://www.google.com/maps/contrib/116532387441878965235?hl=en-US,116532387441878965235,https://lh3.googleusercontent.com/a-/ALV-UjUSPrw3m862q5nknE1MTRQmknNPEoDui7COOF-S78Li_Q=s40-c-rp-mo-br100,12,Más de 4 horas de espera en pediatría urgencias. Entiendo todo cuando veo a 8 enfermeras y enfermeros saliendo en bloque directos al bar de enfrente. Preguntas y el motivo es porque justo hoy les han llegado muchas urgencias graves.,More than 4 hours of waiting in emergency pediatrics. I understand everything when I see 8 nurses leaving en masse straight to the bar in front. Questions and the reason is because just today many serious emergencies have arrived.,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKMGFiVVhREAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDJ0abUXQ%7CCgsIrITcpQYQkPjWMg%7C?hl=en-US,5.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKMGFiVVhREAE,"El mejor hospital, trato 10/10, eso si el hospital de día tardan un poco en dejarte pasar pero nada más.",,Deray,https://www.google.com/maps/contrib/111702159423051956796?hl=en-US,111702159423051956796,https://lh3.googleusercontent.com/a-/ALV-UjX1PJIwDAoYvE1pjhCavKaIIMlsfDbvdOodUh1eYeNkz2E=s40-c-rp-mo-br100,6,"El mejor hospital, trato 10/10, eso si el hospital de día tardan un poco en dejarte pasar pero nada más.","The best hospital, treatment 10/10, that is if the day hospital takes a while to let you through but nothing more.",,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKOXRYak53EAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDJ9tXjNw%7CCgwIisrRpQYQwL228wI%7C?hl=en-US,2.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKOXRYak53EAE,"Vall Hebron, para mí uno de los mejores hospitales de Catalunya. Hasta hace unos meses.. tengo una familiar ingresada en la planta 7. Está crítica debido al cáncer con metástasis que la acompaña, hace cerca de un año. Mi decepción es, con muchos enfermeros de dicha planta. ( No todos , hay personal muy empático) Sus caras, desganas, contestaciones secas y a veces muy desagradables...dejan mucho que desear. Estos pacientes ,son personas que están muy malitas y dependen de un hilo de seguir o no... Aún les dicen a algunos pacientes, que es
que,hacen 12 horas y van agotados. Esos pacientes y otros, merecen ser atendidos con el mayor de los respetos y no como si fueran cargas. (Esa es la sensación que dan algunos de los enfermeros/as de la planta 7 Oncología.) Por otra parte, agradecer al personal que sí, hace bien su trabajo.",10.0,Gloria G.B,https://www.google.com/maps/contrib/117418568468156444057?hl=en-US,117418568468156444057,https://lh3.googleusercontent.com/a/ACg8ocKSAtwgwOdngFQmCwSOVTsQKkVlMlTrLjNyFSp7grK_=s40-c-rp-mo-br100,1,"Vall Hebron, para mí uno de los mejores hospitales de Catalunya. Hasta hace unos meses.. tengo una familiar ingresada en la planta 7. Está crítica debido al cáncer con metástasis que la acompaña, hace cerca de un año. Mi decepción es, con muchos enfermeros de dicha planta. ( No todos , hay personal muy empático) Sus caras, desganas, contestaciones secas y a veces muy desagradables...dejan mucho que desear. Estos pacientes ,son personas que están muy malitas y dependen de un hilo de seguir o no... Aún les dicen a algunos pacientes, que es
que,hacen 12 horas y van agotados. Esos pacientes y otros, merecen ser atendidos con el mayor de los respetos y no como si fueran cargas. (Esa es la sensación que dan algunos de los enfermeros/as de la planta 7 Oncología.) Por otra parte, agradecer al personal que sí, hace bien su trabajo.","Vall Hebron, for me one of the best hospitals in Catalonia. Until a few months ago... I have a relative admitted to the 7th floor. She is critical due to the cancer with metastasis that accompanies it, for about a year. My disappointment is with many nurses on that floor. (Not all, there are very empathetic staff) Their faces, reluctance, dry and sometimes very unpleasant answers...leave a lot to be desired. These patients are people who are very sick and depend on a thread to follow or not... They still tell some patients that it is
They've been doing it for 12 hours and they're exhausted. These patients and others deserve to be treated with the greatest respect and not as if they were burdens. (That is the feeling that some of the nurses on the 7th Oncology floor give.) On the other hand, thank the staff who do their job well.",,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKOXNMdnF3RRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDJ9sLvqwE%7CCgwIxZzRpQYQwPD6qgM%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKOXNMdnF3RRAB,"El parquing es un infierno, las plazas son muy pequeñas, los coches con los años son más grandes cada vez y no adaptan. A parte de carísimo!",2.0,Irene Esteban,https://www.google.com/maps/contrib/109308872390175826540?hl=en-US,109308872390175826540,https://lh3.googleusercontent.com/a/ACg8ocKU1xUL_c86GBSjUUYYgG6i4DULIX04fk6O6HlelVJF=s40-c-rp-mo-ba2-br100,15,"El parquing es un infierno, las plazas son muy pequeñas, los coches con los años son más grandes cada vez y no adaptan. A parte de carísimo!","The parking is hell, the spaces are very small, the cars get bigger and bigger over the years and do not fit. Apart from being very expensive!",True,11.0
