,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,likes
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNScEk3RlZ3EAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICRpI7FVw%7CCgwI0678oAYQqPD8zAE%7C?hl=en-US,5.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNScEk3RlZ3EAE,"Agradecer a todo el equipo de neuro que durante estos dos meses se han volcado con mi tío! La sanidad pública vale por los profesionales que tiene, no por quien la maneja!!!",Sonia Marin ramirez,https://www.google.com/maps/contrib/102178695593030185138?hl=en-US,102178695593030185138,https://lh3.googleusercontent.com/a/ACg8ocKgm7UYvzfNIKg8DYxw-h3dOACsda6_xUdyoaod3MBe=s40-c-rp-mo-ba2-br100,True,17,3.0,"Agradecer a todo el equipo de neuro que durante estos dos meses se han volcado con mi tío! La sanidad pública vale por los profesionales que tiene, no por quien la maneja!!!","Thank you to the entire neuro team who have dedicated themselves to my uncle during these two months! Public health is worth it because of the professionals it has, not because of who manages it!!!",
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSMk5qbUR3EAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICR2NjmDw%7CCgwIhOr2oAYQgN-GpQI%7C?hl=en-US,5.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNSMk5qbUR3EAE,Enca tadora muy amables y profesionales,Andres Roldan,https://www.google.com/maps/contrib/112060400347615832886?hl=en-US,112060400347615832886,https://lh3.googleusercontent.com/a-/ALV-UjXlVzxuiZrzulAe4rKeHHTmX6y5VnqTiyMsWv2jq7Avi1g=s40-c-rp-mo-br100,,51,35.0,Enca tadora muy amables y profesionales,"Lovely, very kind and professional",
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURodC02RlZnEAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDht-6FVg%7CCgwIxsDgoAYQ6Nfy1gI%7C?hl=en-US,5.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURodC02RlZnEAE,"Me sorprende lo bien organizado que está el módulo B de extracciones y demás,  y el secretaría el chico del mostrador muy amable y atento.  Increíble pero me ha sorprendido la buena organización y el trato recibido.  Me esperaba un desastre organizativo .Un 10 por todo .",Peter Pérez García,https://www.google.com/maps/contrib/118113949366608599394?hl=en-US,118113949366608599394,https://lh3.googleusercontent.com/a-/ALV-UjUEBxQB6IbJJR2C9WiU9N8Ht_Zqwg0L_VK94KACLvQnYZE=s40-c-rp-mo-ba2-br100,True,25,1.0,"Me sorprende lo bien organizado que está el módulo B de extracciones y demás,  y el secretaría el chico del mostrador muy amable y atento.  Increíble pero me ha sorprendido la buena organización y el trato recibido.  Me esperaba un desastre organizativo .Un 10 por todo .","I am surprised at how well organized Module B is for extractions and so on, and the secretary, the guy at the counter, is very friendly and attentive. Incredible but I was surprised by the good organization and the treatment received. I was expecting an organizational disaster. A 10 for everything.",3.0
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoeDdDLW9nRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDhx7C-ogE%7CCgsIh5HboAYQsMzjNg%7C?hl=en-US,5.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoeDdDLW9nRRAB,"És del millor que tenim. No hi perdem mai. Gràcies per tot a tots els treballadors, des de Metges fins a neteja passant per tots els departaments.

Sou genials.",Xavier Alonso,https://www.google.com/maps/contrib/106397513431860282352?hl=en-US,106397513431860282352,https://lh3.googleusercontent.com/a-/ALV-UjUoRTxjyeC9occHZx0NG8eOAvmIJBmOCPQ8Tm-vr3iui1w=s40-c-rp-mo-ba4-br100,True,94,114.0,"És del millor que tenim. No hi perdem mai. Gràcies per tot a tots els treballadors, des de Metges fins a neteja passant per tots els departaments.

Sou genials.","It's the best we have. We never lose there. Thank you for everything to all the workers, from Doctors to cleaning through all departments.

you guys are great",3.0
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURocGV6dTdBRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDhpezu7AE%7CCgwI3vC8oAYQ-LevxAE%7C?hl=en-US,1.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURocGV6dTdBRRAB,"Atenció telefònica nefasta. Tel. 934893000. Sense dirigir-te la paraula, et passen a un altre lloc que tampoc t'agrafen el telèfon.  Una mala educació inacceptable!!! Hi ha molta gent a l'atur que segur que atendria amb més amabilitat i educació.",Gemma Canela,https://www.google.com/maps/contrib/108002938337874514121?hl=en-US,108002938337874514121,https://lh3.googleusercontent.com/a-/ALV-UjVLPDBSRF_Mdim5MQ-0VC9kmQeMyecGACP1UY4OSL6rWk8=s40-c-rp-mo-br100,,46,,"Atenció telefònica nefasta. Tel. 934893000. Sense dirigir-te la paraula, et passen a un altre lloc que tampoc t'agrafen el telèfon.  Una mala educació inacceptable!!! Hi ha molta gent a l'atur que segur que atendria amb més amabilitat i educació.","Terrible phone service. Tel. 934893000. Without speaking to you, they transfer you to another place that also does not tap your phone. Unacceptable bad education!!! There are a lot of unemployed people who I'm sure would serve with more kindness and politeness.",2.0
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoeW9fX2RBEAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDhyo__dA%7CCgwIu7CWoAYQiPPXnQE%7C?hl=en-US,1.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoeW9fX2RBEAE,"La atención telefónica es pésima, te tratan de malas maneras tanto con el tono como con la repuesta. Amargadas en toda regla.
Por favor más profesionales amables de cara al paciente aunque sea para coger el teléfono. Gracias",Anna Gallardo Giner,https://www.google.com/maps/contrib/102710610976359075821?hl=en-US,102710610976359075821,https://lh3.googleusercontent.com/a/ACg8ocJF3rgXsl46Ay1WTfcpCvZAJME2apM0DF46J0SE9Aa_=s40-c-rp-mo-br100,,1,,"La atención telefónica es pésima, te tratan de malas maneras tanto con el tono como con la repuesta. Amargadas en toda regla.
Por favor más profesionales amables de cara al paciente aunque sea para coger el teléfono. Gracias","The telephone service is terrible, they treat you in a bad way both with the tone and with the response. Embittered in every way.
Please, more friendly professionals when facing the patient, even if it is just to pick up the phone. Thank you",6.0
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURodkotTlRnEAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDhvJ-NTg%7CCgwI8-OLoAYQqIzslAI%7C?hl=en-US,5.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSURodkotTlRnEAE,"Em van salvar la vida, gràcies ❤️",Raül Turró,https://www.google.com/maps/contrib/111523530512628826862?hl=en-US,111523530512628826862,https://lh3.googleusercontent.com/a-/ALV-UjXWQ0oFK-jYms6FzK_20AtLvkEfHgfAw6N36bR0FFsMW9U=s40-c-rp-mo-ba4-br100,True,87,16.0,"Em van salvar la vida, gràcies ❤️","They saved my life, thank you ❤️",
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoN1A2S1ZREAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDh7P6KVQ%7CCgsIqZGIoAYQ-OyZAw%7C?hl=en-US,1.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoN1A2S1ZREAE,"Mi mujer solo habla español pero las enfermeras, parece que eran nacionalistas , se lo hacian dificil, que no la querian atender primero. Vaya decepcion, que tan lejos llego el nacionalismo excluyente !!!",t. Romero,https://www.google.com/maps/contrib/100738744516444360942?hl=en-US,100738744516444360942,https://lh3.googleusercontent.com/a/ACg8ocL2_f9vKjRWG-rziIy9EdxkVZTx7WuIyjxLCUzTO6O8=s40-c-rp-mo-ba4-br100,True,83,40.0,"Mi mujer solo habla español pero las enfermeras, parece que eran nacionalistas , se lo hacian dificil, que no la querian atender primero. Vaya decepcion, que tan lejos llego el nacionalismo excluyente !!!","My wife only speaks Spanish but the nurses, it seems they were nationalists, made it difficult for her, they didn't want to treat her first. What a disappointment, how far exclusive nationalism went!!!",7.0
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNZMVlYNTN3RRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICY1YX53wE%7CCgsIg_6HoAYQkI_0Cg%7C?hl=en-US,1.0,a year ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNZMVlYNTN3RRAB,"Lo peor de lo peor!!
Instalaciones grotescas, casi en ruinas.
No mejora el personal, prepotentes, groseros.
Listas de espera eternas, inhumanas.
Horarios nocturnos para radiologìa, desde las 22:00h hasta las 06:00hAM, para pacientes con prescripciòn de resonancias, bajo ningùn concepto te las hacen en horario de las 07:00h a las 22:00h increible!!
Si valoras tu salud huyeeee!!!",Merx,https://www.google.com/maps/contrib/109249798402591122285?hl=en-US,109249798402591122285,https://lh3.googleusercontent.com/a/ACg8ocKsLV7gTVmEUBLd8kAP1zHDOotTYKc87WFKKF28f40MsA=s40-c-rp-mo-br100,,4,1.0,"Lo peor de lo peor!!
Instalaciones grotescas, casi en ruinas.
No mejora el personal, prepotentes, groseros.
Listas de espera eternas, inhumanas.
Horarios nocturnos para radiologìa, desde las 22:00h hasta las 06:00hAM, para pacientes con prescripciòn de resonancias, bajo ningùn concepto te las hacen en horario de las 07:00h a las 22:00h increible!!
Si valoras tu salud huyeeee!!!","The worst of the worse!!
Grotesque facilities, almost in ruins.
The staff does not improve, arrogant, rude.
Eternal, inhuman waiting lists.
Night schedules for radiology, from 10:00 p.m. to 6:00 a.m., for patients with a prescription for MRIs, under no circumstances do they do them between 7:00 a.m. and 10:00 p.m. Incredible!!
If you value your health, run away!!!",4.0
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoN0xDdFdBEAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDh7LCtWA%7CCgwIhPSHoAYQkNGU8AI%7C?hl=en-US,1.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoN0xDdFdBEAE,"Un hospital com la Vall d'Hebron no es pot permetre tenir infermeres de pediatria tan poc respectuoses i poc professionals com la Sra. Begoña Suárez. Si ella ha d'atendre els meus fills, prefereixo anar a un altre hospital.",KT Noir,https://www.google.com/maps/contrib/101487829221395273265?hl=en-US,101487829221395273265,https://lh3.googleusercontent.com/a-/ALV-UjWpCw8mgVB9cJfg1XjqUD9dywGdhrn9vycfiH0EqOGFFHNg=s40-c-rp-mo-ba5-br100,True,168,238.0,"Un hospital com la Vall d'Hebron no es pot permetre tenir infermeres de pediatria tan poc respectuoses i poc professionals com la Sra. Begoña Suárez. Si ella ha d'atendre els meus fills, prefereixo anar a un altre hospital.","A hospital like Vall d'Hebron cannot afford to have pediatric nurses as disrespectful and unprofessional as Ms. Begoña Suárez If she has to take care of my children, I'd rather go to another hospital.",6.0
