,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,user.photos,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURkX051YVJREAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDd_NuaRQ%7CCgwI3-fZrgYQkKGmnwE%7C?hl=en-US,1.0,a week ago,Google,ChZDSUhNMG9nS0VJQ0FnSURkX051YVJREAE,"Posiblemente el peor hospital, en atención al usuario, de los que conozco.
El desastre y descontrol en urgencias, es especialmente remarcable.
La información brilla por su ausencia y la dejadez hacia los pacientes, tremenda.
Las enfermeras siempre culpan a los médicos de la falta de información y atención y los médicos siempre dicen que no dan abasto, independientemente, de la situación de presión asistencial en que se encuentren.
Un lugar para acabar con la paciencia de cualquiera.",3.0,xavi mtnza,https://www.google.com/maps/contrib/102571955129117259493?hl=en-US,102571955129117259493,https://lh3.googleusercontent.com/a-/ALV-UjVRd3qBg0r2ImDEVR0SmfoOUQHojV36LsEg3TZundvRXQ=s40-c-rp-mo-br100,5,"Posiblemente el peor hospital, en atención al usuario, de los que conozco.
El desastre y descontrol en urgencias, es especialmente remarcable.
La información brilla por su ausencia y la dejadez hacia los pacientes, tremenda.
Las enfermeras siempre culpan a los médicos de la falta de información y atención y los médicos siempre dicen que no dan abasto, independientemente, de la situación de presión asistencial en que se encuentren.
Un lugar para acabar con la paciencia de cualquiera.","Possibly the worst hospital, in terms of customer service, that I know of.
The disaster and lack of control in the emergency room is especially remarkable.
The information is conspicuous by its absence and the neglect towards patients is tremendous.
Nurses always blame doctors for the lack of information and attention and doctors always say that they cannot cope, regardless of the situation of healthcare pressure in which they find themselves.
A place to end anyone's patience.",,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURkc0pIUHFBRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDdsJHPqAE%7CCgsI5J7SrgYQqNzjIg%7C?hl=en-US,5.0,2 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSURkc0pIUHFBRRAB,"Estoy muy agradecida primero de Dios    y luego a este hermoso hospital y sobre todo el personal y grandes profesionales, sin antes recarcar que hay personas    poco deseables, pero por lo demás el más completo, quiero dar las gracias a la Dra Arumi, Dr Marshall, Dr Ramírez neurocirujano, gracias   gracias a Cataluña.",,Jackeline bautista,https://www.google.com/maps/contrib/109805746520823575080?hl=en-US,109805746520823575080,https://lh3.googleusercontent.com/a/ACg8ocIUWbGY-AQlDXcWoHnSurqJab77SbewqvFjgYvw6Eol=s40-c-rp-mo-br100,32,"Estoy muy agradecida primero de Dios    y luego a este hermoso hospital y sobre todo el personal y grandes profesionales, sin antes recarcar que hay personas    poco deseables, pero por lo demás el más completo, quiero dar las gracias a la Dra Arumi, Dr Marshall, Dr Ramírez neurocirujano, gracias   gracias a Cataluña.","I am very grateful first to God    and then to this beautiful hospital and above all the staff and great professionals, without first emphasizing that there are undesirable people   , but otherwise the most complete, I want to thank Dr Arumi, Dr Marshall, Dr Ramírez neurosurgeon, thank you   thanks to Catalonia.",7.0,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkaDZ5M05nEAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICdh6y3Ng%7CCgwIxrvJrgYQ4Mex-gE%7C?hl=en-US,1.0,2 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkaDZ5M05nEAE,"Fatal la parte de urgencias fatal 10 horas esperando y sin ningún tipo de atención y encima me salen con que ya me habían llamado y fui con acompañante

Varias veces preguntamos y siempre lo mismo espere

FATAL VOMITE HASTA TRES VECES Y TODO EL DIA SIN COMER FATAL",,Jenifer De Andrade,https://www.google.com/maps/contrib/111575070513392062584?hl=en-US,111575070513392062584,https://lh3.googleusercontent.com/a/ACg8ocLkQQX063nFySD0-ACGqiCQ8mf6dGLNMexKzVhhdcAK=s40-c-rp-mo-br100,1,"Fatal la parte de urgencias fatal 10 horas esperando y sin ningún tipo de atención y encima me salen con que ya me habían llamado y fui con acompañante

Varias veces preguntamos y siempre lo mismo espere

FATAL VOMITE HASTA TRES VECES Y TODO EL DIA SIN COMER FATAL","The emergency part was fatal, 10 hours waiting and without any type of attention and on top of that they told me that they had already called me and I went with a companion

We asked several times and always waited the same

FATAL VOMITED UP TO THREE TIMES AND THE WHOLE DAY WITHOUT EATING FATAL",,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM1N091NU1BEAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIC57Ou5MA%7CCgwIn6y5rgYQwNukyQM%7C?hl=en-US,1.0,2 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUM1N091NU1BEAE,"Una estrella y porque la tengo que poner para poder escribir.  Atención nefasta y errores diagnósticos  (algunos de ellos viendolos escritos en un informe, ni siquiera tuvieron la decencia de decirmelo  a la cara) por parte de  ginecologia; medicina interna y urologia. Sólo se salvan algunos miembros de urgencias; semicriticos y planta 3 impares!
He puesto una reclamación para saber el número de colegiado de la "" médica "" de urgencias después de haber cometido una negligencia médica. Puse esta reclamación el 8 de septiembre y aun no he tenido respuesta hoy a fecha de 13 de diciembre (segun ustedes tenian hasta 3 meses cuando mi abogada me dijo que este plazo era de un mes)  para un hecho tan simple como saber el número de colegiado de una médico.
Actualización 11 de de enero de 2024: tras haber acudido al centro y hablado telefónicamente/ presencialmente con las 2 cap de atencion al paciente estos días,  me han dicho otra vez que esta en trámite y que la respuesta es compleja al ser medico externa( sin darme ninguna solución ni fecha concreta de resolución).
26 de enero: sigo a la espera de alguna respuesta y ni siquiera tienen la decencia de responderme a los emails para decirme que "" continua"" en trámite.
29 de enero: fecha de la respuesta que recibo en mi domicilio días después donde no consta la fecha de la reclamación y donde se me "" pretende explicar"" el funcionamiento del servicio de urgencias.
Unos impresentables en roda regla! No dudéis de que a todo el mundo le hablaré "" bien"" de vosotros tanto por el trato tan "" humano""  como por los  sucesivos "" aciertos diagnósticos"".
Casi 5 meses para un simple número de colegiado, información que se puede obtener sólo al mirar en morar en mi historia o el cuadrante de guardias de esa noche.
Y si me ha pasado a mi que soy enfermera de emergencias, no quiero ni pensar que harán con la pobre gente que no tenga ningún conocimiento médico.
Hasta nunca Vall de Hebron!",13.0,Marta,https://www.google.com/maps/contrib/106652990627368440889?hl=en-US,106652990627368440889,https://lh3.googleusercontent.com/a/ACg8ocKU9VTSS1eEPaZxFfMt5XFhPuuVgooyIzZfZIdcRyHd2Q=s40-c-rp-mo-ba3-br100,23,"Una estrella y porque la tengo que poner para poder escribir.  Atención nefasta y errores diagnósticos  (algunos de ellos viendolos escritos en un informe, ni siquiera tuvieron la decencia de decirmelo  a la cara) por parte de  ginecologia; medicina interna y urologia. Sólo se salvan algunos miembros de urgencias; semicriticos y planta 3 impares!
He puesto una reclamación para saber el número de colegiado de la "" médica "" de urgencias después de haber cometido una negligencia médica. Puse esta reclamación el 8 de septiembre y aun no he tenido respuesta hoy a fecha de 13 de diciembre (segun ustedes tenian hasta 3 meses cuando mi abogada me dijo que este plazo era de un mes)  para un hecho tan simple como saber el número de colegiado de una médico.
Actualización 11 de de enero de 2024: tras haber acudido al centro y hablado telefónicamente/ presencialmente con las 2 cap de atencion al paciente estos días,  me han dicho otra vez que esta en trámite y que la respuesta es compleja al ser medico externa( sin darme ninguna solución ni fecha concreta de resolución).
26 de enero: sigo a la espera de alguna respuesta y ni siquiera tienen la decencia de responderme a los emails para decirme que "" continua"" en trámite.
29 de enero: fecha de la respuesta que recibo en mi domicilio días después donde no consta la fecha de la reclamación y donde se me "" pretende explicar"" el funcionamiento del servicio de urgencias.
Unos impresentables en roda regla! No dudéis de que a todo el mundo le hablaré "" bien"" de vosotros tanto por el trato tan "" humano""  como por los  sucesivos "" aciertos diagnósticos"".
Casi 5 meses para un simple número de colegiado, información que se puede obtener sólo al mirar en morar en mi historia o el cuadrante de guardias de esa noche.
Y si me ha pasado a mi que soy enfermera de emergencias, no quiero ni pensar que harán con la pobre gente que no tenga ningún conocimiento médico.
Hasta nunca Vall de Hebron!","One star and because I have to give it to be able to write. Disastrous care and diagnostic errors (some of them, seeing them written in a report, they didn't even have the decency to tell me to my face) on the part of gynecology; internal medicine and urology. Only some members of the emergency room are saved; semi-critical and 3 odd floor!
I have filed a claim to know the membership number of the emergency ""medical"" after having committed medical negligence. I filed this claim on September 8 and I still have not received a response today as of December 13 (according to you, you had up to 3 months when my lawyer told me that this period was one month) for a fact as simple as knowing the number of membership of a doctor.
Update January 11, 2024: after having gone to the center and spoken by telephone/in person with the 2 patient care teams these days, they have told me again that it is in process and that the response is complex as it is an external doctor (without give me no solution or specific resolution date).
January 26: I'm still waiting for a response and they don't even have the decency to respond to my emails to tell me that it is ""continuing"" in process.
January 29: date of the response that I receive at my home days later where the date of the claim is not stated and where the operation of the emergency service is ""intended to be explained to me.""
Some unpresentable ones in general! Do not doubt that I will speak ""well"" about you to everyone, both for your ""humane"" treatment and for your successive ""correct diagnoses.""
Almost 5 months for a simple referee number, information that can be obtained only by looking at dwelling in my history or the guard quadrant of that night.
And if it has happened to me as an emergency nurse, I don't even want to think what they will do with the poor people who don't have any medical knowledge.
See you never Vall de Hebron!",27.0,True
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNjajhudGp3RRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICcj8ntjwE%7CCgsIwqqurgYQgNGHSA%7C?hl=en-US,5.0,2 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNjajhudGp3RRAB,Ninguna queja..bien atendido,,jorsoler rosler,https://www.google.com/maps/contrib/116568614047968929062?hl=en-US,116568614047968929062,https://lh3.googleusercontent.com/a-/ALV-UjUYOF-gBALwu3NBc3ALiJNogycTZNQGQ4P_m8liZaw3USg=s40-c-rp-mo-ba4-br100,103,Ninguna queja..bien atendido,No complaints...well taken care of,147.0,True
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkak1xbGl3RRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICdjMqliwE%7CCgsI8sGrrgYQiKCTMg%7C?hl=en-US,5.0,3 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNkak1xbGl3RRAB,,,AISLING SIBEAL LYONS,https://www.google.com/maps/contrib/107523082734202290542?hl=en-US,107523082734202290542,https://lh3.googleusercontent.com/a-/ALV-UjU-51T9oY5wX3TpdT_--SE3_5dlMP95gokfyrXjl0axLvU=s40-c-rp-mo-ba5-br100,258,,,144.0,True
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSamFyTXJnRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICRjarMrgE%7CCgwI7_aorgYQuKfp8QE%7C?hl=en-US,5.0,3 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNSamFyTXJnRRAB,"Estuve ingresado por COVID-19.
Me atendieron fantásticamente.
En la UCI tuve varios ictus y una trombosis aguda profunda.
Fueron muy profesionales.
Al día de hoy, enero 2024, siguen haciéndome pruebas. Parece que el COVID me dejó un regalo ""la fatiga crónica"".
Los profesionales del hospital, son un gran haber para nuestra ciudad.
El trato por parte de todo el personal del Centro, camilleros, personal de urgencias, médicos, enfermeras, personal de limpieza, cocineros y un largo etcétera, incluyendo a los administrativos fue y sigue siendo excelente.
Muchas gracias.",,Pelo Natural Extensiones- Pelucas-,https://www.google.com/maps/contrib/102076363880455279891?hl=en-US,102076363880455279891,https://lh3.googleusercontent.com/a-/ALV-UjWlZV_1oY1k--EXMFka9hkpGHPewr1Gt7A2mP1bCK4uLVJA=s40-c-rp-mo-ba6-br100,303,"Estuve ingresado por COVID-19.
Me atendieron fantásticamente.
En la UCI tuve varios ictus y una trombosis aguda profunda.
Fueron muy profesionales.
Al día de hoy, enero 2024, siguen haciéndome pruebas. Parece que el COVID me dejó un regalo ""la fatiga crónica"".
Los profesionales del hospital, son un gran haber para nuestra ciudad.
El trato por parte de todo el personal del Centro, camilleros, personal de urgencias, médicos, enfermeras, personal de limpieza, cocineros y un largo etcétera, incluyendo a los administrativos fue y sigue siendo excelente.
Muchas gracias.","I was admitted for COVID-19.
They treated me fantastically.
In the ICU I had several strokes and a deep acute thrombosis.
They were very professional.
As of today, January 2024, they continue to test me. It seems that COVID left me a gift ""chronic fatigue.""
Hospital professionals are a great asset to our city.
The treatment by all the Center staff, orderlies, emergency personnel, doctors, nurses, cleaning staff, cooks and a long etcetera, including the administrative staff, was and continues to be excellent.
Thank you so much.",2475.0,True
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkbEplclJBEAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICdlJerRA%7CCgwIr9yorgYQ4NXI0gI%7C?hl=en-US,1.0,3 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkbEplclJBEAE,"Malll servicio , urgencias va fatal . Les  doy  - 10 estrellas",,Carmen Bermudez,https://www.google.com/maps/contrib/112365108304685898404?hl=en-US,112365108304685898404,https://lh3.googleusercontent.com/a-/ALV-UjVHDnXpU7oMqZKSH_JV4kwk-NzEeghqjejcuRwkRix8mME=s40-c-rp-mo-br100,2,"Malll servicio , urgencias va fatal . Les  doy  - 10 estrellas","Mall service, emergency room is going terribly. I give them - 10 stars",,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkdU5IVzl3RRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICduNHW9wE%7CCgwI9J-jrgYQqIvq-QE%7C?hl=en-US,5.0,3 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNkdU5IVzl3RRAB,Best hospital,,Jafar Ali,https://www.google.com/maps/contrib/105138101793106102919?hl=en-US,105138101793106102919,https://lh3.googleusercontent.com/a-/ALV-UjWD8mPlWyOmxccXgpGePlnt2LEOi8AjLVkLzoKWBypzWtGv=s40-c-rp-mo-br100,9,,,,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkbU1lU2d3RRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICdmMeSgwE%7CCgwIx6eirgYQqNHo5AE%7C?hl=en-US,5.0,3 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNkbU1lU2d3RRAB,VAYA VERGUENZA!!! LLAMAS PARA PREGUNTAR UNA CONSULTA Y TE TRATAN FATAL Y NI SIQUIERA SABEN LA MITAT DE OPERACIONES QUE SE REALIZAN ! GROSEROS Y PREPOTENTES Y SE PONEN A LA DEFENSIVA UNA VERGUENZA ! QUE DECEPCION,,Alba qqqueen,https://www.google.com/maps/contrib/103792502742272108925?hl=en-US,103792502742272108925,https://lh3.googleusercontent.com/a/ACg8ocI3RrLN80oKEcozJvuWK37S-RC680dQRhz2J5TII6li=s40-c-rp-mo-br100,3,VAYA VERGUENZA!!! LLAMAS PARA PREGUNTAR UNA CONSULTA Y TE TRATAN FATAL Y NI SIQUIERA SABEN LA MITAT DE OPERACIONES QUE SE REALIZAN ! GROSEROS Y PREPOTENTES Y SE PONEN A LA DEFENSIVA UNA VERGUENZA ! QUE DECEPCION,"WHAT A SHAME!!! YOU CALL TO ASK A QUESTION AND THEY TREAT YOU FATAL AND THEY DON'T EVEN KNOW HALF OF THE OPERATIONS THAT ARE PERFORMED! RUDE AND ARGUMENTARY AND THEY GET ON THE DEFENSIVE, A SHAME! WHAT A DISAPPOINTMENT",,
