,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,details.gracias_hijos_si_mi_ex_reseñas_de_él_léanlas_me_salieron_sin_buscar,details.me_decía,user.local_guide,user.photos,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNCa0pucE53EAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICBkJnpNw%7CCgwI5LCdrgYQoKTt4wE%7C?hl=en-US,5.0,3 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNCa0pucE53EAE,"RESEÑA una reseña de hace 7 años:

Agustín Cebreiro Fuentes, 2016 léanlo.
Buenos días a todos! Este Viernes vi como unos chicos jóvenes entraban en Urgencias y preguntaban por su madre, la había traído la ambulancia, una señora con un grado de alcoholismo extremo. La sorpresa fue cuando a los chicos les dicen ( no se me parece que se ha ido, no la encontramos) . Señores para entrar en Urgencias pasas por seguridad que te dicen, solo pasa uno. Tremenda incompetencia. Los médicos y demás personal se les ESCAPE una persona con un 0,80 o más de alcohol en sangre. El señor o lo que sea de seguridad donde estaba, cuando una persona en pijama y que no se tenía de pie le pasa su ( arco de seguridad). Y lo más grave de todo es que a los hijos de esa señora, les dicen: Nosotros no sabemos nada y nadie es responsable de que se haya escapado.TREMENDA INCOMPETENCIA. Espero que no la haya atropellado un coche o cualquier otro accidente que sería lógico en su estado. DIOS MIO EN MANOS DE QUIEN ESTAMOS?
__________________________________________

Me explico, conozco el hospital y conozco a la Señora y me sorprende q este señor viendo a unos jóvenes,  supiera lo que ha escrito:
- con un grado de alcoholismo extremo.... a ella no la vió, solo a los jóvenes
- que tuviera un 0,80 ó más de alcohol en sangre ... a ella no la vio, solo a los jóvenes
- que no se tuviera en pie y fuese en pijama ... a ella lo la vio, solo a los jóvenes.

Sé se escapó, mal hecho y aguantó de pie hasta su casa, en metro, y vestida.

Gracias a Valle Hebron, y sus sanitarios hoy mantiene una vida normal y sencilla. Como en cualquier trabajo  encontramos  buenos y malos trabajadores y hasta buenos y malos momentos. Pobres los pacientes han tenido mala suerte. De verdad.

También conozco a los jóvenes. A sus hijos. Excelentes hombres que estaban sufriendo mucho esa autodestrucción de su madre.

Es ese tiempo, pidieron ayuda a su padre. Ya divorciado de su madre. LA DENUNCIÓ,  SI. y ella volvió a pagar abogado, despues de 2 años ignorandola ella pidió la separación y pagó y ahora paga el Divorcio para el. En 10 años ni el IPC subió a sus hijos. TENIA Q PONER GRIFOS EN SU NUEVO Y AMOROSO HOGAR, VIAJAR, Y PONER RESEÑAS DE BUENOS VINOS. MADRE MIA Q FALSO PADRE Y COMPAÑERO.

Le conozco a él, es el padre de los jóvenes

Nadie es perfecto señor , mentiroso, de la reseña. Ignorante.

Usted no vio, NO VIO NADA, no mienta. Ud. ni estaba ni dijo jamás, para cualquier problema, señora,  niños,  jóvenes. Aquí tenéis mi respaldo y apoyo.

Señor, Usted sabe perfectamente lo que los jóvenes pasaron porque íntegramente se lo contaron,  eran, son sus hijos y acudieron a usted pidiendo ayuda.

Usted se preocupo de poner esta reseña negativa. Fue lo único que hizo ese día de hace 7 años.

Quede constancia q esta señora escribe esto para decir q errores todos los cometemos. Ella, la que más. Estaba enferma y muy triste. El mundo se le había hundido por el desprecio que había sentido de la persona que amaba desde los 18 años y un día ...por algo/alguien... paso a ignorarla y a convivir procesando un daño psicologico del que le costó salir. HASTA LA PEGO en un problema circulatorio con un taxista y en la cabeza. Delante de sus hijos. En la cabeza. Cuidando a sus hijos, trabajando, con una vida muy sencilla. Pero, bebiendo de más para relajarse ( que ignorante). Antes debía haber desconfiado de Ud. FALSO.

Esa señora es la que escribe aqui las gracias  al Valle Hebron y soy yo. LA Q HUYO DE UD.

Gracias hijos. Si,mi ex. Reseñas de él léanlas Me salieron sin buscar: personas q podías conocer...y cliqué

Empecé a beber de más, cuando mi marido me ignoraba, 2 años seguidos, no pudiendo dormir y llorando mientras  él cantaba sin piedad. Y a beber alcohol cuando le conocí.  Soy timida, de joven, mucho más .

Me decía: yo ya te he querido bastante, ahora te toca a ti quereme a mi.

Psicología pareja?Proponía yo,ESTAS LOCA.

Maltratador psicológico. Su nueva familia, no sabe de sus mentiras.

No es una reseña útil, pero a mi me ha desahogado, porque cuando la leí, la de él,  me dio tanta pena.",12.0,SuSiLa SuSiLa,https://www.google.com/maps/contrib/111629807890988096230?hl=en-US,111629807890988096230,https://lh3.googleusercontent.com/a-/ALV-UjXJbnYtOm_PUeFZb4meCLNLF3N6P4Ah_b1pBBaX1yeQbvPR=s40-c-rp-mo-br100,1,"RESEÑA una reseña de hace 7 años:

Agustín Cebreiro Fuentes, 2016 léanlo.
Buenos días a todos! Este Viernes vi como unos chicos jóvenes entraban en Urgencias y preguntaban por su madre, la había traído la ambulancia, una señora con un grado de alcoholismo extremo. La sorpresa fue cuando a los chicos les dicen ( no se me parece que se ha ido, no la encontramos) . Señores para entrar en Urgencias pasas por seguridad que te dicen, solo pasa uno. Tremenda incompetencia. Los médicos y demás personal se les ESCAPE una persona con un 0,80 o más de alcohol en sangre. El señor o lo que sea de seguridad donde estaba, cuando una persona en pijama y que no se tenía de pie le pasa su ( arco de seguridad). Y lo más grave de todo es que a los hijos de esa señora, les dicen: Nosotros no sabemos nada y nadie es responsable de que se haya escapado.TREMENDA INCOMPETENCIA. Espero que no la haya atropellado un coche o cualquier otro accidente que sería lógico en su estado. DIOS MIO EN MANOS DE QUIEN ESTAMOS?
__________________________________________

Me explico, conozco el hospital y conozco a la Señora y me sorprende q este señor viendo a unos jóvenes,  supiera lo que ha escrito:
- con un grado de alcoholismo extremo.... a ella no la vió, solo a los jóvenes
- que tuviera un 0,80 ó más de alcohol en sangre ... a ella no la vio, solo a los jóvenes
- que no se tuviera en pie y fuese en pijama ... a ella lo la vio, solo a los jóvenes.

Sé se escapó, mal hecho y aguantó de pie hasta su casa, en metro, y vestida.

Gracias a Valle Hebron, y sus sanitarios hoy mantiene una vida normal y sencilla. Como en cualquier trabajo  encontramos  buenos y malos trabajadores y hasta buenos y malos momentos. Pobres los pacientes han tenido mala suerte. De verdad.

También conozco a los jóvenes. A sus hijos. Excelentes hombres que estaban sufriendo mucho esa autodestrucción de su madre.

Es ese tiempo, pidieron ayuda a su padre. Ya divorciado de su madre. LA DENUNCIÓ,  SI. y ella volvió a pagar abogado, despues de 2 años ignorandola ella pidió la separación y pagó y ahora paga el Divorcio para el. En 10 años ni el IPC subió a sus hijos. TENIA Q PONER GRIFOS EN SU NUEVO Y AMOROSO HOGAR, VIAJAR, Y PONER RESEÑAS DE BUENOS VINOS. MADRE MIA Q FALSO PADRE Y COMPAÑERO.

Le conozco a él, es el padre de los jóvenes

Nadie es perfecto señor , mentiroso, de la reseña. Ignorante.

Usted no vio, NO VIO NADA, no mienta. Ud. ni estaba ni dijo jamás, para cualquier problema, señora,  niños,  jóvenes. Aquí tenéis mi respaldo y apoyo.

Señor, Usted sabe perfectamente lo que los jóvenes pasaron porque íntegramente se lo contaron,  eran, son sus hijos y acudieron a usted pidiendo ayuda.

Usted se preocupo de poner esta reseña negativa. Fue lo único que hizo ese día de hace 7 años.

Quede constancia q esta señora escribe esto para decir q errores todos los cometemos. Ella, la que más. Estaba enferma y muy triste. El mundo se le había hundido por el desprecio que había sentido de la persona que amaba desde los 18 años y un día ...por algo/alguien... paso a ignorarla y a convivir procesando un daño psicologico del que le costó salir. HASTA LA PEGO en un problema circulatorio con un taxista y en la cabeza. Delante de sus hijos. En la cabeza. Cuidando a sus hijos, trabajando, con una vida muy sencilla. Pero, bebiendo de más para relajarse ( que ignorante). Antes debía haber desconfiado de Ud. FALSO.

Esa señora es la que escribe aqui las gracias  al Valle Hebron y soy yo. LA Q HUYO DE UD.

Gracias hijos. Si,mi ex. Reseñas de él léanlas Me salieron sin buscar: personas q podías conocer...y cliqué

Empecé a beber de más, cuando mi marido me ignoraba, 2 años seguidos, no pudiendo dormir y llorando mientras  él cantaba sin piedad. Y a beber alcohol cuando le conocí.  Soy timida, de joven, mucho más .

Me decía: yo ya te he querido bastante, ahora te toca a ti quereme a mi.

Psicología pareja?Proponía yo,ESTAS LOCA.

Maltratador psicológico. Su nueva familia, no sabe de sus mentiras.

No es una reseña útil, pero a mi me ha desahogado, porque cuando la leí, la de él,  me dio tanta pena.","REVIEW a review from 7 years ago:

Agustín Cebreiro Fuentes, 2016 read it.
Hello, everyone! This Friday I saw how some young boys entered the emergency room and asked about their mother, the ambulance had brought her, a woman with an extreme degree of alcoholism. The surprise was when they told the boys (I don't think she's gone, we can't find her). Gentlemen, to enter the emergency room you go through security, they tell you, only one goes through. Tremendous incompetence. Doctors and other staff miss a person with a blood alcohol level of 0.80 or more. The security man or whatever was there, when a person in pajamas and who was not standing, passes him his (security bow). And the most serious thing of all is that they tell that lady's children: We don't know anything and no one is responsible for her escaping. TREMENDOUS INCOMPETENCE. I hope she hasn't been hit by a car or any other accident that would be logical in her condition. MY GOD, IN WHOSE HANDS ARE WE?
__________________________________________

Let me explain, I know the hospital and I know the Lady and I am surprised that this man, seeing some young people, knew what he had written:
- with an extreme degree of alcoholism... he did not see her, only the young people
- that she had a blood alcohol level of 0.80 or more... he did not see her, only the young people
- that he didn't stand up and was in his pajamas... he saw her, only the young people.

He escaped, badly done, and endured standing up to his house, on the subway, and dressed.

Thanks to Valle Hebron, and its health workers, today he maintains a normal and simple life. As in any job, we find good and bad workers and even good and bad moments. Poor patients have had bad luck. Really.

I also know the young people. To his children. Excellent men who were suffering greatly from their mother's self-destruction.

At that time, they asked their father for help. Already divorced from his mother. HE REPORTED HER, YES. and she paid a lawyer again, after 2 years of ignoring her she asked for a separation and paid and now pays for the divorce for him. In 10 years, the CPI did not even raise its children. HE HAD TO PUT TAPS IN HIS LOVELY NEW HOME, TRAVEL, AND PUT REVIEWS OF GOOD WINES. MY MOTHER, FAKE FATHER AND COMPANION.

I know him, he is the father of the young people

Nobody is perfect sir, liar, from the review. Ignorant.

You didn't see, YOU DIDN'T SEE ANYTHING, don't lie. You were neither there nor ever said, for any problem, lady, children, young people. Here you have my support and support.

Sir, You know perfectly well what the young people went through because they told you in full, they were, are your children and they came to you asking for help.

You took care to post this negative review. It was the only thing he did that day 7 years ago.

Let it be noted that this lady writes this to say that we all make mistakes. She, the most. I was sick and very sad. The world had collapsed due to the contempt he had felt from the person he had loved since he was 18 years old and one day...for something/someone...he began to ignore her and live together processing a psychological damage from which it was difficult for him to escape. I EVEN HIT HER in a circulatory problem with a taxi driver and in the head. In front of their children. In the head. Taking care of her children, working, with a very simple life. But, drinking too much to relax (how ignorant). I should have distrusted you before. FALSE.

That lady is the one who writes here thanks to the Hebron Valley and it is me. THE ONE THAT RUN FROM YOU.

Thank you children. Yes, my ex. Read his reviews They came out without searching: people you might know...and I clicked

I started drinking too much, when my husband ignored me, 2 years in a row, not being able to sleep and crying while he sang mercilessly. And to drink alcohol when I met him. I am shy, when I was young, much more so.

He told me: I have already loved you enough, now it is your turn to love me.

Couple psychology? I proposed, YOU'RE CRAZY.

Psychological abuser. His new family doesn't know about his lies.

It is not a useful review, but it relieved me, because when I read it, his, it made me so sad.",personas q podías conocer...y cliqué,"yo ya te he querido bastante, ahora te toca a ti quereme a mi.",,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR0OS16VUNnEAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDt9-zUCg%7CCgwIgNCQrgYQ2M2KhQE%7C?hl=en-US,5.0,3 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR0OS16VUNnEAE,Grande,,Carolina Gil-ortega Perseguer,https://www.google.com/maps/contrib/111203957688618192963?hl=en-US,111203957688618192963,https://lh3.googleusercontent.com/a-/ALV-UjXX21AYif1ihAup1FspvhVH1oR3UFETXzb7crlyZd8EXA=s40-c-rp-mo-ba4-br100,68,Grande,Big,,,True,10.0,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR0eWVHdm1nRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDtyeGvmgE%7CCgsIlv2CrgYQ8I-SNQ%7C?hl=en-US,2.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUR0eWVHdm1nRRAB,La seguridad debería vigilar que las plazas de minusválidos sean ocupadas por quién así le pertenece. Es vergonzoso llegar a Urgencias Infantil y menos una las demás plazas son ocupadas por gente sin minusvalía lo que me obligó a gastar 12€ en el parking.,,Mercedes,https://www.google.com/maps/contrib/109335023602632126826?hl=en-US,109335023602632126826,https://lh3.googleusercontent.com/a-/ALV-UjX1zjrpvPfeAgMuKuCUNFjSbr_DlX0PdvJF5vEx_jU5Z_U=s40-c-rp-mo-br100,7,La seguridad debería vigilar que las plazas de minusválidos sean ocupadas por quién así le pertenece. Es vergonzoso llegar a Urgencias Infantil y menos una las demás plazas son ocupadas por gente sin minusvalía lo que me obligó a gastar 12€ en el parking.,"Security should ensure that disabled places are occupied by whoever belongs to them. It is embarrassing to get to the Children's Emergency Room and at least one of the other spaces are occupied by people without disabilities, which forced me to spend €12 in parking.",,,,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR0NnJMRXFnRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDt6rLEqgE%7CCgwI6tf6rQYQ4KrFvwE%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUR0NnJMRXFnRRAB,"Pediatría urgencias turno sábado noche a domingo mañana excelente personal muy atentas amables concideradas, comprencibas están por su trabajo respetan a los padres y muy cariñosas con los niñ@s saben lo que hacen y tienen que hacer sin preguntar tantas cosas comprenden que si se viene de urgencias es porque es urgente no por molestar como dejan pensar otras de otros turnos. La verdad muy pero muy agracedida con el personal que me toco para atender a mi niña",,Judith Andrade,https://www.google.com/maps/contrib/101474349213619752542?hl=en-US,101474349213619752542,https://lh3.googleusercontent.com/a-/ALV-UjXDg_lgFNNkugx_ikl-3lLX3H-tkn8rsrHB8EPJZQd7KM0=s40-c-rp-mo-br100,3,"Pediatría urgencias turno sábado noche a domingo mañana excelente personal muy atentas amables concideradas, comprencibas están por su trabajo respetan a los padres y muy cariñosas con los niñ@s saben lo que hacen y tienen que hacer sin preguntar tantas cosas comprenden que si se viene de urgencias es porque es urgente no por molestar como dejan pensar otras de otros turnos. La verdad muy pero muy agracedida con el personal que me toco para atender a mi niña","Pediatrics emergency shift Saturday night to Sunday morning excellent staff very attentive kind thoughtful, understanding they are for their job they respect the parents and very affectionate with the children they know what they do and have to do without asking so many things they understand that if it comes from emergencies is because it is urgent, not because it is annoying as others from other shifts suggest. The truth is that I am very, very grateful for the staff that I had to care for my daughter.",,,,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR0Nk9MZHNBRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDt6OLdsAE%7CCgwIldHyrQYQ0JPM-QI%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUR0Nk9MZHNBRRAB,"El mejor hospital! Y los mejores especialistas al menos en el área de pediatría trato excelente desde las auxiliares, enfermeras y médicos",,Lorena Sanchez,https://www.google.com/maps/contrib/113910281524786289612?hl=en-US,113910281524786289612,https://lh3.googleusercontent.com/a-/ALV-UjWTOfiyVZqwV5lqTEy6h7dKtRIQL3H3v5w0rtOWzVZ07Oo=s40-c-rp-mo-br100,1,"El mejor hospital! Y los mejores especialistas al menos en el área de pediatría trato excelente desde las auxiliares, enfermeras y médicos","The best hospital! And the best specialists, at least in the area of ​​pediatrics, excellent treatment from the assistants, nurses and doctors.",,,,,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN0dFllNHlnRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICttYe4ygE%7CCgwIvZLorQYQ6KaF5wE%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUN0dFllNHlnRRAB,La familia de Juan Carlos Canache Triana (DEP) manifiestan gratitud infinita al Servicio de Oncologia Hospital Vall d'Hebron por la atención y acompañamiento incondicional en su enfermedad.,1.0,Reyes Fernandez Padrón,https://www.google.com/maps/contrib/109895934207610385737?hl=en-US,109895934207610385737,https://lh3.googleusercontent.com/a-/ALV-UjU4s5M6OpdAlxqIBI204gE1JoYRk425gLdjd7olIJ1qkwo=s40-c-rp-mo-br100,28,La familia de Juan Carlos Canache Triana (DEP) manifiestan gratitud infinita al Servicio de Oncologia Hospital Vall d'Hebron por la atención y acompañamiento incondicional en su enfermedad.,The family of Juan Carlos Canache Triana (DEP) express infinite gratitude to the Vall d'Hebron Hospital Oncology Service for the unconditional care and support in his illness.,,,,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURONTdTLWtBRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDN57S-kAE%7CCgwIz6XQrQYQ4IydowI%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSURONTdTLWtBRRAB,"Resaltar que son grandes profesionales, para mí uno de los mejores hospitales. Y sobre todo el trato que tienen con los pacientes.",,Susana Miranda,https://www.google.com/maps/contrib/110807182034505604914?hl=en-US,110807182034505604914,https://lh3.googleusercontent.com/a-/ALV-UjW0olWaJIrVgxo3nt6s53J9CC0UVXcQmMJYZy9l3GAtiL7u=s40-c-rp-mo-ba3-br100,43,"Resaltar que son grandes profesionales, para mí uno de los mejores hospitales. Y sobre todo el trato que tienen con los pacientes.","I would like to highlight that they are great professionals, for me one of the best hospitals. And above all the treatment they have with patients.",,,True,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURONTlDdWxBRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDN59CulAE%7CCgsIlZ7QrQYQyN_AFQ%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSURONTlDdWxBRRAB,"La nostra família estem molt agraïts de la professionalitat i atenció de l'equip mèdic que recentment va atendre al nostre pare, en especial del Doctor Bosch que el va atendre a urgències i a planta 6, i Susana la seva infermera, fins que ens va deixar. El tracte tant d'ells com de la resta de metges i infermers de guàrdia que el van atendre els 15 dies que va estar ingressat, va ser excel.lent i d'una qualitat humana incomparable. En tot moment ens vam sentir acompanyats, i la delicadesa amb què tractaren al  pare tenen un valor inigualable que mai oblidarem.
Gràcies per la vostra professionalitat i  tracte, us desitgem una llarga trajectòria i que molts altres pacients puguin ser atesos com nosaltres ho hem estat.
Fins sempre.",,Meritxell Donaire Hernandez,https://www.google.com/maps/contrib/101621690131423155147?hl=en-US,101621690131423155147,https://lh3.googleusercontent.com/a/ACg8ocJANHQ-jg5_g3gQKNaZKyRLPwL8TbGksTtR91v57S3R=s40-c-rp-mo-br100,7,"La nostra família estem molt agraïts de la professionalitat i atenció de l'equip mèdic que recentment va atendre al nostre pare, en especial del Doctor Bosch que el va atendre a urgències i a planta 6, i Susana la seva infermera, fins que ens va deixar. El tracte tant d'ells com de la resta de metges i infermers de guàrdia que el van atendre els 15 dies que va estar ingressat, va ser excel.lent i d'una qualitat humana incomparable. En tot moment ens vam sentir acompanyats, i la delicadesa amb què tractaren al  pare tenen un valor inigualable que mai oblidarem.
Gràcies per la vostra professionalitat i  tracte, us desitgem una llarga trajectòria i que molts altres pacients puguin ser atesos com nosaltres ho hem estat.
Fins sempre.","Our family is very grateful for the professionalism and care of the medical team that recently attended to our father, especially Doctor Bosch who attended to him in the emergency room and on floor 6, and Susana his nurse, until he left us . Their treatment, as well as that of the other doctors and nurses on duty who attended to him during the 15 days he was admitted, was excellent and of an incomparable human quality. At all times we felt accompanied, and the delicacy with which they treated father has an incomparable value that we will never forget.
Thank you for your professionalism and treatment, we wish you a long career and that many other patients can be treated as we have been.
Until forever",,,,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUROeDdLRjhRRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDNx7KF8QE%7CCgwI683PrQYQ0IOywQE%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUROeDdLRjhRRRAB,Uno de los mejores hospitales de Europa,,Antonio Z. G.,https://www.google.com/maps/contrib/109836348468335362380?hl=en-US,109836348468335362380,https://lh3.googleusercontent.com/a-/ALV-UjWSvHarVSUUJc9_RKVxjftGvnfjHiQT91wd3RPiakRjgg=s40-c-rp-mo-ba4-br100,102,Uno de los mejores hospitales de Europa,One of the best hospitals in Europe,,,True,37.0,['https://lh5.googleusercontent.com/p/AF1QipP8jekrMBOPQ5EfSBkakeAS2VnwtAGY-5LKH_N4=w100-h100-p-n-k-no']
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUROLTZQMGpBRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDN-6P0jAE%7CCgwIqoHPrQYQyLOwsgM%7C?hl=en-US,1.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUROLTZQMGpBRRAB,"Hora a las 12:30, aún no me han llamado y son las 15:30 penoso",,Marcos Coronado,https://www.google.com/maps/contrib/116029491564952997155?hl=en-US,116029491564952997155,https://lh3.googleusercontent.com/a/ACg8ocK6MUEc9gNcQu-KfeTMMuhLDElyX_2vOkFiq6CwYUmc=s40-c-rp-mo-br100,2,"Hora a las 12:30, aún no me han llamado y son las 15:30 penoso","Time at 12:30, they haven't called me yet and it's 3:30 p.m.",,,,,
