,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,user.local_guide,user.photos,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURON3ZyckR3EAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDN7vrrDw%7CCgwI3626rQYQyLedqgM%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSURON3ZyckR3EAE,"ÈS INCREIBLE LO QUE LI ESTÀN FENT A LA MEVA FILLA ...!!!
A MI NO M'HO FARIEU AIXÒ...CABRONS...!!!
UNA INFERMERA D'UCI ...(SUPER COMPETENT)...PERÒ COM ÈS JOVENETAAAAA...Y BONA NENA...
...QUE CABRONS QUE SOU...ÈS PER AGAFAR UNA CALASNICOFF I LIARME A TIROS...!!!
CÒM POT SER QUE UN DIA ABANS DE FINALITZAR UN CONTRACTE...ENCARA NO LI DIGUEU RES DE SI PODRÀ SEGUIR TREBALLANT...???
...O BE A LA UCI DE TRAUMA O A LA CREMATS O A LA GENERAL...
...QUÈ CABRONS QUE SOU...!!!
ENCARA LI DEBEU DINERS DEL MÉS PASSAT...CABRONS...!!!
...ANDA QUE A MI ME FARIEU AIXÒ...I OS TALLO EL COLL....CABRONS...!!!",3.0,Isaac Franco Franco,https://www.google.com/maps/contrib/104431124918366911606?hl=en-US,104431124918366911606,https://lh3.googleusercontent.com/a-/ALV-UjV9irVGKXPXfsB6HgONJMrXze_AjoY4PwmnGTygKEP3Yyk=s40-c-rp-mo-br100,2,"ÈS INCREIBLE LO QUE LI ESTÀN FENT A LA MEVA FILLA ...!!!
A MI NO M'HO FARIEU AIXÒ...CABRONS...!!!
UNA INFERMERA D'UCI ...(SUPER COMPETENT)...PERÒ COM ÈS JOVENETAAAAA...Y BONA NENA...
...QUE CABRONS QUE SOU...ÈS PER AGAFAR UNA CALASNICOFF I LIARME A TIROS...!!!
CÒM POT SER QUE UN DIA ABANS DE FINALITZAR UN CONTRACTE...ENCARA NO LI DIGUEU RES DE SI PODRÀ SEGUIR TREBALLANT...???
...O BE A LA UCI DE TRAUMA O A LA CREMATS O A LA GENERAL...
...QUÈ CABRONS QUE SOU...!!!
ENCARA LI DEBEU DINERS DEL MÉS PASSAT...CABRONS...!!!
...ANDA QUE A MI ME FARIEU AIXÒ...I OS TALLO EL COLL....CABRONS...!!!","IT'S INCREDIBLE WHAT THEY ARE DOING TO MY DAUGHTER...!!!
YOU WOULDN'T DO THIS TO ME...BAGS...!!!
AN ICU NURSE ...(SUPER COMPETENT)...BUT HOW YOUNG IS SHE...AND A NICE GIRL...
...WHAT THE FUCK YOU ARE...YOU ARE GOING TO TAKE A CALASNICOFF AND SHOOT ME...!!!
HOW CAN IT BE THAT ONE DAY BEFORE ENDING A CONTRACT...YET YOU DON'T TELL HIM ANYTHING ABOUT WHETHER HE WILL BE ABLE TO CONTINUE WORKING...???
...OR BE IN THE TRAUMA ICU OR THE BURNS ICU OR THE GENERAL...
...WHAT THE FUCK YOU ARE...!!!
YOU STILL OWE HIM MONEY FROM THE PAST...BAGS...!!!
...YOU WOULD DO THAT TO ME...AND I'LL CUT YOUR NECK....BAGS...!!!",,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUROanVUbG13RRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDNjuTlmwE%7CCgwIlqq5rQYQ4MbLrAE%7C?hl=en-US,1.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUROanVUbG13RRAB,La gestió Telefonica i administrativa la faria millor un arbre,,Carles Nicolau Beltran,https://www.google.com/maps/contrib/109472110038638670966?hl=en-US,109472110038638670966,https://lh3.googleusercontent.com/a/ACg8ocI1bNyr15aigIdz9jaINpBeUni8cGQQvS3vPOrZgWtL=s40-c-rp-mo-br100,3,La gestió Telefonica i administrativa la faria millor un arbre,Telephone and administrative management would be better done by a tree,,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUROdXZiNHFBRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDNuvb4qAE%7CCgsIjaO2rQYQ8K70Aw%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUROdXZiNHFBRRAB,"Dar las gracias a todo el equipo de UCI de neonatos (Belén, Silvia, Patri, Mariló..), al equipo médico (Dani, Roc, Fátima, Raquel..), a Laura y Magí (psicologa y trabajador social), al equipo de ""com a casa"" (Bea, Nadin, Judit, Sara, Marta, Cristina, Silvia, Sandra, Oihane..y especial mención a Inma), por cuidarnos, apoyarnos y transmitirnos tanto cariño hasta el final de vida de mi bebé.. Os estaremos eternamente agradecidos por vuestra empatía y humanidad. GRACIAS de todo corazón de parte de Cristina, Xavi y Ángel.",3.0,Cristina Nevado,https://www.google.com/maps/contrib/105419989918655858281?hl=en-US,105419989918655858281,https://lh3.googleusercontent.com/a-/ALV-UjWFRViER1TSOpbdm5qyQcnc80uUJZBR3-cFzFYJzZFLIDM=s40-c-rp-mo-br100,6,"Dar las gracias a todo el equipo de UCI de neonatos (Belén, Silvia, Patri, Mariló..), al equipo médico (Dani, Roc, Fátima, Raquel..), a Laura y Magí (psicologa y trabajador social), al equipo de ""com a casa"" (Bea, Nadin, Judit, Sara, Marta, Cristina, Silvia, Sandra, Oihane..y especial mención a Inma), por cuidarnos, apoyarnos y transmitirnos tanto cariño hasta el final de vida de mi bebé.. Os estaremos eternamente agradecidos por vuestra empatía y humanidad. GRACIAS de todo corazón de parte de Cristina, Xavi y Ángel.","Thank you to the entire neonatal ICU team (Belén, Silvia, Patri, Mariló...), the medical team (Dani, Roc, Fátima, Raquel...), Laura and Magí (psychologist and social worker), the ""com a casa"" team (Bea, Nadin, Judit, Sara, Marta, Cristina, Silvia, Sandra, Oihane...and special mention to Inma), for taking care of us, supporting us and transmitting so much love to us until the end of my baby's life .. We will be eternally grateful for your empathy and humanity. THANK YOU from the bottom of my heart from Cristina, Xavi and Ángel.",,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNON195dFBnEAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICN7_ytPg%7CCgsIsLKorQYQqM_iCA%7C?hl=en-US,3.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNON195dFBnEAE,"Las palabras para definir las urgencias de este hospital es CAOS y OVERBOOKING.
Pero no es algo nuevo lleva así muchísimos años, la despreocupación de nuestros políticos de turno que mienten más que hablan y se escudan en números y estadísticas y no quieren ver la realidad... están encantados en su burbuja particular, sus médicos y colegios privados.
Al final como siempre se salvan por la profesionalidad de las personas que trabajan en estos lugares , medic@s, enfermer@s, celador@s, personal de seguridad y de limpieza..etc...hay gente muy humana y vocacional que tratan a los pacientes con sumo respeto y amabilidad, palabras y gestos cariñosos y hacen todo lo posible para que la estancia sea cómoda y agradable con los medios y el personal del que disponen......y remarcar de nuevo que la culpa es de los políticos que votamos y de las amistades que ponen al cargo de estos y otros centros públicos.",5.0,Juan Carrasco,https://www.google.com/maps/contrib/103498479308669955790?hl=en-US,103498479308669955790,https://lh3.googleusercontent.com/a/ACg8ocLeYyLBeCxvpSTlBNm8ThZxPpCN_FY588SzdBNnI8ad=s40-c-rp-mo-ba6-br100,287,"Las palabras para definir las urgencias de este hospital es CAOS y OVERBOOKING.
Pero no es algo nuevo lleva así muchísimos años, la despreocupación de nuestros políticos de turno que mienten más que hablan y se escudan en números y estadísticas y no quieren ver la realidad... están encantados en su burbuja particular, sus médicos y colegios privados.
Al final como siempre se salvan por la profesionalidad de las personas que trabajan en estos lugares , medic@s, enfermer@s, celador@s, personal de seguridad y de limpieza..etc...hay gente muy humana y vocacional que tratan a los pacientes con sumo respeto y amabilidad, palabras y gestos cariñosos y hacen todo lo posible para que la estancia sea cómoda y agradable con los medios y el personal del que disponen......y remarcar de nuevo que la culpa es de los políticos que votamos y de las amistades que ponen al cargo de estos y otros centros públicos.","The words to define the emergencies of this hospital are CHAOS and OVERBOOKING.
But it is not something new, it has been like this for many years, the carelessness of our current politicians who lie more than they speak and hide behind numbers and statistics and do not want to see reality... they are delighted in their private bubble, their doctors and private schools. .
In the end, as always, they are saved by the professionalism of the people who work in these places, doctors, nurses, guards, security and cleaning personnel...etc...there are very humane and vocational people who treat to the patients with the utmost respect and kindness, loving words and gestures and do everything possible to make the stay comfortable and pleasant with the means and staff at their disposal......and emphasize again that the fault lies with the politicians we vote for and the friends they put in charge of these and other public centers.",True,492.0,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN5cFlxMVJnEAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICypYq1Rg%7CCgwI9pumrQYQ6LGUxQE%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN5cFlxMVJnEAE,"El personal de investigación Cibersam son unos m4tr4t4dores. Haceis estudios Cibersam hechos por personal psiquiatría del Valle Hebrón y antes en el antiguo psiquiátrico de Horta desde 1995 por la Dra.Dunia Gutiérrez Ruiz, antigua profesora en empresariales. Usais información que recoge un microsatelite usando la frecuencias de seguimiento que capta la bioelectricidad del cuerpo y la envía a un ordenador conectado a una antena donde se plasma la información que recoge el cerebro (pensamiento, vista, oído y sueño) y se monitoriza. El audio que recoge el cerebro lo usan tanto para para hablar  a esa persona y oír y leer información oral y escrita que percibe su cerebro para estudiarla y advertirle que si dice la verdad a un psiquiatra, este le diagnosticara psicosis o esquizofrenia a pesar que ese psiquiatra sepa del Cibersam. Si se resiste esa persona, la castigan con insomnio y la sofronizan provocando dolores de cabeza, manipularla, engañarla y amenazarla para  someterla. Usan conectado al ordenador un micrófono y un altavoz. Las telecomunicaciones del Valle Hebrón  es de Óscar Mula . Usando el Cibersam han llenado los pabellones de psiquiatría de los hospitales  forzando hospitalizaciones provocando a la gente brotes psicóticos y esquizofrenia. Cuando lleguen a la sala del Cibersam del tabaquismo que les expliquen que autorización tienen para ver imágenes  de vestuarios de hombres duchándose si no es para alegrarse la entrep1errna. Imágenes tomadas en primera persona a través del nervio óptico mio.
Con el Cibersam hacen el trabajo para los caciques de instituciones y organismos publicos que es controlar, espiar, estudiar, manipular y someter a la población y meterse en nuestras casas desde los hospitales públicos.
Nunca he estado en el Valle Hebrón pero sé que muchos están ahí desde el año 2010 porque sé cómo mienten.Cuento del Cibersam lo que tapan en Youtube: la investigación de marcadores de imagen se hace por satélite y hacerlo público supone sacar a la luz los abusos hechos por personal médico en esta ciudad desde 1995 hasta hoy contra mucha gente y todo orquestado, organizado y amparado por caciques de organismos e instituciones públicas.El software de ese ordenador tiene la capacidad de recabar la información de esa persona, de sincronizar y manipular a tiempo real la información de satélites de comunicación de radio y televisión  para que en los receptores de los hogares veamos y oigamos los datos personales de esta persona, hacerlos públicos y hacerla pasar por desequilibr4d0 para someterla a escarnio público y desacreditarla tal como ocurrió en 1995 en el sábado de mes de septiembre de la semana de la fiesta de la Mercé. Este hospital   usan tecnología para manipular lo que piensa,,ve,oye y sueña para luego usarla de cobaya y secuestrar, experimentar y analizar la información que pasa por el cerebro según la enfermedad provocada. Para ser paciente o cobaya se ha de firmar un consentimiento informado y firmado y en el Cibersam y nadie ha firmado ningún consentimiento .A Dirección lo único que le preocupa es que no salga a la luz estos abusos .Cuando en Twitter denuncio lo que haceis para propiciar que os sancione una auditoría externa independiente;  otros os lavan vuestras v3rgüenz4s.
Me conectaron telemáticamente por satélite al Cibersam de adicciones del hospital del Mar como cobaya del equipo de la dra. Marta Torrens Melich y esto ocurre el 22/04/2023  a las 12horas. Todo esto está recogido  en las grabaciones de audio del Cibersam.
En el Cibersam del hospital del valle Hebrón jamás hay recortes de presupuesto y parte se lo gastan en consumir el personal de psiquiatría  de manera reiterada p0rn0graf1a  (de una rubia haciendo una f3lación )en el ordenador monitor de adicciones al tabaquismo, como quedó registrado en las pantallas el 26/03/2023 de 2 a.m a 3 y todo esto ocurrió desde el Cibersam de tabaquismo.",5.0,Jorge Fuentes Cabello,https://www.google.com/maps/contrib/105954409174823567551?hl=en-US,105954409174823567551,https://lh3.googleusercontent.com/a/ACg8ocI3ixyySvLwhGs5jGkwD4dwNjfuISf3YZLHIath1OUb=s40-c-rp-mo-br100,4,"El personal de investigación Cibersam son unos m4tr4t4dores. Haceis estudios Cibersam hechos por personal psiquiatría del Valle Hebrón y antes en el antiguo psiquiátrico de Horta desde 1995 por la Dra.Dunia Gutiérrez Ruiz, antigua profesora en empresariales. Usais información que recoge un microsatelite usando la frecuencias de seguimiento que capta la bioelectricidad del cuerpo y la envía a un ordenador conectado a una antena donde se plasma la información que recoge el cerebro (pensamiento, vista, oído y sueño) y se monitoriza. El audio que recoge el cerebro lo usan tanto para para hablar  a esa persona y oír y leer información oral y escrita que percibe su cerebro para estudiarla y advertirle que si dice la verdad a un psiquiatra, este le diagnosticara psicosis o esquizofrenia a pesar que ese psiquiatra sepa del Cibersam. Si se resiste esa persona, la castigan con insomnio y la sofronizan provocando dolores de cabeza, manipularla, engañarla y amenazarla para  someterla. Usan conectado al ordenador un micrófono y un altavoz. Las telecomunicaciones del Valle Hebrón  es de Óscar Mula . Usando el Cibersam han llenado los pabellones de psiquiatría de los hospitales  forzando hospitalizaciones provocando a la gente brotes psicóticos y esquizofrenia. Cuando lleguen a la sala del Cibersam del tabaquismo que les expliquen que autorización tienen para ver imágenes  de vestuarios de hombres duchándose si no es para alegrarse la entrep1errna. Imágenes tomadas en primera persona a través del nervio óptico mio.
Con el Cibersam hacen el trabajo para los caciques de instituciones y organismos publicos que es controlar, espiar, estudiar, manipular y someter a la población y meterse en nuestras casas desde los hospitales públicos.
Nunca he estado en el Valle Hebrón pero sé que muchos están ahí desde el año 2010 porque sé cómo mienten.Cuento del Cibersam lo que tapan en Youtube: la investigación de marcadores de imagen se hace por satélite y hacerlo público supone sacar a la luz los abusos hechos por personal médico en esta ciudad desde 1995 hasta hoy contra mucha gente y todo orquestado, organizado y amparado por caciques de organismos e instituciones públicas.El software de ese ordenador tiene la capacidad de recabar la información de esa persona, de sincronizar y manipular a tiempo real la información de satélites de comunicación de radio y televisión  para que en los receptores de los hogares veamos y oigamos los datos personales de esta persona, hacerlos públicos y hacerla pasar por desequilibr4d0 para someterla a escarnio público y desacreditarla tal como ocurrió en 1995 en el sábado de mes de septiembre de la semana de la fiesta de la Mercé. Este hospital   usan tecnología para manipular lo que piensa,,ve,oye y sueña para luego usarla de cobaya y secuestrar, experimentar y analizar la información que pasa por el cerebro según la enfermedad provocada. Para ser paciente o cobaya se ha de firmar un consentimiento informado y firmado y en el Cibersam y nadie ha firmado ningún consentimiento .A Dirección lo único que le preocupa es que no salga a la luz estos abusos .Cuando en Twitter denuncio lo que haceis para propiciar que os sancione una auditoría externa independiente;  otros os lavan vuestras v3rgüenz4s.
Me conectaron telemáticamente por satélite al Cibersam de adicciones del hospital del Mar como cobaya del equipo de la dra. Marta Torrens Melich y esto ocurre el 22/04/2023  a las 12horas. Todo esto está recogido  en las grabaciones de audio del Cibersam.
En el Cibersam del hospital del valle Hebrón jamás hay recortes de presupuesto y parte se lo gastan en consumir el personal de psiquiatría  de manera reiterada p0rn0graf1a  (de una rubia haciendo una f3lación )en el ordenador monitor de adicciones al tabaquismo, como quedó registrado en las pantallas el 26/03/2023 de 2 a.m a 3 y todo esto ocurrió desde el Cibersam de tabaquismo.","The Cibersam research staff are m4tr4t4dores. You do Cibersam studies done by psychiatry personnel from the Hebron Valley and before that in the old Horta psychiatric hospital since 1995 by Dr. Dunia Gutiérrez Ruiz, former business professor. You use information collected by a microsatellite using the tracking frequencies that capture the body's bioelectricity and send it to a computer connected to an antenna where the information collected by the brain (thinking, sight, hearing and sleep) is captured and monitored. The audio that the brain collects is used both to speak to that person and to hear and read oral and written information that their brain perceives to study it and warn them that if they tell the truth to a psychiatrist, they will diagnose psychosis or schizophrenia even though that psychiatrist knows about Cybersam. If that person resists, they are punished with insomnia and sophronized, causing headaches, manipulated, deceived and threatened to subdue them. They use a microphone and a speaker connected to the computer. Telecommunications of the Hebron Valley is by Óscar Mula. Using Cybersam they have filled the psychiatric wards of hospitals, forcing hospitalizations, causing people to have psychotic breaks and schizophrenia. When they arrive at the Cibersam smoking room, explain to them what authorization they have to see images of locker rooms of men showering if it is not to brighten their crotch. Images taken in first person through my optic nerve.
With Cibersam they do the work for the bosses of public institutions and organizations, which is to control, spy, study, manipulate and subdue the population and get into our homes from public hospitals.
I have never been to the Hebron Valley but I know that many have been there since 2010 because I know how they lie. Cibersam tells what they cover up on YouTube: the research on image markers is done by satellite and making it public means bringing to light the abuses committed by medical personnel in this city from 1995 until today against many people and all orchestrated, organized and protected by bosses of public organizations and institutions. The software of that computer has the capacity to collect information about that person, to synchronize and manipulate in real time the information from radio and television communication satellites so that in the home receivers we see and hear the personal data of this person, make them public and pass them off as desequilibr4d0 to subject them to public ridicule and discredit them just as happened in 1995 on the Saturday of September, the week of the Mercé festival. This hospital uses technology to manipulate what you think, see, hear and dream and then use it as a guinea pig and kidnap, experiment and analyze the information that passes through the brain according to the disease caused. To be a patient or guinea pig, you must sign an informed and signed consent and in Cibersam and no one has signed any consent. The only thing the Management is concerned about is that these abuses do not come to light. When on Twitter I report what you do to encourage you to be sanctioned by an independent external audit; others wash your v3rgüenz4s.
They connected me telematically by satellite to the Cibersam for addictions at the Hospital del Mar as a guinea pig for Dr.'s team. Marta Torrens Melich and this happens on 04/22/2023 at 12 noon. All this is recorded in the Cibersam audio recordings.
In the Cibersam of the Hebron Valley hospital there are never budget cuts and part of it is spent on the psychiatry staff repeatedly consuming pornography (of a blonde having a sex act) on the computer that monitors smoking addictions, as was recorded in the screens on 03/26/2023 from 2 a.m. to 3 and all this happened from the Cibersam of smoking.",,,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNOMS1ydzFnRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICN1-rw1gE%7CCgwI9fWlrQYQ4O3kwwM%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNOMS1ydzFnRRAB,"Estuve ahí por una gastroenteritis aguda hace ya meses. Y sinceramente son fantásticos muy buenos profesionales, desde los auxiliares, enfermeros celadores hasta los médicos. Creo sin duda ninguna que es el mejor hospital",1.0,Ilona Tikkanen,https://www.google.com/maps/contrib/109966822900754504721?hl=en-US,109966822900754504721,https://lh3.googleusercontent.com/a/ACg8ocLRl4tEeCFMitowVtFJVR3Coxtcwrr4lLaH7xU_miIIBEQ=s40-c-rp-mo-ba3-br100,30,"Estuve ahí por una gastroenteritis aguda hace ya meses. Y sinceramente son fantásticos muy buenos profesionales, desde los auxiliares, enfermeros celadores hasta los médicos. Creo sin duda ninguna que es el mejor hospital","I was there for acute gastroenteritis months ago. And honestly they are fantastic, very good professionals, from the assistants, orderly nurses to the doctors. I believe without a doubt that it is the best hospital",True,30.0,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNObThPanVBRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICNm8OjuAE%7CCgwIoeyirQYQqLrt1wE%7C?hl=en-US,1.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNObThPanVBRRAB,"1 estrella porque no hay la posibilidad de 0.
Dr. Segarra, digestólogo pediátrico y coordinador del departamento. Hoy 18 de enero del 2024 se me agotó la paciencia de esperar a que efectúe la llamada telefónica del 19 de septiembre del 2023 para darme resultados y tratamiento para mi hijo. Un niño que está con dolor digestivo desde hace 3 años 24 horas al día. He llamado infinidad de veces, mandado mail otras tantas, por consiguiente negasto profesional, cero empatía con sus pacientes, nada actualizado, no cree en la microbiota,..",3.0,Mónica Cr,https://www.google.com/maps/contrib/102759356813976717100?hl=en-US,102759356813976717100,https://lh3.googleusercontent.com/a/ACg8ocKbqrc302BJdmR75iWuZwjjAPqOchuutE53qa2mFl7p=s40-c-rp-mo-ba3-br100,25,"1 estrella porque no hay la posibilidad de 0.
Dr. Segarra, digestólogo pediátrico y coordinador del departamento. Hoy 18 de enero del 2024 se me agotó la paciencia de esperar a que efectúe la llamada telefónica del 19 de septiembre del 2023 para darme resultados y tratamiento para mi hijo. Un niño que está con dolor digestivo desde hace 3 años 24 horas al día. He llamado infinidad de veces, mandado mail otras tantas, por consiguiente negasto profesional, cero empatía con sus pacientes, nada actualizado, no cree en la microbiota,..","1 star because there is no possibility of 0.
Dr. Segarra, pediatric digestologist and department coordinator. Today, January 18, 2024, I ran out of patience waiting for the phone call on September 19, 2023 to give me results and treatment for my son. A child who has had digestive pain for 3 years 24 hours a day. I have called countless times, sent emails many times, therefore I am unprofessional, zero empathy with his patients, nothing updated, he does not believe in the microbiota,...",True,53.0,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNOZzlQTHJnRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICNg9PLrgE%7CCgwI-p6erQYQiMC9zwM%7C?hl=en-US,1.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNOZzlQTHJnRRAB,"Normalmente apoyó y aceptó los reclamos sindicales y las huelgas pero esta vez no puedo evitar de discrepar totalmente pues me han realizado ya tres extracciones de sangre (4 tubos por vez) un periodo de 30 días y TODAS no se realizaron por huelga!!! Si fuera una muestra de orina o una cita médica no me importaría,aceptaría como acepte que me extrajeran sangre tres veces….pero no pueden tener un personal de emergencia? O en casos como este no pueden comunicarme así sea una hora antes de la extracción? Sinceramente me dan ganas de llevar el tema a redes sociales y prensa en general, de momento mi freno es ideológico..pero como usuario y como paciente….indignado.",4.0,Jose Martinez-Barreiro,https://www.google.com/maps/contrib/103583209485025718998?hl=en-US,103583209485025718998,https://lh3.googleusercontent.com/a-/ALV-UjXqMq2q0v9WQDndVeCK0-KrK_BWp8Y41eyTTAhVkVkLHrk=s40-c-rp-mo-br100,2,"Normalmente apoyó y aceptó los reclamos sindicales y las huelgas pero esta vez no puedo evitar de discrepar totalmente pues me han realizado ya tres extracciones de sangre (4 tubos por vez) un periodo de 30 días y TODAS no se realizaron por huelga!!! Si fuera una muestra de orina o una cita médica no me importaría,aceptaría como acepte que me extrajeran sangre tres veces….pero no pueden tener un personal de emergencia? O en casos como este no pueden comunicarme así sea una hora antes de la extracción? Sinceramente me dan ganas de llevar el tema a redes sociales y prensa en general, de momento mi freno es ideológico..pero como usuario y como paciente….indignado.","Normally I supported and accepted union demands and strikes but this time I can't help but totally disagree because I have already had three blood extractions (4 tubes at a time) over a period of 30 days and ALL of them were not done because of a strike!!! If it were a urine sample or a doctor's appointment I wouldn't care, I would accept having my blood drawn three times... but can't they have emergency personnel? Or in cases like this they can't tell me even one hour before the extraction? Honestly, it makes me want to take the issue to social networks and the press in general, at the moment my brake is ideological... but as a user and as a patient... I am outraged.",,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNOcmY3bkt3EAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICNrf7nKw%7CCgwIg8-brQYQiPjvxgM%7C?hl=en-US,5.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNOcmY3bkt3EAE,La entencion muy buena,,Carlos david Ochoa,https://www.google.com/maps/contrib/106740016387888019162?hl=en-US,106740016387888019162,https://lh3.googleusercontent.com/a/ACg8ocKgghhmmF53g9zd3mJr6wrQ_4_jukPTCR4BL6UXT2U=s40-c-rp-mo-br100,3,La entencion muy buena,Very good understanding,,,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNOLVkzVmdBRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICN-Y3VgAE%7CCgwIgvKXrQYQoL6d3AI%7C?hl=en-US,1.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNOLVkzVmdBRRAB,"Eloi Fares por la gente que tiene buena experiencia de bebé ser la mínima, llevo seis horas para que me digan nada con ataque de ensueñas grave con tembleques. La única solución es esperar sentada en una silla más dura mientes 12 h lo ideal para una persona enferma. Que pena! Y lo mejor de todo el el cachondeo que se traen los doctores, cambio de turno las 20:30 todos tienes sus rigurosas 2 horas de cena.
Menos mal que es una urgencia psiquiatras. Por favor gente compent. Lo mejor las charadas de navidad y sus regalos
Es de primero de sentído común primero sois pacientes luego el cachondeo",,Laia,https://www.google.com/maps/contrib/100748034159249512145?hl=en-US,100748034159249512145,https://lh3.googleusercontent.com/a-/ALV-UjWqBHC52EDdMKe5a2cNeXHiPT6td96qSQGD9dKHr_lpgMI=s40-c-rp-mo-br100,14,"Eloi Fares por la gente que tiene buena experiencia de bebé ser la mínima, llevo seis horas para que me digan nada con ataque de ensueñas grave con tembleques. La única solución es esperar sentada en una silla más dura mientes 12 h lo ideal para una persona enferma. Que pena! Y lo mejor de todo el el cachondeo que se traen los doctores, cambio de turno las 20:30 todos tienes sus rigurosas 2 horas de cena.
Menos mal que es una urgencia psiquiatras. Por favor gente compent. Lo mejor las charadas de navidad y sus regalos
Es de primero de sentído común primero sois pacientes luego el cachondeo","Eloi Fares for people who have good experience as a baby to be the least, it took six hours for them to tell me anything with a serious dream attack with tremors. The only solution is to wait sitting in a harder chair for 12 hours, which is ideal for a sick person. What a pity! And best of all, the jokes that the doctors get, shift change at 8:30 p.m., everyone has their rigorous 2-hour dinner.
Thank goodness it's an emergency, psychiatrists. Please people compent. The best Christmas charades and their gifts
It's common sense first, first you are patient, then the joke is",,6.0,"['https://lh5.googleusercontent.com/p/AF1QipMI4FOYdB9aqn-Z_M6XpeaSv5RWWcxrnrSmFWa0=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMwoso2LNWiuLz3-yXoXXbbvH2SxxNzmw6dBl11=w100-h100-p-n-k-no']"
