,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,likes,user.local_guide,user.photos,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURWczl2bkJnEAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDVs9vnBg%7CCgwIlv7yqwYQ0K2xkAI%7C?hl=en-US,1.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURWczl2bkJnEAE,Es horrible una pesadilla de hospital en esperas en todo.,Romodorok Steinberg,https://www.google.com/maps/contrib/105229007221128069943?hl=en-US,105229007221128069943,https://lh3.googleusercontent.com/a-/ALV-UjWctgcUxQG99uVW_k5R3uX4OiQdAl8QVdvKiZiFFlYnJw=s40-c-rp-mo-br100,5,Es horrible una pesadilla de hospital en esperas en todo.,It's a horrible hospital nightmare waiting around.,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURWemNHZmp3RRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDVzcGfjwE%7CCgwI5ejtqwYQ8ImbgAM%7C?hl=en-US,1.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURWemNHZmp3RRAB,Si vas a ir a urgencias llévate comida  un libro un puzzle de 5000 mil piezas y toda la paciencia del mundo…. Ahí lo dejo suerte!!!,Eva Maria Alvarez,https://www.google.com/maps/contrib/116531875220141558070?hl=en-US,116531875220141558070,https://lh3.googleusercontent.com/a-/ALV-UjVkS6c-a8OYKt9Lyc7Ytj4KnhdIiJXoNjlNejt0mHvGvIzg=s40-c-rp-mo-ba4-br100,181,Si vas a ir a urgencias llévate comida  un libro un puzzle de 5000 mil piezas y toda la paciencia del mundo…. Ahí lo dejo suerte!!!,"If you are going to go to the emergency room, take food, a book, a 5,000-piece puzzle and all the patience in the world…. I leave it there, good luck!!!",1.0,True,1.0,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURWb2FHcEpREAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDVoaGpJQ%7CCgwIy8PmqwYQsPj04AE%7C?hl=en-US,5.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURWb2FHcEpREAE,,Jérôme Andreu Clament Sanz,https://www.google.com/maps/contrib/114897998354855971522?hl=en-US,114897998354855971522,https://lh3.googleusercontent.com/a-/ALV-UjV8CDK8ZJT7vwzBPT05SunyjuPWSt_iWd3Ki0Q_j2QRyLFO=s40-c-rp-mo-ba6-br100,100,,,,True,3451.0,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURWaHBmdE1BEAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDVhpftMA%7CCgwIxPrhqwYQyPeuvAI%7C?hl=en-US,4.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURWaHBmdE1BEAE,"Vinimos de urgencia desde lejos y el trato y la rapidez fue perfecta. En la unidad de Ictus, son gente muy atenta y grandes profesionales.

De cara a los pacientes está de maravilla pero, las salas de espera y los wc para los visitantes estan en muy mal estado. Falta de papel, rotos, sucio...",Joel Vera Photos,https://www.google.com/maps/contrib/109312393983051396116?hl=en-US,109312393983051396116,https://lh3.googleusercontent.com/a-/ALV-UjXgWbrYEHMu1fiaIQzOOAabtozL2SRenBWEOO7p30xMIGk=s40-c-rp-mo-ba4-br100,221,"Vinimos de urgencia desde lejos y el trato y la rapidez fue perfecta. En la unidad de Ictus, son gente muy atenta y grandes profesionales.

De cara a los pacientes está de maravilla pero, las salas de espera y los wc para los visitantes estan en muy mal estado. Falta de papel, rotos, sucio...","We came urgently from afar and the treatment and speed was perfect. In the Stroke unit, they are very attentive people and great professionals.

For patients it is wonderful, but the waiting rooms and toilets for visitors are in very poor condition. Lack of paper, torn, dirty...",1.0,True,42.0,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURWNEtUTEhBEAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDV4KTLHA%7CCgwI3o_WqwYQoNCnrQI%7C?hl=en-US,4.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURWNEtUTEhBEAE,,mangel aguipai,https://www.google.com/maps/contrib/101240377967708326447?hl=en-US,101240377967708326447,https://lh3.googleusercontent.com/a-/ALV-UjWGfKAwxXd3e6B86OtgudDt1c_Nx2ZT5UulxbfqkcnPAz8=s40-c-rp-mo-br100,9,,,,,3.0,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNWaThYVmx3RRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICVi8XVlwE%7CCgwIuerQqwYQkMb_lgI%7C?hl=en-US,4.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNWaThYVmx3RRAB,"5 estrellas para el equipo de neurología y unidad de Ictus por salvar la vida de mi madre.

1 estrella para el servicio de mantenimiento, sobre todo de los lavabos de los acompañantes, falta personal de limpieza que bastante hacen los y las pobres.

Señores y señoras responsables pongan medios para mejorar este aspecto, limpieza y mantenimiento .",David Sánchez,https://www.google.com/maps/contrib/107782050805862475693?hl=en-US,107782050805862475693,https://lh3.googleusercontent.com/a-/ALV-UjWjL9b5fvscVXWH7vGDQVsrYhgK3RltFm8Vci0rHyJBdh0d=s40-c-rp-mo-ba3-br100,61,"5 estrellas para el equipo de neurología y unidad de Ictus por salvar la vida de mi madre.

1 estrella para el servicio de mantenimiento, sobre todo de los lavabos de los acompañantes, falta personal de limpieza que bastante hacen los y las pobres.

Señores y señoras responsables pongan medios para mejorar este aspecto, limpieza y mantenimiento .","5 stars to the neurology team and Stroke unit for saving my mother's life.

1 star for the maintenance service, especially for the companions' toilets, there is a lack of cleaning staff, which the poor men and women do quite a bit.

Responsible gentlemen and ladies, provide means to improve this aspect, cleaning and maintenance.",1.0,True,57.0,"['https://lh5.googleusercontent.com/p/AF1QipNiJa872tDOBAeh3Y29KOvhxzxzfZqa2xnbwENJ=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO4bZQ7Yrcx09B4eFOS2eMc78H61w0sYNIWuUjh=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOBzJLp6IggIdctLkwiAbNb73kzHIV2av68YSAs=w100-h100-p-n-k-no']"
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNWcmJQc3BRRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICVrbPspQE%7CCgwIkIPOqwYQiJ7QhwM%7C?hl=en-US,5.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNWcmJQc3BRRRAB,"Llevo una semana ingresado en urgencias, y quiero agradecer la gran labor del equipo que tiene el Hospital.
En esta semana he podido escuchar a pacientes mal hablados que chillan con muy poca vergüenza y desconocen lo que es el respeto     para estas personas que lo único que hacen es su trabajo y cuidan de ellos.
Gracias por todo y ojalá vuestro trabajo sea reconocido como os merecéis
Juan G.",Zortons “Zortons”,https://www.google.com/maps/contrib/107775770883437874762?hl=en-US,107775770883437874762,https://lh3.googleusercontent.com/a/ACg8ocIbVyfY6OfHel6QU5NZbCdJzCsxrr90ZaL5TjaZrZXH=s40-c-rp-mo-ba3-br100,21,"Llevo una semana ingresado en urgencias, y quiero agradecer la gran labor del equipo que tiene el Hospital.
En esta semana he podido escuchar a pacientes mal hablados que chillan con muy poca vergüenza y desconocen lo que es el respeto     para estas personas que lo único que hacen es su trabajo y cuidan de ellos.
Gracias por todo y ojalá vuestro trabajo sea reconocido como os merecéis
Juan G.","I have been admitted to the emergency room for a week, and I want to thank the Hospital team for the great work.
This week I have been able to listen to foul-mouthed patients who scream with very little shame and do not know what respect is    for these people who all they do is their job and take care of them.
Thank you for everything and I hope your work is recognized as you deserve.
Juan G.",4.0,True,3.0,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURsXzY3N0d3EAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDl_677Gw%7CCgwI08q4qwYQ8OrNqgM%7C?hl=en-US,5.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURsXzY3N0d3EAE,"como siempre, una atencion maravillosa medica y humana todos un 10 . inmejorable",MAINAKE 55555,https://www.google.com/maps/contrib/109864232381263370089?hl=en-US,109864232381263370089,https://lh3.googleusercontent.com/a/ACg8ocJCvZoE-LqiWB9Y_7urg0G37G77vhhAVC19El8SC3ql=s40-c-rp-mo-br100,2,"como siempre, una atencion maravillosa medica y humana todos un 10 . inmejorable","As always, wonderful medical and human attention, all a 10. unbeatable",1.0,,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURsZ011eVZ3EAE!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgIDlgMuyVw%7CCgwI2POcqwYQoM3IzwE%7C?hl=en-US,1.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURsZ011eVZ3EAE,"Acudí al hospital en marzo de este 2023 con mi hija de 20 años por una bronquitis , ella tenía otras patologías previas , por lo que la mucosidad le dificultaba el comer por boca , por el peligro de hacer una broncoaspiracion . El equipo médico de neumologia decidió ponerle un catéter de vía axilar para aportarle nutrientes , mientras la mucosidad mejorara y poder poco a poco volver a darle de comer por boca . Llego una enfermera del equipo de cateters para ponerle la vía axilar, ese catéter al parecer fue al pulmón por error. Enseguida un médico del equipo de neumologia que estaba ahí con la enfermera , vino a decirnos a mi marido y a mi, que las cosas al poner ese catéter no habían ido bien y nuestra hija había entrado en una insuficiencia respiratoria. Le dijimos, que ya que estábamos en un hospital, que llamarán a la planta de cardiología para que vinieran a valorarla . Pero no nos hicieron caso a pesar de nuestra petición. Su corazoncito después de más de 24 horas, sin venir ningún cardiólogo y administrándole potasio constantemente, se paró y falleció. Simplemente , aunque parezca absurda mi reflexión, sentí que la dejaron morir. Me gustaría expresar todo lo vivido durante un mes y medio de estar mi marido y yo 24 horas al día, al lado de nuestra hija. Más de una vez sentimos la falta de empatía de algunos profesionales médicos, de enfermería y sobre todo la peor , la supervisora de la planta de neumologia, hacía unos padres que se encontraban en una  situación vulnerable, aún  resultaba más difícil pensar , que esos profesionales que piensas que van a implicarse en intentar curar a tu hija no lo hicieron almenos así lo sentimos.  Hubieron momentos que nuestra hija tuvo varias crisis epilépticas en más de diez días , y a pesar de que algunas enfermeras lo dejaban escrito en el curso médico y yo se lo explicaba al neumologo para que viniera su neurólogo para ajustar la medicacion , no vino ningún neurólogo  y sus crisis fueron empeorando . Siento que para ellos , mi hija era un número de habitación y mi marido y yo un estorbo por luchar por nuestra hija , que no hablaba y no podía explicar lo que le dolía o lo que le estaba pasando . Siento que recibimos un trato inhumano, a nosotros nadie nos va a devolver a nuestra hija . Pero  dejo aquí mi vivencia , por ella por todo lo que sufrió . Por todas esas personas jóvenes con las mismas patologías de dependencia  y necesidades especiales, que se fueron por circunstancias parecidas, ya que siento que hubieron algunos médicos que no se implicaron suficiente en nuestro caso. Y por las familias que hayan sufrido el mismo trato traumático y cruel , que hemos sufrido mi marido y yo . Esto es lo que siento y lo que he vivido.",Raquel Garcia,https://www.google.com/maps/contrib/116439079785771641942?hl=en-US,116439079785771641942,https://lh3.googleusercontent.com/a/ACg8ocKt2nU-_M8OLiFdUTtRIOlzGb25SLjrUzc3LN-_SE9D=s40-c-rp-mo-br100,2,"Acudí al hospital en marzo de este 2023 con mi hija de 20 años por una bronquitis , ella tenía otras patologías previas , por lo que la mucosidad le dificultaba el comer por boca , por el peligro de hacer una broncoaspiracion . El equipo médico de neumologia decidió ponerle un catéter de vía axilar para aportarle nutrientes , mientras la mucosidad mejorara y poder poco a poco volver a darle de comer por boca . Llego una enfermera del equipo de cateters para ponerle la vía axilar, ese catéter al parecer fue al pulmón por error. Enseguida un médico del equipo de neumologia que estaba ahí con la enfermera , vino a decirnos a mi marido y a mi, que las cosas al poner ese catéter no habían ido bien y nuestra hija había entrado en una insuficiencia respiratoria. Le dijimos, que ya que estábamos en un hospital, que llamarán a la planta de cardiología para que vinieran a valorarla . Pero no nos hicieron caso a pesar de nuestra petición. Su corazoncito después de más de 24 horas, sin venir ningún cardiólogo y administrándole potasio constantemente, se paró y falleció. Simplemente , aunque parezca absurda mi reflexión, sentí que la dejaron morir. Me gustaría expresar todo lo vivido durante un mes y medio de estar mi marido y yo 24 horas al día, al lado de nuestra hija. Más de una vez sentimos la falta de empatía de algunos profesionales médicos, de enfermería y sobre todo la peor , la supervisora de la planta de neumologia, hacía unos padres que se encontraban en una  situación vulnerable, aún  resultaba más difícil pensar , que esos profesionales que piensas que van a implicarse en intentar curar a tu hija no lo hicieron almenos así lo sentimos.  Hubieron momentos que nuestra hija tuvo varias crisis epilépticas en más de diez días , y a pesar de que algunas enfermeras lo dejaban escrito en el curso médico y yo se lo explicaba al neumologo para que viniera su neurólogo para ajustar la medicacion , no vino ningún neurólogo  y sus crisis fueron empeorando . Siento que para ellos , mi hija era un número de habitación y mi marido y yo un estorbo por luchar por nuestra hija , que no hablaba y no podía explicar lo que le dolía o lo que le estaba pasando . Siento que recibimos un trato inhumano, a nosotros nadie nos va a devolver a nuestra hija . Pero  dejo aquí mi vivencia , por ella por todo lo que sufrió . Por todas esas personas jóvenes con las mismas patologías de dependencia  y necesidades especiales, que se fueron por circunstancias parecidas, ya que siento que hubieron algunos médicos que no se implicaron suficiente en nuestro caso. Y por las familias que hayan sufrido el mismo trato traumático y cruel , que hemos sufrido mi marido y yo . Esto es lo que siento y lo que he vivido.","I went to the hospital in March 2023 with my 20-year-old daughter for bronchitis. She had other previous pathologies, so the mucus made it difficult for her to eat by mouth, due to the danger of performing a bronchoaspiration. The pulmonology medical team decided to put an axillary catheter in to provide him with nutrients, while the mucus improved and they could gradually return to feeding him by mouth. A nurse from the catheter team arrived to put in the axillary line, that catheter apparently went to the lung by mistake. Immediately a doctor from the pulmonology team who was there with the nurse came to tell my husband and me that things had not gone well when inserting that catheter and our daughter had gone into respiratory failure. We told her that since we were in a hospital, they would call the cardiology ward to come evaluate her. But they did not listen to us despite our request. His little heart, after more than 24 hours, without any cardiologist coming and constantly administering potassium, stopped and he died. Simply, although my reflection seems absurd, I felt that they let her die. I would like to express everything I experienced during a month and a half of being with my husband and I 24 hours a day, next to our daughter. More than once we felt the lack of empathy from some medical and nursing professionals, and especially the worst, the supervisor of the pulmonology ward, towards parents who were in a vulnerable situation. It was even more difficult to think that these professionals That you think they are going to get involved in trying to cure your daughter, they didn't do it, at least we're sorry. There were times when our daughter had several epileptic seizures in more than ten days, and even though some nurses wrote it down in the medical course and I explained it to the pulmonologist so that her neurologist could come to adjust the medication, no neurologist came and His crises were getting worse. I feel that for them, my daughter was a room number and my husband and I were a hindrance for fighting for our daughter, who did not speak and could not explain what was hurting her or what was happening to her. I feel that we receive inhuman treatment, no one is going to return our daughter to us. But I leave my experience here, for her and for everything she suffered. For all those young people with the same dependency pathologies and special needs, who left due to similar circumstances, since I feel that there were some doctors who were not sufficiently involved in our case. And for the families who have suffered the same traumatic and cruel treatment that my husband and I have suffered. This is what I feel and what I have experienced.",15.0,,,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNsOTVITDFRRRAB!2m1!1s0x0:0x605519a76ed9875!3m1!1s2@1:CIHM0ogKEICAgICl95HL1QE%7CCgsI0viZqwYQwOO4BQ%7C?hl=en-US,5.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNsOTVITDFRRRAB,"Quiero dar las gracias,al equipo del valle hebron,que me opero en pere virgili,y al propio equipo de pere virgili,a todos,en conjunto,desde los celadores,pasando,por auxiliares,enfermeras y cirujanos,muchas gracias,por la atencion,el cariño,la paciencia y la profesionalidad de todos.muchas gracias",rosa ortigas hernandez,https://www.google.com/maps/contrib/103874252756016692262?hl=en-US,103874252756016692262,https://lh3.googleusercontent.com/a/ACg8ocKiwn9QR53UEXJjny2qVp70pSDMTzfGgZhcF1myj3Rb=s40-c-rp-mo-br100,9,"Quiero dar las gracias,al equipo del valle hebron,que me opero en pere virgili,y al propio equipo de pere virgili,a todos,en conjunto,desde los celadores,pasando,por auxiliares,enfermeras y cirujanos,muchas gracias,por la atencion,el cariño,la paciencia y la profesionalidad de todos.muchas gracias","I want to thank the Hebron Valley team, who operated on me at Pere Virgili, and the Pere Virgili team itself, to everyone, together, from the guards, through assistants, nurses and surgeons, thank you very much, for the attention, love, patience and professionalism from everyone. Thank you very much",1.0,,,
