rating,snippet,response.date,response.snippet,Fecha,Ciudad,Dirección,Establecimiento
1.0,"Fui a urgencias el jueves 22/02 trasladada en ambulancia por un dolor en la pierna izquierda, por una ciática  y al llegar al hospital lo primero que dijeron que porque me habían llevado allí si ellos tenían las ambulancias paradas porque no tenían camas, y así tuve que quedarme en un box de urgencias a pasar la noche, sin dormir por todo el ruido y la incomodidad, sin baño, sin poderse quedar un acompañante, en fin una vergüenza y al otro día luego de hacerme una epidural y una radiofrecuencia me mandaron a casa una hora después de ese proceso tan doloroso sin haberme dejado en la REA por lo menos un tiempo prudente para darme el alta. Un trato inhumano por lo menos del Dr de urgencias quien fue que decidió darme el alta. Soy cliente de Sanitas desde hace más de 7 años, y este trato no se lo merece nadie",,,2024-03-01 19:54:54.764180,Madrid,"Calle de Pleyades, 25",Hospital Universitario La Zarzuela
1.0,"Mi experiencia fue nefasta acudí 2 años atrás para una operación de nariz tanto estética como por salud, de la cual me salió horrible, la nariz se me quedo mas torcida, las fosas nasales desiguales y el tabique también torcido de tal manera que se veía a simple vista, a eso que vuelvo para las revisiones y efectivamente el médico (Doctor Antonio Lara Peinado ) me dice que han salido muchas cosas mal y que me van a tener que volver a operar, asi que pasado un año me volví a someter a otra cirugía para reparar los fallos que habían cometido… , un año mas tarde y después de dos cirugías mi nariz se sigue viendo torcida la punta con desniveles y en el tabique con bolas de cartílagos a la que vuelvo a la clínica para la revisión y adivinen que me dice? Que me tienen que volver a operar para arreglarlo otra vez .
PERO VOSOTROS DE VERDAD SOIS CONSIENTES DE QUE YO A PARTE DE PAGAR 5.000€ POR ALGO QUE ME TENIA QUE SALIR BIEN DESDE EL PRIMER MOMENTO ME TENGA QUE SOMETER A 3 OPERACIÓNES????
2 AÑOS SEGUIDOS A ANESTESIA A RECUPERACIONES DOLOROSAS A VERME CONSTANTEMENTE MAL CON MI NARIZ… QUE VERGÜENZA DE VERDAD MUCHO PRIVADO, PRIVADO Y LUEGO PERSONAS NO CUALIFICADAS EN EL ÁMBITO
TENGAN MUCHO CUIDADOO CON QUIEN SE OPEREN
TOMARE MEDIDAS LEGALES…
ESTO ES UNA VERGÜENZA",,,2024-02-27 19:54:54.764180,Madrid,"Calle de Pleyades, 25",Hospital Universitario La Zarzuela
5.0,"He estado 10 días ingresado por una buena neumonía. No tengo palabras, como siempre, para agradecer el trato y la atención a todo el personal. Desde el Dr. Del Portillo, pasando por todo el personal de enfermería, auxiliares, celadores, limpieza, que tan bien me han hecho sentir en estos días difíciles. Admiro vuestra profesionalidad y os felicito por el desarrollo de vuestro trabajo.",,,2024-02-27 19:54:54.764180,Madrid,"Calle de Pleyades, 25",Hospital Universitario La Zarzuela
5.0,"Estuvimos ayer en urgencias a las 20:00, el trato increíble, la chica de recepción muy amable, quiero hacer mención especial al doctor que nos atendió, el Doctor Enrique Machuca, fue muy atento, rápido y profesional, un 10 en todo.",6 days ago,"Hola Maria,
¡Gracias por una reseña tan positiva, que transmitiremos al equipo médico que te atendió! Significa mucho para nosotros saber que has tenido una buena experiencia.",2024-03-01 19:54:54.764180,Madrid,"Calle de Pleyades, 25",Hospital Universitario La Zarzuela
5.0,"Como siempre hay de todo, puedes tener más suerte o menos, al final me que quedo con el resultado global para la valoración, mención especial a dos enfermeras de UCI excepcionales, Helen y Fabiola, gracias por vuestro trabajo y dedicación, sois profesionales de 10.",a week ago,"Hola M,
Gracias por dedicarnos tiempo y comunicarnos tu opinión, que trasladaremos al equipo médico y de enfermería.",2024-02-18 19:54:54.764180,Madrid,"Calle de Pleyades, 25",Hospital Universitario La Zarzuela
1.0,"Aboné 2.500€ por una cirugía de mohs en la oreja y me indicaron que en ese pago se incluía cualquier consulta que tuviese relación con la intervención. Me operé y a la semana acudí a que me realizasen las curas. El cirujano me comentó que acudiese al terminar la cura a la consulta del otorrino del mismo hospital, ya que quería asegurarse de que no había restos obstruyendo el conducto auditivo. Fui a dicha consulta, le comenté la situación a las recepcionistas (haciéndoles hincapié en que no tenia seguro y que la operación la había pagado por mi cuenta)y me dijeron que no había problema y el otorrino tenia un hueco para verme. Pasé a la consulta y me dijo que no tenia nada en el oido (fueron 30 segundos de consulta) y al salir la chica de recepción me llama y me dice que no me puedo ir sin abonar la consulta, que son 120€. Le explico la situación y que cuando pague la operación me aseguraron que todo lo que guardase relación con la misma estaba incluido y me dijo que no. Así que tuve que abonar 120€ a pesar de lo que me dijeron el primer dia y ademas de no haberme avisado la recepcionista previamente de lo que tendria que abonar. Me siento robado y estafado",a week ago,"Nos importa mucho tu opinión y nos gustaría darte una atención personal. Para ello, si lo deseas, por favor mándanos un Email a teescuchamos-zarzuela@sanitas.es con tus datos de contacto. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]",2024-02-18 19:54:54.764180,Madrid,"Calle de Pleyades, 25",Hospital Universitario La Zarzuela
5.0,"Hemos llevado  todo el embarazo en el hospital. Y desde el equipo de ginecología y obstetricia hasta el feliz momento del nacimiento, el trato ha sido excelente! Entramos por urgencias por lo que también os transmitimos que fue el mismo trato. Matronas, ginecólog@s, enfermer@s, celador@s, personal de limpieza en fin ,todos con un un trato amabilísimo y cercano!
Nos gustaría reseñar a la matrona Maricela! Que encanto, que seguridad y que magnifica profesional!
Las instalaciones de 10! Mil gracias de parte del nuevo miembro de la familia,
Gabriel!!!",a week ago,"Hola Sergio,
¡Tus palabras significan mucho para nosotros! Nos alegra saber que estás contento con el servicio ofrecido :)
¡Todo el equipo de Hospital Sanitas La Zarzuela te desea un excelente día!",2024-02-18 19:54:54.765177,Madrid,"Calle de Pleyades, 25",Hospital Universitario La Zarzuela
1.0,Un análisis de sangre privado 219€ y sin resultados……en laboratorio no te cogen el teléfono y no contestan a los emails,2 weeks ago,"Sentimos la valoración obtenida. Estamos comprometidos con el aprendizaje y la mejora continua; por eso, por favor, ponte en contacto con nosotros en teescuchamos-zarzuela@sanitas.es con tus datos, para conocer mejor la situación.  [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]",2024-02-11 19:54:54.765177,Madrid,"Calle de Pleyades, 25",Hospital Universitario La Zarzuela
5.0,"El día 30 de enero tuve consulta con Dermatología y me atendió la doctora Natalia del Olmo. Acudí a consulta porque me apareció un bultito en la cara con una pequeña mancha y me diagnosticó queratosis seborreica. Me explicó que me lo podía disimular en consulta quemando el tejido con nitrógeno (crioterapia) allí mismo, pero que no me iba a desaparecer al 100%.

Casi 15 días después, ya no tengo absolutamente NADA, mi piel ha quedado perfecta. Muchas gracias a la doctora Natalia por su profesionalidad y su buen trato. Me ha quitado un gran complejo que tenía y que me estaba atormentando.",2 weeks ago,"Hola Noelia,
Gracias por dedicarnos tiempo y comunicarnos tu opinión, la cual trasladaremos al equipo médico.
Que tengas un buen día.",2024-02-11 19:54:54.765177,Madrid,"Calle de Pleyades, 25",Hospital Universitario La Zarzuela
1.0,Increíble llamar continuamente y son incapaces de contestar el telefono. Vergonzoso,2 weeks ago,"Sentimos la valoración obtenida. Estamos comprometidos con el aprendizaje y la mejora continua; por eso, por favor, si lo deseas, ponte en contacto con nosotros en teescuchamos-zarzuela@sanitas.es con tus datos, para conocer mejor la situación.  [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]",2024-02-11 19:54:54.765177,Madrid,"Calle de Pleyades, 25",Hospital Universitario La Zarzuela
