,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,images,user.photos,response.date,response.snippet,response.extracted_snippet.original,response.extracted_snippet.translated,likes,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM5bE9MNF9RRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIC9lOL4_QE%7CCgwI9aqNrwYQyOeA3gE%7C?hl=en-US,1.0,a day ago,Google,ChdDSUhNMG9nS0VJQ0FnSUM5bE9MNF9RRRAB,"Fui a urgencias el jueves 22/02 trasladada en ambulancia por un dolor en la pierna izquierda, por una ciática  y al llegar al hospital lo primero que dijeron que porque me habían llevado allí si ellos tenían las ambulancias paradas porque no tenían camas, y así tuve que quedarme en un box de urgencias a pasar la noche, sin dormir por todo el ruido y la incomodidad, sin baño, sin poderse quedar un acompañante, en fin una vergüenza y al otro día luego de hacerme una epidural y una radiofrecuencia me mandaron a casa una hora después de ese proceso tan doloroso sin haberme dejado en la REA por lo menos un tiempo prudente para darme el alta. Un trato inhumano por lo menos del Dr de urgencias quien fue que decidió darme el alta. Soy cliente de Sanitas desde hace más de 7 años, y este trato no se lo merece nadie",neuridicis almanzar,https://www.google.com/maps/contrib/102920480020699631513?hl=en-US,102920480020699631513,https://lh3.googleusercontent.com/a-/ALV-UjUEQloNmXTpOxXIghO6KZbgQX5SvTghlDYeLOgFOfvhLOQ=s40-c-rp-mo-br100,10,"Fui a urgencias el jueves 22/02 trasladada en ambulancia por un dolor en la pierna izquierda, por una ciática  y al llegar al hospital lo primero que dijeron que porque me habían llevado allí si ellos tenían las ambulancias paradas porque no tenían camas, y así tuve que quedarme en un box de urgencias a pasar la noche, sin dormir por todo el ruido y la incomodidad, sin baño, sin poderse quedar un acompañante, en fin una vergüenza y al otro día luego de hacerme una epidural y una radiofrecuencia me mandaron a casa una hora después de ese proceso tan doloroso sin haberme dejado en la REA por lo menos un tiempo prudente para darme el alta. Un trato inhumano por lo menos del Dr de urgencias quien fue que decidió darme el alta. Soy cliente de Sanitas desde hace más de 7 años, y este trato no se lo merece nadie","I went to the emergency room on Thursday 02/22, transported by ambulance due to pain in my left leg, due to sciatica, and when I arrived at the hospital the first thing they said was that why had they taken me there if they had the ambulances stopped because they didn't have beds, and so on. I had to stay in an emergency room to spend the night, without sleeping because of all the noise and discomfort, without a bathroom, without being able to have a companion, in short a shame and the next day after having an epidural and a radiofrequency they sent me I went home an hour after that painful process without having left me in the REA for at least a reasonable amount of time to discharge myself. Inhumane treatment at least from the emergency doctor who decided to discharge me. I have been a Sanitas customer for more than 7 years, and no one deserves this treatment.",,,,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURkMjcyZmVREAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDd272feQ%7CCgwIjIX4rgYQ4Lq9rwI%7C?hl=en-US,1.0,5 days ago,Google,ChZDSUhNMG9nS0VJQ0FnSURkMjcyZmVREAE,"Mi experiencia fue nefasta acudí 2 años atrás para una operación de nariz tanto estética como por salud, de la cual me salió horrible, la nariz se me quedo mas torcida, las fosas nasales desiguales y el tabique también torcido de tal manera que se veía a simple vista, a eso que vuelvo para las revisiones y efectivamente el médico (Doctor Antonio Lara Peinado ) me dice que han salido muchas cosas mal y que me van a tener que volver a operar, asi que pasado un año me volví a someter a otra cirugía para reparar los fallos que habían cometido… , un año mas tarde y después de dos cirugías mi nariz se sigue viendo torcida la punta con desniveles y en el tabique con bolas de cartílagos a la que vuelvo a la clínica para la revisión y adivinen que me dice? Que me tienen que volver a operar para arreglarlo otra vez .
PERO VOSOTROS DE VERDAD SOIS CONSIENTES DE QUE YO A PARTE DE PAGAR 5.000€ POR ALGO QUE ME TENIA QUE SALIR BIEN DESDE EL PRIMER MOMENTO ME TENGA QUE SOMETER A 3 OPERACIÓNES????
2 AÑOS SEGUIDOS A ANESTESIA A RECUPERACIONES DOLOROSAS A VERME CONSTANTEMENTE MAL CON MI NARIZ… QUE VERGÜENZA DE VERDAD MUCHO PRIVADO, PRIVADO Y LUEGO PERSONAS NO CUALIFICADAS EN EL ÁMBITO
TENGAN MUCHO CUIDADOO CON QUIEN SE OPEREN
TOMARE MEDIDAS LEGALES…
ESTO ES UNA VERGÜENZA",Roxana Mihaela,https://www.google.com/maps/contrib/106436673250153847537?hl=en-US,106436673250153847537,https://lh3.googleusercontent.com/a/ACg8ocLEGEdqHAqbILxGJdsSslxZn78TuNLf9cFXgaups7r-=s40-c-rp-mo-br100,2,"Mi experiencia fue nefasta acudí 2 años atrás para una operación de nariz tanto estética como por salud, de la cual me salió horrible, la nariz se me quedo mas torcida, las fosas nasales desiguales y el tabique también torcido de tal manera que se veía a simple vista, a eso que vuelvo para las revisiones y efectivamente el médico (Doctor Antonio Lara Peinado ) me dice que han salido muchas cosas mal y que me van a tener que volver a operar, asi que pasado un año me volví a someter a otra cirugía para reparar los fallos que habían cometido… , un año mas tarde y después de dos cirugías mi nariz se sigue viendo torcida la punta con desniveles y en el tabique con bolas de cartílagos a la que vuelvo a la clínica para la revisión y adivinen que me dice? Que me tienen que volver a operar para arreglarlo otra vez .
PERO VOSOTROS DE VERDAD SOIS CONSIENTES DE QUE YO A PARTE DE PAGAR 5.000€ POR ALGO QUE ME TENIA QUE SALIR BIEN DESDE EL PRIMER MOMENTO ME TENGA QUE SOMETER A 3 OPERACIÓNES????
2 AÑOS SEGUIDOS A ANESTESIA A RECUPERACIONES DOLOROSAS A VERME CONSTANTEMENTE MAL CON MI NARIZ… QUE VERGÜENZA DE VERDAD MUCHO PRIVADO, PRIVADO Y LUEGO PERSONAS NO CUALIFICADAS EN EL ÁMBITO
TENGAN MUCHO CUIDADOO CON QUIEN SE OPEREN
TOMARE MEDIDAS LEGALES…
ESTO ES UNA VERGÜENZA","My experience was disastrous. I went 2 years ago for a nose operation, both cosmetic and for health reasons, which turned out horribly, my nose became more crooked, my nostrils were uneven and my septum was also twisted in such a way that it looked like At first glance, I return for the check-ups and indeed the doctor (Doctor Antonio Lara Peinado) tells me that many things have gone wrong and that they are going to have to operate again, so after a year I underwent another one. surgery to repair the mistakes they had made..., a year later and after two surgeries my nose still looks crooked at the tip with unevenness and in the septum with balls of cartilage to which I return to the clinic for the check-up and guess what? tells me? They have to operate on me again to fix it again.
BUT ARE YOU REALLY AWARE THAT IN ADDITION TO PAYING €5,000 FOR SOMETHING THAT HAD TO GO WELL FROM THE FIRST MOMENT, I HAVE TO UNDERGO 3 OPERATIONS????
2 YEARS CONTINUED TO ANESTHESIA TO PAINFUL RECOVERIES TO SEEING MY NOSE CONSTANTLY WRONG WITH MY NOSE... WHAT A REAL SHAME A LOT OF PRIVATE, PRIVATE AND THEN UNQUALIFIED PEOPLE IN THE FIELD
BE VERY CAREFUL WITH WHOM YOU OPERATE WITH
I WILL TAKE LEGAL MEASURES…
THIS IS A SHAME","['https://lh5.googleusercontent.com/p/AF1QipPTxBGyadKsOE4fjGDxMxAxk4fDZM6GwlUyZGM3=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPu0Zvkdmr9PGT8nK_55bmBR2Wlyybm4zG8y9Bx=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPWpUWpLIGo6jhlxNmq0pVZNKRj7zc4e3zS25W1=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipM1k1o0XPLU3rRNPTJRILpvytFsqPqKu0LA0hZW=w100-h100-p-n-k-no']",4.0,,,,,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURkb19xN1dnEAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDdo_q7Wg%7CCgsIx97zrgYQ4NSdIQ%7C?hl=en-US,5.0,5 days ago,Google,ChZDSUhNMG9nS0VJQ0FnSURkb19xN1dnEAE,"He estado 10 días ingresado por una buena neumonía. No tengo palabras, como siempre, para agradecer el trato y la atención a todo el personal. Desde el Dr. Del Portillo, pasando por todo el personal de enfermería, auxiliares, celadores, limpieza, que tan bien me han hecho sentir en estos días difíciles. Admiro vuestra profesionalidad y os felicito por el desarrollo de vuestro trabajo.",Jose Manuel Bernabe,https://www.google.com/maps/contrib/101504171412304044950?hl=en-US,101504171412304044950,https://lh3.googleusercontent.com/a/ACg8ocKaPMZn6HaHsZXuc8JR2VMezYqmJsG4D_g-HKWu5D6E=s40-c-rp-mo-br100,5,"He estado 10 días ingresado por una buena neumonía. No tengo palabras, como siempre, para agradecer el trato y la atención a todo el personal. Desde el Dr. Del Portillo, pasando por todo el personal de enfermería, auxiliares, celadores, limpieza, que tan bien me han hecho sentir en estos días difíciles. Admiro vuestra profesionalidad y os felicito por el desarrollo de vuestro trabajo.","I have been hospitalized for 10 days with severe pneumonia. I have no words, as always, to thank all the staff for their treatment and attention. From Dr. Del Portillo, to all the nursing staff, assistants, caretakers, cleaning staff, who have made me feel so good in these difficult days. I admire your professionalism and congratulate you on the development of your work.",,,,,,,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURkaklfR2lRRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDdjI_GiQE%7CCgwIv9nXrgYQ8ICz-QI%7C?hl=en-US,5.0,a week ago,Google,ChdDSUhNMG9nS0VJQ0FnSURkaklfR2lRRRAB,"Estuvimos ayer en urgencias a las 20:00, el trato increíble, la chica de recepción muy amable, quiero hacer mención especial al doctor que nos atendió, el Doctor Enrique Machuca, fue muy atento, rápido y profesional, un 10 en todo.",Maria Hernandez,https://www.google.com/maps/contrib/104347055103865260490?hl=en-US,104347055103865260490,https://lh3.googleusercontent.com/a/ACg8ocIz7E2B5jVl6lxjrNNCpD5l7dcJEIoC3vvMQmmuBH0N=s40-c-rp-mo-br100,8,"Estuvimos ayer en urgencias a las 20:00, el trato increíble, la chica de recepción muy amable, quiero hacer mención especial al doctor que nos atendió, el Doctor Enrique Machuca, fue muy atento, rápido y profesional, un 10 en todo.","We were in the emergency room yesterday at 8:00 p.m., the treatment was incredible, the girl at the reception was very friendly, I want to make special mention of the doctor who treated us, Doctor Enrique Machuca, he was very attentive, fast and professional, a 10 in everything.",,2.0,6 days ago,"Hola Maria,
¡Gracias por una reseña tan positiva, que transmitiremos al equipo médico que te atendió! Significa mucho para nosotros saber que has tenido una buena experiencia.","Hola Maria,
¡Gracias por una reseña tan positiva, que transmitiremos al equipo médico que te atendió! Significa mucho para nosotros saber que has tenido una buena experiencia.","Hello Maria,
Thank you for such a positive review, which we will pass on to the medical team that treated you! It means a lot to us to know that you had a good experience.",,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkOGIydGNREAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICd8b2tcQ%7CCgwIjsy7rgYQoKmS4gI%7C?hl=en-US,5.0,2 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkOGIydGNREAE,"Como siempre hay de todo, puedes tener más suerte o menos, al final me que quedo con el resultado global para la valoración, mención especial a dos enfermeras de UCI excepcionales, Helen y Fabiola, gracias por vuestro trabajo y dedicación, sois profesionales de 10.",M R,https://www.google.com/maps/contrib/102045507213191941311?hl=en-US,102045507213191941311,https://lh3.googleusercontent.com/a/ACg8ocIwC83afauCCrYYy78YjFGcCVH1043PDrzbe4a7JCTbzw=s40-c-rp-mo-br100,2,"Como siempre hay de todo, puedes tener más suerte o menos, al final me que quedo con el resultado global para la valoración, mención especial a dos enfermeras de UCI excepcionales, Helen y Fabiola, gracias por vuestro trabajo y dedicación, sois profesionales de 10.","As there is always everything, you can be more lucky or less, in the end I am left with the overall result for the assessment, special mention to two exceptional ICU nurses, Helen and Fabiola, thank you for your work and dedication, you are 10 professionals .",,,a week ago,"Hola M,
Gracias por dedicarnos tiempo y comunicarnos tu opinión, que trasladaremos al equipo médico y de enfermería.","Hola M,
Gracias por dedicarnos tiempo y comunicarnos tu opinión, que trasladaremos al equipo médico y de enfermería.","Hello M,
Thank you for taking the time and letting us know your opinion, which we will pass on to the medical and nursing team.",,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkN0lYeW5RRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICd7IXynQE%7CCgwIpv6trgYQuLzRygI%7C?hl=en-US,1.0,2 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNkN0lYeW5RRRAB,"Aboné 2.500€ por una cirugía de mohs en la oreja y me indicaron que en ese pago se incluía cualquier consulta que tuviese relación con la intervención. Me operé y a la semana acudí a que me realizasen las curas. El cirujano me comentó que acudiese al terminar la cura a la consulta del otorrino del mismo hospital, ya que quería asegurarse de que no había restos obstruyendo el conducto auditivo. Fui a dicha consulta, le comenté la situación a las recepcionistas (haciéndoles hincapié en que no tenia seguro y que la operación la había pagado por mi cuenta)y me dijeron que no había problema y el otorrino tenia un hueco para verme. Pasé a la consulta y me dijo que no tenia nada en el oido (fueron 30 segundos de consulta) y al salir la chica de recepción me llama y me dice que no me puedo ir sin abonar la consulta, que son 120€. Le explico la situación y que cuando pague la operación me aseguraron que todo lo que guardase relación con la misma estaba incluido y me dijo que no. Así que tuve que abonar 120€ a pesar de lo que me dijeron el primer dia y ademas de no haberme avisado la recepcionista previamente de lo que tendria que abonar. Me siento robado y estafado",patricia gonzalez,https://www.google.com/maps/contrib/106587372793762928912?hl=en-US,106587372793762928912,https://lh3.googleusercontent.com/a/ACg8ocKG48mOjUxsKoAPox20ed4wFPxa3aY_ejXcZpk0Pqv9=s40-c-rp-mo-br100,10,"Aboné 2.500€ por una cirugía de mohs en la oreja y me indicaron que en ese pago se incluía cualquier consulta que tuviese relación con la intervención. Me operé y a la semana acudí a que me realizasen las curas. El cirujano me comentó que acudiese al terminar la cura a la consulta del otorrino del mismo hospital, ya que quería asegurarse de que no había restos obstruyendo el conducto auditivo. Fui a dicha consulta, le comenté la situación a las recepcionistas (haciéndoles hincapié en que no tenia seguro y que la operación la había pagado por mi cuenta)y me dijeron que no había problema y el otorrino tenia un hueco para verme. Pasé a la consulta y me dijo que no tenia nada en el oido (fueron 30 segundos de consulta) y al salir la chica de recepción me llama y me dice que no me puedo ir sin abonar la consulta, que son 120€. Le explico la situación y que cuando pague la operación me aseguraron que todo lo que guardase relación con la misma estaba incluido y me dijo que no. Así que tuve que abonar 120€ a pesar de lo que me dijeron el primer dia y ademas de no haberme avisado la recepcionista previamente de lo que tendria que abonar. Me siento robado y estafado","I paid €2,500 for Mohs surgery on my ear and they told me that this payment included any consultation related to the intervention. I had surgery and a week later I went to have the treatments performed. The surgeon told me to go to the ENT office at the same hospital after the treatment was finished, since he wanted to make sure that there was no debris obstructing the ear canal. I went to that consultation, I mentioned the situation to the receptionists (emphasizing that I did not have insurance and that I had paid for the operation on my own) and they told me that there was no problem and the ENT doctor had a time to see me. I went to the consultation and she told me that I had nothing in my ear (it was a 30 second consultation) and when I left the girl at the reception called me and told me that I couldn't leave without paying for the consultation, which was €120. I explained the situation to him and that when I paid for the operation they assured me that everything related to it was included and he told me no. So I had to pay €120 despite what they told me on the first day and in addition to the fact that the receptionist had not notified me in advance of what I would have to pay. I feel robbed and cheated",,8.0,a week ago,"Nos importa mucho tu opinión y nos gustaría darte una atención personal. Para ello, si lo deseas, por favor mándanos un Email a teescuchamos-zarzuela@sanitas.es con tus datos de contacto. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Nos importa mucho tu opinión y nos gustaría darte una atención personal. Para ello, si lo deseas, por favor mándanos un Email a teescuchamos-zarzuela@sanitas.es con tus datos de contacto. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Your opinion is very important to us and we would like to give you personal attention. To do this, if you wish, please send us an Email to teescuchamos-zarzuela@sanitas.es with your contact information. Thank you so much. [+info. about how we treat your personal data at www.sanitas.es/gdpr]",1.0,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkNUk2X1R3EAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICd5I6_Tw%7CCgwIptanrgYQiMC5gwE%7C?hl=en-US,5.0,2 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkNUk2X1R3EAE,"Hemos llevado  todo el embarazo en el hospital. Y desde el equipo de ginecología y obstetricia hasta el feliz momento del nacimiento, el trato ha sido excelente! Entramos por urgencias por lo que también os transmitimos que fue el mismo trato. Matronas, ginecólog@s, enfermer@s, celador@s, personal de limpieza en fin ,todos con un un trato amabilísimo y cercano!
Nos gustaría reseñar a la matrona Maricela! Que encanto, que seguridad y que magnifica profesional!
Las instalaciones de 10! Mil gracias de parte del nuevo miembro de la familia,
Gabriel!!!",sergio buades,https://www.google.com/maps/contrib/100414302591743301037?hl=en-US,100414302591743301037,https://lh3.googleusercontent.com/a-/ALV-UjW4zJ16KmsEimhLQCtLlZ7sdsR_PBAfB17nzDFj9KNxJA=s40-c-rp-mo-br100,5,"Hemos llevado  todo el embarazo en el hospital. Y desde el equipo de ginecología y obstetricia hasta el feliz momento del nacimiento, el trato ha sido excelente! Entramos por urgencias por lo que también os transmitimos que fue el mismo trato. Matronas, ginecólog@s, enfermer@s, celador@s, personal de limpieza en fin ,todos con un un trato amabilísimo y cercano!
Nos gustaría reseñar a la matrona Maricela! Que encanto, que seguridad y que magnifica profesional!
Las instalaciones de 10! Mil gracias de parte del nuevo miembro de la familia,
Gabriel!!!","We spent the entire pregnancy in the hospital. And from the gynecology and obstetrics team to the happy moment of birth, the treatment has been excellent! We came in through the emergency room, so we also told you that it was the same treatment. Midwives, gynecologists, nurses, caretakers, cleaning staff, in short, all with very friendly and close treatment!
We would like to review midwife Maricela! What charm, what security and what a magnificent professional!
The facilities of 10! Thank you very much from the new member of the family,
Gabriel!!!",,,a week ago,"Hola Sergio,
¡Tus palabras significan mucho para nosotros! Nos alegra saber que estás contento con el servicio ofrecido :)
¡Todo el equipo de Hospital Sanitas La Zarzuela te desea un excelente día!","Hola Sergio,
¡Tus palabras significan mucho para nosotros! Nos alegra saber que estás contento con el servicio ofrecido :)
¡Todo el equipo de Hospital Sanitas La Zarzuela te desea un excelente día!","Hello Sergio,
Your words mean a lot to us! We are glad to know that you are happy with the service offered :)
The entire team at Hospital Sanitas La Zarzuela wishes you a great day!",,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkb01mSEtBEAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICdoMfHKA%7CCgsIhqKergYQuKiHXQ%7C?hl=en-US,1.0,3 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkb01mSEtBEAE,Un análisis de sangre privado 219€ y sin resultados……en laboratorio no te cogen el teléfono y no contestan a los emails,Isabel,https://www.google.com/maps/contrib/110165274707234201640?hl=en-US,110165274707234201640,https://lh3.googleusercontent.com/a/ACg8ocIxm9EZG7zJ0bhOEoV3K9JSJB7r9KtvMjnDLHonFzG_OA=s40-c-rp-mo-br100,4,Un análisis de sangre privado 219€ y sin resultados……en laboratorio no te cogen el teléfono y no contestan a los emails,A private blood test €219 and no results...the laboratory doesn't answer the phone and doesn't answer emails,,,2 weeks ago,"Sentimos la valoración obtenida. Estamos comprometidos con el aprendizaje y la mejora continua; por eso, por favor, ponte en contacto con nosotros en teescuchamos-zarzuela@sanitas.es con tus datos, para conocer mejor la situación.  [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Sentimos la valoración obtenida. Estamos comprometidos con el aprendizaje y la mejora continua; por eso, por favor, ponte en contacto con nosotros en teescuchamos-zarzuela@sanitas.es con tus datos, para conocer mejor la situación.  [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","We are sorry for the evaluation obtained. We are committed to continuous learning and improvement; Therefore, please contact us at teescuchamos-zarzuela@sanitas.es with your information, to better understand the situation. [+info. about how we treat your personal data at www.sanitas.es/gdpr]",1.0,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkOE9xS0FnEAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICd8OqKAg%7CCgwI16qdrgYQiOb38gI%7C?hl=en-US,5.0,3 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkOE9xS0FnEAE,"El día 30 de enero tuve consulta con Dermatología y me atendió la doctora Natalia del Olmo. Acudí a consulta porque me apareció un bultito en la cara con una pequeña mancha y me diagnosticó queratosis seborreica. Me explicó que me lo podía disimular en consulta quemando el tejido con nitrógeno (crioterapia) allí mismo, pero que no me iba a desaparecer al 100%.

Casi 15 días después, ya no tengo absolutamente NADA, mi piel ha quedado perfecta. Muchas gracias a la doctora Natalia por su profesionalidad y su buen trato. Me ha quitado un gran complejo que tenía y que me estaba atormentando.",Noelia Rodríguez,https://www.google.com/maps/contrib/107965231277035261569?hl=en-US,107965231277035261569,https://lh3.googleusercontent.com/a-/ALV-UjU8XTwj_9dxXtNRITYhctdXOzi0g0WxKsUl8kYiOeOW5xU=s40-c-rp-mo-ba4-br100,68,"El día 30 de enero tuve consulta con Dermatología y me atendió la doctora Natalia del Olmo. Acudí a consulta porque me apareció un bultito en la cara con una pequeña mancha y me diagnosticó queratosis seborreica. Me explicó que me lo podía disimular en consulta quemando el tejido con nitrógeno (crioterapia) allí mismo, pero que no me iba a desaparecer al 100%.

Casi 15 días después, ya no tengo absolutamente NADA, mi piel ha quedado perfecta. Muchas gracias a la doctora Natalia por su profesionalidad y su buen trato. Me ha quitado un gran complejo que tenía y que me estaba atormentando.","On January 30, I had a consultation with Dermatology and Dr. Natalia del Olmo saw me. I went to the consultation because a lump appeared on my face with a small spot and I was diagnosed with seborrheic keratosis. He explained to me that I could hide it in the office by burning the tissue with nitrogen (cryotherapy) right there, but that it was not going to disappear 100%.

Almost 15 days later, I have absolutely NOTHING, my skin is perfect. Many thanks to Dr. Natalia for her professionalism and good treatment. It has removed a big complex that I had and that was tormenting me.",,11.0,2 weeks ago,"Hola Noelia,
Gracias por dedicarnos tiempo y comunicarnos tu opinión, la cual trasladaremos al equipo médico.
Que tengas un buen día.","Hola Noelia,
Gracias por dedicarnos tiempo y comunicarnos tu opinión, la cual trasladaremos al equipo médico.
Que tengas un buen día.","Hello Noelia,
Thank you for taking the time and communicating your opinion, which we will pass on to the medical team.
Have a good day.",,True
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR0al9mOFpBEAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDtj_f8ZA%7CCgwI5r6SrgYQwI7q2QI%7C?hl=en-US,1.0,3 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR0al9mOFpBEAE,Increíble llamar continuamente y son incapaces de contestar el telefono. Vergonzoso,MAM,https://www.google.com/maps/contrib/109273504924206043426?hl=en-US,109273504924206043426,https://lh3.googleusercontent.com/a/ACg8ocIiGkyt4L1MFuYqRkuccphEj3l1ap14imQWjRg2D7Zz=s40-c-rp-mo-ba4-br100,8,Increíble llamar continuamente y son incapaces de contestar el telefono. Vergonzoso,Incredible to continually call and are unable to answer the phone. Shameful,,255.0,2 weeks ago,"Sentimos la valoración obtenida. Estamos comprometidos con el aprendizaje y la mejora continua; por eso, por favor, si lo deseas, ponte en contacto con nosotros en teescuchamos-zarzuela@sanitas.es con tus datos, para conocer mejor la situación.  [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Sentimos la valoración obtenida. Estamos comprometidos con el aprendizaje y la mejora continua; por eso, por favor, si lo deseas, ponte en contacto con nosotros en teescuchamos-zarzuela@sanitas.es con tus datos, para conocer mejor la situación.  [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","We are sorry for the evaluation obtained. We are committed to continuous learning and improvement; Therefore, please, if you wish, contact us at teescuchamos-zarzuela@sanitas.es with your information, to better understand the situation. [+info. about how we treat your personal data at www.sanitas.es/gdpr]",1.0,True
