,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,response.date,response.snippet,response.extracted_snippet.original,response.extracted_snippet.translated,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR4cTdfcmRREAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDxq7_rdQ%7CCgwIj6qrpAYQoMbozQM%7C?hl=en-US,1.0,8 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR4cTdfcmRREAE,"Te ofrecen un servicio de parto “humanizado/ parto respetado”. Que hay que contratar, es el
Servicio de la bañera para parir sin epidural.
Al momento de contratarlo luego de que llevo 9 meses yendo a este hospital por que una de las razones que lo elegí fue esta.
Me dicen que no pueden brindar ese servicio.
Así que de respeto y humanización no tiene nada si tengo que parir a costa de cómo se le da la gana al hospital.

NO ENTIENDO LA RAZÓN de que ofrezcan algo que no tienen una falta total de respeto hacia el paciente.",2.0,Victoria Garcia,https://www.google.com/maps/contrib/114451920418802278223?hl=en-US,114451920418802278223,https://lh3.googleusercontent.com/a-/ALV-UjV38JPevS53Fo14vpQR1UhZoMqwwnIp6vNaQPc1NJ9GchGP=s40-c-rp-mo-ba2-br100,True,11.0,2.0,"Te ofrecen un servicio de parto “humanizado/ parto respetado”. Que hay que contratar, es el
Servicio de la bañera para parir sin epidural.
Al momento de contratarlo luego de que llevo 9 meses yendo a este hospital por que una de las razones que lo elegí fue esta.
Me dicen que no pueden brindar ese servicio.
Así que de respeto y humanización no tiene nada si tengo que parir a costa de cómo se le da la gana al hospital.

NO ENTIENDO LA RAZÓN de que ofrezcan algo que no tienen una falta total de respeto hacia el paciente.","They offer you a “humanized/respected birth” service. What must be hired, is the
Bathtub service for giving birth without epidural.
At the time of hiring him after I had been going to this hospital for 9 months because one of the reasons I chose it was this.
They tell me they can't provide that service.
So there is nothing about respect and humanization if I have to give birth at the expense of whatever the hospital wants.

I DON'T UNDERSTAND WHY they offer something that doesn't have a total lack of respect for the patient.",8 months ago,"Sentimos la valoración obtenida. Estamos comprometidos con el aprendizaje y la mejora continua; por eso, por favor, ponte en contacto con nosotros en teescuchamos-zarzuela@sanitas.es con tus datos, para conocer mejor la situación.  [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Sentimos la valoración obtenida. Estamos comprometidos con el aprendizaje y la mejora continua; por eso, por favor, ponte en contacto con nosotros en teescuchamos-zarzuela@sanitas.es con tus datos, para conocer mejor la situación.  [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","We are sorry for the evaluation obtained. We are committed to continuous learning and improvement; Therefore, please contact us at teescuchamos-zarzuela@sanitas.es with your information, to better understand the situation. [+info. about how we treat your personal data at www.sanitas.es/gdpr]",
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoek9pUFdBEAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDhzOiPWA%7CCgwIwPyqpAYQwIG6qAE%7C?hl=en-US,5.0,8 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoek9pUFdBEAE,"Experiencia de operación más ingreso de varios días. El proceso ha sido excepcional de principio a fin, tanto por parte del personal como las instalaciones del hospital. Médicos, enfermeros/as, auxiliares, celadores, hasta el personal de limpieza, me han dado un trato humano por encima de lo que hacen en cualquier otro centro de los que he estado. He tenido un proceso difícil y me he visto muy arropada en todo momento. El hospital tiene varios edificios, instalaciones nuevas y renovadas de aspecto moderno. Las habitaciones son amplias. Baño grande, tienen una terraza y una zona de armarios independiente. La comida que ofrecen en los ingresos está muy buena. Te dan la opción de elegir menú cuando te quedas varios días y es la mejor que he probado de hospitales. Felicidades a los/as cocineros. Mención especial para dos profesionales: la Dra Virseda y el Dr. Pablo Nuñez, gracias por vuestra profesionalidad, conocimientos, ayuda y trato. Solo tengo palabras de agradecimiento para ellos y para este centro.",,Lara Santos Torres,https://www.google.com/maps/contrib/117841794118231025501?hl=en-US,117841794118231025501,https://lh3.googleusercontent.com/a-/ALV-UjUFk_YNIRqp_WPzZAWNcRIc5e9wWerM7ve5DRDd5dE6iCY=s40-c-rp-mo-ba5-br100,True,228.0,1048.0,"Experiencia de operación más ingreso de varios días. El proceso ha sido excepcional de principio a fin, tanto por parte del personal como las instalaciones del hospital. Médicos, enfermeros/as, auxiliares, celadores, hasta el personal de limpieza, me han dado un trato humano por encima de lo que hacen en cualquier otro centro de los que he estado. He tenido un proceso difícil y me he visto muy arropada en todo momento. El hospital tiene varios edificios, instalaciones nuevas y renovadas de aspecto moderno. Las habitaciones son amplias. Baño grande, tienen una terraza y una zona de armarios independiente. La comida que ofrecen en los ingresos está muy buena. Te dan la opción de elegir menú cuando te quedas varios días y es la mejor que he probado de hospitales. Felicidades a los/as cocineros. Mención especial para dos profesionales: la Dra Virseda y el Dr. Pablo Nuñez, gracias por vuestra profesionalidad, conocimientos, ayuda y trato. Solo tengo palabras de agradecimiento para ellos y para este centro.","Operating experience plus income of several days. The process has been exceptional from start to finish, both by the staff and the hospital facilities. Doctors, nurses, assistants, guards, even the cleaning staff, have treated me humanely above what they do in any other center I have been to. I have had a difficult process and I have felt very supported at all times. The hospital has several buildings, new and renovated modern-looking facilities. The rooms are spacious. Large bathroom, they have a terrace and a separate closet area. The food they offer at the entrance is very good. They give you the option to choose a menu when you stay several days and it is the best I have tried in hospitals. Congratulations to the chefs. Special mention for two professionals: Dr. Virseda and Dr. Pablo Nuñez, thank you for your professionalism, knowledge, help and treatment. I only have words of gratitude for them and for this center.",11 months ago,"Hola Lara
Gracias por tus comentarios. Estamos contentos de poder ayudarte porque esa es nuestra misión.","Hola Lara
Gracias por tus comentarios. Estamos contentos de poder ayudarte porque esa es nuestra misión.","Hello Lara
Thank you for your comments. We are happy to help you because that is our mission.","['https://lh5.googleusercontent.com/p/AF1QipOlOZGDlNetoYs7Qlg6HilN9rp7eHuxlYjuJrao=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPzcUZjhsaJ-PFyL5zfKYJtJgwiYn06osRojWcq=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOCWyY6AQxm1pg0LgOZdnmkbNHfsOzJvjMUCLe_=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipM5ba52PkgkNrYw-gF6pR-QhSI8-Y1tW_dbcuA1=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO9g8f0GbjRWGsvshMvsX5lMWq4sh_iowm1DSAW=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPIYQ0LrVFqe-56nwn1yQ5eDhzj7o2cXZKK4NoF=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNU4NTPSoe-hR3Kb355lVaxONQEl07Ed8-Cjoup=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNjOJ8deFrb_4Y-ggf3hiIKHFWO-DYUnYn_W7FY=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPUywg1ofyVZ4l4HuQy-CKkmEZNuF5PrGFSE955=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOdZh5NNvAGmu8Iwu73vOSJeS9_63EJWChSfK6y=w100-h100-p-n-k-no']"
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR4M1lITVdREAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDx3YHMWQ%7CCgwIqPCjpAYQ2MqHqgM%7C?hl=en-US,3.0,8 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR4M1lITVdREAE,"Experiencia de ingreso de 1 día. Nada que ver con el ingreso que tuve hace 3 meses. Por favor cambiar la comida, sé que tenéis la cafetería en obras pero esos paquetes que dais están incomibles, ni en un hospital público... Las enfermeras los abren y les echan la sal, me queje sin saber esto de que el puré estaba muy salado y me pusieron dieta sin sal sin preguntarme. Coincidió con el fin de semana y tardaban bastante en atenderte en los avisos. La verdad que porque he vivido otra operación totalmente diferente y buena, sino lo juzgaría mucho peor",2.0,Lara Lari,https://www.google.com/maps/contrib/107719444831516633834?hl=en-US,107719444831516633834,https://lh3.googleusercontent.com/a/ACg8ocKWNuB7TL3uTLmbhJrLB4Mt0nu6kgsytEojMm6llVb6=s40-c-rp-mo-br100,,1.0,1.0,"Experiencia de ingreso de 1 día. Nada que ver con el ingreso que tuve hace 3 meses. Por favor cambiar la comida, sé que tenéis la cafetería en obras pero esos paquetes que dais están incomibles, ni en un hospital público... Las enfermeras los abren y les echan la sal, me queje sin saber esto de que el puré estaba muy salado y me pusieron dieta sin sal sin preguntarme. Coincidió con el fin de semana y tardaban bastante en atenderte en los avisos. La verdad que porque he vivido otra operación totalmente diferente y buena, sino lo juzgaría mucho peor","1 day entry experience. Nothing to do with the income I had 3 months ago. Please change the food, I know that you have the cafeteria under construction but those packages that you give are inedible, not even in a public hospital... The nurses open them and add the salt, I complained without knowing this that the puree was very salty and they put me on a salt-free diet without asking me. It coincided with the weekend and it took them a long time to respond to your notices. The truth is that because I have experienced another totally different and good operation, otherwise I would judge it much worse.",8 months ago,"Sentimos la valoración obtenida. Estamos comprometidos con el aprendizaje y la mejora continua; por eso, te agradecemos tu opinión, que trasladaremos a los departamentos correspondientes.","Sentimos la valoración obtenida. Estamos comprometidos con el aprendizaje y la mejora continua; por eso, te agradecemos tu opinión, que trasladaremos a los departamentos correspondientes.","We are sorry for the evaluation obtained. We are committed to continuous learning and improvement; Therefore, we thank you for your opinion, which we will forward to the corresponding departments.",['https://lh5.googleusercontent.com/p/AF1QipPcHmyvGizHzMuHFx6bso1CCWypgjMjMsdCYB77=w100-h100-p-n-k-no']
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR4aW9TRlJBEAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDxioSFRA%7CCgwIt6z4owYQgMqFgQE%7C?hl=en-US,1.0,8 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR4aW9TRlJBEAE,PESIMO! jamas te atienden en la zarzuela,1.0,BAPANUCO SL,https://www.google.com/maps/contrib/113558420240363559681?hl=en-US,113558420240363559681,https://lh3.googleusercontent.com/a/ACg8ocL_8YvO0VpxMsZzUgkycbOpQt_PMYcvKXvCRB7xaADn=s40-c-rp-mo-br100,,2.0,,PESIMO! jamas te atienden en la zarzuela,APPALLING! They never serve you in the zarzuela,8 months ago,"Queremos mejorar siempre. Por favor, si lo deseas, escríbenos a en teescuchamos-zarzuela@sanitas.es con tus datos y así conocer la situación de primera mano. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Queremos mejorar siempre. Por favor, si lo deseas, escríbenos a en teescuchamos-zarzuela@sanitas.es con tus datos y así conocer la situación de primera mano. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","We always want to improve. Please, if you wish, write to us at teescuchamos-zarzuela@sanitas.es with your information so we can know the situation first-hand. Thank you so much. [+info. about how we treat your personal data at www.sanitas.es/gdpr]",
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR4aU1iMVBBEAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDxiMb1PA%7CCgwIju3cowYQ0OHW8AE%7C?hl=en-US,5.0,9 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR4aU1iMVBBEAE,"He acudido esta mañana para una gastroscopia y quería felicitar a todo el equipo y compartir mi grata experiencia públicamente. Tanto el Dr. anestesista como la Dra que me realizó la gastroscopia encantadores, delicados y muy profesionales. El personal en general igual de agradable y cualificado. Muchas gracias por hacer de una prueba incómoda y que te produce estrés, una simple estancia o siestecilla de 20 minutos! Se agradece mucho el trato.",,MEV,https://www.google.com/maps/contrib/112420811904909927857?hl=en-US,112420811904909927857,https://lh3.googleusercontent.com/a-/ALV-UjVa-Xc-PMWB7WqzQhE23qEFd7nP6SqEXqFqN1sEqQe0aw=s40-c-rp-mo-br100,,21.0,,"He acudido esta mañana para una gastroscopia y quería felicitar a todo el equipo y compartir mi grata experiencia públicamente. Tanto el Dr. anestesista como la Dra que me realizó la gastroscopia encantadores, delicados y muy profesionales. El personal en general igual de agradable y cualificado. Muchas gracias por hacer de una prueba incómoda y que te produce estrés, una simple estancia o siestecilla de 20 minutos! Se agradece mucho el trato.","I went this morning for a gastroscopy and I wanted to congratulate the entire team and share my pleasant experience publicly. Both the anesthetist and the doctor who performed the gastroscopy on me were charming, delicate and very professional. The staff in general is equally pleasant and qualified. Thank you very much for making an uncomfortable and stressful test a simple 20-minute stay or nap! The treatment is greatly appreciated.",8 months ago,"Gracias por la confianza que depositas en nosotros, pues nos ayuda a seguir prestando el mejor servicio desde nuestros centros.","Gracias por la confianza que depositas en nosotros, pues nos ayuda a seguir prestando el mejor servicio desde nuestros centros.","Thank you for the trust you place in us, as it helps us to continue providing the best service from our centers.",
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN4dF8zNHZBRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICxt_34vAE%7CCgwIydLNowYQyPH-ogI%7C?hl=en-US,5.0,9 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUN4dF8zNHZBRRAB,,,катя катя,https://www.google.com/maps/contrib/105543590369484362868?hl=en-US,105543590369484362868,https://lh3.googleusercontent.com/a/ACg8ocJrNx1obpfYKSwkZ7-enKZIUBIKhgm4HIhDEMut3b4P=s40-c-rp-mo-br100,,,,,,9 months ago,"Hola катя,
Gracias por dedicarnos tiempo y comunicarnos tu opinión.
Que tengas un buen día","Hola катя,
Gracias por dedicarnos tiempo y comunicarnos tu opinión.
Que tengas un buen día","Hello Kate,
Thank you for taking the time and letting us know your opinion.
Have a good day",
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN4aDZLM0J3EAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICxh6K3Bw%7CCgsInMjHowYQ8KSlVg%7C?hl=en-US,5.0,9 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN4aDZLM0J3EAE,"Teníamos cita para un TAC con sedación y al llegar tuvimos un problema porque no figuraba la sedación, pero tanto anestesistas como la Doctora y resto de personal se portaron fenomenal y lo solucionaron rápidamente. No puedo poner ninguna pega ya que fueron muy atentos, cariñosos con El Niño y sobre todo profesionales. Muchas gracias.",1.0,Nuria G.,https://www.google.com/maps/contrib/116055008108763726581?hl=en-US,116055008108763726581,https://lh3.googleusercontent.com/a-/ALV-UjVGaiteiMj5EyxVlhStPZUUQm5Q11FFaOTeYwU4RqWboaM=s40-c-rp-mo-br100,,10.0,,"Teníamos cita para un TAC con sedación y al llegar tuvimos un problema porque no figuraba la sedación, pero tanto anestesistas como la Doctora y resto de personal se portaron fenomenal y lo solucionaron rápidamente. No puedo poner ninguna pega ya que fueron muy atentos, cariñosos con El Niño y sobre todo profesionales. Muchas gracias.","We had an appointment for a CT scan with sedation and when we arrived we had a problem because the sedation was not listed, but both the anesthetists, the Doctor and the rest of the staff were fantastic and solved it quickly. I can't fault them since they were very attentive, affectionate with El Niño and, above all, professional. Thank you so much.",9 months ago,"¡Gracias por tu comentario! 
Estamos orgullosos de saber que la experiencia en nuestro establecimiento ha sido de tu agrado. 
Que tengas un buen día, 
El equipo Hospital Sanitas La Zarzuela.","¡Gracias por tu comentario! 
Estamos orgullosos de saber que la experiencia en nuestro establecimiento ha sido de tu agrado. 
Que tengas un buen día, 
El equipo Hospital Sanitas La Zarzuela.","Thanks for your comment!
We are proud to know that your experience in our establishment has been to your liking.
Have a good day,
The Sanitas La Zarzuela Hospital team.",
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN4aWZEMF9nRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICxifD0_gE%7CCgwI_piiowYQ2KzrjwI%7C?hl=en-US,5.0,9 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUN4aWZEMF9nRRAB,"Tuve a mi primera hija el 29 de diciembre de 2022 aquí y la atención de las matronas y enfermeras fue perfecta! Tenía todos los miedos que una madre primeriza puede tener y me acompañaron y dieron apoyo todo el tiempo. Fue una cesárea perfecta, con mucha contención y profesionales de lujo. Todas muy jovencitas y super profesionales, se nota la vocación que tienen. Desde el primer segundo controlaron todo el tiempo a la bebé y estuvieron super atentos a cualquier cosa, para mí fue una tranquilidad enorme saber que estaba en buenas manos. Muchas gracias! Sin dudas una experiencia inolvidable.",,Eva Sofía Bereciartúa,https://www.google.com/maps/contrib/107557765887328136177?hl=en-US,107557765887328136177,https://lh3.googleusercontent.com/a-/ALV-UjV4fi4HvupiODEs5gZHIOcOfQy_UIdZbooOYXT2xO1FQDc=s40-c-rp-mo-ba3-br100,True,20.0,19.0,"Tuve a mi primera hija el 29 de diciembre de 2022 aquí y la atención de las matronas y enfermeras fue perfecta! Tenía todos los miedos que una madre primeriza puede tener y me acompañaron y dieron apoyo todo el tiempo. Fue una cesárea perfecta, con mucha contención y profesionales de lujo. Todas muy jovencitas y super profesionales, se nota la vocación que tienen. Desde el primer segundo controlaron todo el tiempo a la bebé y estuvieron super atentos a cualquier cosa, para mí fue una tranquilidad enorme saber que estaba en buenas manos. Muchas gracias! Sin dudas una experiencia inolvidable.","I had my first daughter on December 29, 2022 here and the care of the midwives and nurses was perfect! I had all the fears that a new mother can have and they were with me and supported me the entire time. It was a perfect cesarean section, with a lot of support and luxury professionals. All very young and super professional, you can see the vocation they have. From the first second they monitored the baby all the time and were super attentive to anything, it was a huge peace of mind for me to know that she was in good hands. Thank you so much! Without a doubt an unforgettable experience.",9 months ago,Muchas gracias por compartir tu experiencia. Nuestros profesionales agradecen tus comentarios y siempre nos animan a seguir mejorando la atención que prestamos.,Muchas gracias por compartir tu experiencia. Nuestros profesionales agradecen tus comentarios y siempre nos animan a seguir mejorando la atención que prestamos.,Thanks a lot for sharing your experience. Our professionals appreciate your comments and always encourage us to continue improving the care we provide.,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN4OXU3S0l3EAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICx9u7KIw%7CCgsImtaTowYQwNmBUA%7C?hl=en-US,4.0,9 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN4OXU3S0l3EAE,"""La Zarzuela"" es un buen hospital . El personal es muy profesional y los doctores son realmente buenos. Te atienden con una calidad que te deja tranquilo y seguro de que estás en buenas manos.
Las instalaciones están impecables. Además, el ambiente es acogedor, lo que ayuda a reducir los nervios que siempre se tienen al visitar un hospital.
Lo mejor de todo es que tienen la última tecnología en todas las especialidades. Desde las máquinas hasta los equipos médicos, todo es de última generación. Esto se traduce en diagnósticos más precisos y tratamientos más efectivos.
El unico “pero” que le pondría es que a veces el tiempo de espera para alguna especialidad es demasiado largo. Ejemplo: resonancia magnética 1 mes",1.0,Antonio,https://www.google.com/maps/contrib/116632211625633040224?hl=en-US,116632211625633040224,https://lh3.googleusercontent.com/a-/ALV-UjU1jpcPYY06PAHJyJgLmrBAjnUC8tnBbmOt8acec_cXodQ=s40-c-rp-mo-ba5-br100,True,166.0,683.0,"""La Zarzuela"" es un buen hospital . El personal es muy profesional y los doctores son realmente buenos. Te atienden con una calidad que te deja tranquilo y seguro de que estás en buenas manos.
Las instalaciones están impecables. Además, el ambiente es acogedor, lo que ayuda a reducir los nervios que siempre se tienen al visitar un hospital.
Lo mejor de todo es que tienen la última tecnología en todas las especialidades. Desde las máquinas hasta los equipos médicos, todo es de última generación. Esto se traduce en diagnósticos más precisos y tratamientos más efectivos.
El unico “pero” que le pondría es que a veces el tiempo de espera para alguna especialidad es demasiado largo. Ejemplo: resonancia magnética 1 mes","""La Zarzuela"" is a good hospital. The staff is very professional and the doctors are really good. They serve you with a quality that leaves you calm and confident that you are in good hands.
The facilities are impeccable. In addition, the atmosphere is welcoming, which helps reduce the nerves you always have when visiting a hospital.
The best of all is that they have the latest technology in all specialties. From the machines to the medical equipment, everything is state-of-the-art. This translates into more accurate diagnoses and more effective treatments.
The only “but” I would say is that sometimes the waiting time for some specialty is too long. Example: MRI 1 month",9 months ago,"Hola Antonio,
¡Gracias por tu valoración positiva! Gracias por compartir con nosotros tus  sugerencias, que transmitiremos al equipo correspondiente. Quedamos a tu disposición y te deseamos una excelente tarde.
¡Un saludo!","Hola Antonio,
¡Gracias por tu valoración positiva! Gracias por compartir con nosotros tus  sugerencias, que transmitiremos al equipo correspondiente. Quedamos a tu disposición y te deseamos una excelente tarde.
¡Un saludo!","Hello Antonio,
Thank you for your positive review! Thank you for sharing your suggestions with us, which we will pass on to the corresponding team. We remain at your disposal and wish you an excellent afternoon.
All the best!","['https://lh5.googleusercontent.com/p/AF1QipMcK_p7OoTHGuju5Ve95cEJHEbh24scuWwQrYwr=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipONJXzFBF8Qq9eUnANhtSgquBhYSoEda4neXrcz=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO2BACvLPjpoSMKBsn3eXXSH-438FYmdAwK0jLW=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNrsHSM3-uLS9sBufsuoXG0Mv-F70ZcC7L7Qizr=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPdL50FHPqIuo7R7ccSnu0A6N5x0JoPI5BH66Aw=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOaeltM5RDfKGXlbR7TxIuAzbP6TUmLQvCiQ_hC=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNiSi3FOCvt5HqiqvuDJATy1ndfPlbacZBIp1wt=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNA8rF3PK2jCXeNr67I1Kk08GfB3ql30fodDH9L=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNrxOgv_uDwUdZsGWjjk7nO4LJKLggAJY0U3TSt=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO62JsAYw13LaEhvRNLY69mMIpH06kJSngMVa9l=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOc1Y76sIbfCy5IgxZm8l8ve-QfUKok1LKnULqv=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOVdpaIU-TPr7q_k06CzhbcPV5LfxaPf9ekM92e=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPaJiSvvMWj0mnxkVxy46szEnlOzYYC5cplzQOy=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMy2orWKbSFbABuaDVAEfYqcntnYbG7XcnoZhbj=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPttiO8SOudf1xwt9e3AfmBlT_iOEj9E43EPzXX=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMyC9K18SXkBCDOxNrpvgz_M_Jipjz6R3kaoOUE=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNt2QR4mYftY5fDgBsmKwAA1vdLD-QX37a4tSs3=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOlCf7v6q0MdqNy54kT8Xkw4gaseYstUnjdsa2J=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOacP6b8TpqCfN_u2D_6Wrj8sv7RF0Dmfz27KwE=w100-h100-p-n-k-no']"
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN4NE03UjZnRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICx4M7R6gE%7CCgsI8czjogYQ2KnjGA%7C?hl=en-US,1.0,9 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUN4NE03UjZnRRAB,Pésima gestión de reserva de citas. Acabas yendo a clínicas fuera del seguro.,,Jaime Romero Ramos,https://www.google.com/maps/contrib/116109781986176461996?hl=en-US,116109781986176461996,https://lh3.googleusercontent.com/a/ACg8ocIZuTs1PBLGhZIts0QyuHDZU42BGLLsm3MhQ_Ps6iB9pw=s40-c-rp-mo-br100,,41.0,9.0,Pésima gestión de reserva de citas. Acabas yendo a clínicas fuera del seguro.,Terrible appointment booking management. You end up going to clinics outside the insurance.,9 months ago,"Gracias por compartir tu opinión. Para nosotros es muy importante vuestra valoración y seguir mejorando. Si lo deseas, puedes hacernos llegar tus sugerencias a  teescuchamos-zarzuela@sanitas.es [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Gracias por compartir tu opinión. Para nosotros es muy importante vuestra valoración y seguir mejorando. Si lo deseas, puedes hacernos llegar tus sugerencias a  teescuchamos-zarzuela@sanitas.es [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Thanks for sharing your opinion. Your evaluation is very important to us and we continue to improve. If you wish, you can send us your suggestions to teescuchamos-zarzuela@sanitas.es [+info. about how we treat your personal data at www.sanitas.es/gdpr]",
