,link,rating,date,images,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,response.date,response.snippet,response.extracted_snippet.original,response.extracted_snippet.translated,likes,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSeC0zc2tRRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDRx-3skQE%7CCgwI-P_SogYQ6N2ayQI%7C?hl=en-US,1.0,9 months ago,['https://lh5.googleusercontent.com/p/AF1QipMyfhWUj0zgfHJnALx8hgH2wmzAZKbS-hawtWPi=w100-h100-p-n-k-no'],Google,ChdDSUhNMG9nS0VJQ0FnSURSeC0zc2tRRRAB,"Inaceptable, una vez mas, una hora de espera para una cita medica. Nos dan hora a las 10 y nos atienden a las 11. No entiendo por que nos faltan al respeto de esta forma. Ademas, se jactan de mensajes como el de la foto adjunta… inexplicable",Ignacio Merino de Corral,https://www.google.com/maps/contrib/117030463685581879168?hl=en-US,117030463685581879168,https://lh3.googleusercontent.com/a-/ALV-UjUo4gPgUEEK-4Szm8U5FByedQfyEuZRL8xP8v23GTQfVlA=s40-c-rp-mo-br100,6,17.0,"Inaceptable, una vez mas, una hora de espera para una cita medica. Nos dan hora a las 10 y nos atienden a las 11. No entiendo por que nos faltan al respeto de esta forma. Ademas, se jactan de mensajes como el de la foto adjunta… inexplicable","Unacceptable, once again, an hour of waiting for a medical appointment. They give us an appointment at 10 and serve us at 11. I don't understand why they disrespect us like this. In addition, they boast of messages like the one in the attached photo... inexplicable",9 months ago,"Nos importa mucho tu opinión y nos gustaría darte una atención personal. Para ello, por favor, si lo deseas, puedes escribirnos a teescuchamos-zarzuela@sanitas.es con tus datos de contacto. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Nos importa mucho tu opinión y nos gustaría darte una atención personal. Para ello, por favor, si lo deseas, puedes escribirnos a teescuchamos-zarzuela@sanitas.es con tus datos de contacto. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Your opinion is very important to us and we would like to give you personal attention. To do this, please, if you wish, you can write to us at teescuchamos-zarzuela@sanitas.es with your contact information. Thank you so much. [+info. about how we treat your personal data at www.sanitas.es/gdpr]",,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSZ2Z5dzFnRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDRgfyw1gE%7CCgsIx4WlogYQwP7YIQ%7C?hl=en-US,5.0,10 months ago,,Google,ChdDSUhNMG9nS0VJQ0FnSURSZ2Z5dzFnRRAB,"Excelente atención y lo más importante es que tienen buena comunicacion entre los especialistas que ahí se encuentran y eso ayuda a solucionar los problemas del paciente. Se tardaron un poco pero bueno, durante todo ese tiempo me hicieron pruebas nasales y revisión de todo tipo sali feliz y contenta porque encontraron la cura a mi problema y me dieron medicación intravenosa para venirme a casa tranquila.",Katherine Martinez,https://www.google.com/maps/contrib/114403335042948395887?hl=en-US,114403335042948395887,https://lh3.googleusercontent.com/a-/ALV-UjUhcEQ8_JJjbO9__RBv6IevoDVLa_xREYoFrhAjNHaz-sI=s40-c-rp-mo-br100,14,3.0,"Excelente atención y lo más importante es que tienen buena comunicacion entre los especialistas que ahí se encuentran y eso ayuda a solucionar los problemas del paciente. Se tardaron un poco pero bueno, durante todo ese tiempo me hicieron pruebas nasales y revisión de todo tipo sali feliz y contenta porque encontraron la cura a mi problema y me dieron medicación intravenosa para venirme a casa tranquila.","Excellent care and the most important thing is that they have good communication between the specialists who are there and that helps solve the patient's problems. It took a while but, well, during all that time they did nasal tests and checkups of all kinds, I came out happy and content because they found a cure for my problem and they gave me intravenous medication so I could come home peacefully.",10 months ago,Muchas gracias por compartir tu experiencia. Nuestros profesionales agradecen tus comentarios y siempre nos animan a seguir mejorando la atención que presta nuestro hospital.,Muchas gracias por compartir tu experiencia. Nuestros profesionales agradecen tus comentarios y siempre nos animan a seguir mejorando la atención que presta nuestro hospital.,Thanks a lot for sharing your experience. Our professionals appreciate your comments and always encourage us to continue improving the care our hospital provides.,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSLU9uWER3EAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDR-OnXDw%7CCgwI8o72oQYQyMHg2wI%7C?hl=en-US,1.0,10 months ago,,Google,ChZDSUhNMG9nS0VJQ0FnSURSLU9uWER3EAE,"Imposible hablar con este hospital por teléfono. Con suerte después de varias llamadas te acaban cogiendo en la centralita, pero al pasarte al área deseada, cirugía digestiva en mi caso, tampoco te cogen el teléfono. Desesperante.",Carlos VS,https://www.google.com/maps/contrib/109158601274251653438?hl=en-US,109158601274251653438,https://lh3.googleusercontent.com/a-/ALV-UjVQ6SazUTWFVsOYxtX6mjGWsqknL9ptunMsTQEDVXwncxY=s40-c-rp-mo-br100,32,,"Imposible hablar con este hospital por teléfono. Con suerte después de varias llamadas te acaban cogiendo en la centralita, pero al pasarte al área deseada, cirugía digestiva en mi caso, tampoco te cogen el teléfono. Desesperante.","Impossible to speak with this hospital by phone. Hopefully after several calls they end up picking you up at the switchboard, but when you go to the desired area, digestive surgery in my case, they don't pick up the phone either. Maddening.",10 months ago,"Nos importa mucho tu opinión y nos gustaría darte una atención personal. Para ello, por favor mándanos un Email a teescuchamos-zarzuela@sanitas.es con tus datos de contacto. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Nos importa mucho tu opinión y nos gustaría darte una atención personal. Para ello, por favor mándanos un Email a teescuchamos-zarzuela@sanitas.es con tus datos de contacto. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Your opinion is very important to us and we would like to give you personal attention. To do this, please send us an Email to teescuchamos-zarzuela@sanitas.es with your contact information. Thank you so much. [+info. about how we treat your personal data at www.sanitas.es/gdpr]",,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSeU0zQjF3RRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDRyM3B1wE%7CCgwIubHwoQYQyJql9gE%7C?hl=en-US,1.0,10 months ago,,Google,ChdDSUhNMG9nS0VJQ0FnSURSeU0zQjF3RRAB,"Toda mi vida yendo a este hospital y ha pegado un bajón de calidad tremendo, con consecuencias muy graves para los pacientes. En Urgencias llegó mi abuela con una caída, le hicieron una radiografía, le dijeron que no tenía nada y tres días después sin poder respirar, tenía una costilla rota y no habían sido capaces de verlo. Mi madre llegó ayer con una caída grave, no podía mover la pierna, muchísimo dolor. De nuevo le hicieron una radiografía y el médico de urgencias le dice que no tiene nada, que analgésicos y ya. Una noche espantosa de dolor, la.pierma entera negra... vamos al puerta de hierro hoy y tiene la tibia rota. Me molesto en escribir esta reseña porque ya es grave la de fallos muy graves que se están cometiendo en este hospital.",Carmen Hoya,https://www.google.com/maps/contrib/117533820772577661245?hl=en-US,117533820772577661245,https://lh3.googleusercontent.com/a/ACg8ocL_KXN7VGuN0r9mwcRQQF5wElTVeZqOKFcbMReoEvE=s40-c-rp-mo-ba3-br100,26,,"Toda mi vida yendo a este hospital y ha pegado un bajón de calidad tremendo, con consecuencias muy graves para los pacientes. En Urgencias llegó mi abuela con una caída, le hicieron una radiografía, le dijeron que no tenía nada y tres días después sin poder respirar, tenía una costilla rota y no habían sido capaces de verlo. Mi madre llegó ayer con una caída grave, no podía mover la pierna, muchísimo dolor. De nuevo le hicieron una radiografía y el médico de urgencias le dice que no tiene nada, que analgésicos y ya. Una noche espantosa de dolor, la.pierma entera negra... vamos al puerta de hierro hoy y tiene la tibia rota. Me molesto en escribir esta reseña porque ya es grave la de fallos muy graves que se están cometiendo en este hospital.","I have been going to this hospital all my life and there has been a tremendous drop in quality, with very serious consequences for the patients. My grandmother arrived at the emergency room with a fall, they took an x-ray, they told her there was nothing wrong with her, and three days later she couldn't breathe, she had a broken rib and they hadn't been able to see it. My mother arrived yesterday with a serious fall, she couldn't move her leg, she was in a lot of pain. They took an x-ray again and the emergency doctor tells him that he has nothing, just painkillers and that's it. A horrible night of pain, the whole leg black... we go to the iron gate today and his tibia is broken. I bother to write this review because the very serious failures that are being committed in this hospital are already serious.",10 months ago,"Nos importa mucho tu opinión. Para ello, si lo deseas, puedes ponerte en contacto con nosotros a través del email a teescuchamos-zarzuela@sanitas.es, con tus datos de contacto. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Nos importa mucho tu opinión. Para ello, si lo deseas, puedes ponerte en contacto con nosotros a través del email a teescuchamos-zarzuela@sanitas.es, con tus datos de contacto. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Your opinion matters a lot to us. To do this, if you wish, you can contact us by email at teescuchamos-zarzuela@sanitas.es, with your contact information. Thank you so much. [+info. about how we treat your personal data at www.sanitas.es/gdpr]",6.0,True
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSbThQa0RREAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICRm8PkDQ%7CCgwIzPHUoQYQyMCK2QM%7C?hl=en-US,1.0,10 months ago,,Google,ChZDSUhNMG9nS0VJQ0FnSUNSbThQa0RREAE,"Hace años era sinónimo de calidad. Hoy es sinónimo de hospital casi de un pais sudamericano con el 90% de los médicos que te atienden en planta y urgencias extranjeros con deficiente preparación y exceso de ego. Sólo vale para cirugía programada. Si es algo grave ni se te ocurra ir a urgencias. Solo cosas que no peligre tu vida, cosas banales y partos. En planta lo peor es la comida. Absolutamente incomestible. Las habitaciones muy bien. Buen servicio de limpieza.",Kara Miro,https://www.google.com/maps/contrib/101789245969685554296?hl=en-US,101789245969685554296,https://lh3.googleusercontent.com/a/ACg8ocJkD4xqoyLpZQn7_DRJmOmOFc74dVeEsPiGkyEw3APT=s40-c-rp-mo-br100,1,,"Hace años era sinónimo de calidad. Hoy es sinónimo de hospital casi de un pais sudamericano con el 90% de los médicos que te atienden en planta y urgencias extranjeros con deficiente preparación y exceso de ego. Sólo vale para cirugía programada. Si es algo grave ni se te ocurra ir a urgencias. Solo cosas que no peligre tu vida, cosas banales y partos. En planta lo peor es la comida. Absolutamente incomestible. Las habitaciones muy bien. Buen servicio de limpieza.","Years ago it was synonymous with quality. Today it is synonymous with a hospital almost from a South American country with 90% of the doctors who treat you on the ward and in the emergency room foreign with poor preparation and excess of ego. Only valid for scheduled surgery. If it's something serious, don't even think about going to the emergency room. Only things that don't endanger your life, banal things and childbirth. At the plant the worst is the food. Absolutely inedible. The rooms are very good. Good cleaning service.",10 months ago,"Queremos mejorar siempre. Si lo deseas, por favor, escríbenos a en teescuchamos-zarzuela@sanitas.es con tus datos para así conocer la situación de primera mano. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Queremos mejorar siempre. Si lo deseas, por favor, escríbenos a en teescuchamos-zarzuela@sanitas.es con tus datos para así conocer la situación de primera mano. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","We always want to improve. If you wish, please write to us at teescuchamos-zarzuela@sanitas.es with your information so we can know the situation first-hand. Thank you so much. [+info. about how we treat your personal data at www.sanitas.es/gdpr]",3.0,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSbV9DeVVREAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICRm_CyUQ%7CCgwIhK_UoQYQoJKWggI%7C?hl=en-US,5.0,10 months ago,,Google,ChZDSUhNMG9nS0VJQ0FnSUNSbV9DeVVREAE,"Fue atendido muy bien, en menos de media hora ya estaba con las recetas médicas para mi tratamiento. Hicieron test de covid y gripe. Todos muy atenciosos.",Allan Rabello,https://www.google.com/maps/contrib/113113134953533880016?hl=en-US,113113134953533880016,https://lh3.googleusercontent.com/a-/ALV-UjUeLAJItLEsJUJss2yndPkROSPzLeM0o6eX0anE8m3CHg=s40-c-rp-mo-br100,3,9.0,"Fue atendido muy bien, en menos de media hora ya estaba con las recetas médicas para mi tratamiento. Hicieron test de covid y gripe. Todos muy atenciosos.","He was treated very well, in less than half an hour I already had the medical prescriptions for my treatment. They tested for covid and flu. Everyone very attentive.",10 months ago,Muchas gracias por tu confianza. Tu comentario nos anima a prestar siempre el mejor servicio.,Muchas gracias por tu confianza. Tu comentario nos anima a prestar siempre el mejor servicio.,Thank you very much for your confidence. Your comment encourages us to always provide the best service.,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSa3VuNk1nEAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICRkun6Mg%7CCgsIyKyOoQYQ6ILwdA%7C?hl=en-US,2.0,11 months ago,,Google,ChZDSUhNMG9nS0VJQ0FnSUNSa3VuNk1nEAE,"Lamentable atención en Urgencias pediátricas, decepción absoluta por el trato recibido por quienes son los primeros a los que les puedes contar lo que le pasa a tu hijo, 2 de la mañana y ellos sólo necesitan que les muestres  la tarjeta, porque no tienen los medios para localizarte por el nombre o por la tarjeta virtual, por lo que tienes que dar la vuelta al edificio e ir a las Urgencias generales a registrar los datos, ante mi nerviosismo porque mi hijo no se tenía en pie y aún nadie me había preguntado qué le pasaba me han respondido desairados y con muy mal tono, ninguna empatía con la situación ninguna mano izda. Muy decepcionada. Es  en este tipo de situaciones donde se ve la calidad del servicio y de los profesionales y sinceramente  por lo que he vivido hoy no están en absoluto a la altura.",Cristina Herrero,https://www.google.com/maps/contrib/109012053637847812174?hl=en-US,109012053637847812174,https://lh3.googleusercontent.com/a-/ALV-UjUa43jyOnw8eINkWkSi9J4qW8tDMPc7NKXe0VrkiVIYiQQ=s40-c-rp-mo-br100,7,,"Lamentable atención en Urgencias pediátricas, decepción absoluta por el trato recibido por quienes son los primeros a los que les puedes contar lo que le pasa a tu hijo, 2 de la mañana y ellos sólo necesitan que les muestres  la tarjeta, porque no tienen los medios para localizarte por el nombre o por la tarjeta virtual, por lo que tienes que dar la vuelta al edificio e ir a las Urgencias generales a registrar los datos, ante mi nerviosismo porque mi hijo no se tenía en pie y aún nadie me había preguntado qué le pasaba me han respondido desairados y con muy mal tono, ninguna empatía con la situación ninguna mano izda. Muy decepcionada. Es  en este tipo de situaciones donde se ve la calidad del servicio y de los profesionales y sinceramente  por lo que he vivido hoy no están en absoluto a la altura.","Deplorable care in Pediatric Emergencies, absolute disappointment in the treatment received by those who are the first to whom you can tell what is happening to your child, 2 in the morning and they only need you to show them the card, because they do not have the means to locate you by name or by virtual card, so you have to go around the building and go to the general emergency room to register the data, due to my nervousness because my son was not standing and no one had yet asked me what what happened to them, they responded to me snubbed and with a very bad tone, no empathy with the situation, no left hand. Very disappointed. It is in these types of situations where you see the quality of the service and the professionals and honestly from what I have experienced today they are not at all up to par.",10 months ago,"Sentimos la valoración obtenida. Estamos comprometidos con el aprendizaje y la mejora continua; por eso, si lo deseas, puedes contactar con nosotros en teescuchamos-zarzuela@sanitas.es con tus datos, para conocer mejor la situación.  [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Sentimos la valoración obtenida. Estamos comprometidos con el aprendizaje y la mejora continua; por eso, si lo deseas, puedes contactar con nosotros en teescuchamos-zarzuela@sanitas.es con tus datos, para conocer mejor la situación.  [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","We are sorry for the evaluation obtained. We are committed to continuous learning and improvement; Therefore, if you wish, you can contact us at teescuchamos-zarzuela@sanitas.es with your information, to better understand the situation. [+info. about how we treat your personal data at www.sanitas.es/gdpr]",,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSOU55ZjBRRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICR9Nyf0QE%7CCgwI9KuBoQYQkJbungM%7C?hl=en-US,5.0,11 months ago,,Google,ChdDSUhNMG9nS0VJQ0FnSUNSOU55ZjBRRRAB,"Muchísimas gracias a todo el equipo de la doctora Viana y a todo el personal. Calidad humana y trato muy por encima de nuestras expectativas. Lola, Borja y Carlos",Sánchez Torán Serra,https://www.google.com/maps/contrib/108280857843516138457?hl=en-US,108280857843516138457,https://lh3.googleusercontent.com/a/ACg8ocKTaCL4PzcU6x2FfDui4PMTUEvCUV0vyPKvzjnViCrM=s40-c-rp-mo-br100,5,,"Muchísimas gracias a todo el equipo de la doctora Viana y a todo el personal. Calidad humana y trato muy por encima de nuestras expectativas. Lola, Borja y Carlos","Many thanks to Dr. Viana's entire team and all the staff. Human quality and treatment far above our expectations. Lola, Borja and Carlos",11 months ago,Muchas gracias por tu confianza. Tu comentario nos anima a prestar siempre el mejor servicio.,Muchas gracias por tu confianza. Tu comentario nos anima a prestar siempre el mejor servicio.,Thank you very much for your confidence. Your comment encourages us to always provide the best service.,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoOWRtYnJBRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDh9dmbrAE%7CCgwIoe_BoAYQyPrjrQE%7C?hl=en-US,5.0,11 months ago,,Google,ChdDSUhNMG9nS0VJQ0FnSURoOWRtYnJBRRAB,,Ana Isabel Trigo,https://www.google.com/maps/contrib/108091389505628655695?hl=en-US,108091389505628655695,https://lh3.googleusercontent.com/a-/ALV-UjWI852-1sL9pec1hEb3E1nqjlOXfntGxYG8WLeCsnAwM_Y=s40-c-rp-mo-br100,11,3.0,,,10 months ago,"Muchas gracias por tu tiempo y valoración, que nos ayuda sin duda a seguir mejorando para vosotros, nuestros pacientes.","Muchas gracias por tu tiempo y valoración, que nos ayuda sin duda a seguir mejorando para vosotros, nuestros pacientes.","Thank you very much for your time and evaluation, which undoubtedly helps us to continue improving for you, our patients.",1.0,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoNWZ5NEx3EAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDh5fy4Lw%7CCgwI-dm9oAYQuKjxigI%7C?hl=en-US,1.0,11 months ago,,Google,ChZDSUhNMG9nS0VJQ0FnSURoNWZ5NEx3EAE,Desastre absoluto. Mucho cuidado con entrar a formar parte de esta sociedad. En Marzo del 23 estan dando citas para Agosto pero sin agenda todavia. Me recomiendan llamar cada 15 días y probar suerte. Mi cuota se debe abonar como si tuviera un servicio q no tengo. Sobredimensionado en usuarios pero muy deficiente en servicios.,SONIA CARMONA DE HARO,https://www.google.com/maps/contrib/101449840945876772803?hl=en-US,101449840945876772803,https://lh3.googleusercontent.com/a-/ALV-UjVuzoW-ZHIO0WqXDGeMY0J5CfliVLfvvOm05dKvm0hvlaxg=s40-c-rp-mo-ba2-br100,21,3.0,Desastre absoluto. Mucho cuidado con entrar a formar parte de esta sociedad. En Marzo del 23 estan dando citas para Agosto pero sin agenda todavia. Me recomiendan llamar cada 15 días y probar suerte. Mi cuota se debe abonar como si tuviera un servicio q no tengo. Sobredimensionado en usuarios pero muy deficiente en servicios.,Absolute disaster. Be very careful about becoming part of this society. On March 23 they are making appointments for August but without an agenda yet. They recommend that I call every 15 days and try my luck. My fee must be paid as if I had a service that I do not have. Oversized in users but very deficient in services.,11 months ago,"si nos quiere dejar sus datos en dirgerenciahlz@sanitas.es, podemos ver con qué medico y especialidad quiere la cita.Gracias","si nos quiere dejar sus datos en dirgerenciahlz@sanitas.es, podemos ver con qué medico y especialidad quiere la cita.Gracias","If you want to leave us your information at dirgerenciahlz@sanitas.es, we can see which doctor and specialty you want the appointment with. Thank you",4.0,True
