,link,rating,date,source,review_id,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,response.date,response.snippet,response.extracted_snippet.original,response.extracted_snippet.translated,snippet,extracted_snippet.original,extracted_snippet.translated,likes,user.local_guide,user.photos
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR0cDdXOVZREAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDtp7W9VQ%7CCgwI7MGOrgYQkPPT9gE%7C?hl=en-US,1.0,3 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR0cDdXOVZREAE,Anastasia Romanova,https://www.google.com/maps/contrib/101770467451253473618?hl=en-US,101770467451253473618,https://lh3.googleusercontent.com/a-/ALV-UjV9M3nAtwHSaYAVSmKcfARsssw_PLpdX_aH33wZ_PkAZhA=s40-c-rp-mo-br100,1,2 weeks ago,"Nos importa mucho tu opinión y nos gustaría darte una atención personal. Para ello, por favor, si lo deseas, puedes mandarnos un Email a teescuchamos-zarzuela@sanitas.es. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Nos importa mucho tu opinión y nos gustaría darte una atención personal. Para ello, por favor, si lo deseas, puedes mandarnos un Email a teescuchamos-zarzuela@sanitas.es. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Your opinion is very important to us and we would like to give you personal attention. To do this, please, if you wish, you can send us an Email to teescuchamos-zarzuela@sanitas.es. Thank you so much. [+info. about how we treat your personal data at www.sanitas.es/gdpr]",,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR0bWVyMlR3EAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDtmer2Tw%7CCgwI9s2DrgYQqKCwigI%7C?hl=en-US,5.0,3 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR0bWVyMlR3EAE,Sarai Molnar,https://www.google.com/maps/contrib/107367162287264861771?hl=en-US,107367162287264861771,https://lh3.googleusercontent.com/a/ACg8ocIsKfw8R0TynNa8IZTxJBlIVtYlt324Yzj6V-6wIIQv=s40-c-rp-mo-br100,6,2 weeks ago,Muchas gracias por compartir tu experiencia que nos anima a seguir mejorando la atención que os prestamos como pacientes.,Muchas gracias por compartir tu experiencia que nos anima a seguir mejorando la atención que os prestamos como pacientes.,"Thank you very much for sharing your experience, which encourages us to continue improving the care we provide to you as patients.","Los mejores profesionales que he visto, en la UCI de neonatos no nos han podido tratar mejor y con mucho cariño todos y cada uno de ellos","Los mejores profesionales que he visto, en la UCI de neonatos no nos han podido tratar mejor y con mucho cariño todos y cada uno de ellos","The best professionals I have seen, in the neonatal ICU, could not have treated us better and with great affection, each and every one of them.",,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR0X0lhXzN3RRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDt_Ia_3wE%7CCgwIxM_3rQYQ8LWK6AE%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUR0X0lhXzN3RRAB,ascension campa,https://www.google.com/maps/contrib/110153389054711431059?hl=en-US,110153389054711431059,https://lh3.googleusercontent.com/a/ACg8ocIMsfOoCyraEYU6mr2kkUzs8gO8FByR66Wy9x1Svjnt=s40-c-rp-mo-br100,5,3 weeks ago,"Gracias por la confianza que depositas en nosotros, pues nos ayuda a seguir prestando el mejor servicio desde nuestros centros.","Gracias por la confianza que depositas en nosotros, pues nos ayuda a seguir prestando el mejor servicio desde nuestros centros.","Thank you for the trust you place in us, as it helps us to continue providing the best service from our centers.","Quiero  destacar la atención y profesionalidad recibida por  la enfermera Menchú.
Muchas gracias por tu amabilidad .","Quiero  destacar la atención y profesionalidad recibida por  la enfermera Menchú.
Muchas gracias por tu amabilidad .","I want to highlight the attention and professionalism received by nurse Menchú.
Thank you very much for your kindness .",,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR0NklMZVlREAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDt6ILeYQ%7CCgwIwdDyrQYQ6NjI1gI%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR0NklMZVlREAE,Ana G.,https://www.google.com/maps/contrib/113479974296756368674?hl=en-US,113479974296756368674,https://lh3.googleusercontent.com/a/ACg8ocKZqgzz19A2Hq8xJxnFfwz0EuF_Pb_QHIg7U6oYFu7y_w=s40-c-rp-mo-br100,4,3 weeks ago,"Sentimos la valoración obtenida. Estamos comprometidos con el aprendizaje y la mejora continua; por eso, si lo deseas, por favor, ponte en contacto con nosotros en teescuchamos-zarzuela@sanitas.es con tus datos, para conocer mejor la situación.  [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Sentimos la valoración obtenida. Estamos comprometidos con el aprendizaje y la mejora continua; por eso, si lo deseas, por favor, ponte en contacto con nosotros en teescuchamos-zarzuela@sanitas.es con tus datos, para conocer mejor la situación.  [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","We are sorry for the evaluation obtained. We are committed to continuous learning and improvement; Therefore, if you wish, please contact us at teescuchamos-zarzuela@sanitas.es with your information, to better understand the situation. [+info. about how we treat your personal data at www.sanitas.es/gdpr]","Muy mal servicio de las enfermeras (dos chicas jóvenes) que sacan sangre en laboratorio en lo referente a niños pequeños. Falta absoluta de empatía y escasas de educación.
Han pinchado en los 2 brazos a un bebé de 18 meses porque no eran capaces de sacarle sangre, moviendo la aguja para todos lados dentro de la vena. El bebé pobrecito no paraba de chillar y ellas ni un mínimo de empatía de decirle una palabra cariñosa o de darnos a los padres explicación alguna. Ellas seguían y seguían removiendo la aguja.
Cuando pido que, por favor, llamen a otra persona si ellas no son capaces me contestan: toma el volante y vete a otro sitio.
Al final nos hemos tenido que ir, el bebé con los brazos fatal y sin la analítica.","Muy mal servicio de las enfermeras (dos chicas jóvenes) que sacan sangre en laboratorio en lo referente a niños pequeños. Falta absoluta de empatía y escasas de educación.
Han pinchado en los 2 brazos a un bebé de 18 meses porque no eran capaces de sacarle sangre, moviendo la aguja para todos lados dentro de la vena. El bebé pobrecito no paraba de chillar y ellas ni un mínimo de empatía de decirle una palabra cariñosa o de darnos a los padres explicación alguna. Ellas seguían y seguían removiendo la aguja.
Cuando pido que, por favor, llamen a otra persona si ellas no son capaces me contestan: toma el volante y vete a otro sitio.
Al final nos hemos tenido que ir, el bebé con los brazos fatal y sin la analítica.","Very poor service from the nurses (two young girls) who draw blood in the laboratory regarding small children. Absolute lack of empathy and lack of education.
They have punctured an 18-month-old baby in both arms because they were not able to draw blood, moving the needle everywhere inside the vein. The poor baby didn't stop screaming and they didn't even have the slightest bit of empathy to say a loving word to him or give the parents any explanation. They continued and continued removing the needle.
When I ask them to please call someone else if they are not capable, they answer: take the wheel and go somewhere else.
In the end we had to leave, the baby with terrible arms and without the analysis.",2.0,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUROZzkzUHhnRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDNg93PxgE%7CCgwIiofJrQYQ8NjjgQE%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUROZzkzUHhnRRAB,Emily Jimenez,https://www.google.com/maps/contrib/105766637295561601110?hl=en-US,105766637295561601110,https://lh3.googleusercontent.com/a/ACg8ocIdD9r2h8NZo9uTnrzV1Q1koBTGSTJ2JQl9cbRFCsvE=s40-c-rp-mo-ba2-br100,14,3 weeks ago,Hola Emily. Queremos agradecerte tus opiniones y sugerencias con el fin de seguir mejorando para ofrecerte el mejor servicio. Transmitiremos tus comentarios al doctor y a su equipo. Gracias por tu colaboración.,Hola Emily. Queremos agradecerte tus opiniones y sugerencias con el fin de seguir mejorando para ofrecerte el mejor servicio. Transmitiremos tus comentarios al doctor y a su equipo. Gracias por tu colaboración.,Hello Emily. We want to thank you for your opinions and suggestions in order to continue improving to offer you the best service. We will pass your comments on to the doctor and his team. Thank you for your collaboration.,El Doctor Torres  de la unidad de mama y su enfermera son excelentes! La recepcionista súper amable y atenta.,El Doctor Torres  de la unidad de mama y su enfermera son excelentes! La recepcionista súper amable y atenta.,Doctor Torres from the breast unit and his nurse are excellent! The receptionist was super friendly and attentive.,1.0,True,20.0
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURlM2JHZXVBRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDe3bGeuAE%7CCgwI_tK7rQYQqJmk8wE%7C?hl=en-US,1.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSURlM2JHZXVBRRAB,Antonio F.Alba,https://www.google.com/maps/contrib/109895837547127223533?hl=en-US,109895837547127223533,https://lh3.googleusercontent.com/a/ACg8ocKw3D-JLoSS-eZVxr8fqgBsUIY9tVSHQ_F3MBtZm0Gt=s40-c-rp-mo-br100,1,a year ago,"Hola Antonio. Por favor, escríbenos a  teescuchamos-zarzuela@sanitas.es con tus datos y así conocer la situación de primera mano. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Hola Antonio. Por favor, escríbenos a  teescuchamos-zarzuela@sanitas.es con tus datos y así conocer la situación de primera mano. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]",Hello Antonio. Please write to us at teescuchamos-zarzuela@sanitas.es with your information so we can know the situation first-hand. Thank you so much. [+info. about how we treat your personal data at www.sanitas.es/gdpr],"Esta valoración  la hago para que otras personas puedan  evitar el sufrimiento por el que  pasó mi madre y sus familiares aquí. Mi madre falleció hace unos días en este hospital en el que, desde el primer momento, te transmiten la impresión que no merece la pena luchar por la vida de los ancianos. Palabras de las doctoras de medicina interna que la trataron ( Doctoras San Miguel y Roa Ballesteros) tales como prepárense para lo peor, es un cuadro complicado, sería conveniente dar morfina para que sufra menos, prepárense para llevársela a casa y les diremos lo que hacer o atendemos a su madre por caridad(después de haber pagado puntualmente en Sanitas durante 47 años), cuando sabes que no se estaban poniendo todos los medios en pruebas médicas( murió sin diagnóstico definitivo sobre el origen de la enfermedad que le provocó el fallecimiento después de estar más de un mes ingresada y haberse agravado su estado por un error en el manejo de enfermería), califica por si sólo la ética, interés  y profesionalidad en la actuación. Valoración aparte se merece el personal de enfermería, salvo excepciones, jóvenes, inexpertos en el manejo de determinados pacientes vulnerables, hasta el punto de dar una enfermera antibiótico por vena   5  minutos antes de morir, nos dijeron porque estaba pautado, cuando sabía que estaba agonizando. Ver morir a una persona y el sufrimiento de sus familiares , para esta gente, da la impresión que es un día más en la oficina.
La gestión del hospital lamentable también. Con 86 años estuvo en un box de urgencias sin darle cama en planta durante 4 días, porque había otras preferencias hospitalarias(excusa del departamento de atención al cliente del hospital)
De todo lo que menciono hay varios testigos. Si se plantean ir a este hospital, con su familiar anciano, no  lo hagan, podrán arrepentirse toda su vida, como yo lo hago por haber llevado a mi madre.
Y a los directivos de este hospital y sanitas en general preguntarles si esta calidad de asistencia sanitaria la hubieran deseado para sus padres ,en una empresa como Sanitas que se autovende como referente de la sanidad en España.","Esta valoración  la hago para que otras personas puedan  evitar el sufrimiento por el que  pasó mi madre y sus familiares aquí. Mi madre falleció hace unos días en este hospital en el que, desde el primer momento, te transmiten la impresión que no merece la pena luchar por la vida de los ancianos. Palabras de las doctoras de medicina interna que la trataron ( Doctoras San Miguel y Roa Ballesteros) tales como prepárense para lo peor, es un cuadro complicado, sería conveniente dar morfina para que sufra menos, prepárense para llevársela a casa y les diremos lo que hacer o atendemos a su madre por caridad(después de haber pagado puntualmente en Sanitas durante 47 años), cuando sabes que no se estaban poniendo todos los medios en pruebas médicas( murió sin diagnóstico definitivo sobre el origen de la enfermedad que le provocó el fallecimiento después de estar más de un mes ingresada y haberse agravado su estado por un error en el manejo de enfermería), califica por si sólo la ética, interés  y profesionalidad en la actuación. Valoración aparte se merece el personal de enfermería, salvo excepciones, jóvenes, inexpertos en el manejo de determinados pacientes vulnerables, hasta el punto de dar una enfermera antibiótico por vena   5  minutos antes de morir, nos dijeron porque estaba pautado, cuando sabía que estaba agonizando. Ver morir a una persona y el sufrimiento de sus familiares , para esta gente, da la impresión que es un día más en la oficina.
La gestión del hospital lamentable también. Con 86 años estuvo en un box de urgencias sin darle cama en planta durante 4 días, porque había otras preferencias hospitalarias(excusa del departamento de atención al cliente del hospital)
De todo lo que menciono hay varios testigos. Si se plantean ir a este hospital, con su familiar anciano, no  lo hagan, podrán arrepentirse toda su vida, como yo lo hago por haber llevado a mi madre.
Y a los directivos de este hospital y sanitas en general preguntarles si esta calidad de asistencia sanitaria la hubieran deseado para sus padres ,en una empresa como Sanitas que se autovende como referente de la sanidad en España.","I make this assessment so that other people can avoid the suffering that my mother and her relatives went through here. My mother died a few days ago in this hospital where, from the first moment, you get the impression that the lives of the elderly are not worth fighting for. Words from the internal medicine doctors who treated her (Doctors San Miguel and Roa Ballesteros) such as prepare for the worst, it is a complicated condition, it would be advisable to give morphine so that she suffers less, prepare to take her home and we will tell you what to do or we treat his mother out of charity (after having paid Sanitas punctually for 47 years), when you know that not all means were being put into medical tests (she died without a definitive diagnosis on the origin of the illness that caused her death later of being admitted for more than a month and her condition having worsened due to an error in nursing management), alone qualifies the ethics, interest and professionalism in the action. The nursing staff deserves a separate assessment, with some exceptions, young, inexperienced in the management of certain vulnerable patients, to the point of giving a nurse antibiotics through a vein 5 minutes before dying, they told us why it was prescribed, when he knew he was dying . Seeing a person die and the suffering of their family members, for these people, gives the impression that it is just another day at the office.
The management of the hospital is also regrettable. At 86 years old, he was in an emergency room without giving him a bed on the ward for 4 days, because there were other hospital preferences (excuse from the hospital's customer service department).
There are several witnesses to everything I mention. If you consider going to this hospital with your elderly relative, don't do it, you may regret it your whole life, like I do for having taken my mother.
And ask the directors of this hospital and sanitas in general if they would have wanted this quality of healthcare for their parents, in a company like Sanitas that sells itself as a benchmark for healthcare in Spain.",18.0,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUROam9yOVN3EAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDNjor9Sw%7CCgsI3rC5rQYQ0LX8Cg%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUROam9yOVN3EAE,M Gelabert,https://www.google.com/maps/contrib/102032939276611630298?hl=en-US,102032939276611630298,https://lh3.googleusercontent.com/a/ACg8ocK2T67p31V5w4KgwO5bVYqiImqqMooZKyreDrCWanYt=s40-c-rp-mo-br100,53,3 weeks ago,"Nos importa mucho tu opinión y nos gustaría darte una atención personal. Para ello, por favor, si lo deseas, mándanos un Email a teescuchamos-zarzuela@sanitas.es con tus datos de contacto. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Nos importa mucho tu opinión y nos gustaría darte una atención personal. Para ello, por favor, si lo deseas, mándanos un Email a teescuchamos-zarzuela@sanitas.es con tus datos de contacto. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Your opinion is very important to us and we would like to give you personal attention. To do this, please, if you wish, send us an Email to teescuchamos-zarzuela@sanitas.es with your contact information. Thank you so much. [+info. about how we treat your personal data at www.sanitas.es/gdpr]","Rogamos a las personas recepcionistas que sean más amables y no tan austeras y parcas en palabras, consulta telefónica para ir a Urología, nos han mandado al sitio equivocado y con los modales justos.","Rogamos a las personas recepcionistas que sean más amables y no tan austeras y parcas en palabras, consulta telefónica para ir a Urología, nos han mandado al sitio equivocado y con los modales justos.","We ask the receptionists to be kinder and not so austere and sparse in words, telephone consultation to go to Urology, they have sent us to the wrong place and with the right manners.",2.0,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUROdUtYclpBEAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDNuKXrZA%7CCgwI9PSvrQYQuKuG1AM%7C?hl=en-US,5.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUROdUtYclpBEAE,Marcial,https://www.google.com/maps/contrib/113840960774052181877?hl=en-US,113840960774052181877,https://lh3.googleusercontent.com/a/ACg8ocJ5VISJNe3sGCqoz7HE7tKXCC1AGLKl-sS3_0L1KZ14=s40-c-rp-mo-br100,5,a month ago,Muchas gracias por tu confianza. Tu comentario nos anima a prestar siempre el mejor servicio.,Muchas gracias por tu confianza. Tu comentario nos anima a prestar siempre el mejor servicio.,Thank you very much for your confidence. Your comment encourages us to always provide the best service.,Mejor imposible super recomendable,Mejor imposible super recomendable,"Best possible, super recommended",,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQxbjZIZTVBRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgID1n6He5AE%7CCgwIqcv8rAYQqK_oxgM%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQxbjZIZTVBRRAB,Miriam Romano Martinez,https://www.google.com/maps/contrib/104561700358037787871?hl=en-US,104561700358037787871,https://lh3.googleusercontent.com/a/ACg8ocLsZzH_LodaH4fGEvuGhJchZ7jUb4tzNcIAWH-Usj8N=s40-c-rp-mo-br100,5,a month ago,"Hola Miriam
Gracias por tus comentarios. Estamos contentos de poder ayudarte porque esa es nuestra misión.","Hola Miriam
Gracias por tus comentarios. Estamos contentos de poder ayudarte porque esa es nuestra misión.","Hello Miriam
Thank you for your comments. We are happy to help you because that is our mission.","El 27 de diciembre, entre en urgencias y tuve que pasar por quirofano de forma urgente, quería expresar mi agradecimiento, a todos los profesionales que me atendieron, tanto en urgencias,  en el quirofano,  en la UCI y en la primera planta del hospital, a parte de grandes profesionales, el trato humano de 10... increible, el equipazo que formais. Sólo quería deciros Gracias, gracias y un millón  de gracias. Sois increíbles!!","El 27 de diciembre, entre en urgencias y tuve que pasar por quirofano de forma urgente, quería expresar mi agradecimiento, a todos los profesionales que me atendieron, tanto en urgencias,  en el quirofano,  en la UCI y en la primera planta del hospital, a parte de grandes profesionales, el trato humano de 10... increible, el equipazo que formais. Sólo quería deciros Gracias, gracias y un millón  de gracias. Sois increíbles!!","On December 27, I entered the emergency room and had to undergo surgery urgently. I wanted to express my gratitude to all the professionals who treated me, both in the emergency room, in the operating room, in the ICU and on the first floor of the hospital, Apart from great professionals, the humane treatment of 10... incredible, the great team you form. I just wanted to say thank you, thank you and a million thanks. You are incredible!!",,,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxczhTRm53RRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIC1s8SFnwE%7CCgwIw-PUrAYQoKa31gI%7C?hl=en-US,4.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUMxczhTRm53RRAB,tomas de la flor,https://www.google.com/maps/contrib/110654715931105137390?hl=en-US,110654715931105137390,https://lh3.googleusercontent.com/a/ACg8ocLv1o5q_O-RtUmFOUfRXqmsKOQEfIOz1FWTPbAAhppG=s40-c-rp-mo-br100,1,a month ago,"Gracias por la confianza que depositas en nosotros, pues nos ayuda a seguir prestando el mejor servicio desde nuestros centros.","Gracias por la confianza que depositas en nosotros, pues nos ayuda a seguir prestando el mejor servicio desde nuestros centros.","Thank you for the trust you place in us, as it helps us to continue providing the best service from our centers.",Esta bien,Esta bien,It's okay,,,
