,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,response.date,response.snippet,response.extracted_snippet.original,response.extracted_snippet.translated,user.local_guide,user.photos,details.nota_editada
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNsOWZUNXh3RRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICl9fT5xwE%7CCgwI99L-qgYQ-JfI2wE%7C?hl=en-US,5.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNsOWZUNXh3RRAB,"Un hospital que al menos por mi parte podemos definir perfecto. En mi experiencia con el embarazo de mi mujer, desde el primer minuto en el que pisamos ginecología todo fue sencillo.
Especial mencion a la doctora Elisa Diaz De Terán, quien con su positivismo, sonrisas y profesionalidad nos ha acompañado en un embarazo movidito y ha conseguido que todo salga no bien sino perfecto!!
También mencionar la magnífica atención de Vicente orenga, el cual desde que le conocimos en urgencias una noche de mucho nervio y después en consulta con la doctora sabe llegar perfectamente al paciente y nos transmitió muchísima calma, seguridad y sobre todo nos ganó de por vida con la profesionalidad que tiene en todo, tanto la doctora Elisa como Vicente estuvieron en nuestro parto y jamás olvidaremos la presencia de ambos allí, los dos más importantes en todo este proceso.
El doctor Alberto bustos también, magnífico profesional quien nos ha apoyado tanto en el parto como en consultas y todo pueden ser palabras buenas.",1.0,Victor Rosa vicente,https://www.google.com/maps/contrib/110690805285282670072?hl=en-US,110690805285282670072,https://lh3.googleusercontent.com/a/ACg8ocKisQq8QIBdCBvh-KljSy2FsTAZISK4_g71Y58sO-w=s40-c-rp-mo-br100,11,"Un hospital que al menos por mi parte podemos definir perfecto. En mi experiencia con el embarazo de mi mujer, desde el primer minuto en el que pisamos ginecología todo fue sencillo.
Especial mencion a la doctora Elisa Diaz De Terán, quien con su positivismo, sonrisas y profesionalidad nos ha acompañado en un embarazo movidito y ha conseguido que todo salga no bien sino perfecto!!
También mencionar la magnífica atención de Vicente orenga, el cual desde que le conocimos en urgencias una noche de mucho nervio y después en consulta con la doctora sabe llegar perfectamente al paciente y nos transmitió muchísima calma, seguridad y sobre todo nos ganó de por vida con la profesionalidad que tiene en todo, tanto la doctora Elisa como Vicente estuvieron en nuestro parto y jamás olvidaremos la presencia de ambos allí, los dos más importantes en todo este proceso.
El doctor Alberto bustos también, magnífico profesional quien nos ha apoyado tanto en el parto como en consultas y todo pueden ser palabras buenas.","A hospital that at least for my part we can define as perfect. In my experience with my wife's pregnancy, from the first minute we set foot in gynecology everything was simple.
Special mention to Dr. Elisa Diaz De Terán, who with her positivism, smiles and professionalism has accompanied us through a busy pregnancy and has made everything turn out not well but perfect!!
Also mention the magnificent attention of Vicente Orenga, who since we met him in the emergency room one very nervous night and then in consultation with the doctor knows how to reach the patient perfectly and transmitted to us a lot of calm, security and above all he won us for life with the professionalism she has in everything, both Dr. Elisa and Vicente were at our birth and we will never forget the presence of both of them there, the two most important in this entire process.
Doctor Alberto Bustos too, a magnificent professional who has supported us both during the birth and in consultations and all can be good words.",3 months ago,"Muchísimas Gracias por su valoración Victor.
Trasladamos su felicitación a los responsables","Muchísimas Gracias por su valoración Victor.
Trasladamos su felicitación a los responsables","Thank you very much for your evaluation Victor.
We convey your congratulations to those responsible",,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNseGVqWFVREAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIClxejXUQ%7CCgwIw6D5qgYQ6OXlugM%7C?hl=en-US,1.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNseGVqWFVREAE,"De un tiempo a esta parte, atención lamentable, incluso en las urgencias. Listas de espera como en la Seguridad Social. Agendas siempre cerradas. Absoluta falta de seriedad y cada vez menor profesionalidad de algunos de sus médicos.
Mejor evitar.",1.0,Jacob Birthday's,https://www.google.com/maps/contrib/111658384118816072785?hl=en-US,111658384118816072785,https://lh3.googleusercontent.com/a-/ALV-UjU38LQe1LhGz3Uv7qB08w5d2o50HNdS6yVq7GfAbI2mlQnn=s40-c-rp-mo-ba3-br100,66,"De un tiempo a esta parte, atención lamentable, incluso en las urgencias. Listas de espera como en la Seguridad Social. Agendas siempre cerradas. Absoluta falta de seriedad y cada vez menor profesionalidad de algunos de sus médicos.
Mejor evitar.","For some time now, regrettable care, even in emergencies. Waiting lists like in Social Security. Agendas always closed. Absolute lack of seriousness and decreasing professionalism of some of their doctors.
Better to avoid.",3 months ago,"Lamentamos su valoración haya sido negativa. Si necesita que le ayudemos con algún tema, cita, por favor escribanos a dirgerenciahlz@sanitas.es. Un saludo","Lamentamos su valoración haya sido negativa. Si necesita que le ayudemos con algún tema, cita, por favor escribanos a dirgerenciahlz@sanitas.es. Un saludo","We are sorry that your review was negative. If you need help with any topic, appointment, please write to us at dirgerenciahlz@sanitas.es. All the best",True,37.0,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNsaFlmQmRBEAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIClhYfBdA%7CCgwI8-j4qgYQuPfZqAE%7C?hl=en-US,5.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNsaFlmQmRBEAE,"Acudí a este hospital por recomendaciones de conocidos pero en primera persona puedo decir lo mismo, recomendable 100%. Durante todo el embarazo  mi experiencia ha sido excepcional.  Agradezco enormemente el trato profesional y cercano recibido. También han sido los encargados de traer a mi hijo en las mejores condiciones y con los mejores profesionales. Destaco positivamente la infraestructura en el área de maternidad. Agradezco enormemente al equipo UCI neonatos y a la ginecóloga Díaz Terán por su excelente servicio y su labor impecable en todo el proceso.",1.0,Patricia Fernandez,https://www.google.com/maps/contrib/112828832072630651214?hl=en-US,112828832072630651214,https://lh3.googleusercontent.com/a-/ALV-UjU-ABYQb_LX-Ed_NH7CZOkBRVM4GwLcaILNj5WFOARbiA=s40-c-rp-mo-br100,4,"Acudí a este hospital por recomendaciones de conocidos pero en primera persona puedo decir lo mismo, recomendable 100%. Durante todo el embarazo  mi experiencia ha sido excepcional.  Agradezco enormemente el trato profesional y cercano recibido. También han sido los encargados de traer a mi hijo en las mejores condiciones y con los mejores profesionales. Destaco positivamente la infraestructura en el área de maternidad. Agradezco enormemente al equipo UCI neonatos y a la ginecóloga Díaz Terán por su excelente servicio y su labor impecable en todo el proceso.","I went to this hospital based on recommendations from acquaintances but in first person I can say the same thing, 100% recommended. Throughout my pregnancy my experience has been exceptional. I greatly appreciate the professional and close treatment received. They have also been in charge of bringing my son in the best conditions and with the best professionals. I positively highlight the infrastructure in the maternity area. I greatly appreciate the neonatal UCI team and the gynecologist Díaz Terán for their excellent service and impeccable work throughout the process.",3 months ago,"Muchísimas gracias por su valoración. Trasladamos su mensaje a la persona responsable.
Un saludo","Muchísimas gracias por su valoración. Trasladamos su mensaje a la persona responsable.
Un saludo","Thank you very much for your evaluation. We forward your message to the person responsible.
All the best",,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNscWQ2U1lnEAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIClqd6SYg%7CCgsI8pDzqgYQ6Mq3Ag%7C?hl=en-US,1.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNscWQ2U1lnEAE,"Imposible cancelar una cita. Tras 5 llamadas y envío de correo, desisto.
Que si salta a sanitas , que si llame al hospital, que si le paso con mis compañeros… en fin",1.0,Susana,https://www.google.com/maps/contrib/111785764824406266221?hl=en-US,111785764824406266221,https://lh3.googleusercontent.com/a-/ALV-UjWoCQHsX1NATyb-g10ZBxns3UGxK8qPoojditivRTgAPw=s40-c-rp-mo-br100,13,"Imposible cancelar una cita. Tras 5 llamadas y envío de correo, desisto.
Que si salta a sanitas , que si llame al hospital, que si le paso con mis compañeros… en fin","Impossible to cancel an appointment. After 5 calls and sending emails, I gave up.
What if he jumps to Sanitas, what if he calls the hospital, what if it happens to my colleagues... anyway",3 months ago,"Hola Susana, con que médico y servicio quiere la cita.
mándenos un mail a dirgerenciahlz@sanitas.es o 915858199
Gracias","Hola Susana, con que médico y servicio quiere la cita.
mándenos un mail a dirgerenciahlz@sanitas.es o 915858199
Gracias","Hello Susana, with which doctor and service do you want the appointment.
Send us an email to dirgerenciahlz@sanitas.es or 915858199
Thank you",,2.0,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNPeUwydDd3RRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICOyL2t7wE%7CCgwI8JzfqgYQ6NCaggM%7C?hl=en-US,1.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNPeUwydDd3RRAB,"Hoy tenía una cita en quirófano de Dermatología
Vivimos lejos de la zona y desgraciadamente hemos tenido un accidente en el camino y hemos llegado 20 minutos tarde.
Al llegar, la persona de recepción, con muy poca empatía y un cierto aire de despotismo nos ha “abroncado” al llegar….¿Venís a quirófano verdad? Pues es que su cita era a las 18.20 y llega vd a las 18.40… así que la doctora se ha marchado. (Debía tener prisa por marcharse de fin de semana)
“le ha esperado 10 minutos”  interpela .. y me quedo sin ser atendido
Curiosamente, esta misma semana tuve que esperar yo a ser atendido 45 minutos en la misma consulta.
No se porqué pagamos, cada vez dan peor servicio.",1.0,Fernando Maldonado,https://www.google.com/maps/contrib/104063975679158323327?hl=en-US,104063975679158323327,https://lh3.googleusercontent.com/a-/ALV-UjXn0ipU_644A2XDPfELasGDYzbEsp710hoIy_V67qL_ug4=s40-c-rp-mo-br100,10,"Hoy tenía una cita en quirófano de Dermatología
Vivimos lejos de la zona y desgraciadamente hemos tenido un accidente en el camino y hemos llegado 20 minutos tarde.
Al llegar, la persona de recepción, con muy poca empatía y un cierto aire de despotismo nos ha “abroncado” al llegar….¿Venís a quirófano verdad? Pues es que su cita era a las 18.20 y llega vd a las 18.40… así que la doctora se ha marchado. (Debía tener prisa por marcharse de fin de semana)
“le ha esperado 10 minutos”  interpela .. y me quedo sin ser atendido
Curiosamente, esta misma semana tuve que esperar yo a ser atendido 45 minutos en la misma consulta.
No se porqué pagamos, cada vez dan peor servicio.","Today I had an appointment in the Dermatology operating room.
We live far from the area and unfortunately we had an accident on the way and we arrived 20 minutes late.
Upon arrival, the person at the reception, with very little empathy and a certain air of despotism, “ragged” us upon arrival… You are coming to the operating room, right? Well, your appointment was at 6:20 p.m. and you arrive at 6:40 p.m.... so the doctor has left. (He must have been in a hurry to leave for the weekend)
“I waited for you 10 minutes” he asks... and I am left without being attended to.
Curiously, this same week I had to wait 45 minutes to be seen in the same consultation.
I don't know why we pay, they give worse and worse service.",3 months ago,"Buenos días, 

Quiere que le gestionemos  nueva cita?, si es asi me encargo personalmente, pero envíenos un mail con sus datos al dirgerenciahlz@sanitas.es.
Muchas gracias  y perdonad lo sucedido
Un saludo","Buenos días, 

Quiere que le gestionemos  nueva cita?, si es asi me encargo personalmente, pero envíenos un mail con sus datos al dirgerenciahlz@sanitas.es.
Muchas gracias  y perdonad lo sucedido
Un saludo","Good morning,

Do you want us to make a new appointment for you? If so, I will take care of it personally, but send us an email with your information to dirgerenciahlz@sanitas.es.
Thank you very much and sorry for what happened
All the best",,15.0,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNscHBLTkVREAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIClppKNEQ%7CCgwIjKLdqgYQyLyy4AE%7C?hl=en-US,1.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNscHBLTkVREAE,"Una auténtica vergüenza voy con mi hija de 10 años, gritando de dolor con una gastroenteritis y como tarde en llegarUrgencia pediátrica   luego de pasar por admisión sacaron a mi hija de sistema y pasaron 2 horas nunca la atendieron Nunca volveremos",1.0,pcarlos carlos,https://www.google.com/maps/contrib/111294539030868610158?hl=en-US,111294539030868610158,https://lh3.googleusercontent.com/a/ACg8ocKduoN0E6zcUcETFzHCKkyXwZToCG7qaft_U_00qGr0=s40-c-rp-mo-br100,9,"Una auténtica vergüenza voy con mi hija de 10 años, gritando de dolor con una gastroenteritis y como tarde en llegarUrgencia pediátrica   luego de pasar por admisión sacaron a mi hija de sistema y pasaron 2 horas nunca la atendieron Nunca volveremos","It's a real shame that I go with my 10-year-old daughter, screaming in pain with gastroenteritis and as late as possible in arriving Pediatric emergency after going through admission they took my daughter out of the system and they spent 2 hours never treating her We will never return",3 months ago,"Lamemtamos lo sucedido. Nos puede dejar el nombre de su hija en dirgerenciahlz@sanitas.es para hablar con el responsable, para ver que ha sucedido'
Muchas gracias","Lamemtamos lo sucedido. Nos puede dejar el nombre de su hija en dirgerenciahlz@sanitas.es para hablar con el responsable, para ver que ha sucedido'
Muchas gracias","We regret what happened. You can leave us your daughter's name at dirgerenciahlz@sanitas.es to speak with the person in charge, to see what has happened.'
Thank you so much",,8.0,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURGeGV6OUFREAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDFxez9AQ%7CCgsI__-uqgYQyO_FVw%7C?hl=en-US,5.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURGeGV6OUFREAE,"Genial experiencia,",,CATERINA CIFRE,https://www.google.com/maps/contrib/101128290162191950005?hl=en-US,101128290162191950005,https://lh3.googleusercontent.com/a-/ALV-UjWp9sKCXxR-ny9xcUxOLndik7tPg9DiDdU5CQkIaXNnfgs=s40-c-rp-mo-br100,5,"Genial experiencia,","Great experience,",3 months ago,"Gracias por tu valoración, pues nos ayuda a seguir mejorando para vosotros, nuestros pacientes.","Gracias por tu valoración, pues nos ayuda a seguir mejorando para vosotros, nuestros pacientes.","Thank you for your evaluation, as it helps us to continue improving for you, our patients.",,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNGNC02S2FBEAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICF4-6KaA%7CCgwIjLaJqgYQ0MalqgM%7C?hl=en-US,1.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNGNC02S2FBEAE,"La Zarzuela de Sanitas se trata de un hospital en el que una vez dentro cada especialidad es independiente (o un reino de taifas).

Mi tía, invidente y con cáncer, fue tratada por lo que se creen ahí los doctores una “eminencia” que al darla por desahuciada tiempo le faltó para derivarla a una residencia a que se muriera allí. Mi familia, por desconocimiento médico hizo caso a todo lo que nos recomendó el doctor. Eso nos obligó a no estar con mi tía por ser inmunodeficiente y ya en última instancia a ingresarla en una residencia (de Sanitas pero una auténtica maravilla). En el último mes de vida, mi tía tuvo que ir en 3 ocasiones a urgencias. En esas 3 ocasiones dicha eminencia no fue capaz de darnos resultados de las pruebas que le hicieron.

En la última vez que ingresó en urgencias por fiebre, se la consiguieron bajar y de mala manera la volvieron a enviar a la residencia. En la residencia, escandalizados de como había vuelto mi tía, nos plantearon los paliativos que debían de habérselos mandado en el hospital. De manera inmediata los pidieron. No obstante, al día y medio de darla el alta en el hospital, fallece.

Una auténtica vergüenza que un hospital con dicho renombre que dicen tener hayan dado de alta a una persona que se muere al día y medio después. Algo falla. Y no para más INRI nos llega un mensaje recordándonos que tenemos una cita con la eminencia habiendo muerto encima en instalaciones de Sanitas.

En definitiva, espero que se tome este testimonio como protesta para que familiares que lean esto lleven a sus seres queridos a otro sitio donde vayan a estar mejor informados y desde luego que el paciente esté bien atendido con más humanidad.",15.0,Daniel Revilla,https://www.google.com/maps/contrib/112005060886318014564?hl=en-US,112005060886318014564,https://lh3.googleusercontent.com/a-/ALV-UjVsWdMVS9BroTfXVtt-CrARrMzf286-5f7-S2gMQ6ICjN8=s40-c-rp-mo-br100,1,"La Zarzuela de Sanitas se trata de un hospital en el que una vez dentro cada especialidad es independiente (o un reino de taifas).

Mi tía, invidente y con cáncer, fue tratada por lo que se creen ahí los doctores una “eminencia” que al darla por desahuciada tiempo le faltó para derivarla a una residencia a que se muriera allí. Mi familia, por desconocimiento médico hizo caso a todo lo que nos recomendó el doctor. Eso nos obligó a no estar con mi tía por ser inmunodeficiente y ya en última instancia a ingresarla en una residencia (de Sanitas pero una auténtica maravilla). En el último mes de vida, mi tía tuvo que ir en 3 ocasiones a urgencias. En esas 3 ocasiones dicha eminencia no fue capaz de darnos resultados de las pruebas que le hicieron.

En la última vez que ingresó en urgencias por fiebre, se la consiguieron bajar y de mala manera la volvieron a enviar a la residencia. En la residencia, escandalizados de como había vuelto mi tía, nos plantearon los paliativos que debían de habérselos mandado en el hospital. De manera inmediata los pidieron. No obstante, al día y medio de darla el alta en el hospital, fallece.

Una auténtica vergüenza que un hospital con dicho renombre que dicen tener hayan dado de alta a una persona que se muere al día y medio después. Algo falla. Y no para más INRI nos llega un mensaje recordándonos que tenemos una cita con la eminencia habiendo muerto encima en instalaciones de Sanitas.

En definitiva, espero que se tome este testimonio como protesta para que familiares que lean esto lleven a sus seres queridos a otro sitio donde vayan a estar mejor informados y desde luego que el paciente esté bien atendido con más humanidad.","La Zarzuela de Sanitas is a hospital in which once inside each specialty is independent (or a kingdom of taifas).

My aunt, blind and suffering from cancer, was treated by what the doctors there believe to be an “eminence” who, when they declared her hopeless, did not have enough time to refer her to a nursing home to die there. My family, due to medical ignorance, listened to everything the doctor recommended. That forced us not to be with my aunt because she was immunodeficient and ultimately to admit her to a residence (from Sanitas but a true marvel). In the last month of her life, my aunt had to go to the emergency room 3 times. On those 3 occasions, said eminence was not able to give us the results of the tests they performed on him.

The last time she was admitted to the emergency room due to fever, they managed to lower her and in a bad way they sent her back to the residence. At the residence, scandalized by how my aunt had returned, they asked us about the palliatives that should have been sent to her at the hospital. They immediately asked for them. However, a day and a half after being discharged from the hospital, she died.

A real shame that a hospital with the reputation they claim to have discharged a person who died a day and a half later. Something is wrong. And no wonder INRI receives a message reminding us that we have an appointment with the eminence having died in the Sanitas facilities.

In short, I hope that this testimony is taken as a protest so that relatives who read this take their loved ones to another place where they will be better informed and of course the patient will be well cared for with more humanity.",,,,,,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURaeGRydUJBEAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDZxdruBA%7CCgsI3PzpqQYQgOCNbg%7C?hl=en-US,1.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURaeGRydUJBEAE,"Contraté la operación/tratamiento de Microespuma para hemorroides, haciéndome todas las pruebas que me pidieron para saber si era apto para esta operación, electrocardiograma, colonoscopia....y me dijeron que si. Me dieron 3 sesiones y el problema que tenía de sangrado no se me ha solucionado y me contestan que no me pueden dar más sesiones ni devolverme el dinero que pagué porque me han dado las 3 sesiones que se incluye en el precio, cuando los médicos cirujanos me dijeron que con este tratamiento iba a solucionar mi problema, porque si me llegan a decir que no es seguro que me sea efectivo no lo pago.
Aparte las pruebas COVID que tuve que hacerme en en Hospital antes de la intervención no están incluidas en el precio ni las consultas telefónicas de después con el cirujano para saber como te encuentras. Me siento estafado y engañado.

NOTA EDITADA: A fecha 26 de Octubre me contestan del departamento de reclamaciones y me contestan que el tratamiento no es eficaz al 100%, que yo contraté 3 sesiones y me negué a hacerme pruebas diagnósticas. Son unos impresentables y mentirosos, yo nunca me he negado a hacerme ninguna prueba porque no me ofrecieron nada, solo decirme que como me dieron 3 sesiones no me devuelven el dinero.
Qué el personal médico mienta de esa manera me parece que es que no tienen vergüenza ni la conocen. Dinero perdido...",1.0,Julian Martinez Rojo,https://www.google.com/maps/contrib/104645254718665820375?hl=en-US,104645254718665820375,https://lh3.googleusercontent.com/a/ACg8ocIc1-Td5TIKsivOgjGU7JSG6qaELnzDLsKJPUdpxla3=s40-c-rp-mo-br100,5,"Contraté la operación/tratamiento de Microespuma para hemorroides, haciéndome todas las pruebas que me pidieron para saber si era apto para esta operación, electrocardiograma, colonoscopia....y me dijeron que si. Me dieron 3 sesiones y el problema que tenía de sangrado no se me ha solucionado y me contestan que no me pueden dar más sesiones ni devolverme el dinero que pagué porque me han dado las 3 sesiones que se incluye en el precio, cuando los médicos cirujanos me dijeron que con este tratamiento iba a solucionar mi problema, porque si me llegan a decir que no es seguro que me sea efectivo no lo pago.
Aparte las pruebas COVID que tuve que hacerme en en Hospital antes de la intervención no están incluidas en el precio ni las consultas telefónicas de después con el cirujano para saber como te encuentras. Me siento estafado y engañado.

NOTA EDITADA: A fecha 26 de Octubre me contestan del departamento de reclamaciones y me contestan que el tratamiento no es eficaz al 100%, que yo contraté 3 sesiones y me negué a hacerme pruebas diagnósticas. Son unos impresentables y mentirosos, yo nunca me he negado a hacerme ninguna prueba porque no me ofrecieron nada, solo decirme que como me dieron 3 sesiones no me devuelven el dinero.
Qué el personal médico mienta de esa manera me parece que es que no tienen vergüenza ni la conocen. Dinero perdido...","I contracted the Microfoam operation/treatment for hemorrhoids, doing all the tests they asked me to see if I was suitable for this operation, electrocardiogram, colonoscopy... and they told me yes. They gave me 3 sessions and the bleeding problem I had has not been solved and they answered that they cannot give me more sessions or return the money I paid because they have given me the 3 sessions that are included in the price, when the surgeons They told me that this treatment would solve my problem, because if they tell me that it is not certain that it will be effective, I will not pay for it.
Apart from that, the COVID tests that I had to do at the hospital before the intervention are not included in the price, nor are the telephone consultations afterwards with the surgeon to find out how you are feeling. I feel cheated and deceived.

EDITED NOTE: As of October 26, the claims department responded to me and told me that the treatment is not 100% effective, that I booked 3 sessions and refused to undergo diagnostic tests. They are unpresentable and liars, I have never refused to have any tests done because they didn't offer me anything, they just told me that since they gave me 3 sessions they won't give me my money back.
It seems to me that the medical staff lies that way because they have no shame nor do they know it. Lost money...",4 months ago,"Queremos mejorar siempre. Por favor, si lo deseas, puedes escribirnos a en teescuchamos-zarzuela@sanitas.es con tus datos y así conocer la situación de primera mano. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Queremos mejorar siempre. Por favor, si lo deseas, puedes escribirnos a en teescuchamos-zarzuela@sanitas.es con tus datos y así conocer la situación de primera mano. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","We always want to improve. Please, if you wish, you can write to us at teescuchamos-zarzuela@sanitas.es with your information and thus know the situation first-hand. Thank you so much. [+info. about how we treat your personal data at www.sanitas.es/gdpr]",,,"A fecha 26 de Octubre me contestan del departamento de reclamaciones y me contestan que el tratamiento no es eficaz al 100%, que yo contraté 3 sesiones y me negué a hacerme pruebas diagnósticas. Son unos impresentables y mentirosos, yo nunca me he negado a hacerme ninguna prueba porque no me ofrecieron nada, solo decirme que como me dieron 3 sesiones no me devuelven el dinero."
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaXzlmU1B3EAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICZ_9fSPw%7CCgsIuqrlqQYQyI6MWQ%7C?hl=en-US,5.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNaXzlmU1B3EAE,"He acudido a este Hospital por una cuestión muy importante y delicada para mi y me he encontrado con unos profesionales extraordinarios, tanto en Radiodiagnostico (Dra. Sofia, Anton y Yania), Recepción de  Radiodiagnostico (Srta. Feli) y Ginecología (Dr.Torres) que han demostrado una calidad humana y una profesionalidad fuera de lo comun. Muchas gracias!!!!",1.0,Violeta Lario,https://www.google.com/maps/contrib/102231717005537662128?hl=en-US,102231717005537662128,https://lh3.googleusercontent.com/a/ACg8ocJvnYf4Muo9ev3iKtObefk7gpzBNwzti8N7K1o1yDgt=s40-c-rp-mo-br100,107,"He acudido a este Hospital por una cuestión muy importante y delicada para mi y me he encontrado con unos profesionales extraordinarios, tanto en Radiodiagnostico (Dra. Sofia, Anton y Yania), Recepción de  Radiodiagnostico (Srta. Feli) y Ginecología (Dr.Torres) que han demostrado una calidad humana y una profesionalidad fuera de lo comun. Muchas gracias!!!!","I have gone to this Hospital for a very important and delicate matter for me and I have met some extraordinary professionals, both in Radiodiagnostics (Dr. Sofia, Anton and Yania), Radiodiagnostic Reception (Ms. Feli) and Gynecology (Dr. Torres ) who have demonstrated unusual human quality and professionalism. Thank you so much!!!!",5 months ago,"Hola Violeta,
Gracias por dedicarnos tiempo y comunicarnos tu opinión. Trasmitiremos tus comentarios al equipo :)
Que tengas un buen día.","Hola Violeta,
Gracias por dedicarnos tiempo y comunicarnos tu opinión. Trasmitiremos tus comentarios al equipo :)
Que tengas un buen día.","Hi Violeta,
Thank you for taking the time and letting us know your opinion. We will pass on your comments to the team :)
Have a good day.",,11.0,
