,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,response.date,response.snippet,response.extracted_snippet.original,response.extracted_snippet.translated,user.local_guide,details.en_resumen,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ1anFfanlnRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgID5jq_jygE%7CCgwI8KXfqQYQ4NCerAE%7C?hl=en-US,5.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQ1anFfanlnRRAB,"Estoy encantada con este hospital, sus servicios y su personal.
Tuve a mi niño allí hace una semana y es que solo puedo decir cosas bonitas de todo el equipo ginecológico del centro, en especial de José Alberto Bustos, maravilloso. Millones de gracias, siempre, por vuestra atención y trato, hicisteis que todo fuese un paseo. Gracias.",2.0,V G,https://www.google.com/maps/contrib/103248393563303332480?hl=en-US,103248393563303332480,https://lh3.googleusercontent.com/a-/ALV-UjW4PW4bE08vWu9pY2b8UCvhDn-xSGbq1aWkAbaolpU_6gI=s40-c-rp-mo-br100,19,20.0,"Estoy encantada con este hospital, sus servicios y su personal.
Tuve a mi niño allí hace una semana y es que solo puedo decir cosas bonitas de todo el equipo ginecológico del centro, en especial de José Alberto Bustos, maravilloso. Millones de gracias, siempre, por vuestra atención y trato, hicisteis que todo fuese un paseo. Gracias.","I am delighted with this hospital, its services and its staff.
I had my son there a week ago and I can only say nice things about the entire gynecological team at the center, especially José Alberto Bustos, wonderful. Thanks a million, always, for your attention and treatment, you made everything a breeze. Thank you.",4 months ago,"Muchas gracias por depositar su confianza en el hospital.
Gracias desde la Direccion del hospital.","Muchas gracias por depositar su confianza en el hospital.
Gracias desde la Direccion del hospital.","Thank you very much for placing your trust in the hospital.
Thank you from the Hospital Management.",,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ1MXZpR2VnEAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgID51viGeg%7CCgsI3qreqQYQgJXuVg%7C?hl=en-US,1.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUQ1MXZpR2VnEAE,Dejan al paciente con una escayola dos semanas más sin saber que hacer tras una operación porque el doctor se va de baja y no ponen un reemplazo. Mala información y largos tiempos para un servicio privado,2.0,Rocío del Amo,https://www.google.com/maps/contrib/110358752829265481490?hl=en-US,110358752829265481490,https://lh3.googleusercontent.com/a/ACg8ocJjsdxxNtHWRXDF5BUZin3hYAe-E4HDkRk6Vxw2-YGFTw=s40-c-rp-mo-br100,40,5.0,Dejan al paciente con una escayola dos semanas más sin saber que hacer tras una operación porque el doctor se va de baja y no ponen un reemplazo. Mala información y largos tiempos para un servicio privado,They leave the patient in a cast for two more weeks without knowing what to do after an operation because the doctor goes on leave and they don't put in a replacement. Bad information and long times for a private service,3 months ago,"Nos importa mucho tu opinión y nos gustaría darte una atención personal. Para ello, si lo deseas, mándanos un Email a teescuchamos-zarzuela@sanitas.es con tus datos de contacto. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Nos importa mucho tu opinión y nos gustaría darte una atención personal. Para ello, si lo deseas, mándanos un Email a teescuchamos-zarzuela@sanitas.es con tus datos de contacto. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Your opinion is very important to us and we would like to give you personal attention. To do this, if you wish, send us an Email to teescuchamos-zarzuela@sanitas.es with your contact information. Thank you so much. [+info. about how we treat your personal data at www.sanitas.es/gdpr]",,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM1MTd2MTB3RRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIC517v10wE%7CCgwI8cm7qQYQ8NPaxAM%7C?hl=en-US,1.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUM1MTd2MTB3RRAB,"Hemos recibido un trato lamentable y desagradable a más no poder hoy en el departamento de radiología.

Han tenido de todo menos cuidado con un bebé de 3 meses en la ecografía, poniéndole en una posición totalmente innecesaria para la zona a ecografiar. Además se nos han realizado comentarios totalmente fuera de lugar y sin venir a cuento pidiéndonos explicaciones de por qué no queremos o queremos darle un chupete a nuestro bebé.

Después de la ecografía nos han echado de la sala de espera donde habíamos parado después de la eco a dar el pecho al bebé para que se tranquilizase.

Desde luego una profesional, por llamarla de alguna manera, totalmente desactualizada, sin educación y de un trato que no he recibido tan malo en tiempo.

0 recomendable ir con bebés a radiología.",3.0,Raúl Sanz,https://www.google.com/maps/contrib/106343560107756774335?hl=en-US,106343560107756774335,https://lh3.googleusercontent.com/a/ACg8ocL3Iyk476BlremiAd35SDc_7beVXoHi9bCEetUtTDWk=s40-c-rp-mo-ba3-br100,58,24.0,"Hemos recibido un trato lamentable y desagradable a más no poder hoy en el departamento de radiología.

Han tenido de todo menos cuidado con un bebé de 3 meses en la ecografía, poniéndole en una posición totalmente innecesaria para la zona a ecografiar. Además se nos han realizado comentarios totalmente fuera de lugar y sin venir a cuento pidiéndonos explicaciones de por qué no queremos o queremos darle un chupete a nuestro bebé.

Después de la ecografía nos han echado de la sala de espera donde habíamos parado después de la eco a dar el pecho al bebé para que se tranquilizase.

Desde luego una profesional, por llamarla de alguna manera, totalmente desactualizada, sin educación y de un trato que no he recibido tan malo en tiempo.

0 recomendable ir con bebés a radiología.","We have received extremely unfortunate and unpleasant treatment today in the radiology department.

They have been anything but careful with a 3-month-old baby in the ultrasound, putting him in a totally unnecessary position for the area to be ultrasounded. In addition, comments have been made to us that are totally out of place and irrelevant, asking us for explanations as to why we do not want or want to give our baby a pacifier.

After the ultrasound they kicked us out of the waiting room where we had stopped after the ultrasound to breastfeed the baby so that he would calm down.

Certainly a professional, so to speak, totally outdated, uneducated and with treatment that I have not received so bad in a long time.

0 advisable to go with babies to radiology.",3 months ago,"Sentimos la valoración obtenida. Estamos comprometidos con el aprendizaje y la mejora continua; por eso, por favor, si lo deseas, puedes ponerte en contacto con nosotros en teescuchamos-zarzuela@sanitas.es con tus datos, para conocer mejor la situación.  [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Sentimos la valoración obtenida. Estamos comprometidos con el aprendizaje y la mejora continua; por eso, por favor, si lo deseas, puedes ponerte en contacto con nosotros en teescuchamos-zarzuela@sanitas.es con tus datos, para conocer mejor la situación.  [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","We are sorry for the evaluation obtained. We are committed to continuous learning and improvement; Therefore, please, if you wish, you can contact us at teescuchamos-zarzuela@sanitas.es with your information, to better understand the situation. [+info. about how we treat your personal data at www.sanitas.es/gdpr]",True,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM1ck96YnZRRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIC5rOzbvQE%7CCgwI4YybqQYQyNq5hAI%7C?hl=en-US,1.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUM1ck96YnZRRRAB,"Me citaron para una resonancia magnética con contraste a las 07:20 de la mañana. Cuando me presenté la enfermera que me atendió me dijo que me habían citado mal y que podía hacérmela sin contraste y volver otro día. Le pedí si podía esperar a la hora en que hicieran contraste porque necesito esa prueba cuanto antes para poder establecer tratamiento de fisioterapia (y las citas ya van por noviembre). Me soltó que había otros pacientes que no tenían la culpa y no me iban a hacer hueco, y que ella llevaba allí desde las 6 de la mañana (sin ser consciente de que ella cobra por estar allí, mientras yo pago por un servicio que no me dieron).

Atención al paciente no llegaba hasta hora y media más tarde, según me indicó la chica del mostrador de arriba, que aprovechó para decirme que aunque estuviera allí, no tenía ni que contestarme porque estaba cerrado.

En resumen: el respeto y la empatía brillan por su ausencia; y lo mínimo que puedes hacer si alguien de tu compañía ha cometido un error es pedir disculpas en su nombre y tratar de ofrecer alguna alternativa para corregirlo, no tratar mal al paciente

La gasolina, el parking y el atasco de vuelta no me los paga nadie, pero esta reseña queda aquí para que veamos que la Sanidad privada igual no vale lo que cuesta y mucho peor se pueden poner las cosas si la pública nos falla.",4.0,Ch P.C.,https://www.google.com/maps/contrib/104111625727177199361?hl=en-US,104111625727177199361,https://lh3.googleusercontent.com/a/ACg8ocLse6HTqF89-YpbLdGfuErLRLQ3ZBOyyYmIlExgJHll=s40-c-rp-mo-br100,33,8.0,"Me citaron para una resonancia magnética con contraste a las 07:20 de la mañana. Cuando me presenté la enfermera que me atendió me dijo que me habían citado mal y que podía hacérmela sin contraste y volver otro día. Le pedí si podía esperar a la hora en que hicieran contraste porque necesito esa prueba cuanto antes para poder establecer tratamiento de fisioterapia (y las citas ya van por noviembre). Me soltó que había otros pacientes que no tenían la culpa y no me iban a hacer hueco, y que ella llevaba allí desde las 6 de la mañana (sin ser consciente de que ella cobra por estar allí, mientras yo pago por un servicio que no me dieron).

Atención al paciente no llegaba hasta hora y media más tarde, según me indicó la chica del mostrador de arriba, que aprovechó para decirme que aunque estuviera allí, no tenía ni que contestarme porque estaba cerrado.

En resumen: el respeto y la empatía brillan por su ausencia; y lo mínimo que puedes hacer si alguien de tu compañía ha cometido un error es pedir disculpas en su nombre y tratar de ofrecer alguna alternativa para corregirlo, no tratar mal al paciente

La gasolina, el parking y el atasco de vuelta no me los paga nadie, pero esta reseña queda aquí para que veamos que la Sanidad privada igual no vale lo que cuesta y mucho peor se pueden poner las cosas si la pública nos falla.","I was scheduled for an MRI with contrast at 7:20 in the morning. When I showed up, the nurse who treated me told me that they had misquoted me and that I could have it done without contrast and come back another day. I asked him if I could wait for the contrast test because I need that test as soon as possible to be able to establish physical therapy treatment (and the appointments are already in November). She told me that there were other patients who were not to blame and were not going to make room for me, and that she had been there since 6 in the morning (without being aware that she charges to be there, while I pay for a service that I do not they gave me).

Patient service didn't arrive until an hour and a half later, as told by the girl at the counter above, who took the opportunity to tell me that even if she was there, she didn't even have to answer me because it was closed.

In short: respect and empathy are conspicuous by their absence; and the least you can do if someone in your company has made a mistake is to apologize on their behalf and try to offer some alternative to correct it, not treat the patient badly.

No one pays for the gas, the parking and the return traffic jam, but this review is here so that we can see that private healthcare is not worth what it costs and things can get much worse if the public healthcare system fails us.",3 months ago,"Nos importa mucho tu opinión y nos gustaría darte una atención personal. Para ello, si lo deseas, puedes enviarnos un email a teescuchamos-alcorcon@sanitas.es con tus datos de contacto. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Nos importa mucho tu opinión y nos gustaría darte una atención personal. Para ello, si lo deseas, puedes enviarnos un email a teescuchamos-alcorcon@sanitas.es con tus datos de contacto. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Your opinion is very important to us and we would like to give you personal attention. To do this, if you wish, you can send us an email to teescuchamos-alcorcon@sanitas.es with your contact information. Thank you so much. [+info. about how we treat your personal data at www.sanitas.es/gdpr]",,"el respeto y la empatía brillan por su ausencia; y lo mínimo que puedes hacer si alguien de tu compañía ha cometido un error es pedir disculpas en su nombre y tratar de ofrecer alguna alternativa para corregirlo, no tratar mal al paciente",
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM1bE9fSHB3RRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIC5lO_HpwE%7CCgwIlYaXqQYQ8NCi2gI%7C?hl=en-US,3.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUM1bE9fSHB3RRAB,Con la sala de espera vacía llevamos más de una hora de espera en urgencias. entiendo que hay urgencias más importantes que otras pero tiene pinta de que se debe a una enorme falta de médicos.,1.0,Rocio,https://www.google.com/maps/contrib/107533881926575534535?hl=en-US,107533881926575534535,https://lh3.googleusercontent.com/a/ACg8ocI48a2onMqV-0UMba1oWF2N-A_IroSVt0_1DV5eFwjW=s40-c-rp-mo-br100,3,1.0,Con la sala de espera vacía llevamos más de una hora de espera en urgencias. entiendo que hay urgencias más importantes que otras pero tiene pinta de que se debe a una enorme falta de médicos.,With the waiting room empty we have been waiting in the emergency room for more than an hour. I understand that there are emergencies that are more important than others but it seems that it is due to an enormous lack of doctors.,3 months ago,"Hola Rocio,
Gracias por tomar el tiempo de compartir tu punto de vista. Lamentamos sinceramente la experiencia que has tenido en nuestro establecimiento. 
Con nuestras disculpas, te deseamos un buen día.","Hola Rocio,
Gracias por tomar el tiempo de compartir tu punto de vista. Lamentamos sinceramente la experiencia que has tenido en nuestro establecimiento. 
Con nuestras disculpas, te deseamos un buen día.","Hello Rocio,
Thank you for taking the time to share your point of view. We are sincerely sorry for the experience you have had at our establishment.
With our apologies, we wish you a good day.",,,['https://lh5.googleusercontent.com/p/AF1QipMrdWISWPw0hh3iSpflkP5Zj-mnncKGeijhwkKu=w100-h100-p-n-k-no']
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURaX2N6RVNREAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDZ_czESQ%7CCgwIvYeEqQYQkLHa-wE%7C?hl=en-US,5.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURaX2N6RVNREAE,Todo perfecto y limpio gracıas famılıa de sanitas.,1.0,Ismail Yildirim,https://www.google.com/maps/contrib/112819667535458501931?hl=en-US,112819667535458501931,https://lh3.googleusercontent.com/a-/ALV-UjUv3jS8DKGVtKwyCIwb583G1CMcPXeB-jvAGxatLq4fFQ=s40-c-rp-mo-ba3-br100,38,1.0,Todo perfecto y limpio gracıas famılıa de sanitas.,"Everything perfect and clean, thanks to the Sanitas family.",4 months ago,"Hola Ismail,
¡Gracias por habernos dejado una reseña tan positiva! Nos alegra enormemente que hayas pasado un buen momento con nosotros. Nos esforzamos mucho por ofrecer un servicio de calidad  y tu reseña nos anima a continuar así","Hola Ismail,
¡Gracias por habernos dejado una reseña tan positiva! Nos alegra enormemente que hayas pasado un buen momento con nosotros. Nos esforzamos mucho por ofrecer un servicio de calidad  y tu reseña nos anima a continuar así","Hello Ismail,
Thank you for leaving us such a positive review! We are very happy that you had a good time with us. We strive hard to offer quality service and your review encourages us to continue like this.",True,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURaclozQ3BRRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDZrZ3CpQE%7CCgwIlpOAqQYQ-Nm9_gI%7C?hl=en-US,1.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURaclozQ3BRRRAB,Muy mala atención al cliente. Minutos de espera constantes al teléfono sin atender ni proporcionar soluciones,1.0,Manuel de la Serna,https://www.google.com/maps/contrib/101638277117545283555?hl=en-US,101638277117545283555,https://lh3.googleusercontent.com/a-/ALV-UjWCxE9MDXXG-69OLwoIlrAcDKLqI5gf2o7zNW8Ceg-TFaQ=s40-c-rp-mo-br100,11,,Muy mala atención al cliente. Minutos de espera constantes al teléfono sin atender ni proporcionar soluciones,Very bad customer service. Constant minutes of waiting on the phone without answering or providing solutions,4 months ago,"Nos importa mucho tu opinión y nos gustaría darte una atención personal. Para ello, si lo deseas, puedes enviarnos un email a teescuchamos-zarzuela@sanitas.es. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Nos importa mucho tu opinión y nos gustaría darte una atención personal. Para ello, si lo deseas, puedes enviarnos un email a teescuchamos-zarzuela@sanitas.es. Muchas gracias. [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Your opinion is very important to us and we would like to give you personal attention. To do this, if you wish, you can send us an email to teescuchamos-zarzuela@sanitas.es. Thank you so much. [+info. about how we treat your personal data at www.sanitas.es/gdpr]",,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURaLXR1NG9BRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDZ-tu4oAE%7CCgwIx7fbqAYQwNGw2gE%7C?hl=en-US,3.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURaLXR1NG9BRRAB,"En general muy bien salvo en oftalmología, que si no vas a una revision tendrás la misma información que si vas. No me dijeron si la graduación de mis gafas era la adecuada y me dilataron sin avisarme, cuando tenía que volver conduciendo. De locos!",,Helenca Vegas,https://www.google.com/maps/contrib/111121121433690022866?hl=en-US,111121121433690022866,https://lh3.googleusercontent.com/a-/ALV-UjW431XXKh2EFHy1u8iccXUVg1l-wykCvSOpIktHRk5loA=s40-c-rp-mo-br100,10,1.0,"En general muy bien salvo en oftalmología, que si no vas a una revision tendrás la misma información que si vas. No me dijeron si la graduación de mis gafas era la adecuada y me dilataron sin avisarme, cuando tenía que volver conduciendo. De locos!","In general very good except in ophthalmology, if you don't go for a check-up you will have the same information as if you do. They didn't tell me if the prescription of my glasses was appropriate and they dilated me without telling me, when I had to drive back. Crazy!",5 months ago,"Hola Helenca, 
Te agradecemos el tiempo que has dedicado a compartir tus impresiones con nosotros y, sin duda, transmitiremos tu mensaje a los equipos. 
¡Hasta pronto!","Hola Helenca, 
Te agradecemos el tiempo que has dedicado a compartir tus impresiones con nosotros y, sin duda, transmitiremos tu mensaje a los equipos. 
¡Hasta pronto!","Hello Helenca,
We thank you for the time you have taken to share your impressions with us and we will certainly pass your message on to the teams.
See you soon!",,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURaLXBXMlRREAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDZ-pW2TQ%7CCgwI16fbqAYQgLDvoAM%7C?hl=en-US,5.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURaLXBXMlRREAE,"Atención muy buena , rapidez",,Alicia Delgado González,https://www.google.com/maps/contrib/103429761338667264897?hl=en-US,103429761338667264897,https://lh3.googleusercontent.com/a/ACg8ocJk_T310G5mgsJY0EMzh1EArvE-oGOestSYn2aL-reG=s40-c-rp-mo-br100,1,,"Atención muy buena , rapidez","Very good attention, speed",5 months ago,Muchas gracias por compartir tu experiencia. Nuestros profesionales agradecen tus comentarios y siempre nos animan a seguir mejorando la atención que presta nuestro hospital.,Muchas gracias por compartir tu experiencia. Nuestros profesionales agradecen tus comentarios y siempre nos animan a seguir mejorando la atención que presta nuestro hospital.,Thanks a lot for sharing your experience. Our professionals appreciate your comments and always encourage us to continue improving the care our hospital provides.,,,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURaeE1yRGFREAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDZxMrDaQ%7CCgwIkJbBqAYQ0I2N6AE%7C?hl=en-US,5.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURaeE1yRGFREAE,Hoy día 24 de septiembre acudí a Urgencias de este hospital. Me atendieron rápido. La atención excelente por parte de las enfermeras Gloria y Amparo. Muchísimas gracias por su humanidad y comprensión.,,Arancha,https://www.google.com/maps/contrib/117384258294408813151?hl=en-US,117384258294408813151,https://lh3.googleusercontent.com/a-/ALV-UjXIePH6w57kbhXvJPslhsubIiHG35jEdG-ENz2x6Outs3Qp=s40-c-rp-mo-ba5-br100,180,548.0,Hoy día 24 de septiembre acudí a Urgencias de este hospital. Me atendieron rápido. La atención excelente por parte de las enfermeras Gloria y Amparo. Muchísimas gracias por su humanidad y comprensión.,"Today, September 24, I went to the emergency room of this hospital. They attended to me quickly. Excellent care from nurses Gloria and Amparo. Thank you very much for your humanity and understanding.",5 months ago,"Gracias por tu valoración, pues nos ayuda a seguir mejorando para vosotros, nuestros pacientes.","Gracias por tu valoración, pues nos ayuda a seguir mejorando para vosotros, nuestros pacientes.","Thank you for your evaluation, as it helps us to continue improving for you, our patients.",True,,
