,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,response.date,response.snippet,response.extracted_snippet.original,response.extracted_snippet.translated,user.local_guide,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNwNE9EX3hBRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICp4OD_xAE%7CCgwI55qFpgYQ8N2M1QE%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNwNE9EX3hBRRAB,"Estuve ingresada el 27 de junio por un parto inducido. Tocó que me metiera medicación personal en prácticas, y vi las estrellas del dolor y la molestia que me produjo, no entendí como algo tan delicado ( medicación, propex , en las partes íntimas) lo dejan a personal sin experiencia.
Después, el parto y lo demás, se dio dentro de la normalidad con las dificultades que se añadieron.
Los puntos me producían un dolor inconsolable y por más que lo decía no veían nada raro.
A la hora de darnos el alta, justo en ese momento vinieron para decirme que mi hijo se quedaba en la UCI neonatal por ictericia.
Me dijo el pediatra que habían arreglado todo para que yo me quedara una noche más ingresada ( separada de un bebé recién nacido y yo recién dada a luz). Aún así vino la ginecóloga para preguntar por que no había abandonado la habitación. Mi hermana la escucho a ella y otra auxiliar decir que por que no me iba, aún cuando el pediatra me dijo que al menos una noche me podía quedar que estaba ya hablado con ginecología. Esa noche me quedé ingresada al menos.
En la mayoría de hospitales, incluidos la SS, los ingresos por ictericia no se realizan en la UCI, y están acondicionados para que el bebé esté en una habitación con la madre ( recién dada a luz). Aquí, no. Solo habilitan un sillón al lado de la minicuna con la lámpara. Seguía con un dolor insoportable, y solo podía sentarme en un sillón súper bajo. Sentía que me desgarraba cada vez que me sentaba para darle el pecho a mi chiquitín, y lo mismo cuando tenia que levantarme.
Además es una sala sin apenas luz natural. Esa planta no tiene baño para los acompañantes de los niños en la UCI, por lo que como podía tenia que bajar a la planta baja cuando necesitaba ir al baño.
Solo tuvieron a mi hijo 12 horas con luz, el resto de los tres días me decían que estaba en observación por no hacerme volver al día siguiente para repetirle la prueba. Yo no entendí como para no tener ningún tipo de tratamiento ni medicación no nos dejaban ir a casa. Yo seguía muerta del dolor, con los pies como botas y como podía por que no quería dejar solo a mi hijo recién nacido.
Finalmente, en la revisión de mis puntos, me indicaron que me habían cosido muy fuerte los puntos y que me habían saltado casi todos. No se si de haber podido descansar, que no me permitieron unas circunstancias más humanas, aunque estuvieran fuertes no hubieran saltado, pero si sé que dije un sin fin de veces que me dolía muchísimo y no me hicieron caso. No ha sido una experiencia buena para nada en absoluto, y de esta experiencia me llevo una cicatriz horrible que ya no volvieron a coser. No somos personas, somos números y los pacientes no les importan.",8.0,toñi lara barrales,https://www.google.com/maps/contrib/110692514855737766199?hl=en-US,110692514855737766199,https://lh3.googleusercontent.com/a-/ALV-UjWQxtfCRr53pmDGJBe0IxT9T97YT1YXhGldMVlyLXPu7g=s40-c-rp-mo-br100,4,1.0,"Estuve ingresada el 27 de junio por un parto inducido. Tocó que me metiera medicación personal en prácticas, y vi las estrellas del dolor y la molestia que me produjo, no entendí como algo tan delicado ( medicación, propex , en las partes íntimas) lo dejan a personal sin experiencia.
Después, el parto y lo demás, se dio dentro de la normalidad con las dificultades que se añadieron.
Los puntos me producían un dolor inconsolable y por más que lo decía no veían nada raro.
A la hora de darnos el alta, justo en ese momento vinieron para decirme que mi hijo se quedaba en la UCI neonatal por ictericia.
Me dijo el pediatra que habían arreglado todo para que yo me quedara una noche más ingresada ( separada de un bebé recién nacido y yo recién dada a luz). Aún así vino la ginecóloga para preguntar por que no había abandonado la habitación. Mi hermana la escucho a ella y otra auxiliar decir que por que no me iba, aún cuando el pediatra me dijo que al menos una noche me podía quedar que estaba ya hablado con ginecología. Esa noche me quedé ingresada al menos.
En la mayoría de hospitales, incluidos la SS, los ingresos por ictericia no se realizan en la UCI, y están acondicionados para que el bebé esté en una habitación con la madre ( recién dada a luz). Aquí, no. Solo habilitan un sillón al lado de la minicuna con la lámpara. Seguía con un dolor insoportable, y solo podía sentarme en un sillón súper bajo. Sentía que me desgarraba cada vez que me sentaba para darle el pecho a mi chiquitín, y lo mismo cuando tenia que levantarme.
Además es una sala sin apenas luz natural. Esa planta no tiene baño para los acompañantes de los niños en la UCI, por lo que como podía tenia que bajar a la planta baja cuando necesitaba ir al baño.
Solo tuvieron a mi hijo 12 horas con luz, el resto de los tres días me decían que estaba en observación por no hacerme volver al día siguiente para repetirle la prueba. Yo no entendí como para no tener ningún tipo de tratamiento ni medicación no nos dejaban ir a casa. Yo seguía muerta del dolor, con los pies como botas y como podía por que no quería dejar solo a mi hijo recién nacido.
Finalmente, en la revisión de mis puntos, me indicaron que me habían cosido muy fuerte los puntos y que me habían saltado casi todos. No se si de haber podido descansar, que no me permitieron unas circunstancias más humanas, aunque estuvieran fuertes no hubieran saltado, pero si sé que dije un sin fin de veces que me dolía muchísimo y no me hicieron caso. No ha sido una experiencia buena para nada en absoluto, y de esta experiencia me llevo una cicatriz horrible que ya no volvieron a coser. No somos personas, somos números y los pacientes no les importan.","I was admitted on June 27 for an induced labor. I had to put personal medication in practice, and I saw the stars of the pain and discomfort it caused me, I didn't understand how something so delicate (medication, propex, in the private parts) was left to inexperienced personnel.
Afterwards, the birth and the rest, occurred within normality with the added difficulties.
The stitches caused me inconsolable pain and no matter how much I said it, they didn't see anything strange.
When it was time to discharge us, just at that moment they came to tell me that my son was staying in the neonatal ICU due to jaundice.
The pediatrician told me that they had arranged everything for me to stay one more night in the hospital (separated from a newborn baby and I had just given birth). Even so, the gynecologist came to ask why I hadn't left the room. My sister heard her and another assistant say why I didn't leave, even though the pediatrician told me that I could stay at least one night since he had already spoken with the gynecologist. That night I stayed admitted at least.
In most hospitals, including the SS, admissions for jaundice are not carried out in the ICU, and are conditioned so that the baby is in a room with the mother (who has just given birth). Not here. They only provide an armchair next to the crib with the lamp. I was still in unbearable pain, and I could only sit in a super low chair. I felt like I was tearing up every time I sat down to breastfeed my little one, and the same when I had to get up.
It is also a room with hardly any natural light. That floor does not have a bathroom for those accompanying children in the ICU, so as best as I could I had to go down to the ground floor when I needed to go to the bathroom.
They only had my son with electricity for 12 hours, the rest of the three days they told me that he was under observation for not making me return the next day to repeat the test. I didn't understand why they wouldn't let us go home without having any type of treatment or medication. I was still dead from pain, with my feet like boots and as best I could because I didn't want to leave my newborn son alone.
Finally, in the review of my stitches, they told me that they had sewn the stitches very tightly and that almost all of them had jumped out. I don't know if if I had been able to rest, which didn't allow me more human circumstances, even if they were strong they wouldn't have jumped, but I do know that I said countless times that it hurt me a lot and they didn't listen to me. It has not been a good experience at all, and from this experience I left with a horrible scar that was never sewn back up. We are not people, we are numbers and patients do not care.",6 months ago,"Hola Toñi. Sentimos la valoración obtenida y tomamos buena nota de tus comentarios. Estamos comprometidos con el aprendizaje y la mejora continua; por eso, si lo deseas, puedes escribirnos a teescuchamos-zarzuela@sanitas.es con tus datos, para conocer mejor la situación.  [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Hola Toñi. Sentimos la valoración obtenida y tomamos buena nota de tus comentarios. Estamos comprometidos con el aprendizaje y la mejora continua; por eso, si lo deseas, puedes escribirnos a teescuchamos-zarzuela@sanitas.es con tus datos, para conocer mejor la situación.  [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Hi, Tony. We are sorry for the evaluation obtained and we take good note of your comments. We are committed to continuous learning and improvement; Therefore, if you wish, you can write to us at teescuchamos-zarzuela@sanitas.es with your information, to better understand the situation. [+info. about how we treat your personal data at www.sanitas.es/gdpr]",,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKcjdYZ2VBEAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDJr7XgeA%7CCgwI9YP_pQYQiKftqQI%7C?hl=en-US,5.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKcjdYZ2VBEAE,,,David Alonso,https://www.google.com/maps/contrib/111453810171440686097?hl=en-US,111453810171440686097,https://lh3.googleusercontent.com/a/ACg8ocLkH4bp3_ypkt0tLN6fHU14g3a9jsjJa5TIplQYDycq=s40-c-rp-mo-ba3-br100,38,8.0,,,6 months ago,"Gracias por tu valoración, pues nos ayuda a seguir mejorando para vosotros, nuestros pacientes.","Gracias por tu valoración, pues nos ayuda a seguir mejorando para vosotros, nuestros pacientes.","Thank you for your evaluation, as it helps us to continue improving for you, our patients.",True,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKejl6YnNRRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDJz9zbsQE%7CCgwIzpb-pQYQyLTjmQE%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKejl6YnNRRRAB,Te acudes al hospital para realizar una prueba de vídeo E. E.G. diurno (2 horas de prueba). Están en obras y en la habitación donde deberías estar tranquilo y dormido hace un ruido horrible por obras. Parece de chiste! Martes 25/07/2023.,1.0,Tatiane S.,https://www.google.com/maps/contrib/113728659245487513100?hl=en-US,113728659245487513100,https://lh3.googleusercontent.com/a/ACg8ocKxgNECSuz8X8BddabIDXngGRyfip6FgvU-D--ebNua=s40-c-rp-mo-br100,1,,Te acudes al hospital para realizar una prueba de vídeo E. E.G. diurno (2 horas de prueba). Están en obras y en la habitación donde deberías estar tranquilo y dormido hace un ruido horrible por obras. Parece de chiste! Martes 25/07/2023.,You go to the hospital to perform a video test E. E.G. daytime (2 hour test). They are under construction and in the room where you should be quiet and asleep there is a horrible noise due to construction. It seems like a joke! Tuesday 07/25/2023.,6 months ago,"Gracias por compartir tu opinión. Para nosotros es muy importante vuestra valoración y seguir mejorando. Por ello, si lo deseas, puedes escribirnos a teescuchamos-zarzuela@sanitas.es [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr].","Gracias por compartir tu opinión. Para nosotros es muy importante vuestra valoración y seguir mejorando. Por ello, si lo deseas, puedes escribirnos a teescuchamos-zarzuela@sanitas.es [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr].","Thanks for sharing your opinion. Your evaluation is very important to us and we continue to improve. Therefore, if you wish, you can write to us at teescuchamos-zarzuela@sanitas.es [+info. about how we treat your personal data at www.sanitas.es/gdpr].",,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKcF9iYkpREAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDJp_bbJQ%7CCgsI1_b4pQYQ8PWkdw%7C?hl=en-US,5.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKcF9iYkpREAE,,,rocio fernandez clemente,https://www.google.com/maps/contrib/108868621394073048180?hl=en-US,108868621394073048180,https://lh3.googleusercontent.com/a-/ALV-UjVLxjqwMT6Zr410WF9brFBGHRj5g22i0MJZ_l-5R5WZZKJH=s40-c-rp-mo-br100,5,1.0,,,6 months ago,"Muchas gracias por tu tiempo y valoración, que nos ayuda sin duda a seguir mejorando para vosotros, nuestros pacientes.","Muchas gracias por tu tiempo y valoración, que nos ayuda sin duda a seguir mejorando para vosotros, nuestros pacientes.","Thank you very much for your time and evaluation, which undoubtedly helps us to continue improving for you, our patients.",,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKeTVDcjJnRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDJy5Cr2gE%7CCgwIoMvwpQYQqKCXuQM%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKeTVDcjJnRRAB,"3 horas en urgencias para una radiografía, vergonzoso",1.0,Alberto Cordón,https://www.google.com/maps/contrib/112685867341524316492?hl=en-US,112685867341524316492,https://lh3.googleusercontent.com/a/ACg8ocL0h71wxUpIsKtksCGGaUMleytKOwm1tglvn6XiJ0Pn=s40-c-rp-mo-br100,6,,"3 horas en urgencias para una radiografía, vergonzoso","3 hours in the emergency room for an x-ray, embarrassing",6 months ago,"Hola Alberto, 
Sentimos que tu visita no haya ido como esperabas. Trabajamos constantemente para mejorar nuestro servicio y esperamos que nos des otra oportunidad.","Hola Alberto, 
Sentimos que tu visita no haya ido como esperabas. Trabajamos constantemente para mejorar nuestro servicio y esperamos que nos des otra oportunidad.","Hello Alberto,
We are sorry that your visit did not go as you expected. We are constantly working to improve our service and we hope you will give us another chance.",,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKdzZfWWF3EAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDJw6_Yaw%7CCgwI1aDvpQYQ6Pnd-AE%7C?hl=en-US,1.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKdzZfWWF3EAE,"Soy Eulalia Zubiaurre, el día 5 de Mayo, el Neurocirujano.... Operó a mi cuñado del cuello, según el la operación era muy urgente, mi cuñado nadaba, caminaba.... Salió de la operación sin mover nada de su cuerpo, sondado, no sentía sus extremidades, el Médico dice que la operación estaba perfecta. A los dos días al
le operar otra vez de urgencias. Al poco tiempo dicen que allí no puede estar, nos buscamos la vida y le llevamos a un hospital para lesiones medulares.a los tres días aspira una flema y fallece el día 25 de Julio,  en ningún momento le trabajaron para que pudiese tose, típico en tetraplegicos

Esto no puede quedar así.",8.0,EULALIA ZUBIAURRE,https://www.google.com/maps/contrib/106708044898709347661?hl=en-US,106708044898709347661,https://lh3.googleusercontent.com/a/ACg8ocJmr4lGoaAl-R_yP4dvkVTDeDNUNnK6HUKjZJnkSoeIQQ=s40-c-rp-mo-br100,4,,"Soy Eulalia Zubiaurre, el día 5 de Mayo, el Neurocirujano.... Operó a mi cuñado del cuello, según el la operación era muy urgente, mi cuñado nadaba, caminaba.... Salió de la operación sin mover nada de su cuerpo, sondado, no sentía sus extremidades, el Médico dice que la operación estaba perfecta. A los dos días al
le operar otra vez de urgencias. Al poco tiempo dicen que allí no puede estar, nos buscamos la vida y le llevamos a un hospital para lesiones medulares.a los tres días aspira una flema y fallece el día 25 de Julio,  en ningún momento le trabajaron para que pudiese tose, típico en tetraplegicos

Esto no puede quedar así.","I am Eulalia Zubiaurre, on May 5, the Neurosurgeon.... He operated on my brother-in-law's neck, according to him the operation was very urgent, my brother-in-law swam, walked.... He came out of the operation without moving anything of his body , probed, he did not feel his extremities, the Doctor says that the operation was perfect. Two days later
He had another emergency operation. Shortly after they said that he couldn't be there, we looked for a life and took him to a hospital for spinal injuries. Three days later he inhaled phlegm and died on July 25. At no time did they work on him so that he could cough, typical in quadriplegics

This can not continue.",,,,,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNhb3JXZmhRRRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICaorWfhQE%7CCgwIm4XppQYQoLPauwI%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNhb3JXZmhRRRAB,"Espero de verdad que no elijáis este hospital para venir a urgencias y que os tengan que ingresar. Todo es un despropósito. Mañana mismo pido el alta voluntaria y voy a otro hospital porque sigo esperando en una sala de la urgencias y nadie ha venido a hablar conmigo para informarme de absolutamente nada y llevo aquí 13 horas. Te ponen mal la vía, avisas de que se sale el líquido por fuera en tres ocasiones y ni caso, hasta que empieza a sangrar. Te tumban en una cama sin almohada y cuando le pido a la enfermera por favor que me dé una me contesta que NO HAY (así de seca y sin más explicaciones) cuando por lo que llego es por un dolor insoportable en el cuello que ni con morfina se me quitaba. Como la miro con cara de estar flipando por su contestación, la misma tiparraca mira a otra cama vacía que hay al lado y que sí que tiene y dice “pues sí que hay almohadas, toma esta”.
Les pregunto cuando llevo ya allí más de seis horas que si saben cuando me van a subir a una habitación y primero me dicen que no hay habitaciones y luego que es porque están esperando el resultado de la PCR que me ha hecho para poderme subir. PERO SI NO ME HAN HECHO NINGUNA PCR TODAVÍA!!!!
El traumatólogo (pienso que lo era) que finalmente se digna a bajar a verme me dice que lo que tengo es una contractura en el trapecio y que me vaya porque hasta que no empiece la rehabilitación no voy a mejorar. Les exijo que me hagan algún tipo de prueba como una radiografía o resonancia porque el dolor es inaguantable. Me la hacen a regañadientes y mostrando el médico su enfado por exigirla. Al fina baja y me dice que tengo dos hernias cervicales y que una de ellas está lesionando un nervio.
Resultado, operación urgente pero claro está que pedí traslado al hospital de Sanchinarro para que me operaran allí.
Y no sigo porque me canso ya de escribir.
En resumen, nunca vayáis a urgencias de la Zarzuela, id a la seguridad social que te atenderán igual o mejor.",1.0,Sonia,https://www.google.com/maps/contrib/105657886386632073046?hl=en-US,105657886386632073046,https://lh3.googleusercontent.com/a-/ALV-UjU-Z48eyy5ETZzET2HHUA3qkcaJAn4r9MtfD09B-p2kAQ=s40-c-rp-mo-ba2-br100,19,32.0,"Espero de verdad que no elijáis este hospital para venir a urgencias y que os tengan que ingresar. Todo es un despropósito. Mañana mismo pido el alta voluntaria y voy a otro hospital porque sigo esperando en una sala de la urgencias y nadie ha venido a hablar conmigo para informarme de absolutamente nada y llevo aquí 13 horas. Te ponen mal la vía, avisas de que se sale el líquido por fuera en tres ocasiones y ni caso, hasta que empieza a sangrar. Te tumban en una cama sin almohada y cuando le pido a la enfermera por favor que me dé una me contesta que NO HAY (así de seca y sin más explicaciones) cuando por lo que llego es por un dolor insoportable en el cuello que ni con morfina se me quitaba. Como la miro con cara de estar flipando por su contestación, la misma tiparraca mira a otra cama vacía que hay al lado y que sí que tiene y dice “pues sí que hay almohadas, toma esta”.
Les pregunto cuando llevo ya allí más de seis horas que si saben cuando me van a subir a una habitación y primero me dicen que no hay habitaciones y luego que es porque están esperando el resultado de la PCR que me ha hecho para poderme subir. PERO SI NO ME HAN HECHO NINGUNA PCR TODAVÍA!!!!
El traumatólogo (pienso que lo era) que finalmente se digna a bajar a verme me dice que lo que tengo es una contractura en el trapecio y que me vaya porque hasta que no empiece la rehabilitación no voy a mejorar. Les exijo que me hagan algún tipo de prueba como una radiografía o resonancia porque el dolor es inaguantable. Me la hacen a regañadientes y mostrando el médico su enfado por exigirla. Al fina baja y me dice que tengo dos hernias cervicales y que una de ellas está lesionando un nervio.
Resultado, operación urgente pero claro está que pedí traslado al hospital de Sanchinarro para que me operaran allí.
Y no sigo porque me canso ya de escribir.
En resumen, nunca vayáis a urgencias de la Zarzuela, id a la seguridad social que te atenderán igual o mejor.","I really hope that you do not choose this hospital to come to the emergency room and that they have to admit you. Everything is nonsense. Tomorrow I ask for voluntary discharge and I'm going to another hospital because I'm still waiting in an emergency room and no one has come to talk to me to inform me of absolutely anything and I've been here for 13 hours. They give you a bad line, you warn that the fluid is leaking out three times and they don't pay any attention until it starts to bleed. They lay you on a bed without a pillow and when I ask the nurse to please give me one she answers that THERE IS NO (that's dry and without further explanation) when the reason I arrive is because of an unbearable pain in my neck that I can't even imagine. Morphine went away. As I look at her with an expression of being shocked by her answer, the same creep looks at another empty bed next to her that she does have and says ""well, there are pillows, take this one.""
I ask them when I have been there for more than six hours if they know when they are going to take me up to a room and first they tell me that there are no rooms and then that it is because they are waiting for the result of the PCR that they have done on me to be able to take me up. BUT I HAVE NOT DONE ANY PCR YET!!!!
The orthopedic surgeon (I think it was one) who finally deigns to come down to see me tells me that what I have is a contracture in the trapezius and that I should leave because until rehabilitation begins I will not get better. I demand that they do some type of test such as an x-ray or MRI because the pain is unbearable. They do it to me reluctantly and the doctor showing his anger for demanding it. Finally he comes down and tells me that I have two cervical hernias and that one of them is injuring a nerve.
Result, urgent operation but of course I requested a transfer to the Sanchinarro hospital to have the operation there.
And I don't continue because I'm tired of writing.
In short, never go to the emergency room in La Zarzuela, go to social security who will care for you equally or better.",,,,,True,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKeGFfYVNBEAE!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDJxa_aSA%7CCgwI9IPmpQYQkIKesAI%7C?hl=en-US,1.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKeGFfYVNBEAE,"La cafetería del hospital es una auténtica estafa. Te cobran 2,40 € por un café que está muy regular, pero lo mejor es que encima de cobrarte este importe por un café mediocre, te lo sirven siempre en un vaso de cartón por lo que además te cobran otros 15 céntimos mas.",6.0,A F,https://www.google.com/maps/contrib/102017294678673276577?hl=en-US,102017294678673276577,https://lh3.googleusercontent.com/a/ACg8ocJGfl2U3W5TYu8n2cp4rx_ma5gSo73QC6OdH1y74eDM=s40-c-rp-mo-ba4-br100,85,,"La cafetería del hospital es una auténtica estafa. Te cobran 2,40 € por un café que está muy regular, pero lo mejor es que encima de cobrarte este importe por un café mediocre, te lo sirven siempre en un vaso de cartón por lo que además te cobran otros 15 céntimos mas.","The hospital cafeteria is a real scam. They charge you €2.40 for a coffee that is very average, but the best thing is that on top of charging you this amount for a mediocre coffee, they always serve it in a cardboard cup so they also charge you another 15 cents more.",6 months ago,"Hola A,
Entendemos tu insatisfacción y tomamos en cuenta tu comentario para transmitirlo a los departamentos correspondientes. Que tengas un buen día.","Hola A,
Entendemos tu insatisfacción y tomamos en cuenta tu comentario para transmitirlo a los departamentos correspondientes. Que tengas un buen día.","Hi,
We understand your dissatisfaction and we take your comment into account to transmit it to the corresponding departments. Have a good day.",True,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNKenRlXzB3RRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgICJzte_0wE%7CCgsIuobkpQYQgLCPSQ%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNKenRlXzB3RRAB,"Estan en obras en la cafeteria y traen comida prefabricada.. una auténtica …… la comida no se puede comer. Una ……... hay que comprar comida  para que coman los enfermos y no se pongan  peor mientras estan aqui..Nadie come nada.. Un cafe 2,30 y te cobran el vaso aparte… El aire acondicionado no funciona.. No es normal como está el hospital con lo que era.. y  como está ahora.",1.0,Merche Gonzalez,https://www.google.com/maps/contrib/106113243493787806132?hl=en-US,106113243493787806132,https://lh3.googleusercontent.com/a-/ALV-UjXd43q07ynKOI8GXTIdQGNlyLp0DsNlfLMD_A3466vd2Tg=s40-c-rp-mo-ba4-br100,125,61.0,"Estan en obras en la cafeteria y traen comida prefabricada.. una auténtica …… la comida no se puede comer. Una ……... hay que comprar comida  para que coman los enfermos y no se pongan  peor mientras estan aqui..Nadie come nada.. Un cafe 2,30 y te cobran el vaso aparte… El aire acondicionado no funciona.. No es normal como está el hospital con lo que era.. y  como está ahora.",They are working on the cafeteria and they bring pre-made food... authentic... the food cannot be eaten. One...... you have to buy food so that the sick can eat and not get worse while they are here... Nobody eats anything... A coffee costs 2.30 and they charge you for the glass separately... The air conditioning doesn't work... No It is normal how the hospital is with what it was... and how it is now.,6 months ago,"Hola Merche,
Lamentamos sinceramente que hayas vivido esta experiencia en el hospital.
Entendemos tu insatisfacción y tomamos en cuenta tu comentario para transmitirlo a los departamentos correspondientes.","Hola Merche,
Lamentamos sinceramente que hayas vivido esta experiencia en el hospital.
Entendemos tu insatisfacción y tomamos en cuenta tu comentario para transmitirlo a los departamentos correspondientes.","Hello Merche,
We are sincerely sorry that you had this experience in the hospital.
We understand your dissatisfaction and we take your comment into account to transmit it to the corresponding departments.",True,"['https://lh5.googleusercontent.com/p/AF1QipO5pLUTUJGDDl8nOyyq9tKrbng5dtnFltg6PCi8=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOG8I1H8dgbLOPkSjcRVh8i1f95LgUZTezJy3Ra=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP9IKRwOZoSRAeafGqOsS0HoqHH2FxMmaV02Z5W=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipM_nQrQgSLuxcJqs79S4gqNIFoON1zqZONfmi76=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOPFs5nj2bMWHmYvYKHhT2XXr7LDpUussHcg2hT=w100-h100-p-n-k-no']"
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKbnFHS253RRAB!2m1!1s0x0:0x9927a6abdc88509a!3m1!1s2@1:CIHM0ogKEICAgIDJnqGKnwE%7CCgsI38jVpQYQgI78YA%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKbnFHS253RRAB,muy mala experiancia ，madrona fatal ！！sin experiancia ， no ebserva bolsa rota de embarazo en urgencia ，olvidar de firmar papel amarilla。,,yiwei li,https://www.google.com/maps/contrib/116816493226064623672?hl=en-US,116816493226064623672,https://lh3.googleusercontent.com/a-/ALV-UjW6eeex-m3li6bNOokx1mceNI8cQKCwg1FIwiMNO8QP4DZF=s40-c-rp-mo-br100,1,,muy mala experiancia ，madrona fatal ！！sin experiancia ， no ebserva bolsa rota de embarazo en urgencia ，olvidar de firmar papel amarilla。,very bad experience，fatal midwife ！！no experience，does not see broken pregnancy sac in emergency room，forgets to sign yellow paper。,6 months ago,"Gracias por compartir tu opinión. Para nosotros es muy importante vuestra valoración y seguir mejorando. Por ello, si lo deseas, puedes escribirnos a teescuchamos-zarzuela@sanitas.es con tus datos de contacto [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Gracias por compartir tu opinión. Para nosotros es muy importante vuestra valoración y seguir mejorando. Por ello, si lo deseas, puedes escribirnos a teescuchamos-zarzuela@sanitas.es con tus datos de contacto [+info. sobre como tratamos tus datos personales en www.sanitas.es/gdpr]","Thanks for sharing your opinion. Your evaluation is very important to us and we continue to improve. Therefore, if you wish, you can write to us at teescuchamos-zarzuela@sanitas.es with your contact information [+info. about how we treat your personal data at www.sanitas.es/gdpr]",,
