Fecha,Nombre del establecimiento,groups,Dirección,Ciudad,Código postal,content,rating,Tipografía,Territorio
2018-03-07 07:18:08.931,Hospital Universitari General de Catalunya,"Cataluña, Hospi","Calle Pedro I Pons, 1",Sant Cugat Del Vallès,08190,,1,Hospital,Barcelona y Vallés
2018-03-05 11:25:50.957,Hospital Universitari General de Catalunya,"Cataluña, Hospi","Calle Pedro I Pons, 1",Sant Cugat Del Vallès,08190,,5,Hospital,Barcelona y Vallés
2018-02-21 07:27:34.697,Hospital Universitari General de Catalunya,"Cataluña, Hospi","Calle Pedro I Pons, 1",Sant Cugat Del Vallès,08190,,5,Hospital,Barcelona y Vallés
2018-02-19 10:17:56.154,Hospital Universitari General de Catalunya,"Cataluña, Hospi","Calle Pedro I Pons, 1",Sant Cugat Del Vallès,08190,"(Translated by Google) The blood draw lab has lost samples saying they never got to microbiology ... they don’t give me any explanation. They have already seen me enough to draw blood

(Original)
El laboratori d'extraccions de sang ha perdut les mostres dient que no van arribar mai a microbiologia... no em donen cap explicació. Ja m'han vist prou per treure'm sang",1,Hospital,Barcelona y Vallés
2018-02-15 13:11:35.813,Hospital Universitari General de Catalunya,"Cataluña, Hospi","Calle Pedro I Pons, 1",Sant Cugat Del Vallès,08190,"Una mala información telefónica nos hizo perder la mañana entre la consulta del especialista, en la cuál no nos atendieron sin cita en contra de lo que nos aseguraron por teléfono, y urgencias. Tras la inspección en urgencias tendremos que volver otro día con la cita del especialista. Curiosamente el protocolo de atención cambió el mismo día de nuestra visita y ya no nos atendieron directamente. Espero que el cambio de procedimiento sea para empeorar porque lo que es mejorar no lo están haciendo.

Atención y trato recibido por el personal: muy correcto.
Estado de las instalaciones: correctas
Aseos: muy mejorables

(Translated by Google)
Bad telephone information made us lose the morning between the specialist's consultation, in which they did not attend us without an appointment against what they assured us by phone, and emergencies. After the emergency inspection we will have to return another day with the specialist's appointment. Curiously, the care protocol changed the same day as our visit and we were no longer directly seen. I hope that the change in procedure is to make matters worse because what is improving is not being done.

Attention and treatment received by the staff: very correct.
Condition of the facilities: correct
Toilets: highly upgradeable",1,Hospital,Barcelona y Vallés
2018-02-13 10:17:28.243,Hospital Universitari General de Catalunya,"Cataluña, Hospi","Calle Pedro I Pons, 1",Sant Cugat Del Vallès,08190,,4,Hospital,Barcelona y Vallés
2018-02-11 11:57:55.339,Hospital Universitari General de Catalunya,"Cataluña, Hospi","Calle Pedro I Pons, 1",Sant Cugat Del Vallès,08190,,5,Hospital,Barcelona y Vallés
2018-02-08 15:00:38.336,Hospital Universitari General de Catalunya,"Cataluña, Hospi","Calle Pedro I Pons, 1",Sant Cugat Del Vallès,08190,"El hospital en general bien esperas largos como en todos lados hoy en día.... Lo peor la atención del guarda de seguridad del turno de tarde hoy día 8 de febrero.

(Translated by Google)
The hospital in general well waits long as everywhere today .... The worst the attention of the security guard on the afternoon shift today February 8.",1,Hospital,Barcelona y Vallés
2018-02-06 13:31:48.473,Hospital Universitari General de Catalunya,"Cataluña, Hospi","Calle Pedro I Pons, 1",Sant Cugat Del Vallès,08190,"Buena atención

(Translated by Google)
Good attention",5,Hospital,Barcelona y Vallés
2018-02-06 09:06:28.590,Hospital Universitari General de Catalunya,"Cataluña, Hospi","Calle Pedro I Pons, 1",Sant Cugat Del Vallès,08190,,4,Hospital,Barcelona y Vallés
